Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.norskfodte_m_innvf;innvkat_4.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.1;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.gjennomsnitt;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0621 Sigdal;621;Sigdal;39,8;38,7;40,6;42;18;24;39,8;:;:;:;42;:;:;:
0622 Krødsherad;622;Krødsherad;36,3;36,1;36,8;31;20;11;36,3;:;:;:;31;:;:;:
0623 Modum;623;Modum;36,8;34,3;39,1;153;74;79;36,8;34,3;32;37,1;153;9;4;140
0624 Øvre Eiker;624;Øvre Eiker;39,4;36,3;42,6;195;99;96;39,4;:;:;39,5;195;:;:;182
0625 Nedre Eiker;625;Nedre Eiker;40,2;39,2;41,3;308;157;151;40,2;37;40,2;40,7;308;34;21;253
0626 Lier;626;Lier;42;40,5;43,5;299;148;151;42;35,5;43,2;42,5;299;22;18;259
0627 Røyken;627;Røyken;41;39,2;42,8;287;145;142;41;37;36,6;41,4;287;18;11;258
0628 Hurum;628;Hurum;41,3;38,5;43,5;133;59;74;41,3;:;:;41,1;133;:;:;115
0631 Flesberg;631;Flesberg;41,1;38,6;43,8;35;18;17;41,1;:;:;:;35;:;:;:
0632 Rollag;632;Rollag;42,2;41;43,6;21;11;10;42,2;.;.;42,2;21;.;.;21
0633 Nore og Uvdal;633;Nore og Uvdal;36,5;33,8;38,8;34;16;18;36,5;.;.;36,5;34;.;.;34
0701 Horten;701;Horten;40,8;38,1;43,7;308;156;152;40,8;36;40,2;41,4;308;29;11;268
