Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.minoritet;
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;
1241 Fusa;1241;Fusa;31;4;27;12,9;
1242 Samnanger;1242;Samnanger;25;4;21;16;
1243 Os;1243;Os;137;27;110;19,7;
1244 Austevoll;1244;Austevoll;25;1;24;4;
1245 Sund;1245;Sund;50;9;41;18;
1246 Fjell;1246;Fjell;157;26;131;16,6;
1247 Askøy;1247;Askøy;200;32;168;16;
1251 Vaksdal;1251;Vaksdal;46;9;37;19,6;
1252 Modalen;1252;Modalen;5;2;3;40;
1253 Osterøy;1253;Osterøy;54;6;48;11,1;
1256 Meland;1256;Meland;43;11;32;25,6;
1259 Øygarden;1259;Øygarden;40;10;30;25;
1260 Radøy;1260;Radøy;28;4;24;14,3;
1263 Lindås;1263;Lindås;81;15;66;18,5;
1264 Austrheim;1264;Austrheim;9;2;7;22,2;
1265 Fedje;1265;Fedje;3;.;.;.;
1266 Masfjorden;1266;Masfjorden;10;1;9;10;
1401 Flora;1401;Flora;86;30;56;34,9;
1411 Gulen;1411;Gulen;8;1;7;12,5;
1412 Solund;1412;Solund;4;.;.;.;
1413 Hyllestad;1413;Hyllestad;10;1;9;10;
1416 Høyanger;1416;Høyanger;23;5;18;21,7;
1417 Vik;1417;Vik;7;.;.;.;
1418 Balestrand;1418;Balestrand;:;:;:;:;
1419 Leikanger;1419;Leikanger;3;.;.;.;
1420 Sogndal;1420;Sogndal;29;8;21;27,6;
1421 Aurland;1421;Aurland;17;.;.;.;
1422 Lærdal;1422;Lærdal;12;1;11;8,3;
1424 Årdal;1424;Årdal;20;4;16;20;
1426 Luster;1426;Luster;23;4;19;17,4;
1428 Askvoll;1428;Askvoll;16;4;12;25;
1429 Fjaler;1429;Fjaler;13;4;9;30,8;
1430 Gaular;1430;Gaular;8;.;.;.;
1431 Jølster;1431;Jølster;22;10;12;45,5;
1432 Førde;1432;Førde;43;8;35;18,6;
1433 Naustdal;1433;Naustdal;17;2;15;11,8;
1438 Bremanger;1438;Bremanger;35;7;28;20;
1439 Vågsøy;1439;Vågsøy;22;1;21;4,5;
1441 Selje;1441;Selje;13;1;12;7,7;
1443 Eid;1443;Eid;20;1;19;5;
1444 Hornindal;1444;Hornindal;:;:;:;:;
1445 Gloppen;1445;Gloppen;31;16;15;51,6;
1449 Stryn;1449;Stryn;18;5;13;27,8;
1502 Molde;1502;Molde;140;34;106;24,3;
1504 Ålesund;1504;Ålesund;167;35;132;21;
1505 Kristiansund;1505;Kristiansund;100;24;76;24;
1511 Vanylven;1511;Vanylven;18;2;16;11,1;
1514 Sande;1514;Sande;12;4;8;33,3;
1515 Herøy;1515;Herøy;20;2;18;10;
1516 Ulstein;1516;Ulstein;21;6;15;28,6;
1517 Hareid;1517;Hareid;16;1;15;6,3;
1519 Volda;1519;Volda;33;10;23;30,3;
1520 Ørsta;1520;Ørsta;43;16;27;37,2;
1523 Ørskog;1523;Ørskog;8;3;5;37,5;
1524 Norddal;1524;Norddal;:;:;:;:;
1525 Stranda;1525;Stranda;26;7;19;26,9;
1528 Sykkylven;1528;Sykkylven;84;22;62;26,2;
1529 Skodje;1529;Skodje;18;3;15;16,7;
1531 Sula;1531;Sula;28;3;25;10,7;
1532 Giske;1532;Giske;32;6;26;18,8;
1534 Haram;1534;Haram;33;7;26;21,2;
1535 Vestnes;1535;Vestnes;24;2;22;8,3;
1539 Rauma;1539;Rauma;51;8;43;15,7;
1543 Nesset;1543;Nesset;8;.;.;.;
1545 Midsund;1545;Midsund;15;2;13;13,3;
1546 Sandøy;1546;Sandøy;8;2;6;25;
1547 Aukra;1547;Aukra;13;3;10;23,1;
1548 Fræna;1548;Fræna;51;1;50;2;
1551 Eide;1551;Eide;23;.;.;.;
1554 Averøy;1554;Averøy;17;1;16;5,9;
1557 Gjemnes;1557;Gjemnes;12;5;7;41,7;
1560 Tingvoll;1560;Tingvoll;16;5;11;31,3;
1563 Sunndal;1563;Sunndal;26;12;14;46,2;
1566 Surnadal;1566;Surnadal;20;4;16;20;
1567 Rindal;1567;Rindal;7;.;.;.;
1571 Halsa;1571;Halsa;:;:;:;:;
1573 Smøla;1573;Smøla;5;.;.;.;
1576 Aure;1576;Aure;12;2;10;16,7;
1601 Trondheim;1601;Trondheim;1030;265;765;25,7;
1612 Hemne;1612;Hemne;33;5;28;15,2;
1613 Snillfjord;1613;Snillfjord;4;1;3;25;
1617 Hitra;1617;Hitra;21;3;18;14,3;
1620 Frøya;1620;Frøya;18;2;16;11,1;
1621 Ørland;1621;Ørland;31;1;30;3,2;
1622 Agdenes;1622;Agdenes;5;.;.;.;
1624 Rissa;1624;Rissa;40;.;.;.;
1627 Bjugn;1627;Bjugn;24;2;22;8,3;
1630 Åfjord;1630;Åfjord;8;1;7;12,5;
1632 Roan;1632;Roan;:;:;:;:;
1633 Osen;1633;Osen;:;:;:;:;
1634 Oppdal;1634;Oppdal;24;1;23;4,2;
1635 Rennebu;1635;Rennebu;6;.;.;.;
1636 Meldal;1636;Meldal;18;1;17;5,6;
1638 Orkdal;1638;Orkdal;101;16;85;15,8;
1640 Røros;1640;Røros;13;1;12;7,7;
1644 Holtålen;1644;Holtålen;9;.;.;.;
1648 Midtre Gauldal;1648;Midtre Gauldal;24;3;21;12,5;
1653 Melhus;1653;Melhus;96;11;85;11,5;
1657 Skaun;1657;Skaun;42;2;40;4,8;
1662 Klæbu;1662;Klæbu;33;5;28;15,2;
1663 Malvik;1663;Malvik;86;10;76;11,6;
1664 Selbu;1664;Selbu;17;.;.;.;
1665 Tydal;1665;Tydal;9;.;.;.;
1702 Steinkjer;1702;Steinkjer;107;19;88;17,8;
1703 Namsos;1703;Namsos;107;31;76;29;
1711 Meråker;1711;Meråker;11;2;9;18,2;
1714 Stjørdal;1714;Stjørdal;179;49;130;27,4;
1717 Frosta;1717;Frosta;18;2;16;11,1;
1718 Leksvik;1718;Leksvik;18;3;15;16,7;
1719 Levanger;1719;Levanger;130;28;102;21,5;
1721 Verdal;1721;Verdal;150;36;114;24;
1724 Verran;1724;Verran;8;.;.;.;
1725 Namdalseid;1725;Namdalseid;9;1;8;11,1;
1736 Snåase Snåsa;1736;Snåase Snåsa;4;.;.;.;
1738 Lierne;1738;Lierne;5;1;4;20;
1739 Raarvihke Røyrvik;1739;Raarvihke Røyrvik;:;:;:;:;
1740 Namsskogan;1740;Namsskogan;:;:;:;:;
1742 Grong;1742;Grong;11;3;8;27,3;
1743 Høylandet;1743;Høylandet;4;.;.;.;
1744 Overhalla;1744;Overhalla;19;5;14;26,3;
1748 Fosnes;1748;Fosnes;7;2;5;28,6;
1749 Flatanger;1749;Flatanger;6;.;.;.;
1750 Vikna;1750;Vikna;24;1;23;4,2;
1751 Nærøy;1751;Nærøy;22;2;20;9,1;
1755 Leka;1755;Leka;:;:;:;:;
1756 Inderøy;1756;Inderøy;35;9;26;25,7;
1804 Bodø;1804;Bodø;213;29;184;13,6;
1805 Narvik;1805;Narvik;93;18;75;19,4;
1811 Bindal;1811;Bindal;:;:;:;:;
1812 Sømna;1812;Sømna;14;1;13;7,1;
1813 Brønnøy;1813;Brønnøy;34;7;27;20,6;
1815 Vega;1815;Vega;6;.;.;.;
1816 Vevelstad;1816;Vevelstad;:;:;:;:;
1818 Herøy;1818;Herøy;11;.;.;.;
1820 Alstahaug;1820;Alstahaug;58;20;38;34,5;
1822 Leirfjord;1822;Leirfjord;19;9;10;47,4;
