"Nëringsregion 
nr & navn";naringsregion_nr;"Nëringsregion
navn";vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_5.europa;vreg_5.asia;vreg_5.afrika;vreg_5.nord_amerika_oseania;vreg_5.sor_og_mellom_amerika;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
68 Sõr-Helgeland;68;Sõr-Helgeland;324;393;170;150;154;243;375;208;109;7;18;75;76;166;58;7;208;109;18
69 HALD;69;HALD;508;610;295;295;213;315;622;203;267;12;14;90;75;331;126;12;203;267;14
70 Ytre Helgeland;70;Ytre Helgeland;188;63;99;15;89;48;201;40;5;3;3;52;18;116;15;3;40;5;3
71 Mosjõregionen;71;Mosjõregionen;383;530;219;264;164;266;448;250;188;9;18;106;82;186;74;9;250;188;18
72 Ranaregionen;72;Ranaregionen;873;1047;519;514;354;533;1014;476;377;29;24;227;159;459;169;29;476;377;24
73 Salten;73;Salten;2610;3051;1513;1400;1097;1651;3038;1330;1069;90;134;635;596;1287;520;90;1330;1069;134
74 Ofoten;74;Ofoten;1070;1174;624;555;446;619;1240;534;397;35;38;361;149;525;205;35;534;397;38
75 Lofoten;75;Lofoten;1175;1008;652;481;523;527;1267;512;347;17;40;209;235;714;109;17;512;347;40
76 VesterÜlen;76;VesterÜlen;1177;1504;651;678;526;826;1371;652;568;30;60;241;204;702;224;30;652;568;60
77 Sõr-Troms;77;Sõr-Troms;1116;1719;648;812;468;907;1292;846;591;31;74;240;352;492;208;31;846;591;74
78 Midt-Troms;78;Midt-Troms;960;1062;516;451;444;611;1096;378;493;15;40;225;214;505;152;15;378;493;40
79 Tromsõregionen;79;Tromsõregionen;4421;3550;2426;1684;1995;1866;4960;1460;1165;191;194;1312;1162;1755;731;191;1460;1165;194
80 Nord-Troms;80;Nord-Troms;512;394;278;178;234;216;571;159;153;7;16;166;92;247;66;7;159;153;16
81 Vest-Finnmark;81;Vest-Finnmark;2142;1808;1288;785;854;1023;2580;896;393;30;51;633;291;1187;469;30;896;393;51
82 Midt-Finnmark;82;Midt-Finnmark;637;357;296;95;341;262;787;139;43;10;15;388;65;174;160;10;139;43;15
83 ùst-Finnmark;83;ùst-Finnmark;1643;1819;920;809;723;1010;2324;621;442;31;44;620;155;836;713;31;621;442;44
