Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66;aldersinndeling_etter_grskole.alle;aldersinndeling_etter_grskole.16-25;aldersinndeling_etter_grskole.26-66
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1740 Namsskogan;1740;Namsskogan;99;5;94;93;5;88;6;0;6;18,3;5,3;21,1;18,2;5,4;21,1;19,4;0;21,4
1742 Grong;1742;Grong;303;58;245;200;25;175;103;33;70;19,4;16,4;20,2;14,7;9;16,2;50;44;53,4
1743 Høylandet;1743;Høylandet;81;9;72;74;5;69;7; : ; : ;10,9;6,8;11,8;10,4;4;11,8;19,4; : ; : 
1744 Overhalla;1744;Overhalla;341;60;281;293;44;249;48;16;32;14,4;11,9;15;13,2;9,5;14,2;31,2;39;28,3
1748 Fosnes;1748;Fosnes;86;7;79;77;6;71;9; : ; : ;21,3;8,4;24,7;20,9;7,6;24,6;25,7; : ; : 
1749 Flatanger;1749;Flatanger;109;17;92;85;10;75;24;7;17;15,1;10,8;16,4;13,2;6,9;15,1;30,8;50;26,6
1750 Vikna;1750;Vikna;436;72;364;363;57;306;73;15;58;15,8;13;16,5;14,5;11,1;15,4;27,2;35,7;25,7
1751 Nærøy;1751;Nærøy;623;78;545;539;66;473;84;12;72;19,2;11,3;21,4;18;10,1;20,3;33,5;32,4;33,6
1755 Leka;1755;Leka;51; : ; : ;47; : ; : ;4; : ; : ;15,4; : ; : ;15,4; : ; : ;15,4; : ; : 
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);737;101;636;665;88;577;72;13;59;17;10,9;18,7;16,2;10;18;31,2;30,2;31,4
1804 Bodø;1804;Bodø;5424;870;4554;4444;672;3772;980;198;782;16;12,1;17;14,5;10,3;15,6;29,7;29,6;29,8
1805 Narvik;1805;Narvik;2580;355;2225;2124;256;1868;456;99;357;20,8;13,2;22,9;19,5;10,7;22;29,3;31,5;28,8
1811 Bindal;1811;Bindal;224;19;205;207;16;191;17; : ; : ;24;10,6;27,2;23,1;9,1;26,5;45,9; : ; : 
1812 Sømna;1812;Sømna;241;43;198;207;31;176;34;12;22;18,5;15,5;19,3;17;12,1;18,3;38,6;57,1;32,8
1813 Brønnøy;1813;Brønnøy;959;156;803;810;130;680;149;26;123;18,6;14,4;19,8;17,1;12,7;18,3;37,2;44,8;35,9
1815 Vega;1815;Vega;153;12;141;141;11;130;12; : ; : ;19,4;7,6;22,4;18,8;7,1;21,8;33,3; : ; : 
1816 Vevelstad;1816;Vevelstad;61; : ; : ;55; : ; : ;6;0;6;19,5; : ; : ;19,2; : ; : ;23,1;.;23,1
1818 Herøy (Nordl.);1818;Herøy (Nordl.);271;38;233;207;23;184;64;15;49;23,9;15,8;26,1;21,7;11;24,7;35,6;46,9;33,1
1820 Alstahaug;1820;Alstahaug;989;127;862;801;103;698;188;24;164;20,2;12,7;22,1;18,4;11,3;20,3;35,1;28,6;36,3
1822 Leirfjord;1822;Leirfjord;309;33;276;249;22;227;60;11;49;21,3;10,8;24,1;18,9;8;21,8;43,8;35,5;46,2
1824 Vefsn;1824;Vefsn;1583;214;1369;1384;166;1218;199;48;151;18,3;12,2;19,9;17,2;10,1;19;34;43,6;31,7
1825 Grane;1825;Grane;176;20;156;166;19;147;10; : ; : ;19,6;12,3;21,3;19,9;12,4;21,5;16,7; : ; : 
1826 Hattfjelldal;1826;Hattfjelldal;198;40;158;126;15;111;72;25;47;21,5;21,5;21,4;15,6;9,7;17;62,6;80,6;56
1827 Dønna;1827;Dønna;209;24;185;195;23;172;14; : ; : ;23,5;13,4;26,1;23,6;13,7;26,1;22,6; : ; : 
1828 Nesna;1828;Nesna;304;63;241;186;17;169;118;46;72;24;19,7;25,4;18;6,9;21,4;50,6;62,2;45,3
1832 Hemnes;1832;Hemnes;602;62;540;549;52;497;53;10;43;21,1;10,2;24,1;20,5;8,9;23,8;29,4;38,5;27,9
1833 Rana;1833;Rana;3350;442;2908;2957;359;2598;393;83;310;19,6;12,4;21,6;18,6;10,7;20,8;33,3;38,1;32,2
1834 Lurøy;1834;Lurøy;217;19;198;202;17;185;15; : ; : ;18,6;8,4;21,1;18,8;8;21,5;16,9; : ; : 
1835 Træna;1835;Træna;39;4;35;33; : ; : ;6; : ; : ;12,1;6,2;13,7;13,5; : ; : ;7,8; : ; : 
1836 Rødøy;1836;Rødøy;133;16;117;124;14;110;9; : ; : ;16,8;9,7;18,6;16,6;8,8;18,7;18,8; : ; : 
1837 Meløy;1837;Meløy;832;128;704;741;108;633;91;20;71;20,1;14,4;21,6;19,3;12,9;21,1;29,2;41,7;26,9
1838 Gildeskål;1838;Gildeskål;274;33;241;230;23;207;44;10;34;21,4;14,9;22,8;20,6;11,6;22,5;27,5;43,5;24,8
1839 Beiarn;1839;Beiarn;150;12;138;138;9;129;12; : ; : ;22,1;10;24,7;21,3;7,8;24,2;41,4; : ; : 
1840 Saltdal;1840;Saltdal;714;93;621;586;61;525;128;32;96;23;15,8;24,7;20,7;11,3;22,9;47,1;68,1;42,7
1841 Fauske;1841;Fauske;1286;151;1135;1160;132;1028;126;19;107;20,6;12,4;22,6;19,9;11,5;21,9;31,7;26,8;32,7
1845 Sørfold;1845;Sørfold;291;30;261;271;24;247;20;6;14;23,4;12,9;25,9;23,3;11,1;26,1;25;37,5;21,9
1848 Steigen;1848;Steigen;352;42;310;291;32;259;61;10;51;21,5;12,1;24;19,6;9,8;22,3;39,6;50;38,1
1849 Hamarøy;1849;Hamarøy;240;39;201;190;16;174;50;23;27;20,4;15,1;21,8;18,9;7,8;21,8;28,6;43,4;22,1
1850 Tysfjord;1850;Tysfjord;348;31;317;320;25;295;28;6;22;26,6;12,9;29,7;26,5;10,9;30,2;27,2;54,5;23,9
1851 Lødingen;1851;Lødingen;360;62;298;245;25;220;115;37;78;25,4;20,8;26,7;20,6;10,6;23,1;50,7;59,7;47,3
1852 Tjeldsund;1852;Tjeldsund;181;17;164;167;14;153;14; : ; : ;23,5;13;25,6;22,8;11,1;25,3;35; : ; : 
1853 Evenes;1853;Evenes;232;21;211;199;16;183;33;5;28;27,6;14,5;30,3;26;12,2;28,8;43,4;35,7;45,2
1854 Ballangen;1854;Ballangen;429;39;390;381;25;356;48;14;34;26,4;12,5;29,7;25,5;8,8;29,4;37,2;51,9;33,3
1856 Røst;1856;Røst;72;10;62;61;8;53;11; : ; : ;19,1;13,3;20,6;17,7;11,3;19,3;35,5; : ; : 
1857 Værøy;1857;Værøy;95;14;81;79;9;70;16;5;11;18,9;14,3;20;19,4;11,3;21,4;16,8;27,8;14,3
1859 Flakstad;1859;Flakstad;208;31;177;187;30;157;21; : ; : ;24,2;15,3;27;23,7;15,4;26,4;30,9; : ; : 
1860 Vestvågøy;1860;Vestvågøy;1443;215;1228;1198;149;1049;245;66;179;20,3;13,7;22,2;18,6;10,6;20,9;36,8;42,3;35,2
1865 Vågan;1865;Vågan;1265;177;1088;983;118;865;282;59;223;20,8;15,1;22,2;18,8;11,6;20,5;33,8;36,9;33,1
1866 Hadsel;1866;Hadsel;1107;155;952;928;110;818;179;45;134;21,2;14,3;23;20;11,5;22,2;31;35,2;29,8
1867 Bø (Nordl.);1867;Bø (Nordl.);411;51;360;353;42;311;58;9;49;26,2;18,5;27,8;24,6;16,2;26,4;43,6;60;41,5
1868 Øksnes;1868;Øksnes;707;101;606;578;76;502;129;25;104;23,5;16;25,5;21,9;13,4;24,2;35,1;38,5;34,3
1870 Sortland;1870;Sortland;1315;203;1112;1150;161;989;165;42;123;19,7;14,2;21,2;18,8;12,3;20,6;29,9;34,1;28,7
1871 Andøy;1871;Andøy;690;75;615;577;59;518;113;16;97;22,1;11,8;24,8;20,5;9,9;23,3;37,4;42,1;36,7
1874 Moskenes;1874;Moskenes;148;16;132;119;10;109;29;6;23;21,2;14,2;22,6;21,3;10;23,7;21,2;46,2;18,5
1902 Tromsø;1902;Tromsø;8163;1226;6937;6520;884;5636;1643;342;1301;16,2;11,7;17,4;14,9;9,4;16,4;24,6;30,7;23,4
1903 Harstad;1903;Harstad;3140;457;2683;2620;342;2278;520;115;405;19,3;13,4;20,9;17,8;11;19,7;32,6;36,1;31,8
1911 Kvæfjord;1911;Kvæfjord;505;78;427;396;48;348;109;30;79;24,8;16,7;27,2;22;11,7;25,1;45,8;53,6;43,4
1913 Skånland;1913;Skånland;430;35;395;374;23;351;56;12;44;22,7;11,2;25;21,8;8,1;24,4;32,2;40;30,6
1917 Ibestad;1917;Ibestad;195;27;168;178;23;155;17;4;13;22,5;15;24,5;22,9;15,2;24,8;19,3;13,8;22
1919 Gratangen;1919;Gratangen;155;22;133;135;21;114;20; : ; : ;22,4;15,5;24,1;23,1;16;25,1;18,5; : ; : 
1920 Lavangen;1920;Lavangen;140;16;124;134;15;119;6; : ; : ;23,3;14;25,5;23,3;13,8;25,5;23,1; : ; : 
1922 Bardu;1922;Bardu;408;52;356;315;30;285;93;22;71;15,8;8,6;17,9;13,3;5,4;15,7;42,7;46,8;41,5
1923 Salangen;1923;Salangen;358;115;243;251;34;217;107;81;26;24;30;22;19,4;12,8;21,2;54;69,2;32,1
1924 Målselv;1924;Målselv;742;94;648;640;71;569;102;23;79;16,9;9,3;19,2;15,7;7,5;18,2;33,3;39,7;31,9
1925 Sørreisa;1925;Sørreisa;417;55;362;372;50;322;45;5;40;18,8;12,1;20,5;18,3;11,6;20,1;24,6;20;25,3
1926 Dyrøy;1926;Dyrøy;172;15;157;163;14;149;9; : ; : ;23,5;10,8;26,5;23,5;10,4;26,6;24,3; : ; : 
1927 Tranøy;1927;Tranøy;229;17;212;197;9;188;32;8;24;25,1;10,4;28,3;23,7;5,9;27,7;38,6;66,7;33,8
1928 Torsken;1928;Torsken;128;14;114;113;11;102;15; : ; : ;23,6;14;25,8;23,9;12;26,8;21,7; : ; : 
1929 Berg;1929;Berg;140;15;125;113;8;105;27;7;20;23,5;12,2;26,4;22,7;7,8;26,6;27,6;35;25,6
1931 Lenvik;1931;Lenvik;1524;191;1333;1284;115;1169;240;76;164;20,6;12,4;22,7;19,1;8,3;21,8;35,6;48,1;31,8
1933 Balsfjord;1933;Balsfjord;758;85;673;690;78;612;68;7;61;21,5;12,3;23,8;21,1;11,8;23,4;27,8;21,9;28,6
1936 Karlsøy;1936;Karlsøy;327;32;295;280;26;254;47;6;41;21,8;11,5;24,2;21,3;10,5;23,8;25,7;18,8;27,2
1938 Lyngen;1938;Lyngen;354;30;324;331;29;302;23; : ; : ;19,2;8,6;21,7;19,1;8,7;21,7;20,4; : ; : 
1939 Storfjord;1939;Storfjord;326;35;291;264;20;244;62;15;47;25,1;14,6;27,4;22,4;9,3;25,4;50,4;65,2;47
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;340;36;304;292;25;267;48;11;37;24,1;12,5;27,1;22,4;9,2;25,8;46,2;68,8;42
1941 Skjervøy;1941;Skjervøy;388;53;335;342;44;298;46;9;37;20,8;12,5;23,3;20,5;11,1;23,4;23,8;32,1;22,4
1942 Nordreisa;1942;Nordreisa;632;80;552;561;69;492;71;11;60;20,2;11,8;22,5;19;10,6;21,4;37,6;35,5;38
1943 Kvænangen;1943;Kvænangen;172;20;152;162;20;142;10;0;10;22,7;13,1;25,1;22,6;13,1;25,2;24,4;.;24,4
2002 Vardø;2002;Vardø;377;34;343;312;29;283;65;5;60;26,1;13,2;28,8;25,3;12,3;28,4;30,2;22,7;31,1
2003 Vadsø;2003;Vadsø;855;171;684;508;55;453;347;116;231;20,3;17,8;21,1;14,9;7,7;16,8;43,5;47,3;41,8
2004 Hammerfest;2004;Hammerfest;1184;175;1009;900;123;777;284;52;232;16,7;11,8;17,9;15,5;9,7;17,1;21,8;23,4;21,5
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;417;65;352;377;59;318;40;6;34;20,8;16,4;21,9;20,2;15,4;21,4;29,4;42,9;27,9
2012 Alta;2012;Alta;2562;389;2173;2203;311;1892;359;78;281;19,3;12,5;21,3;18,5;11,2;20,8;25,7;24,8;26
2014 Loppa;2014;Loppa;170;13;157;145;11;134;25; : ; : ;25,5;10,2;29,2;25;9,5;28,9;29,1; : ; : 
2015 Hasvik;2015;Hasvik;190;22;168;157;18;139;33;4;29;27,8;19;29,6;29,9;18;32,7;20,8;25;20,3
2017 Kvalsund;2017;Kvalsund;167;12;155;153;10;143;14; : ; : ;26,2;12;28,9;26,4;10,8;29,4;24,6; : ; : 
2018 Måsøy;2018;Måsøy;229;25;204;176;19;157;53;6;47;28,6;17,7;31;27,5;15,6;30,4;32,9;31,6;33,1
2019 Nordkapp;2019;Nordkapp;544;51;493;449;42;407;95;9;86;24,9;12,2;28;23,9;11;27,1;31,7;24,3;32,7
2020 Porsanger;2020;Porsanger Porsángu Porsanki;613;59;554;536;44;492;77;15;62;22,6;11,4;25,3;21,6;9,4;24,4;33,6;30;34,6
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;314;58;256;291;54;237;23;4;19;17;14,2;17,8;16,9;13,5;18;17,3;44,4;15,3
2022 Lebesby;2022;Lebesby;235;14;221;206;12;194;29; : ; : ;26,7;9,1;30,4;27,2;8,3;31,8;23,2; : ; : 
2023 Gamvik;2023;Gamvik;199;19;180;146;13;133;53;6;47;25,8;13,6;28,6;25,5;10,8;29,4;26,8;30;26,4
2024 Berlevåg;2024;Berlevåg;142;17;125;120;11;109;22;6;16;20,3;12,1;22,3;20,1;8,8;23,1;21;37,5;18
2025 Deatnu Tana;2025;Deatnu Tana;385;47;338;328;39;289;57;8;49;20,3;13,8;21,7;19,5;12,1;21,3;25,7;42,1;24,1
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;114;8;106;103;8;95;11;0;11;19,4;7,8;21,9;19,8;8,4;22,4;16,2;0;18,3
2028 Båtsfjord;2028;Båtsfjord;355;40;315;266;25;241;89;15;74;23,2;13,8;25,3;23,9;11,2;27,1;21,2;22,4;21
2030 Sør-Varanger;2030;Sør-Varanger;1229;163;1066;953;119;834;276;44;232;17,9;11,2;19,6;16,6;9,3;18,7;24,2;25,9;23,9
