Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0513 Skjåk;513;Skjåk;119;60;34;25;0;77;49;19;9;0;42;11;15;16;0
0514 Lom;514;Lom;81;25;36;20;0;41;17;19;5;0;40;8;17;15;0
0515 Vågå;515;Vågå;129;30;62;37;0;50;21;23;6;0;79;9;39;31;0
0516 Nord-Fron;516;Nord-Fron;264;87;90;79;8;142;65;50;24;3;122;22;40;55;5
0517 Sel;517;Sel;294;78;151;62;3;168;49;92;24;3;126;29;59;38;0
0519 Sør-Fron;519;Sør-Fron;169;83;31;55;0;100;67;15;18;0;69;16;16;37;0
0520 Ringebu;520;Ringebu;343;164;87;89;3;205;126;56;23;0;138;38;31;66;3
0521 Øyer;521;Øyer;418;179;173;62;4;240;134;89;13;4;178;45;84;49;0
0522 Gausdal;522;Gausdal;250;102;67;78;3;145;79;37;29;0;105;23;30;49;3
0528 Østre Toten;528;Østre Toten;859;347;290;216;6;464;249;143;69;3;395;98;147;147;3
0529 Vestre Toten;529;Vestre Toten;705;172;308;222;3;363;133;164;66;0;342;39;144;156;3
0532 Jevnaker;532;Jevnaker;341;128;93;120;0;185;93;47;45;0;156;35;46;75;0
0533 Lunner;533;Lunner;547;133;254;157;3;277;92;135;47;3;270;41;119;110;0
0534 Gran;534;Gran;850;258;399;184;9;466;195;216;51;4;384;63;183;133;5
0536 Søndre Land;536;Søndre Land;295;69;133;90;3;163;55;82;26;0;132;14;51;64;3
0538 Nordre Land;538;Nordre Land;281;85;101;92;3;152;69;59;24;0;129;16;42;68;3
0540 Sør-Aurdal;540;Sør-Aurdal;154;50;54;43;7;87;35;35;14;3;67;15;19;29;4
0541 Etnedal;541;Etnedal;148;34;98;16;0;109;22;79;8;0;39;12;19;8;0
0542 Nord-Aurdal;542;Nord-Aurdal;448;187;107;151;3;241;129;52;60;0;207;58;55;91;3
0543 Vestre Slidre;543;Vestre Slidre;121;40;44;34;3;72;29;26;14;3;49;11;18;20;0
0544 Øystre Slidre;544;Øystre Slidre;169;95;28;46;0;86;63;11;12;0;83;32;17;34;0
0545 Vang;545;Vang;179;71;58;47;3;112;52;46;14;0;67;19;12;33;3
0602 Drammen;602;Drammen;10 066;2443;4621;2934;68;5332;1875;2375;1052;30;4734;568;2246;1882;38
0604 Kongsberg;604;Kongsberg;2 636;878;824;915;19;1370;639;459;268;4;1266;239;365;647;15
0605 Ringerike;605;Ringerike;2 365;722;833;799;11;1233;530;442;256;5;1132;192;391;543;6
0612 Hole;612;Hole;622;349;108;162;3;362;260;54;48;0;260;89;54;114;3
0615 Flå;615;Flå;71;39;0;32;0;37;24;0;13;0;34;15;0;19;0
0616 Nes;616;Nes (Busk.);309;100;118;88;3;162;66;66;27;3;147;34;52;61;0
0617 Gol;617;Gol;549;234;156;153;6;280;159;79;39;3;269;75;77;114;3
0618 Hemsedal;618;Hemsedal;270;142;73;55;0;156;97;40;19;0;114;45;33;36;0
0619 Ål;619;Ål;343;126;106;111;0;190;92;62;36;0;153;34;44;75;0
0620 Hol;620;Hol;421;220;76;121;4;249;156;45;48;0;172;64;31;73;4
0621 Sigdal;621;Sigdal;172;84;12;76;0;84;59;8;17;0;88;25;4;59;0
0622 Krødsherad;622;Krødsherad;195;137;13;45;0;113;90;6;17;0;82;47;7;28;0
0623 Modum;623;Modum;919;276;333;307;3;488;228;176;84;0;431;48;157;223;3
0624 Øvre Eiker;624;Øvre Eiker;1 559;641;439;465;14;878;515;229;127;7;681;126;210;338;7
0625 Nedre Eiker;625;Nedre Eiker;2 602;712;1031;846;13;1373;571;517;277;8;1229;141;514;569;5
0626 Lier;626;Lier;2 928;1105;969;825;29;1687;856;537;280;14;1241;249;432;545;15
