Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_2.1;vreg_2.2;vreg_5.europa;vreg_5.asia;vreg_5.afrika;vreg_5.nord_amerika_oseania;vreg_5.sor_og_mellom_amerika;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0819 Nome;819;Nome;316;331;160;145;156;186;364;142;119;11;11;61;115;129;59;11;142;119;11
0821 Bõ (Telemark);821;Bõ (Telem.);294;288;152;133;142;155;330;152;70;12;18;94;61;127;48;12;152;70;18
0822 Sauherad;822;Sauherad;201;191;115;83;86;108;225;96;60;6;5;42;50;103;30;6;96;60;5
0826 Tinn;826;Tinn;281;311;149;145;132;166;314;160;104;6;8;105;55;115;39;6;160;104;8
0827 Hjartdal;827;Hjartdal;56;15;29;5;27;10;56;6;7;3;0;6;24;23;3;3;6;7;0
0828 Seljord;828;Seljord;147;70;77;27;70;43;148;15;40;7;7;24;57;59;8;7;15;40;7
0829 Kviteseid;829;Kviteseid;146;38;70;13;76;25;156;17;4;6;0;29;46;65;16;6;17;4;0
0830 Nissedal;830;Nissedal;94;14;50;3;44;11;97;10;0;0;0;14;53;27;3;0;10;0;0
0831 Fyresdal;831;Fyresdal;99;28;50;13;49;15;103;11;10;0;3;14;66;18;5;0;11;10;3
0833 Tokke;833;Tokke;89;41;40;18;49;23;98;3;15;3;12;18;36;33;11;3;3;15;12
0834 Vinje;834;Vinje;196;84;107;35;89;49;213;8;52;4;3;44;38;110;21;4;8;52;3
0901 Risõr;901;Risõr;326;281;186;120;140;161;374;138;73;9;13;76;92;149;57;9;138;73;13
0904 Grimstad;904;Grimstad;1269;1024;705;491;564;533;1351;584;236;75;47;289;295;611;156;75;584;236;47
0906 Arendal;906;Arendal;2439;2242;1358;1026;1081;1216;2772;1217;459;130;102;496;494;1320;462;130;1217;459;102
0911 Gjerstad;911;Gjerstad;76;107;41;56;35;51;110;30;39;0;3;13;28;34;35;0;30;39;3
0912 VegÜrshei;912;VegÜrshei;57;69;29;32;28;37;73;45;5;3;0;8;28;18;19;3;45;5;0
