Kommune nr & navn;kommune_nr;"Kommune
navn";kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0722 Nøtterøy;722;Nøtterøy;995;581;414;522;331;191;473;250;223;67,6;77,1;57,7;74;81,3;64,1;61,7;72;53,2
0723 Tjøme;723;Tjøme;239;183;56;120;99;21;119;84;35;70,1;78,9;51,4;73,6;79,2;55,3;66,9;78,5;49,3
0728 Lardal;728;Lardal;82;66;16;51;43;8;31;23;8;70,7;82,5;44,4;83,6;87,8;66,7;56,4;74,2;33,3
0805 Porsgrunn;805;Porsgrunn;1601;732;869;901;484;417;700;248;452;59,6;69,8;53,1;62,6;72,6;54;56,2;65,1;52,3
0806 Skien;806;Skien;2811;1227;1584;1481;744;737;1330;483;847;58,8;73,7;50,9;61,2;76,4;50,9;56,4;69,9;50,8
0807 Notodden;807;Notodden;492;282;210;275;177;98;217;105;112;60,1;69,1;51,2;62,8;70,2;52,7;57,1;67,3;50
0811 Siljan;811;Siljan;51;21;30;17;9;8;34;12;22;57,3;65,6;52,6;56,7;64,3;50;57,6;66,7;53,7
0814 Bamble;814;Bamble;383;222;161;204;128;76;179;94;85;55,8;72,3;42,5;60,2;73,1;46,3;51,6;71,2;39,5
0815 Kragerø;815;Kragerø;408;259;149;217;162;55;191;97;94;61,1;74,9;46,3;64;77,5;42,3;58,1;70,8;49
0817 Drangedal;817;Drangedal;138;107;31;64;57;7;74;50;24;65,4;78,7;41,3;71,9;85,1;31,8;60,7;72,5;45,3
0819 Nome;819;Nome;277;171;106;129;90;39;148;81;67;61,3;78,8;45,1;63,9;83,3;41,5;59,2;74,3;47,5
0821 Bø (Telemark);821;Bø (Telem.);237;131;106;108;67;41;129;64;65;47,4;49,8;44,7;44,3;48,6;38,7;50,4;51,2;49,6
0822 Sauherad;822;Sauherad;188;120;68;104;70;34;84;50;34;66,2;77,4;52,7;70,7;77,8;59,6;61,3;76,9;47,2
0826 Tinn;826;Tinn;302;174;128;156;96;60;146;78;68;65,8;78,7;53,8;66,4;80;52,2;65,2;77,2;55,3
0827 Hjartdal;827;Hjartdal;25; : ; : ;13; : ; : ;12; : ; : ;49; : ; : ;52; : ; : ;46,2; : ; : 
0828 Seljord;828;Seljord;119;98;21;66;60;6;53;38;15;70,8;83,1;42;76,7;88,2;33,3;64,6;76;46,9
