Kommune nr & navn;kommune_nr;"Kommune
navn";kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.0;kjonn.0;kjonn.1;kjonn.1;kjonn.1
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1849 Hamarøy;1849;Hamarøy;111;65;46;60;38;22;51;27;24;73,5;74,7;71,9;76,9;74,5;81,5;69,9;75;64,9
1850 Tysfjord;1850;Tysfjord;72;57;15;38;34;4;34;23;11;70,6;82,6;45,5;76;82,9;44,4;65,4;82,1;45,8
1851 Lødingen;1851;Lødingen;104;57;47;46;32;14;58;25;33;48,6;77;33,6;42,6;82,1;20,3;54,7;71,4;46,5
1852 Tjeldsund;1852;Tjeldsund;26;12;14;7; : ; : ;19;6;13;66,7;75;60,9;63,6; : ; : ;67,9;66,7;68,4
1853 Evenes;1853;Evenes;40;30;10;22; : ; : ;18;11;7;53,3;73,2;29,4;61,1; : ; : ;46,2;61,1;33,3
1854 Ballangen;1854;Ballangen;71;43;28;28;20;8;43;23;20;60,2;76,8;45,2;66,7;83,3;44,4;56,6;71,9;45,5
1856 Røst;1856;Røst;20;9;11;9; : ; : ;11; : ; : ;66,7;50;91,7;69,2; : ; : ;64,7; : ; : 
1857 Værøy;1857;Værøy;79;68;11;42;38;4;37;30;7;83,2;84;78,6;87,5;88,4;80;78,7;78,9;77,8
1859 Flakstad;1859;Flakstad;44;33;11;21; : ; : ;23;15;8;67,7;66;73,3;65,6; : ; : ;69,7;68,2;72,7
1860 Vestvågøy;1860;Vestvågøy;376;201;175;178;92;86;198;109;89;62;75,8;51,3;62;72,4;53,8;62,1;79;49,2
1865 Vågan;1865;Vågan;508;333;175;273;198;75;235;135;100;65,5;76,6;51,5;65,3;75;48,7;65,8;78,9;53,8
1866 Hadsel;1866;Hadsel;344;161;183;190;103;87;154;58;96;64,4;80,9;54,6;68,6;83,7;56,5;59,9;76,3;53
1867 Bø (Nordl.);1867;Bø (Nordl.);72;47;25;35;28;7;37;19;18;56,7;68,1;43,1;61,4;70;41,2;52,9;65,5;43,9
1868 Øksnes;1868;Øksnes;226;175;51;115;95;20;111;80;31;64,2;67;56;71;73,1;62,5;58,4;61,1;52,5
1870 Sortland;1870;Sortland;331;163;168;176;101;75;155;62;93;66,6;80,3;57,1;73,3;86,3;61;60,3;72,1;54,4
1871 Andøy;1871;Andøy;176;111;65;80;61;19;96;50;46;61,3;71,6;49,2;58,4;70,9;37,3;64;72,5;56,8
1874 Moskenes;1874;Moskenes;108;103;5;72;72;0;36;31;5;79,4;81,1;55,6;85,7;86,7;0;69,2;70,5;62,5
1902 Tromsø;1902;Tromsø;4571;2713;1858;2455;1549;906;2116;1164;952;70,9;76,5;64;72,9;78;65,5;68,7;74,5;62,6
1903 Harstad;1903;Harstad;950;446;504;513;272;241;437;174;263;63,2;77;54,6;68;79,3;58,6;58,4;73,7;51,4
1911 Kvæfjord;1911;Kvæfjord;106;47;59;56;27;29;50;20;30;49,3;73,4;39,1;50;79,4;37,2;48,5;66,7;41,1
1913 Skånland;1913;Skånland;103;68;35;60;49;11;43;19;24;62,4;70,1;51,5;63,2;71;42,3;61,4;67,9;57,1
1917 Ibestad;1917;Ibestad;60;44;16;35;25;10;25;19;6;78,9;86,3;64;81,4;89,3;66,7;75,8;82,6;60
1919 Gratangen;1919;Gratangen;86;75;11;46;42;4;40;33;7;81,1;89,3;50;79,3;85,7;44,4;83,3;94,3;53,8
1920 Lavangen;1920;Lavangen;19;11;8;7; : ; : ;12;5;7;73,1;64,7;88,9;70; : ; : ;75;55,6;100
1922 Bardu;1922;Bardu;117;54;63;54;24;30;63;30;33;57,1;69,2;49,6;56,8;61,5;53,6;57,3;76,9;46,5
1923 Salangen;1923;Salangen;72;32;40;38;18;20;34;14;20;55,4;82,1;44;69,1;90;57,1;45,3;73,7;35,7
1924 Målselv;1924;Målselv;188;133;55;102;86;16;86;47;39;64,6;84,2;41,4;73,4;86;41;56,6;81;41,5
1925 Sørreisa;1925;Sørreisa;127;86;41;57;49;8;70;37;33;74,3;78,9;66,1;72,2;77,8;50;76,1;80,4;71,7
1926 Dyrøy;1926;Dyrøy;24;13;11;5; : ; : ;19;9;10;66,7;65;68,8;55,6; : ; : ;70,4;69,2;71,4
1927 Tranøy;1927;Tranøy;49;24;25;18;11;7;31;13;18;65,3;75;58,1;72;68,8;77,8;62;81,3;52,9
1928 Torsken;1928;Torsken;52;45;7;25; : ; : ;27;21;6;78,8;78,9;77,8;89,3; : ; : ;71,1;70;75
1929 Berg;1929;Berg;70;48;22;37;24;13;33;24;9;72,9;81,4;59,5;75,5;80;68,4;70,2;82,8;50
1931 Lenvik;1931;Lenvik;397;215;182;199;118;81;198;97;101;66,5;76,2;57,8;67,9;75,6;59,1;65,1;77;56,7
1933 Balsfjord;1933;Balsfjord;170;120;50;79;70;9;91;50;41;71,7;70,2;75,8;72,5;70,7;90;71,1;69,4;73,2
1936 Karlsøy;1936;Karlsøy;130;96;34;60;52;8;70;44;26;73,4;73,8;72,3;71,4;72,2;66,7;75,3;75,9;74,3
1938 Lyngen;1938;Lyngen;82;59;23;45;37;8;37;22;15;75,9;79,7;67,6;76,3;75,5;80;75,5;88;62,5
1939 Storfjord;1939;Storfjord;55;40;15;16; : ; : ;39;27;12;47;67,8;25,9;32; : ; : ;58,2;69,2;42,9
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;55;41;14;23; : ; : ;32;20;12;52,9;80,4;26,4;46,9; : ; : ;58,2;83,3;38,7
1941 Skjervøy;1941;Skjervøy;142;104;38;78;57;21;64;47;17;77,2;81,3;67,9;78,8;80,3;75;75,3;82,5;60,7
1942 Nordreisa;1942;Nordreisa;107;63;44;47;33;14;60;30;30;60,5;75;47,3;58;68,8;42,4;62,5;83,3;50
1943 Kvænangen;1943;Kvænangen;31;24;7;13; : ; : ;18;12;6;75,6;80;63,6;81,3; : ; : ;72;75;66,7
2002 Vardø;2002;Vardø;145;106;39;86;68;18;59;38;21;68,7;69,7;66,1;73,5;74,7;69,2;62,8;62,3;63,6
2003 Vadsø;2003;Vadsø;355;132;223;173;67;106;182;65;117;51;78,6;42,2;46;76,1;36,8;56,9;81,3;48,8
2004 Hammerfest;2004;Hammerfest;957;518;439;554;321;233;403;197;206;77,2;78,6;75,6;80,3;79,1;82;73,3;77,9;69,4
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;91;76;15;38;32;6;53;44;9;67,9;71,7;53,6;73,1;71,1;85,7;64,6;72,1;42,9
2012 Alta;2012;Alta;921;515;406;482;322;160;439;193;246;69,9;79,4;60,8;72;78,3;62;67,7;81,1;60
2014 Loppa;2014;Loppa;57;39;18;34;28;6;23;11;12;68,7;65;78,3;68;63,6;100;69,7;68,8;70,6
2015 Hasvik;2015;Hasvik;125;108;17;74;68;6;51;40;11;79,1;80,6;70,8;79,6;79,1;85,7;78,5;83,3;64,7
2017 Kvalsund;2017;Kvalsund;42;30;12;13;13;0;29;17;12;76,4;71,4;92,3;72,2;76,5;0;78,4;68;100
2018 Måsøy;2018;Måsøy;102;76;26;61;50;11;41;26;15;65,8;64,4;70,3;68,5;66,7;78,6;62,1;60,5;65,2
2019 Nordkapp;2019;Nordkapp;188;120;68;87;63;24;101;57;44;66;65,9;66;71,9;67,7;85,7;61,6;64;58,7
2020 Porsanger;2020;Porsanger Porsángu Porsanki;138;71;67;54;34;20;84;37;47;63,6;69,6;58,3;65,1;75,6;52,6;62,7;64,9;61
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;104;69;35;30; : ; : ;74;42;32;80,6;78,4;85,4;71,4; : ; : ;85,1;80,8;91,4
2022 Lebesby;2022;Lebesby;95;62;33;33;26;7;62;36;26;76,6;74,7;80,5;73,3;72,2;77,8;78,5;76,6;81,3
2023 Gamvik;2023;Gamvik;141;108;33;80;68;12;61;40;21;71,9;70,1;78,6;69,6;68;80;75,3;74,1;77,8
2024 Berlevåg;2024;Berlevåg;82;66;16;42;36;6;40;30;10;80,4;79,5;84,2;82,4;81,8;85,7;78,4;76,9;83,3
2025 Deatnu Tana;2025;Deatnu Tana;159;106;53;68;63;5;91;43;48;73,6;71,6;77,9;68;69,2;55,6;78,4;75,4;81,4
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;53;31;22;25;20;5;28;11;17;81,5;86,1;75,9;92,6;95,2;83,3;73,7;73,3;73,9
2028 Båtsfjord;2028;Båtsfjord;313;238;75;152;121;31;161;117;44;77,3;80,7;68,2;80,4;82,9;72,1;74,5;78,5;65,7
2030 Sør-Varanger;2030;Sør-Varanger;823;388;435;380;223;157;443;165;278;74,8;74,9;74,7;76;76,4;75,5;73,8;73;74,3
