Kommune nr & navn;kommune_nr;"Kommune
navn";botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0515 Vågå;515;Vågå;65;37;28;23;15;8;42;22;20;58,6;72,5;46,7;40,4;65,2;23,5;77,8;78,6;76,9
0516 Nord-Fron;516;Nord-Fron;154;115;39;76;66;10;78;49;29;66,4;85,2;40,2;65;85,7;25;67,8;84,5;50,9
0517 Sel;517;Sel;121;73;48;57;44;13;64;29;35;49,4;76;32,2;37,3;72,1;14,1;69,6;82,9;61,4
0519 Sør-Fron;519;Sør-Fron;119;97;22;56;51;5;63;46;17;71,3;76,4;55;70,9;72,9;55,6;71,6;80,7;54,8
0520 Ringebu;520;Ringebu;202;171;31;88;76;12;114;95;19;66,4;78,1;36,5;61,1;80,9;24;71,3;76;54,3
0521 Øyer;521;Øyer;277;194;83;129;106;23;148;88;60;64,6;69,8;55;54,2;61,6;34,8;77,5;83;70,6
0522 Gausdal;522;Gausdal;182;129;53;75;63;12;107;66;41;71,4;75,4;63,1;65,2;69,2;50;76,4;82,5;68,3
0528 Østre Toten;528;Østre Toten;540;388;152;242;208;34;298;180;118;65,7;75,8;49;59,5;73,5;27,4;71,8;78,6;63,4
0529 Vestre Toten;529;Vestre Toten;407;229;178;146;113;33;261;116;145;63,6;80,6;50;52,3;76,4;25,2;72,3;85,3;64,4
0532 Jevnaker;532;Jevnaker;265;179;86;79;61;18;186;118;68;71;77,5;60,6;62,2;73,5;40,9;75,6;79,7;69,4
