Kommune nr & navn;kommune_nr;"Kommune
navn";botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+;botid_3.alle;botid_3.alle;botid_3.alle;botid_3.0-4;botid_3.0-4;botid_3.0-4;botid_3.5+;botid_3.5+;botid_3.5+
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.1;vreg_3.2
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1828 Nesna;1828;Nesna;95;55;40;45;28;17;50;27;23;46,8;80,9;29,6;33,3;80;17;73,5;81,8;65,7
1832 Hemnes;1832;Hemnes;113;66;47;41;22;19;72;44;28;66,5;79,5;54;59,4;81,5;45,2;71,3;78,6;62,2
1833 Rana;1833;Rana;715;403;312;312;203;109;403;200;203;64,4;75,8;54;55,5;74,4;37,7;73,5;77,2;70,2
1834 Lurøy;1834;Lurøy;72;57;15;44;36;8;28;21;7;82,8;85,1;75;78,6;83,7;61,5;90,3;87,5;100
1835 Træna;1835;Træna;67;54;13;48;41;7;19;13;6;89,3;91,5;81,3;92,3;91,1;100;82,6;92,9;66,7
1836 Rødøy;1836;Rødøy;39;23;16;25;15;10;14;8;6;81,3;76,7;88,9;78,1;75;83,3;87,5;80;100
1837 Meløy;1837;Meløy;205;125;80;106;75;31;99;50;49;68,6;72,7;63;62,7;70,1;50;76,2;76,9;75,4
1838 Gildeskål;1838;Gildeskål;110;74;36;70;48;22;40;26;14;73,3;85,1;57,1;72,2;90,6;50;75,5;76,5;73,7
1839 Beiarn;1839;Beiarn;17;11;6;7;7;0;10;4;6;58,6;64,7;50;41,2;58,3;0;83,3;80;85,7
1840 Saltdal;1840;Saltdal;137;73;64;57;33;24;80;40;40;51,3;79,3;36,6;35;76,7;20;76,9;81,6;72,7
1841 Fauske;1841;Fauske;248;152;96;98;68;30;150;84;66;66,1;79,2;52,5;59,8;82,9;36,6;71,1;76,4;65,3
1845 Sørfold;1845;Sørfold;54;41;13;34;27;7;20;14;6;75;82;59,1;75,6;81,8;58,3;74,1;82,4;60
1848 Steigen;1848;Steigen;83;63;20;37;30;7;46;33;13;57,6;65,6;41,7;50;63,8;25,9;65,7;67,3;61,9
1849 Hamarøy;1849;Hamarøy;111;65;46;51;27;24;60;38;22;73,5;74,7;71,9;67,1;67,5;66,7;80;80,9;78,6
1850 Tysfjord;1850;Tysfjord;72;57;15;49;42;7;23;15;8;70,6;82,6;45,5;69;84;33,3;74,2;78,9;66,7
1851 Lødingen;1851;Lødingen;104;57;47;53;35;18;51;22;29;48,6;77;33,6;36,3;85,4;17,1;75;66,7;82,9
1852 Tjeldsund;1852;Tjeldsund;26;12;14;14;7;7;12;5;7;66,7;75;60,9;66,7;70;63,6;66,7;83,3;58,3
1853 Evenes;1853;Evenes;40;30;10;23;18;5;17;12;5;53,3;73,2;29,4;47,9;72;21,7;63;75;45,5
1854 Ballangen;1854;Ballangen;71;43;28;31;17;14;40;26;14;60,2;76,8;45,2;53,4;70,8;41,2;66,7;81,3;50
1856 Røst;1856;Røst;20;9;11;10;6;4;10; : ; : ;66,7;50;91,7;62,5; : ; : ;71,4; : ; : 
1857 Værøy;1857;Værøy;79;68;11;43; : ; : ;36;27;9;83,2;84;78,6;84,3; : ; : ;81,8;81,8;81,8
1859 Flakstad;1859;Flakstad;44;33;11;15; : ; : ;29;20;9;67,7;66;73,3;57,7; : ; : ;74,4;74,1;75
1860 Vestvågøy;1860;Vestvågøy;376;201;175;172;102;70;204;99;105;62;75,8;51,3;52,9;77,9;36,1;72,6;73,9;71,4
1865 Vågan;1865;Vågan;508;333;175;249;192;57;259;141;118;65,5;76,6;51,5;57,2;74,7;32;76,2;79,2;72,8
1866 Hadsel;1866;Hadsel;344;161;183;136;92;44;208;69;139;64,4;80,9;54,6;51,9;79,3;30,1;76,5;83,1;73,5
1867 Bø (Nordl.);1867;Bø (Nordl.);72;47;25;36;29;7;36;18;18;56,7;68,1;43,1;50,7;65,9;25,9;64,3;72;58,1
1868 Øksnes;1868;Øksnes;226;175;51;140;123;17;86;52;34;64,2;67;56;61,9;65,4;44,7;68,3;71,2;64,2
1870 Sortland;1870;Sortland;331;163;168;157;103;54;174;60;114;66,6;80,3;57,1;60,4;79,2;41,5;73,4;82,2;69,5
1871 Andøy;1871;Andøy;176;111;65;82;50;32;94;61;33;61,3;71,6;49,2;51,9;65,8;39;72,9;77,2;66
1874 Moskenes;1874;Moskenes;108;103;5;74; : ; : ;34; : ; : ;79,4;81,1;55,6;80,4; : ; : ;77,3; : ; : 
1902 Tromsø;1902;Tromsø;4571;2713;1858;1948;1320;628;2623;1393;1230;70,9;76,5;64;63,5;72,1;50,8;77,5;81,1;73,8
1903 Harstad;1903;Harstad;950;446;504;371;200;171;579;246;333;63,2;77;54,6;51,5;76,3;37,3;74,1;77,6;71,8
1911 Kvæfjord;1911;Kvæfjord;106;47;59;44;21;23;62;26;36;49,3;73,4;39,1;34,9;70;24;69,7;76,5;65,5
1913 Skånland;1913;Skånland;103;68;35;48;40;8;55;28;27;62,4;70,1;51,5;55,8;72,7;25,8;69,6;66,7;73
1917 Ibestad;1917;Ibestad;60;44;16;27;22;5;33;22;11;78,9;86,3;64;81,8;91,7;55,6;76,7;81,5;68,8
1919 Gratangen;1919;Gratangen;86;75;11;50;44;6;36;31;5;81,1;89,3;50;75,8;88;37,5;90;91,2;83,3
1920 Lavangen;1920;Lavangen;19;11;8;8; : ; : ;11;6;5;73,1;64,7;88,9;72,7; : ; : ;73,3;66,7;83,3
1922 Bardu;1922;Bardu;117;54;63;38;19;19;79;35;44;57,1;69,2;49,6;35,8;63,3;25;79,8;72,9;86,3
1923 Salangen;1923;Salangen;72;32;40;39;24;15;33;8;25;55,4;82,1;44;44,8;82,8;25,9;76,7;80;75,8
1924 Målselv;1924;Målselv;188;133;55;110;86;24;78;47;31;64,6;84,2;41,4;57;84,3;26,4;79,6;83,9;73,8
1925 Sørreisa;1925;Sørreisa;127;86;41;49;40;9;78;46;32;74,3;78,9;66,1;68,1;78,4;42,9;78,8;79,3;78
1926 Dyrøy;1926;Dyrøy;24;13;11;9;4;5;15;9;6;66,7;65;68,8;75;66,7;83,3;62,5;64,3;60
1927 Tranøy;1927;Tranøy;49;24;25;21;9;12;28;15;13;65,3;75;58,1;55,3;81,8;44,4;75,7;71,4;81,3
1928 Torsken;1928;Torsken;52;45;7;32; : ; : ;20;14;6;78,8;78,9;77,8;80; : ; : ;76,9;73,7;85,7
1929 Berg;1929;Berg;70;48;22;57;42;15;13;6;7;72,9;81,4;59,5;70,4;80,8;51,7;86,7;85,7;87,5
1931 Lenvik;1931;Lenvik;397;215;182;203;130;73;194;85;109;66,5;76,2;57,8;59,2;80,7;40,1;76,4;70,2;82
1933 Balsfjord;1933;Balsfjord;170;120;50;78;61;17;92;59;33;71,7;70,2;75,8;72,2;70,1;81;71,3;70,2;73,3
1936 Karlsøy;1936;Karlsøy;130;96;34;64;56;8;66;40;26;73,4;73,8;72,3;71,1;72,7;61,5;75,9;75,5;76,5
1938 Lyngen;1938;Lyngen;82;59;23;40; : ; : ;42;22;20;75,9;79,7;67,6;75,5; : ; : ;76,4;84,6;69
1939 Storfjord;1939;Storfjord;55;40;15;15;7;8;40;33;7;47;67,8;25,9;25,9;63,6;17;67,8;68,8;63,6
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;55;41;14;23; : ; : ;32;20;12;52,9;80,4;26,4;37,7; : ; : ;74,4;87;60
1941 Skjervøy;1941;Skjervøy;142;104;38;91;77;14;51;27;24;77,2;81,3;67,9;86,7;90,6;70;64,6;62,8;66,7
1942 Nordreisa;1942;Nordreisa;107;63;44;60;35;25;47;28;19;60,5;75;47,3;55;70;42,4;69,1;82,4;55,9
1943 Kvænangen;1943;Kvænangen;31;24;7;15; : ; : ;16;11;5;75,6;80;63,6;78,9; : ; : ;72,7;73,3;71,4
2002 Vardø;2002;Vardø;145;106;39;86;69;17;59;37;22;68,7;69,7;66,1;80,4;79,3;85;56,7;56,9;56,4
2003 Vadsø;2003;Vadsø;355;132;223;117;39;78;238;93;145;51;78,6;42,2;31,7;76,5;24,5;72,8;79,5;69
2004 Hammerfest;2004;Hammerfest;957;518;439;502;324;178;455;194;261;77,2;78,6;75,6;76,3;77,7;73,9;78,2;80,2;76,8
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;91;76;15;28;19;9;63;57;6;67,9;71,7;53,6;60,9;73,1;45;71,6;71,3;75
2012 Alta;2012;Alta;921;515;406;407;261;146;514;254;260;69,9;79,4;60,8;61,9;76,8;45,9;78;82,2;74,3
2014 Loppa;2014;Loppa;57;39;18;37;25;12;20;14;6;68,7;65;78,3;67,3;61;85,7;71,4;73,7;66,7
2015 Hasvik;2015;Hasvik;125;108;17;78;71;7;47;37;10;79,1;80,6;70,8;77,2;78,9;63,6;82,5;84,1;76,9
2017 Kvalsund;2017;Kvalsund;42;30;12;23; : ; : ;19;10;9;76,4;71,4;92,3;76,7; : ; : ;76;66,7;90
2018 Måsøy;2018;Måsøy;102;76;26;48;39;9;54;37;17;65,8;64,4;70,3;60;58,2;69,2;72;72,5;70,8
2019 Nordkapp;2019;Nordkapp;188;120;68;107;77;30;81;43;38;66;65,9;66;62,9;64,2;60;70,4;69,4;71,7
2020 Porsanger;2020;Porsanger Porsángu Porsanki;138;71;67;63;35;28;75;36;39;63,6;69,6;58,3;63,6;77,8;51,9;63,6;63,2;63,9
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;104;69;35;25;16;9;79;53;26;80,6;78,4;85,4;80,6;84,2;75;80,6;76,8;89,7
2022 Lebesby;2022;Lebesby;95;62;33;45;35;10;50;27;23;76,6;74,7;80,5;78,9;79,5;76,9;74,6;69,2;82,1
2023 Gamvik;2023;Gamvik;141;108;33;106;83;23;35;25;10;71,9;70,1;78,6;70,7;68;82,1;76,1;78,1;71,4
2024 Berlevåg;2024;Berlevåg;82;66;16;53;48;5;29;18;11;80,4;79,5;84,2;77,9;78,7;71,4;85,3;81,8;91,7
2025 Deatnu Tana;2025;Deatnu Tana;159;106;53;54;44;10;105;62;43;73,6;71,6;77,9;67,5;69,8;58,8;77,2;72,9;84,3
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;53;31;22;21;14;7;32;17;15;81,5;86,1;75,9;87,5;93,3;77,8;78;81;75
2028 Båtsfjord;2028;Båtsfjord;313;238;75;172;160;12;141;78;63;77,3;80,7;68,2;76,8;82,5;40;77,9;77,2;78,8
2030 Sør-Varanger;2030;Sør-Varanger;823;388;435;375;237;138;448;151;297;74,8;74,9;74,7;68,9;75,7;59,7;80,6;73,7;84,6
