Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika;vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1867 Bø (Nordl.);1867;Bø (Nordl.);72;8;7;30;5; : ;15; : ;0;56,7;61,5;53,8;75;41,7; : ;53,6; : ;.
1868 Øksnes;1868;Øksnes;226;25;23;124;14; : ;29;7; : ;64,2;54,3;79,3;67,8;56; : ;67,4;31,8; : 
1870 Sortland;1870;Sortland;331;38;21;102;35; : ;88;24; : ;66,6;82,6;84;78,5;76,1; : ;59,9;31,2; : 
1871 Andøy;1871;Andøy;176;31;24;55;16; : ;29;16; : ;61,3;73,8;70,6;73,3;61,5; : ;61,7;30,2; : 
1874 Moskenes;1874;Moskenes;108;9; : ;92;0;0; : ;0; : ;79,4;81,8; : ;86;.;.; : ;.; : 
1902 Tromsø;1902;Tromsø;4571;887;703;1019;434;106;782;517;123;70,9;81,1;73,2;75,8;70,6;70,2;66,8;54,5;73,2
1903 Harstad;1903;Harstad;950;104;143;181;78;18;285;101;40;63,2;77,6;79;75,1;65;78,3;59,4;37,3;76,9
1911 Kvæfjord;1911;Kvæfjord;106;8;22;17; : ;0;33;17; : ;49,3;66,7;84,6;65,4; : ;.;52,4;22,1; : 
1913 Skånland;1913;Skånland;103;6;11;50;21; : ;9; : ; : ;62,4;60;64,7;73,5;77,8; : ;47,4; : ; : 
1917 Ibestad;1917;Ibestad;60; : ;18;24; : ;0;8;4;0;78,9; : ;78,3;96; : ;.;57,1;80;.
1919 Gratangen;1919;Gratangen;86;16;12;46; : ; : ;6; : ;0;81,1;88,9;85,7;90,2; : ; : ;75; : ;.
1920 Lavangen;1920;Lavangen;19;4; : ;4; : ;0;5;0; : ;73,1;80; : ;50; : ;.;83,3;.; : 
1922 Bardu;1922;Bardu;117;19;19;16;21;0;22;16; : ;57,1;79,2;61,3;72,7;87,5;.;55;28,1; : 
1923 Salangen;1923;Salangen;72;8;8;16;10;0;22;6; : ;55,4;100;80;76,2;71,4;.;66,7;14,3; : 
1924 Målselv;1924;Målselv;188;35;15;81;12; : ;31;10; : ;64,6;87,5;78,9;83,5;54,5; : ;68,9;15,6; : 
1925 Sørreisa;1925;Sørreisa;127;15;30;36;11;5;25; : ; : ;74,3;75;85,7;73,5;64,7;100;80,6; : ; : 
1926 Dyrøy;1926;Dyrøy;24;0;6;7; : ;0;6;0; : ;66,7;.;100;77,8; : ;.;75;.; : 
1927 Tranøy;1927;Tranøy;49;9;9; : ;5; : ;15;5;0;65,3;75;64,3; : ;83,3; : ;88,2;26,3;.
1928 Torsken;1928;Torsken;52;13; : ;28; : ; : ;5;0;0;78,8;76,5; : ;77,8; : ; : ;71,4;.;.
1929 Berg;1929;Berg;70;10; : ;37; : ;0; : ;14; : ;72,9;100; : ;78,7; : ;.; : ;51,9; : 
1931 Lenvik;1931;Lenvik;397;49;36;127;41; : ;68;63; : ;66,5;81,7;63,2;78,4;91,1; : ;56,7;46,7; : 
1933 Balsfjord;1933;Balsfjord;170;26;30;62;22; : ;25; : ; : ;71,7;76,5;69,8;69,7;84,6; : ;69,4; : ; : 
1936 Karlsøy;1936;Karlsøy;130;14;5;76;6; : ;19;8; : ;73,4;70;50;76,8;75; : ;76;66,7; : 
1938 Lyngen;1938;Lyngen;82;18;10;31;7;0;9; : ; : ;75,9;78,3;90,9;79,5;70;.;56,3; : ; : 
1939 Storfjord;1939;Storfjord;55;27;6;7;8;0;5; : ; : ;47;73;42,9;100;80;.;55,6; : ; : 
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;55;19; : ;17;5;0;8;0; : ;52,9;86,4; : ;77,3;62,5;.;44,4;.; : 
1941 Skjervøy;1941;Skjervøy;142;9;8;87;8;0;17;13;0;77,2;64,3;57,1;87;50;.;73,9;76,5;.
1942 Nordreisa;1942;Nordreisa;107;18;13;31;9; : ;21;13; : ;60,5;75;81,3;72,1;90; : ;44,7;38,2; : 
1943 Kvænangen;1943;Kvænangen;31;11;8; : ; : ;0;5;0;0;75,6;73,3;80; : ; : ;.;83,3;.;.
2002 Vardø;2002;Vardø;145;29;7;69;20; : ;14; : ; : ;68,7;54,7;87,5;77,5;58,8; : ;82,4; : ; : 
2003 Vadsø;2003;Vadsø;355;78;17;37;69;0;92;48;14;51;80,4;77,3;75,5;71,1;.;45,5;22,7;77,8
2004 Hammerfest;2004;Hammerfest;957;128;62;324;115;4;197;114;13;77,2;78,5;71,3;80,4;81;66,7;78,2;68,3;65
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;91;54;13;9; : ;0;11; : ;0;67,9;67,5;86,7;81,8; : ;.;52,4; : ;.
2012 Alta;2012;Alta;921;177;68;263;169;7;204;27;6;69,9;82,7;78,2;79;69,8;46,7;63;30;50
2014 Loppa;2014;Loppa;57;7;7;24;0; : ;16;0; : ;68,7;70;87,5;58,5;.; : ;80;.; : 
2015 Hasvik;2015;Hasvik;125;32;8;68; : ;0;13; : ;0;79,1;86,5;100;76,4; : ;.;76,5; : ;.
2017 Kvalsund;2017;Kvalsund;42;14; : ;15; : ;0;8; : ;0;76,4;63,6; : ;78,9; : ;.;88,9; : ;.
2018 Måsøy;2018;Måsøy;102;17;15;44;9;0;11; : ; : ;65,8;70,8;75;59,5;81,8;.;64,7; : ; : 
2019 Nordkapp;2019;Nordkapp;188;34;25;60;16; : ;34;15; : ;66;66,7;80,6;61,2;69,6; : ;64,2;68,2; : 
2020 Porsanger;2020;Porsanger Porsángu Porsanki;138;32;10;29;40;0;20; : ; : ;63,6;65,3;58,8;80,6;71,4;.;64,5; : ; : 
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;104;58;6;4;21; : ;10; : ; : ;80,6;77,3;75;100;91,3; : ;71,4; : ; : 
2022 Lebesby;2022;Lebesby;95;27; : ;31;7; : ;25;0; : ;76,6;69,2; : ;77,5;63,6; : ;86,2;.; : 
2023 Gamvik;2023;Gamvik;141;35;8;65;21;0;10; : ; : ;71,9;72,9;100;66,3;100;.;52,6; : ; : 
2024 Berlevåg;2024;Berlevåg;82;13;13;40;10;0; : ; : ;0;80,4;81,3;100;74,1;83,3;.; : ; : ;.
2025 Deatnu Tana;2025;Deatnu Tana;159;48;8;46;33;4;16; : ; : ;73,6;69,6;72,7;71,9;75;100;84,2; : ; : 
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;53;19;0;12;12;0;10;0;0;81,5;82,6;.;100;75;.;76,9;.;.
2028 Båtsfjord;2028;Båtsfjord;313;78; : ;157;39;0;30; : ; : ;77,3;78; : ;82,2;70,9;.;78,9; : ; : 
2030 Sør-Varanger;2030;Sør-Varanger;823;144;60;173;283; : ;117;32; : ;74,8;74,2;77,9;75,2;81,3; : ;74,5;46,4; : 
