Kommune nr & navn;kommune_nr;"Kommune
navn";vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika;vreg_9.alle;vreg_9.norden;vreg_9.vest_europa;vreg_9.eu_ost_europa;vreg_9.ost_europa_ellers;vreg_9.nord_amerika_oseania;vreg_9.asia;vreg_9.afrika;vreg_9.sor_og_mellom_amerika
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0701 Horten;701;Horten;1482;167;130;448;239;27;361;93;17;62,2;73,6;71;72,7;65,3;65,9;55,4;35,9;43,6
0702 Holmestrand;702;Holmestrand;461;63;46;172;43;6;98;15;18;67,8;75;82,1;77,5;67,2;46,2;57;34,1;72
0704 Tønsberg;704;Tønsberg;2514;357;246;854;216;35;616;130;60;68,1;80;74,3;75,2;67,7;59,3;59,8;45,6;69,8
0706 Sandefjord;706;Sandefjord;2804;385;297;806;374;62;684;127;69;64,2;78,4;76,3;73,3;59,4;68,9;53,7;45,2;59
0709 Larvik;709;Larvik;2095;223;198;749;205;23;510;132;55;63,8;78,2;74,2;77,2;61,2;69,7;52,4;41,6;52,4
0711 Svelvik;711;Svelvik;354;49;45;172;25; : ;38;11;12;70,9;73,1;77,6;74,8;64,1; : ;62,3;50;80
0713 Sande (Vestf.);713;Sande (Vestf.);458;58;68;212;32;9;44;26;9;70,9;89,2;79,1;78,8;71,1;69,2;44,9;46,4;64,3
0714 Hof;714;Hof;129;10;27;65;13; : ;8; : ; : ;76,3;76,9;84,4;74,7;92,9; : ;61,5; : ; : 
0716 Re;716;Re (f.o.m. 2002);421;65;42;195;49; : ;60;5; : ;70;89;75;77,7;71; : ;50,8;22,7; : 
0719 Andebu;719;Andebu;277;35;64;101;25; : ;41;4;5;71,8;77,8;83,1;71,1;64,1; : ;63,1;66,7;50
0720 Stokke;720;Stokke;675;80;101;276;31;25;126;21;15;65,5;72,1;73,7;78;58,5;86,2;48,8;30,9;71,4
