kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.alle
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.personer;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1124 Sola;1124;Sola;16;4;25;12;7;9;0
1127 Randaberg;1127;Randaberg;2;0;0;2;0;2;0
1129 Forsand;1129;Forsand;0;0;0;0;0;0;0
1130 Strand;1130;Strand;28;6;21,4;22;15;13;0
1133 Hjelmeland;1133;Hjelmeland;0;0;0;0;0;0;0
1134 Suldal;1134;Suldal;17;6;35,3;11;12;5;0
1135 Sauda;1135;Sauda;1;0;0;1;1;0;0
1141 Finnøy;1141;Finnøy;0;0;0;0;0;0;0
1142 Rennesøy;1142;Rennesøy;0;0;0;0;0;0;0
1144 Kvitsøy;1144;Kvitsøy;0;0;0;0;0;0;0
1145 Bokn;1145;Bokn;0;0;0;0;0;0;0
1146 Tysvær;1146;Tysvær;33;23;69,7;10;21;12;0
1149 Karmøy;1149;Karmøy;80;14;17,5;66;11;69;0
1151 Utsira;1151;Utsira;0;0;0;0;0;0;0
1160 Vindafjord;1160;Vindafjord;13;0;0;13;0;13;0
1201 Bergen;1201;Bergen;318;204;64,2;114;298;17;3
1211 Etne;1211;Etne;3;0;0;3;0;3;0
1216 Sveio;1216;Sveio;0;0;0;0;0;0;0
1219 Bømlo;1219;Bømlo;10;9;90;1;9;0;1
1221 Stord;1221;Stord;0;0;0;0;0;0;0
1222 Fitjar;1222;Fitjar;0;0;0;0;0;0;0
1223 Tysnes;1223;Tysnes;0;0;0;0;0;0;0
1224 Kvinnherad;1224;Kvinnherad;3;3;100;0;3;0;0
1227 Jondal;1227;Jondal;0;0;0;0;0;0;0
1228 Odda;1228;Odda;10;1;10;9;1;9;0
1231 Ullensvang;1231;Ullensvang;7;7;100;0;7;0;0
1232 Eidfjord;1232;Eidfjord;0;0;0;0;0;0;0
1233 Ulvik;1233;Ulvik;0;0;0;0;0;0;0
1234 Granvin;1234;Granvin;0;0;0;0;0;0;0
1235 Voss;1235;Voss;56;24;42,9;32;24;32;0
1238 Kvam;1238;Kvam;33;10;30,3;23;10;23;0
1241 Fusa;1241;Fusa;22;16;72,7;6;16;6;0
1242 Samnanger;1242;Samnanger;1;0;0;1;0;1;0
1243 Os (Hord.);1243;Os (Hord.);30;9;30;21;8;22;0
1244 Austevoll;1244;Austevoll;12;1;8,3;11;6;6;0
1245 Sund;1245;Sund;7;0;0;7;0;7;0
1246 Fjell;1246;Fjell;7;4;57,1;3;5;2;0
1247 Askøy;1247;Askøy;3;0;0;3;0;3;0
1251 Vaksdal;1251;Vaksdal;0;0;0;0;0;0;0
1252 Modalen;1252;Modalen;0;0;0;0;0;0;0
1253 Osterøy;1253;Osterøy;19;0;0;19;2;14;3
1256 Meland;1256;Meland;15;1;6,7;14;0;15;0
1259 Øygarden;1259;Øygarden;17;17;100;0;17;0;0
1260 Radøy;1260;Radøy;1;0;0;1;0;1;0
1263 Lindås;1263;Lindås;30;18;60;12;18;12;0
1264 Austrheim;1264;Austrheim;0;0;0;0;0;0;0
1265 Fedje;1265;Fedje;0;0;0;0;0;0;0
1266 Masfjorden;1266;Masfjorden;2;0;0;2;0;0;2
1401 Flora;1401;Flora;23;23;100;0;23;0;0
1411 Gulen;1411;Gulen;2;0;0;2;0;2;0
1412 Solund;1412;Solund;0;0;0;0;0;0;0
1413 Hyllestad;1413;Hyllestad;0;0;0;0;0;0;0
1416 Høyanger;1416;Høyanger;1;0;0;1;0;1;0
1417 Vik;1417;Vik;7;1;14,3;6;0;7;0
1418 Balestrand;1418;Balestrand;0;0;0;0;0;0;0
1419 Leikanger;1419;Leikanger;0;0;0;0;0;0;0
1420 Sogndal;1420;Sogndal;28;14;50;14;14;14;0
1421 Aurland;1421;Aurland;2;0;0;2;0;2;0
1422 Lærdal;1422;Lærdal;0;0;0;0;0;0;0
1424 Årdal;1424;Årdal;9;2;22,2;7;2;7;0
1426 Luster;1426;Luster;0;0;0;0;0;0;0
1428 Askvoll;1428;Askvoll;2;0;0;2;0;2;0
