Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0806 Skien;806;Skien;488;36;452;15;437;72,3;60;73,5;65,2;73,8;220;11;209;8;201;65,1;40,7;67,2;61,5;67,4;268;25;243;7;236;79,5;75,8;79,9;70;80,3
0904 Grimstad;904;Grimstad;208;6;202;.;202;69,1;60;69,4;.;69,7;103;2;101;.;101;64,8;66,7;64,7;.;65,2;105;4;101;.;101;73,9;57,1;74,8;.;74,8
0906 Arendal;906;Arendal;399;21;378;6;372;72,3;60;73,1;66,7;73,2;200;9;191;3;188;69,9;56,3;70,7;60;70,9;199;12;187;3;184;74,8;63,2;75,7;75;75,7
1001 Kristiansand;1001;Kristiansand;857;45;812;29;783;76,9;62,5;77,9;69;78,2;433;24;409;11;398;73,8;54,5;75,3;55;76,1;424;21;403;18;385;80,3;75;80,6;81,8;80,5
1102 Sandnes;1102;Sandnes;592;27;565;15;550;73;64,3;73,5;57,7;74;303;14;289;4;285;71;56;71,9;30,8;73,3;289;13;276;11;265;75,3;76,5;75,2;84,6;74,9
1103 Stavanger;1103;Stavanger;1110;39;1071;37;1034;73,5;54,2;74,5;57,8;75,3;564;22;542;15;527;71,8;56,4;72,7;48,4;73,7;546;17;529;22;507;75,3;51,5;76,4;66,7;76,9
1106 Haugesund;1106;Haugesund;308;12;296;1;295;71,5;52,2;72,5;50;72,7;149;3;146;1;145;66,5;33,3;67,9;50;68,1;159;9;150;.;150;76,8;64,3;77,7;.;77,7
1119 Hå;1119;Hå;158;3;155;.;155;70,5;25;73,1;.;73,1;75;1;74;.;74;67;11,1;71,8;.;71,8;83;2;81;.;81;74,1;66,7;74,3;.;74,3
1124 Sola;1124;Sola;278;8;270;5;265;76;47,1;77,4;71,4;77,5;143;5;138;1;137;71,9;45,5;73,4;50;73,7;135;3;132;4;128;80,8;50;82;80;82,1
1149 Karmøy;1149;Karmøy;453;11;442;1;441;74,4;47,8;75,4;33,3;75,6;222;6;216;1;215;70,9;42,9;72,2;100;72,1;231;5;226;.;226;78;55,6;78,7;.;79,3
1201 Bergen;1201;Bergen;2192;68;2124;51;2073;72,3;54;73,1;68,9;73,2;1090;40;1050;23;1027;68;54,8;68,7;65,7;68,7;1102;28;1074;28;1046;77;52,8;77,9;71,8;78,1
1502 Molde;1502;Molde;253;4;249;3;246;76,2;57,1;76,6;75;76,6;109;2;107;3;104;69,4;40;70,4;75;70,3;144;2;142;.;142;82,3;100;82,1;.;82,1
1504 Ålesund;1504;Ålesund;419;2;417;7;410;78,8;20;79,9;87,5;79,8;204;1;203;3;200;76,1;25;76,9;75;76,9;215;1;214;4;210;81,4;16,7;82,9;100;82,7
1505 Kristiansund;1505;Kristiansund;225;6;219;2;217;71,9;60;72,3;100;72,1;108;4;104;1;103;69,7;80;69,3;100;69,1;117;2;115;1;114;74,1;40;75,2;100;75
1601 Trondheim;1601;Trondheim;1413;50;1363;31;1332;70,9;52,6;71,9;73,8;71,8;658;18;640;17;623;63,3;34,6;64,8;63;64,9;755;32;723;14;709;79,2;74,4;79,5;93,3;79,2
1804 Bodø;1804;Bodø;418;12;406;3;403;65,5;46,2;66,3;60;66,4;204;8;196;3;193;60,2;47,1;60,9;60;60,9;214;4;210;.;210;71,6;44,4;72,4;.;72,4
1902 Tromsø;1902;Tromsø;624;12;612;2;610;68,2;52,2;68,6;50;68,7;264;4;260;.;260;58,7;40;59,1;.;59,4;360;8;352;2;350;77,4;61,5;77,9;100;77,8
