Næringsregion nr & navn;naringsregion_nr;Navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
46 Sunnhordland;46;Sunnhordland;2013;29;1984;5;1979;72,2;50;72,6;50;72,7;956;14;942;2;940;68,5;48,3;69;33,3;69,1;1057;15;1042;3;1039;75,8;51,7;76,3;75;76,3
47 Hordaland Vest;47;Hordaland Vest;1508;39;1469;5;1464;64,3;44,3;65,1;41,7;65,2;683;14;669;1;668;59,3;38,9;59,9;14,3;60,2;825;25;800;4;796;69,2;48,1;70,1;80;70,1
48 HAFS;48;HAFS;343;7;336;.;336;76,1;63,6;76,4;.;76,4;172;4;168;.;168;72,9;80;72,7;.;72,7;171;3;168;.;168;79,5;50;80,4;.;80,4
49 Nordfjord;49;Nordfjord;1118;33;1085;5;1080;77,9;61,1;78,5;55,6;78,7;555;14;541;3;538;74,6;50;75,6;100;75,5;563;19;544;2;542;81,4;73,1;81,7;33,3;82,1
50 Sogn;50;Sogn;1042;19;1023;2;1021;77,2;51,4;77,9;40;78,1;494;10;484;2;482;72,4;47,6;73,2;40;73,5;548;9;539;.;539;82;56,3;82,7;.;82,7
51 Sunnfjord;51;Sunnfjord;1091;27;1064;7;1057;74,6;54;75,4;63,6;75,4;545;10;535;4;531;70,7;37;71,9;80;71,9;546;17;529;3;526;79;73,9;79,2;50;79,5
52 Nordmøre;52;Nordmøre;1673;42;1631;5;1626;68,6;48,3;69,4;83,3;69,4;813;22;791;3;788;64,2;44;65;75;65;860;20;840;2;838;73,4;54,1;74,1;100;74
53 Romsdal;53;Romsdal;1725;25;1700;11;1689;72,3;43,9;73;84,6;73;817;8;809;6;803;67,5;27,6;68,5;85,7;68,4;908;17;891;5;886;77,3;60,7;77,7;83,3;77,7
54 Storfjord;54;Storfjord;526;18;508;5;503;74,3;54,5;75,3;100;75,1;249;9;240;2;238;68,8;50;69,8;100;69,6;277;9;268;3;265;80,1;60;81;100;80,8
55 Søre Sunnmøre;55;Søre Sunnmøre;1426;43;1383;8;1375;73,2;63,2;73,6;61,5;73,6;672;23;649;3;646;68,9;60,5;69,3;60;69,3;754;20;734;5;729;77,5;66,7;77,8;62,5;78
56 Ålesundregionen;56;Ålesundregionen;2115;44;2071;20;2051;73,5;52,4;74,1;87;74;1008;23;985;8;977;69,5;53,5;70;72,7;70;1107;21;1086;12;1074;77,5;51,2;78,3;100;78,1
57 Fosen;57;Fosen;759;10;749;2;747;68,8;52,6;69;100;69;351;5;346;2;344;64,6;45,5;65;100;64,9;408;5;403;.;403;72,7;62,5;72,9;.;72,9
58 Hitra/Frøya;58;Hitra/Frøya;196;3;193;.;193;62,8;42,9;63,3;.;63,3;98;1;97;.;97;61,6;50;61,8;.;61,8;98;2;96;.;96;64,1;40;64,9;.;64,9
59 Oppdal/Rennebu;59;Oppdal/Rennebu;305;5;300;1;299;74,6;55,6;75;100;74,9;142;4;138;.;138;70;80;69,7;.;69,7;163;1;162;1;161;79,1;25;80,2;100;80,1
60 Orkdalregionen;60;Orkdalregionen;573;17;556;.;556;64,6;43,6;65,6;.;65,6;263;8;255;.;255;57,2;40;58;.;58,1;310;9;301;.;301;72,6;47,4;73,8;.;73,8
61 Trondheimsregionen;61;Trondheimsregionen;5790;162;5628;106;5522;70,8;54,5;71,4;71,6;71,4;2735;62;2673;47;2626;64,7;40;65,7;59,5;65,8;3055;100;2955;59;2896;77,2;70,4;77,5;85,5;77,3
62 Rørosregionen;62;Rørosregionen;262;7;255;.;255;81,9;77,8;82;.;82;128;1;127;.;127;77,6;33,3;78,4;.;78,4;134;6;128;.;128;86,5;100;85,9;.;85,9
63 Stjørdalsregionen;63;Stjørdalsregionen;721;15;706;3;703;69,6;50;70,2;60;70,2;351;4;347;1;346;65,5;30,8;66,3;50;66,4;370;11;359;2;357;74;64,7;74,3;66,7;74,4
64 Innherred;64;Innherred;2005;35;1970;4;1966;71,6;45,5;72,3;57,1;72,4;982;15;967;2;965;68,7;39,5;69,5;40;69,6;1023;20;1003;2;1001;74,7;51,3;75,4;100;75,3
65 Indre Namdal;65;Indre Namdal;224;2;222;.;222;65,9;40;66,3;.;66,3;112;2;110;.;110;60,9;100;60,4;.;60,4;112;.;112;.;112;71,8;.;73,2;.;73,2
66 Kystgruppen;66;Kystgruppen;268;8;260;.;260;61,8;72,7;61,5;.;61,6;139;3;136;.;136;61,2;75;61;.;61,3;129;5;124;.;124;62,3;71,4;62;.;62
67 Midtre Namdal;67;Midtre Namdal;598;17;581;2;579;68;54,8;68,5;66,7;68,5;277;2;275;2;273;62;28,6;62,5;66,7;62,5;321;15;306;.;306;74,3;62,5;75;.;75
68 Sør-Helgeland;68;Sør-Helgeland;362;8;354;.;354;61,9;61,5;61,9;.;62;169;4;165;.;165;58,7;66,7;58,5;.;58,5;193;4;189;.;189;65;57,1;65,2;.;65,4
69 HALD;69;HALD;358;17;341;1;340;62,6;70,8;62,2;100;62,2;179;7;172;.;172;59,9;70;59,5;.;59,5;179;10;169;1;168;65,6;71,4;65,3;100;65,1
70 Ytre Helgeland;70;Ytre Helgeland;110;1;109;1;108;64,7;100;64,5;100;64,3;52;1;51;.;51;57,8;100;57,3;.;57,3;58;.;58;1;57;72,5;.;72,5;100;72,2
71 Mosjøregionen;71;Mosjøregionen;403;11;392;.;392;62,6;42,3;63,4;.;63,5;188;2;186;.;186;55,8;16,7;57,2;.;57,2;215;9;206;.;206;70;64,3;70,3;.;70,5
72 Ranaregionen;72;Ranaregionen;799;12;787;1;786;60,8;40;61,2;100;61,2;391;2;389;1;388;57,6;11,8;58,8;100;58,7;408;10;398;.;398;64,2;76,9;63,9;.;63,9
73 Salten;73;Salten;2022;44;1978;5;1973;63,5;51,2;63,8;50;63,9;947;22;925;4;921;56,6;44,9;57;44,4;57,1;1075;22;1053;1;1052;71,1;59,5;71,3;100;71,3
74 Ofoten;74;Ofoten;709;12;697;4;693;65,9;57,1;66,1;66,7;66,1;329;2;327;1;326;60,1;22,2;60,8;50;60,8;380;10;370;3;367;71,8;83,3;71,6;75;71,5
75 Lofoten;75;Lofoten;621;20;601;.;601;60,8;51,3;61,1;.;61,2;291;7;284;.;284;53,8;35;54,5;.;54,5;330;13;317;.;317;68,6;68,4;68,6;.;68,8
76 Vesterålen;76;Vesterålen;840;19;821;3;818;60,6;48,7;60,9;60;60,9;427;9;418;1;417;57,8;47,4;58,1;33,3;58,2;413;10;403;2;401;63,7;50;64,2;100;64,1
77 Sør-Troms;77;Sør-Troms;985;20;965;1;964;62,7;39,2;63,4;100;63,4;438;8;430;1;429;56,4;30,8;57,3;100;57,3;547;12;535;.;535;68,7;48;69,4;.;69,4
78 Midt-Troms;78;Midt-Troms;749;12;737;1;736;61,4;37,5;62;100;62;385;5;380;1;379;59,1;29,4;59,9;100;59,9;364;7;357;.;357;64;46,7;64,4;.;64,4
79 Tromsøregionen;79;Tromsøregionen;1926;41;1885;9;1876;64,7;50,6;65,1;69,2;65,1;956;16;940;3;937;60,7;45,7;61;42,9;61,1;970;25;945;6;939;69,2;54,3;69,7;100;69,6
80 Nord-Troms;80;Nord-Troms;381;8;373;1;372;57,7;57,1;57,7;100;57,7;165;3;162;.;162;49,7;42,9;49,8;.;49,8;216;5;211;1;210;65,9;71,4;65,7;100;65,6
81 Vest-Finnmark;81;Vest-Finnmark;784;19;765;1;764;51,6;38;52,1;25;52,2;324;6;318;1;317;43,3;27,3;43,8;33,3;43,8;460;13;447;.;447;59,7;46,4;60,2;.;60,2
82 Midt-Finnmark;82;Midt-Finnmark;300;6;294;.;294;52,4;40;52,7;.;52,7;118;2;116;.;116;39,5;28,6;39,7;.;39,7;182;4;178;.;178;66,4;50;66,9;.;66,9
83 Øst-Finnmark;83;Øst-Finnmark;491;26;465;4;461;51,7;37,1;52,8;100;52,6;202;15;187;2;185;40,6;34,1;41,3;100;41;289;11;278;2;276;63,8;42,3;65,1;100;64,9
99 Uoppgitt;99;Uoppgitt;1067;897;170;31;139;42,3;42,5;41,3;55,4;39;475;386;89;13;76;37,3;36,9;39,6;50;38,2;592;511;81;18;63;47,4;48,1;43,3;60;40,1
