Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.0-4;botid_5.5-9;botid_5.10+
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0709 Larvik;709;Larvik;616;573;906;60,3;73,6;61,1
0711 Svelvik;711;Svelvik;137;93;124;70,6;74,4;68,9
0713 Sande (Vestf.);713;Sande (Vestf.);182;101;175;66,4;69,7;77,1
0714 Hof;714;Hof;55;32;42;75,3;86,5;71,2
0716 Re;716;Re (f.o.m. 2002);145;129;147;65,6;76,3;69,7
0719 Andebu;719;Andebu;137;63;77;71,7;80,8;65,8
0720 Stokke;720;Stokke;277;194;204;59,4;73,2;68
0722 Nøtterøy;722;Nøtterøy;257;245;493;58;79,5;68,5
0723 Tjøme;723;Tjøme;92;73;74;60,5;78,5;77,1
0728 Lardal;728;Lardal;37;15;30;64,9;93,8;69,8
0805 Porsgrunn;805;Porsgrunn;443;371;787;47,4;70,4;64,3
0806 Skien;806;Skien;682;613;1516;47,9;64,1;63,2
0807 Notodden;807;Notodden;172;151;169;47;73,7;68,4
0811 Siljan;811;Siljan;12;17;22;34,3;77,3;68,8
0814 Bamble;814;Bamble;118;131;134;42;67,9;63,2
0815 Kragerø;815;Kragerø;130;119;159;47,3;70,4;71
0817 Drangedal;817;Drangedal;50;52;36;54,3;78,8;67,9
0819 Nome;819;Nome;102;83;92;53,4;74,1;61,7
0821 Bø (Telemark);821;Bø (Telem.);95;65;77;35,4;63,1;59,7
0822 Sauherad;822;Sauherad;86;40;62;57,3;75,5;76,5
0826 Tinn;826;Tinn;83;56;163;46,4;84,8;76,2
0827 Hjartdal;827;Hjartdal; : ; : ; : ; : ; : ; : 
0828 Seljord;828;Seljord;64;29;26;71,9;69;70,3
0829 Kviteseid;829;Kviteseid;42;35;37;66,7;79,5;88,1
0830 Nissedal;830;Nissedal;21;28;13;75;80;68,4
0831 Fyresdal;831;Fyresdal;11;26;23;36,7;74,3;76,7
0833 Tokke;833;Tokke;13;27;32;72,2;84,4;82,1
0834 Vinje;834;Vinje;77;26;62;70;81,3;78,5
0901 Risør;901;Risør;78;78;83;47,3;66,7;59,3
0904 Grimstad;904;Grimstad;436;281;417;55,9;71,5;69,3
0906 Arendal;906;Arendal;762;574;913;56,8;68,3;63,1
0911 Gjerstad;911;Gjerstad;17;24;20;28,3;85,7;46,5
0912 Vegårshei;912;Vegårshei; : ; : ; : ; : ; : ; : 
0914 Tvedestrand;914;Tvedestrand;78;81;83;52,7;66,9;63,4
0919 Froland;919;Froland;45;79;60;53,6;75,2;72,3
0926 Lillesand;926;Lillesand;132;95;192;63,8;71,4;70,6
0928 Birkenes;928;Birkenes;55;72;93;47,4;82,8;75,6
0929 Åmli;929;Åmli;37;40;19;63,8;85,1;59,4
0935 Iveland;935;Iveland; : ; : ; : ; : ; : ; : 
0937 Evje og Hornnes;937;Evje og Hornnes;41;54;70;51,9;63,5;68
0938 Bygland;938;Bygland; : ; : ; : ; : ; : ; : 
0940 Valle;940;Valle; : ; : ; : ; : ; : ; : 
