Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0230 Lørenskog;230;Lørenskog;3571;885;578;1206;902;68,3;73,6;64,4;65,9;69,2;2037;708;233;648;448;72,1;72,5;76,6;69,9;72,3;1534;177;345;558;454;63,8;78;58,2;61,9;66,5
0231 Skedsmo;231;Skedsmo;4924;1200;801;1748;1175;66,1;72,8;63,5;60,3;71,6;2823;962;278;989;594;71,2;72;77;66,7;75,5;2101;238;523;759;581;60,3;76,3;58,1;53,6;68
0233 Nittedal;233;Nittedal;1566;516;227;314;509;74,7;78,8;66,4;68,1;79,9;907;422;68;160;257;79,2;80,2;77,3;72,4;82,9;659;94;159;154;252;69,4;72,9;62,6;64,2;77,1
0234 Gjerdrum;234;Gjerdrum;447;233;61;35;118;73,8;75,6;69,3;50,7;83,7;306;197;16;22;71;78,5;75,8;88,9;59,5;94,7;141;36;45;13;47;65,3;75;64,3;40,6;71,2
0235 Ullensaker;235;Ullensaker;3023;897;523;748;855;71,2;78,7;64,8;63,4;76,4;1712;693;146;438;435;76,6;79,2;71,2;70,4;81,5;1311;204;377;310;420;65,3;77;62,6;55,7;71,8
0236 Nes;236;Nes (Ak.);1007;392;192;175;248;67,9;77,6;57,1;56,3;75,2;560;295;40;103;122;73,4;77;70,2;62,8;76,7;447;97;152;72;126;62,2;79,5;54,5;49;73,7
0237 Eidsvoll;237;Eidsvoll;1264;465;266;206;327;68,8;76,2;63,6;57,9;72,2;677;353;55;112;157;73,1;76,9;69,6;61,5;76,2;587;112;211;94;170;64,4;74,2;62,2;54;68,8
0238 Nannestad;238;Nannestad;950;401;179;122;248;74,1;80;65,3;62,2;79,7;560;335;40;63;122;78,1;81,5;75,5;62,4;80,3;390;66;139;59;126;69;73,3;62,9;62,1;79,2
0239 Hurdal;239;Hurdal;119;39;28;8;44;73,5;86,7;65,1;57,1;73,3;63;29;6;4;24;76,8;85,3;75;40;80;56;10;22;4;20;70;90,9;62,9;100;66,7
0301 Oslo;301;Oslo kommune;85579;21766;13693;21225;28895;64,5;77,6;58,6;54,5;68,3;48843;15864;5996;12114;14869;69,7;77,8;71,9;58,8;71,9;36736;5902;7697;9111;14026;58,7;77,3;51,3;49,7;64,9
0402 Kongsvinger;402;Kongsvinger;725;145;126;227;227;53,6;72,5;56,5;38,2;67,8;392;118;23;140;111;57,3;75,2;59;42,7;69,4;333;27;103;87;116;49,9;62,8;56;32,7;66,3
0403 Hamar;403;Hamar;1349;322;216;444;367;61,3;75,8;63,5;48,2;71,7;739;251;54;261;173;65,2;77,5;70,1;53;72,1;610;71;162;183;194;57,2;70,3;61,6;42,6;71,3
0412 Ringsaker;412;Ringsaker;1254;558;244;202;250;67,2;75,4;66,8;48;73,5;727;433;52;119;123;72,3;77,7;78,8;51,5;81,5;527;125;192;83;127;61,2;68,3;64,2;43,7;67,2
0415 Løten;415;Løten;226;78;52;44;52;61,1;65,5;61,9;45,8;73,2;125;65;10;28;22;65,4;68,4;76,9;52,8;73,3;101;13;42;16;30;56,4;54,2;59,2;37,2;73,2
0417 Stange;417;Stange;715;217;114;202;182;62,4;67,8;63,3;50,1;75,2;389;167;27;118;77;67,5;74,2;69,2;54,9;79,4;326;50;87;84;105;57,3;52,6;61,7;44,7;72,4
0418 Nord-Odal;418;Nord-Odal;95;41;24;10;20;63,3;73,2;63,2;52,6;54,1;56;35;4;7;10;70;76,1;100;53,8;58,8;39;6;20;3;10;55,7;60;58,8;50;50
0419 Sør-Odal;419;Sør-Odal;214;58;63;17;76;66;73,4;65,6;38,6;72,4;100;44;11;11;34;69,9;74,6;64,7;52,4;73,9;114;14;52;6;42;63;70;65,8;26,1;71,2
0420 Eidskog;420;Eidskog;170;29;31;21;89;56,1;69;50,8;31,8;66,4;78;26;4;11;37;62,4;76,5;40;36,7;72,5;92;3;27;10;52;51,7;37,5;52,9;27,8;62,7
0423 Grue;423;Grue;156;47;29;41;39;66,1;85,5;64,4;53,9;65;74;30;6;21;17;63,2;81,1;54,5;50;63;82;17;23;20;22;68,9;94,4;67,6;58,8;66,7
0425 Åsnes;425;Åsnes;180;63;32;37;48;54,4;79,7;48,5;33,6;63,2;96;46;4;23;23;57,5;78;57,1;38,3;56,1;84;17;28;14;25;51,2;85;47,5;28;71,4
0426 Våler;426;Våler (Hedm.);118;49;28;6;35;68,2;75,4;53,8;75;72,9;64;40;5;3;16;75,3;74,1;83,3;75;76,2;54;9;23;3;19;61,4;81,8;50;75;70,4
0427 Elverum;427;Elverum;726;178;149;216;183;60,2;73,6;63,7;45,6;71,5;360;137;26;117;80;61,6;74,5;57,8;47,2;74,8;366;41;123;99;103;58,8;70,7;65,1;43,8;69,1
0428 Trysil;428;Trysil;251;64;30;21;136;57,6;53,3;60;27,6;71,6;127;40;7;12;68;57,5;53,3;77,8;29,3;70,8;124;24;23;9;68;57,7;53,3;56,1;25,7;72,3
0429 Åmot;429;Åmot;135;59;30;20;26;61,6;72;57,7;51,3;56,5;66;38;4;12;12;61,1;69,1;57,1;52,2;52,2;69;21;26;8;14;62,2;77,8;57,8;50;60,9
0430 Stor-Elvdal;430;Stor-Elvdal;103;32;13;27;31;35,6;69,6;48,1;17,1;53,4;61;23;1;20;17;31,4;71,9;33,3;15,3;60,7;42;9;12;7;14;44,2;64,3;50;25,9;46,7
0432 Rendalen;432;Rendalen;35; : ; : ; : ; : ;53; : ; : ; : ; : ;12; : ; : ; : ; : ;41,4; : ; : ; : ; : ;23; : ; : ; : ; : ;62,2; : ; : ; : ; : 
0434 Engerdal;434;Engerdal;35; : ; : ; : ; : ;47,3; : ; : ; : ; : ;13; : ; : ; : ; : ;46,4; : ; : ; : ; : ;22; : ; : ; : ; : ;47,8; : ; : ; : ; : 
0436 Tolga;436;Tolga;67;33;10;13;11;60,4;84,6;76,9;31,7;61,1;33;21;0;6;6;62,3;84;.;31,6;66,7;34;12;10;7;5;58,6;85,7;76,9;31,8;55,6
0437 Tynset;437;Tynset;268;148;45;41;34;72,8;84,6;63,4;49,4;87,2;154;107;14;24;9;76,6;88,4;82,4;47,1;75;114;41;31;17;25;68,3;75,9;57,4;53,1;92,6
0438 Alvdal;438;Alvdal;65;18;19;14;14;67;75;86,4;40;87,5;30;12;4;8;6;73,2;70,6;100;57,1;100;35;6;15;6;8;62,5;85,7;83,3;28,6;80
0439 Folldal;439;Folldal;39; : ; : ; : ; : ;79,6; : ; : ; : ; : ;14; : ; : ; : ; : ;77,8; : ; : ; : ; : ;25; : ; : ; : ; : ;80,6; : ; : ; : ; : 
0441 Os;441;Os (Hedm.);88;37;13;14;24;72,1;80,4;76,5;46,7;82,8;51;24;2;10;15;76,1;85,7;100;52,6;83,3;37;13;11;4;9;67,3;72,2;73,3;36,4;81,8
0501 Lillehammer;501;Lillehammer;1286;313;177;436;360;67,9;81,1;67,3;56,3;76,3;694;218;47;260;169;72,7;82;73,4;64,4;76,5;592;95;130;176;191;63;79,2;65,3;47,6;76,1
0502 Gjøvik;502;Gjøvik;1513;450;219;538;306;63,1;81,8;60,3;52,7;65,7;840;338;50;302;150;67,9;84,5;67,6;55,9;67;673;112;169;236;156;58;74,7;58,5;49,2;64,5
0511 Dovre;511;Dovre;100;52;22;10;16;63,3;82,5;68,8;27;61,5;47;37;1;3;6;61;84,1;100;15;50;53;15;21;7;10;65,4;78,9;67,7;41,2;71,4
0512 Lesja;512;Lesja;78;55;11;2;10;75,7;85,9;55;28,6;83,3;47;40;3;1;3;82,5;87;100;25;75;31;15;8;1;7;67,4;83,3;47,1;33,3;87,5
0513 Skjåk;513;Skjåk;67;34;9;16;8;57,8;55,7;52,9;66,7;57,1;48;32;3;8;5;64;65,3;60;61,5;62,5;19;2;6;8;3;46,3;16,7;50;72,7;50
0514 Lom;514;Lom;54;23;10;8;13;68,4;92;66,7;34,8;81,3;26;15;0;5;6;70,3;93,8;.;45,5;66,7;28;8;10;3;7;66,7;88,9;71,4;25;100
0515 Vågå;515;Vågå;65;22;17;13;13;58,6;73,3;60,7;33,3;92,9;33;16;1;7;9;66;76,2;50;41,2;90;32;6;16;6;4;52,5;66,7;61,5;27,3;100
0516 Nord-Fron;516;Nord-Fron;154;75;38;18;23;66,4;87,2;74,5;30;65,7;88;56;6;16;10;73,9;86,2;100;45,7;76,9;66;19;32;2;13;58,4;90,5;71,1;8;59,1
0517 Sel;517;Sel;121;57;25;18;21;49,4;75;61;17,5;84;64;37;5;14;8;46;78,7;35,7;20,6;80;57;20;20;4;13;53,8;69;74,1;11,4;86,7
0519 Sør-Fron;519;Sør-Fron;119;66;21;15;17;71,3;80,5;67,7;51,7;68;72;54;2;8;8;76,6;81,8;100;53,3;72,7;47;12;19;7;9;64,4;75;65,5;50;64,3
0520 Ringebu;520;Ringebu;202;127;36;13;26;66,4;78,9;67,9;21,7;86,7;119;96;5;7;11;66,5;77,4;71,4;19,4;91,7;83;31;31;6;15;66,4;83,8;67,4;25;83,3
0521 Øyer;521;Øyer;277;126;29;62;60;64,6;70;72,5;52,1;66,7;155;92;4;29;30;62;67,6;80;48,3;61,2;122;34;25;33;30;68,2;77,3;71,4;55,9;73,2
0522 Gausdal;522;Gausdal;182;80;35;24;43;71,4;79,2;71,4;49;76,8;101;63;7;14;17;74,8;80,8;70;53,8;81;81;17;28;10;26;67,5;73,9;71,8;43,5;74,3
0528 Østre Toten;528;Østre Toten;540;275;79;95;91;65,7;79,7;61,2;42,4;73,4;319;201;19;56;43;72,2;80,1;76;50,9;76,8;221;74;60;39;48;58,2;78,7;57,7;34,2;70,6
0529 Vestre Toten;529;Vestre Toten;407;146;107;90;64;63,6;85,4;68,6;40,7;69,6;212;112;20;49;31;65,4;85,5;66,7;41,2;70,5;195;34;87;41;33;61,7;85;69;40,2;68,8
0532 Jevnaker;532;Jevnaker;265;102;57;42;64;71;79,7;69,5;56,8;71,9;144;76;16;21;31;74,2;82,6;66,7;56,8;75,6;121;26;41;21;33;67,6;72,2;70,7;56,8;68,8
0533 Lunner;533;Lunner;356;106;64;69;117;64,3;80,3;59,3;40,6;81,3;195;75;16;42;62;69,6;82,4;80;45,7;80,5;161;31;48;27;55;58,8;75,6;54,5;34,6;82,1
0534 Gran;534;Gran;459;190;69;119;81;57,4;72,8;61,1;38,8;68,1;271;145;14;72;40;62,6;74;93,3;44,4;66,7;188;45;55;47;41;51,2;69,2;56,1;32,4;69,5
0536 Søndre Land;536;Søndre Land;155;54;34;30;37;58,1;69,2;61,8;35,7;74;86;44;4;20;18;60,1;71;50;40;78,3;69;10;30;10;19;55,6;62,5;63,8;29,4;70,4
