Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.familie;innvgrunn_5.flukt;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1259 Øygarden;1259;Øygarden;235;104;77;21;33;69,1;86;68,8;31,8;80,5;129;84;17;13;15;73,3;88,4;77,3;34,2;71,4;106;20;60;8;18;64,6;76,9;66,7;28,6;90
1260 Radøy;1260;Radøy;279;181;62;10;26;74,6;83,8;63,3;34,5;83,9;179;151;11;6;11;83,3;87,8;78,6;40;78,6;100;30;51;4;15;62,9;68,2;60,7;28,6;88,2
1263 Lindås;1263;Lindås;613;304;150;54;105;71,9;80,6;65,5;53,5;71,9;354;242;27;37;48;78,5;82,3;73;61,7;80;259;62;123;17;57;64,4;74,7;64,1;41,5;66,3
1264 Austrheim;1264;Austrheim;208;141;38;4;25;75,1;80,6;61,3;57,1;75,8;142;124;5;1;12;79,3;82,7;62,5;33,3;66,7;66;17;33;3;13;67,3;68;61,1;75;86,7
1265 Fedje;1265;Fedje;18; : ; : ; : ; : ;81,8; : ; : ; : ; : ;10; : ; : ; : ; : ;90,9; : ; : ; : ; : ;8; : ; : ; : ; : ;72,7; : ; : ; : ; : 
1266 Masfjorden;1266;Masfjorden;38; : ; : ; : ; : ;79,2; : ; : ; : ; : ;19; : ; : ; : ; : ;82,6; : ; : ; : ; : ;19; : ; : ; : ; : ;76; : ; : ; : ; : 
1401 Flora;1401;Flora;644;268;114;170;92;65,2;82,5;61,3;47,2;79,3;389;211;18;110;50;73,3;83,7;69,2;56,4;86,2;255;57;96;60;42;55,9;78,1;60;36,4;72,4
1411 Gulen;1411;Gulen;120;88;20;2;10;80,5;90,7;54,1;50;90,9;59;52;2;0;5;86,8;91,2;40;.;100;61;36;18;2;5;75,3;90;56,3;66,7;83,3
1412 Solund;1412;Solund;51;28;17;0;6;78,5;80;81;0;66,7;30;23;4;0;3;78,9;79,3;100;.;60;21;5;13;.;3;77,8;83,3;76,5;.;75
1413 Hyllestad;1413;Hyllestad;87;66;9;4;8;79,8;93;64,3;44,4;53,3;59;56;0;2;1;81,9;91,8;.;40;25;28;10;9;2;7;75,7;100;75;50;63,6
1416 Høyanger;1416;Høyanger;181;59;46;40;36;74,8;88,1;66,7;63,5;83,7;97;50;10;20;17;77,6;87,7;71,4;64,5;73,9;84;9;36;20;19;71,8;90;65,5;62,5;95
1417 Vik;1417;Vik;137;92;23;14;8;78,3;84,4;67,6;66,7;72,7;75;58;5;7;5;82,4;84,1;100;63,6;83,3;62;34;18;7;3;73,8;85;62,1;70;60
1418 Balestrand;1418;Balestrand;119;56;22;12;29;83,8;87,5;78,6;66,7;90,6;52;35;1;5;11;82,5;85,4;33,3;71,4;91,7;67;21;21;7;18;84,8;91,3;84;63,6;90
1419 Leikanger;1419;Leikanger;74;32;16;9;17;78,7;82,1;69,6;64,3;94,4;30;19;1;4;6;81,1;86,4;33,3;66,7;100;44;13;15;5;11;77,2;76,5;75;62,5;91,7
1420 Sogndal;1420;Sogndal;344;162;45;58;79;61,5;78,6;69,2;32,8;71,2;224;136;13;30;45;69,3;80;81,3;37,5;78,9;120;26;32;28;34;50,8;72,2;65,3;28,9;63
1421 Aurland;1421;Aurland;94;54;13;1;26;75,2;77,1;59,1;100;81,3;46;34;3;0;9;76,7;77,3;60;.;81,8;48;20;10;1;17;73,8;76,9;58,8;100;81
1422 Lærdal;1422;Lærdal;92;25;6;16;45;79,3;71,4;60;76,2;90;48;21;1;7;19;82,8;80,8;33,3;77,8;95;44;4;5;9;26;75,9;44,4;71,4;75;86,7
1424 Årdal;1424;Årdal;275;159;53;33;30;66,6;82,8;67,1;34,7;63,8;177;132;9;19;17;70,5;87,4;64,3;31,7;65,4;98;27;44;14;13;60,5;65,9;67,7;40;61,9
1426 Luster;1426;Luster;179;95;31;13;40;77,5;90,5;81,6;32,5;83,3;103;67;9;8;19;81,1;94,4;64,3;42,1;82,6;76;28;22;5;21;73,1;82,4;91,7;23,8;84
1428 Askvoll;1428;Askvoll;83;36;24;5;18;69,2;80;58,5;100;62,1;42;23;6;4;9;73,7;76,7;85,7;100;56,3;41;13;18;1;9;65,1;86,7;52,9;100;69,2
1429 Fjaler;1429;Fjaler;99;40;26;5;28;57,6;67,8;66,7;55,6;43,1;46;26;4;2;14;63;76,5;50;50;51,9;53;14;22;3;14;53,5;56;71;60;36,8
1430 Gaular;1430;Gaular;122;76;25;1;20;83;84,4;78,1;100;83,3;69;57;3;0;9;83,1;82,6;100;.;81,8;53;19;22;1;11;82,8;90,5;75,9;100;84,6
1431 Jølster;1431;Jølster;116;68;22;17;9;59,2;90,7;78,6;21,5;64,3;68;47;3;11;7;58,6;94;100;19,6;100;48;21;19;6;2;60;84;76;26,1;28,6
1432 Førde;1432;Førde;611;257;108;128;118;72,4;88;69,7;50,8;81,4;336;188;21;73;54;75,2;88,7;61,8;53,7;83,1;275;69;87;55;64;69,3;86,3;71,9;47,4;80
1433 Naustdal;1433;Naustdal;93;47;25;8;13;83;90,4;73,5;72,7;86,7;47;34;4;3;6;85,5;87,2;80;75;85,7;46;13;21;5;7;80,7;100;72,4;71,4;87,5
1438 Bremanger;1438;Bremanger;265;144;68;26;27;67,1;82,3;70,8;29,9;73;140;106;8;11;15;68;81,5;66,7;23,4;88,2;125;38;60;15;12;66,1;84,4;71,4;37,5;60
1439 Vågsøy;1439;Vågsøy;361;171;73;32;85;71,8;74,3;58,9;71,1;81,7;230;146;10;19;55;79;76,8;66,7;76;90,2;131;25;63;13;30;61,8;62,5;57,8;65;69,8
1441 Selje;1441;Selje;102;54;26;2;20;76,7;84,4;60,5;50;90,9;51;35;5;2;9;85;83,3;83,3;100;90;51;19;21;.;11;69,9;86,4;56,8;.;91,7
1443 Eid;1443;Eid;219;83;49;30;57;70,4;87,4;65,3;50,8;69,5;122;69;8;18;27;78,2;90,8;66,7;62,1;69,2;97;14;41;12;30;62,6;73,7;65,1;40;69,8
1444 Hornindal;1444;Hornindal;53;30;9;3;11;86,9;93,8;69,2;75;91,7;27;20;4;1;2;96,4;100;100;50;100;26;10;5;2;9;78,8;83,3;55,6;100;90
1445 Gloppen;1445;Gloppen;207;69;40;62;36;79,6;88,5;70,2;75,6;83,7;118;53;9;37;19;88,1;91,4;90;84,1;86,4;89;16;31;25;17;70,6;80;66;65,8;81
1449 Stryn;1449;Stryn;597;400;76;48;73;73,9;83,2;58;47,5;76,8;396;317;13;24;42;79,5;84,3;59,1;49;82,4;201;83;63;24;31;64,8;79;57,8;46,2;70,5
1502 Molde;1502;Molde;1392;589;262;267;274;69,8;81,4;68,2;56,7;65,9;797;434;56;165;142;73,9;81;72,7;66,8;64,8;595;155;206;102;132;65;82,4;67,1;45,5;67
1504 Ålesund;1504;Ålesund;3046;1489;531;380;646;71,6;78,5;63,1;56,9;75,8;1815;1122;124;231;338;75,2;78,5;72,5;61,9;76,6;1231;367;407;149;308;66,8;78,6;60,7;50,5;74,9
1505 Kristiansund;1505;Kristiansund;1338;611;292;196;239;67,5;78,2;61,6;45,7;80,5;820;504;55;130;131;75,2;80,4;77,5;55,1;84;518;107;237;66;108;58,1;69,5;58,8;34,2;76,6
1511 Vanylven;1511;Vanylven;103;39;37;0;27;73,6;88,6;66,1;0;67,5;49;29;4;0;16;80,3;87,9;80;.;69,6;54;10;33;.;11;68,4;90,9;64,7;.;64,7
1514 Sande;1514;Sande (M. og R.);269;200;45;2;22;82;89,7;63,4;66,7;71;193;179;1;2;11;87,7;90,9;50;66,7;61,1;76;21;44;.;11;70,4;80,8;63,8;.;84,6
1515 Herøy;1515;Herøy (M. og R.);544;343;95;48;58;76,4;87,1;64,2;55,2;69,9;276;217;12;23;24;80,5;86,1;85,7;57,5;64,9;268;126;83;25;34;72,6;88,7;61,9;53,2;73,9
1516 Ulstein;1516;Ulstein;754;425;113;87;129;75,3;90,8;64,6;45,5;77,2;534;381;12;47;94;84,1;91,4;63,2;56,6;81;220;44;101;40;35;60,1;86,3;64,7;37;68,6
1517 Hareid;1517;Hareid;416;197;75;103;41;74,7;81,1;61;77,4;70,7;246;162;5;61;18;79,9;82,7;45,5;85,9;60;170;35;70;42;23;68,3;74,5;62,5;67,7;82,1
1519 Volda;1519;Volda;337;102;68;71;96;58;81;73,1;35,9;58,5;172;75;19;38;40;55,8;78,9;79,2;31,4;58,8;165;27;49;33;56;60,4;87,1;71;42,9;58,3
1520 Ørsta;1520;Ørsta;390;165;83;66;76;70,9;88,2;63,4;48,9;78,4;222;135;9;39;39;78,2;88,2;64,3;55,7;83;168;30;74;27;37;63,2;88,2;63,2;41,5;74
1523 Ørskog;1523;Ørskog;164;80;34;24;26;67,8;72,7;60,7;63,2;68,4;87;58;5;10;14;68;70,7;71,4;55,6;66,7;77;22;29;14;12;67,5;78,6;59,2;70;70,6
1524 Norddal;1524;Norddal;93;53;18;6;16;86,9;91,4;81,8;85,7;80;44;31;5;4;4;88;88,6;83,3;100;80;49;22;13;2;12;86;95,7;81,3;66,7;80
1525 Stranda;1525;Stranda;431;294;59;32;46;83,4;86,7;67;86,5;86,8;253;199;13;17;24;86,6;87,7;68,4;89,5;88,9;178;95;46;15;22;79,1;84,8;66,7;83,3;84,6
1526 Stordal;1526;Stordal;87;46;12;3;26;75;82,1;54,5;60;78,8;48;30;3;1;14;76,2;88,2;37,5;33,3;77,8;39;16;9;2;12;73,6;72,7;64,3;100;80
1528 Sykkylven;1528;Sykkylven;495;233;109;82;71;72,8;83,5;64,1;58,6;78;279;180;20;49;30;79,5;85,7;71,4;66,2;76,9;216;53;89;33;41;65,7;76,8;62,7;50;78,8
1529 Skodje;1529;Skodje;212;111;49;21;31;72,9;77,1;70;63,6;70,5;119;87;7;12;13;78,3;78,4;100;80;68,4;93;24;42;9;18;66,9;72,7;66,7;50;72
1531 Sula;1531;Sula;509;277;105;43;84;78,2;85;67,7;66,2;80;310;222;18;21;49;83,1;85,7;78,3;72,4;79;199;55;87;22;35;71,6;82,1;65,9;61,1;81,4
1532 Giske;1532;Giske;413;212;82;38;81;73,2;76;67,8;62,3;78,6;232;159;11;26;36;76,6;76,8;78,6;74,3;76,6;181;53;71;12;45;69,3;73,6;66,4;46,2;80,4
1534 Haram;1534;Haram;679;311;164;106;98;74,1;83,4;66,1;62,4;78,4;399;253;25;63;58;83;85,5;83,3;73,3;84,1;280;58;139;43;40;64,4;75,3;63,8;51,2;71,4
1535 Vestnes;1535;Vestnes;418;222;112;17;67;74,6;85,4;74,2;27;77,9;251;188;16;10;37;77,7;86,2;76,2;24,4;86;167;34;96;7;30;70,5;81;73,8;31,8;69,8
1539 Rauma;1539;Rauma;331;162;90;8;71;83;90,5;72,6;100;80,7;178;128;10;2;38;89,4;93,4;71,4;100;82,6;153;34;80;6;33;76,5;81;72,7;100;78,6
1543 Nesset;1543;Nesset;92;44;34;1;13;75,4;78,6;79,1;33,3;65;44;36;5;0;3;78,6;78,3;100;.;60;48;8;29;1;10;72,7;80;76,3;33,3;66,7
1545 Midsund;1545;Midsund;145;81;41;7;16;82,9;86,2;80,4;63,6;84,2;75;64;4;1;6;92,6;94,1;100;100;75;70;17;37;6;10;74,5;65,4;78,7;60;90,9
1546 Sandøy;1546;Sandøy;99;53;33;0;13;79,8;88,3;68,8;0;81,3;56;39;7;0;10;90,3;88,6;100;.;90,9;43;14;26;.;3;69,4;87,5;63,4;.;60
1547 Aukra;1547;Aukra;198;103;46;22;27;78,9;87,3;71,9;68,8;73;107;80;8;9;10;80,5;86;88,9;56,3;66,7;91;23;38;13;17;77,1;92;69,1;81,3;77,3
1548 Fræna;1548;Fræna;399;213;106;19;61;68,1;76,9;59,6;38;75,3;225;177;13;10;25;75,5;78,7;76,5;40;80,6;174;36;93;9;36;60,4;69,2;57,8;36;72
1551 Eide;1551;Eide;123;64;41;3;15;68;73,6;70,7;16,7;83,3;63;51;5;2;5;68,5;73,9;62,5;22,2;83,3;60;13;36;1;10;67,4;72,2;72;11,1;83,3
1554 Averøy;1554;Averøy;289;160;74;14;41;80,5;88,9;69,8;53,8;87,2;168;126;13;6;23;90,3;92;81,3;75;92;121;34;61;8;18;69,9;79,1;67,8;44,4;81,8
1557 Gjemnes;1557;Gjemnes;96;53;26;8;9;70,1;80,3;72,2;50;47,4;50;40;2;4;4;69,4;83,3;50;44,4;36,4;46;13;24;4;5;70,8;72,2;75;57,1;62,5
1560 Tingvoll;1560;Tingvoll;134;62;28;25;19;68,4;88,6;63,6;43,9;76;70;45;1;17;7;70,7;86,5;33,3;50;70;64;17;27;8;12;66;94,4;65,9;34,8;80
1563 Sunndal;1563;Sunndal;206;50;58;66;32;50,4;80,6;70,7;29,9;72,7;106;39;7;45;15;51,5;84,8;58,3;34,6;83,3;100;11;51;21;17;49,3;68,8;72,9;23,1;65,4
1566 Surnadal;1566;Surnadal;125;56;39;6;24;66,8;83,6;57,4;28,6;77,4;62;46;2;3;11;71,3;88,5;40;18,8;78,6;63;10;37;3;13;63;66,7;58,7;60;76,5
1567 Rindal;1567;Rindal;18; : ; : ; : ; : ;81,8; : ; : ; : ; : ;9; : ; : ; : ; : ;100; : ; : ; : ; : ;9; : ; : ; : ; : ;69,2; : ; : ; : ; : 
1571 Halsa;1571;Halsa;41; : ; : ; : ; : ;69,5; : ; : ; : ; : ;24; : ; : ; : ; : ;88,9; : ; : ; : ; : ;17; : ; : ; : ; : ;53,1; : ; : ; : ; : 
1573 Smøla;1573;Smøla;103;66;25;0;12;78;81,5;73,5;0;70,6;57;48;4;0;5;83,8;85,7;100;.;62,5;46;18;21;.;7;71,9;72;70;.;77,8
1576 Aure;1576;Aure;177;112;40;10;15;72,8;90,3;66,7;27,8;65,2;104;86;6;6;6;79,4;90,5;75;28,6;85,7;73;26;34;4;9;65,2;89,7;65,4;26,7;56,3
1601 Trondheim;1601;Trondheim;11224;3736;1825;2690;2973;64,5;82,2;59,7;54,9;60,7;6546;2836;532;1579;1599;68,9;82;71,7;59,3;60,7;4678;900;1293;1111;1374;59,3;82,9;55,9;49,7;60,9
1612 Hemne;1612;Hemne;109;37;33;22;17;59,9;82,2;68,8;33,8;70,8;56;31;2;14;9;61,5;86,1;50;34,1;90;53;6;31;8;8;58,2;66,7;70,5;33,3;57,1
1613 Snillfjord;1613;Snillfjord;26; : ; : ; : ; : ;78,8; : ; : ; : ; : ;13; : ; : ; : ; : ;72,2; : ; : ; : ; : ;13; : ; : ; : ; : ;86,7; : ; : ; : ; : 
1617 Hitra;1617;Hitra;506;370;79;23;34;76,8;84,7;77,5;33,3;66,7;302;265;9;16;12;78;85,8;90;33,3;60;204;105;70;7;22;75;82;76,1;33,3;71
1620 Frøya;1620;Frøya;553;409;79;7;58;84,7;86,8;79;70;80,6;313;272;10;5;26;86,5;86,6;100;62,5;86,7;240;137;69;2;32;82,5;87,3;76,7;100;76,2
1621 Ørland;1621;Ørland;144;67;56;1;20;70,2;73,6;66,7;100;69;66;51;9;0;6;70,2;70,8;75;.;60;78;16;47;1;14;70,3;84,2;65,3;100;73,7
1622 Agdenes;1622;Agdenes;64;33;24;3;4;70,3;80,5;64,9;75;44,4;34;26;4;1;3;81;86,7;66,7;100;60;30;7;20;2;1;61,2;63,6;64,5;66,7;25
1624 Rissa;1624;Rissa;275;165;61;6;43;65,6;67,1;64,2;30;74,1;182;146;12;4;20;66,2;66,1;75;33,3;76,9;93;19;49;2;23;64,6;76;62;25;71,9
1627 Bjugn;1627;Bjugn;137;77;34;3;23;74,9;85,6;65,4;75;62,2;70;49;6;2;13;80,5;84,5;66,7;100;72,2;67;28;28;1;10;69,8;87,5;65,1;50;52,6
1630 Åfjord;1630;Åfjord;58;29;21;2;6;80,6;93,5;72,4;50;75;30;21;1;2;6;88,2;95,5;100;66,7;75;28;8;20;.;.;73,7;88,9;71,4;.;.
1632 Roan;1632;Roan;41; : ; : ; : ; : ;83,7; : ; : ; : ; : ;24; : ; : ; : ; : ;88,9; : ; : ; : ; : ;17; : ; : ; : ; : ;77,3; : ; : ; : ; : 
1633 Osen;1633;Osen;19; : ; : ; : ; : ;76; : ; : ; : ; : ;10; : ; : ; : ; : ;71,4; : ; : ; : ; : ;9; : ; : ; : ; : ;81,8; : ; : ; : ; : 
1634 Oppdal;1634;Oppdal;260;127;37;44;52;67,5;78,9;62,7;43,6;81,3;153;95;5;23;30;73,9;78,5;62,5;51,1;90,9;107;32;32;21;22;60,1;80;62,7;37,5;71
1635 Rennebu;1635;Rennebu;55;32;13;1;9;74,3;84,2;59,1;25;90;30;23;2;1;4;76,9;85,2;40;50;80;25;9;11;.;5;71,4;81,8;64,7;.;100
1636 Meldal;1636;Meldal;108;65;32;4;7;69,7;73,9;61,5;100;63,6;67;55;5;1;6;76,1;77,5;62,5;100;75;41;10;27;3;1;61,2;58,8;61,4;100;33,3
1638 Orkdal;1638;Orkdal;355;87;102;94;72;63,6;74,4;66,2;50,8;70,6;182;74;19;52;37;67,7;74;73,1;53,6;80,4;173;13;83;42;35;59,9;76,5;64,8;47,7;62,5
1640 Røros;1640;Røros;217;65;26;52;74;77;82,3;70,3;67,5;83,1;107;41;9;25;32;78,1;83,7;81,8;62,5;86,5;110;24;17;27;42;75,9;80;65,4;73;80,8
1644 Holtålen;1644;Holtålen;49; : ; : ; : ; : ;73,1; : ; : ; : ; : ;23; : ; : ; : ; : ;76,7; : ; : ; : ; : ;26; : ; : ; : ; : ;70,3; : ; : ; : ; : 
1648 Midtre Gauldal;1648;Midtre Gauldal;506;415;33;30;28;79,8;86,1;70,2;48,4;65,1;247;203;7;22;15;78,9;82,5;100;56,4;71,4;259;212;26;8;13;80,7;89,8;65;34,8;59,1
1653 Melhus;1653;Melhus;491;255;88;78;70;66,8;75,2;71,5;43,8;73,7;289;200;14;43;32;70;76,9;63,6;50;71,1;202;55;74;35;38;62,7;69,6;73,3;38;76
1657 Skaun;1657;Skaun;183;80;33;28;42;72,3;86;62,3;54,9;75;107;63;5;15;24;79,9;88,7;50;57,7;88,9;76;17;28;13;18;63,9;77,3;65,1;52;62,1
1662 Klæbu;1662;Klæbu;221;119;41;25;36;71,5;80,4;56,9;54,3;83,7;135;93;8;16;18;78,9;81,6;57,1;69,6;90;86;26;33;9;18;62,3;76,5;56,9;39,1;78,3
1663 Malvik;1663;Malvik;575;260;113;78;124;73,2;80,5;68,5;58,2;76,1;346;220;19;41;66;78,1;82,4;76;58,6;81,5;229;40;94;37;58;67;71,4;67,1;57,8;70,7
1664 Selbu;1664;Selbu;98;41;21;11;25;66,7;71,9;61,8;68,8;62,5;56;35;3;6;12;71,8;71,4;100;66,7;70,6;42;6;18;5;13;60,9;75;58,1;71,4;56,5
1665 Tydal;1665;Tydal;22; : ; : ; : ; : ;88; : ; : ; : ; : ;9; : ; : ; : ; : ;81,8; : ; : ; : ; : ;13; : ; : ; : ; : ;92,9; : ; : ; : ; : 
1702 Steinkjer;1702;Steinkjer;567;229;112;135;91;57;77,4;58,9;38;59,5;334;184;22;89;39;60,3;79,7;66,7;40,1;57,4;233;45;90;46;52;53;69,2;57,3;34,6;61,2
1703 Namsos;1703;Namsos;389;101;98;110;80;60,3;87,8;71,5;38,3;75,5;188;63;20;62;43;62,5;85,1;74,1;41,1;87,8;201;38;78;48;37;58,4;92,7;70,9;35,3;64,9
1711 Meråker;1711;Meråker;84;19;17;27;21;49,1;76;43,6;37;61,8;44;15;4;16;9;53;78,9;57,1;39;56,3;40;4;13;11;12;45,5;66,7;40,6;34,4;66,7
1714 Stjørdal;1714;Stjørdal;705;171;181;195;158;65,3;79,9;63,1;52,3;77,1;372;144;33;119;76;71,1;81,4;70,2;58,9;78,4;333;27;148;76;82;59,9;73;61,7;44,4;75,9
1717 Frosta;1717;Frosta;100;64;18;6;12;69,9;74,4;56,3;85,7;66,7;54;40;2;5;7;77,1;76,9;40;100;87,5;46;24;16;1;5;63;70,6;59,3;50;50
1718 Leksvik;1718;Leksvik;115;46;34;7;28;71,4;86,8;66,7;30,4;82,4;65;43;2;7;13;79,3;89,6;100;46,7;76,5;50;3;32;.;15;63,3;60;65,3;.;88,2
1719 Levanger;1719;Levanger;696;279;128;162;127;70,2;85,8;72,3;51,4;73;383;200;23;95;65;75,4;87,3;74,2;56,9;80,2;313;79;105;67;62;64,8;82,3;71,9;45,3;66,7
1721 Verdal;1721;Verdal;480;252;74;82;72;64,5;76,4;64,3;38,9;81,8;345;237;12;53;43;71,4;76,7;66,7;49,1;89,6;135;15;62;29;29;51,7;71,4;63,9;28,2;72,5
1724 Verran;1724;Verran;118;86;18;4;10;50;52,8;60;14,8;62,5;83;73;2;3;5;47,7;49,7;100;17,6;62,5;35;13;16;1;5;56,5;81,3;57,1;10;62,5
1725 Namdalseid;1725;Namdalseid;39; : ; : ; : ; : ;81,3; : ; : ; : ; : ;17; : ; : ; : ; : ;94,4; : ; : ; : ; : ;22; : ; : ; : ; : ;73,3; : ; : ; : ; : 
1736 Snåase Snåsa;1736;Snåsa;40; : ; : ; : ; : ;81,6; : ; : ; : ; : ;18; : ; : ; : ; : ;90; : ; : ; : ; : ;22; : ; : ; : ; : ;75,9; : ; : ; : ; : 
1738 Lierne;1738;Lierne;53;12;2;0;39;85,5;92,3;40;0;88,6;18;10;1;0;7;81,8;100;100;.;63,6;35;2;1;.;32;87,5;66,7;25;.;97
1739 Røyrvik;1739;Røyrvik;21; : ; : ; : ; : ;84; : ; : ; : ; : ;10; : ; : ; : ; : ;90,9; : ; : ; : ; : ;11; : ; : ; : ; : ;78,6; : ; : ; : ; : 
1740 Namsskogan;1740;Namsskogan;22; : ; : ; : ; : ;75,9; : ; : ; : ; : ;5; : ; : ; : ; : ;71,4; : ; : ; : ; : ;17; : ; : ; : ; : ;77,3; : ; : ; : ; : 
1742 Grong;1742;Grong;78;23;13;28;14;43,8;76,7;72,2;25,5;70;51;22;4;20;5;47,2;84,6;100;28,6;62,5;27;1;9;8;9;38,6;25;64,3;20;75
1743 Høylandet;1743;Høylandet;29; : ; : ; : ; : ;80,6; : ; : ; : ; : ;15; : ; : ; : ; : ;78,9; : ; : ; : ; : ;14; : ; : ; : ; : ;82,4; : ; : ; : ; : 
1744 Overhalla;1744;Overhalla;94;58;13;10;13;65,3;81,7;41,9;40;76,5;63;43;1;9;10;86,3;93,5;25;69,2;100;31;15;12;1;3;43,7;60;44,4;8,3;42,9
1748 Fosnes;1748;Fosnes;24; : ; : ; : ; : ;75; : ; : ; : ; : ;12; : ; : ; : ; : ;80; : ; : ; : ; : ;12; : ; : ; : ; : ;70,6; : ; : ; : ; : 
1749 Flatanger;1749;Flatanger;49; : ; : ; : ; : ;65,3; : ; : ; : ; : ;26; : ; : ; : ; : ;66,7; : ; : ; : ; : ;23; : ; : ; : ; : ;63,9; : ; : ; : ; : 
1750 Vikna;1750;Vikna;183;80;42;38;23;73,2;87,9;61,8;65,5;69,7;107;57;8;24;18;83,6;86,4;72,7;80;85,7;76;23;34;14;5;62,3;92;59,6;50;41,7
1751 Nærøy;1751;Nærøy;153;57;46;17;33;64,8;79,2;69,7;33,3;70,2;69;42;5;15;7;62,2;77,8;83,3;41,7;46,7;84;15;41;2;26;67,2;83,3;68,3;13,3;81,3
1755 Leka;1755;Leka;21; : ; : ; : ; : ;84; : ; : ; : ; : ;6; : ; : ; : ; : ;100; : ; : ; : ; : ;15; : ; : ; : ; : ;78,9; : ; : ; : ; : 
1756 Inderøy;1756;Inderøy (f.o.m. 2012);143;56;27;20;40;64,4;74,7;56,3;44,4;74,1;83;45;6;13;19;70,9;81,8;75;46,4;73,1;60;11;21;7;21;57,1;55;52,5;41,2;75
1804 Bodø;1804;Bodø;2031;635;417;411;568;64,8;80,8;68,8;45,5;67,9;1118;487;96;278;257;66,9;80,5;72,7;49,6;69,1;913;148;321;133;311;62,4;81,8;67,7;38,8;66,9
1805 Narvik;1805;Narvik;954;291;177;160;326;64,2;78;63,4;45,6;67,5;521;232;30;96;163;64,9;79,2;65,2;46,2;63,7;433;59;147;64;163;63,4;73,8;63,1;44,8;71,8
1811 Bindal;1811;Bindal;20; : ; : ; : ; : ;55,6; : ; : ; : ; : ;10; : ; : ; : ; : ;55,6; : ; : ; : ; : ;10; : ; : ; : ; : ;55,6; : ; : ; : ; : 
1812 Sømna;1812;Sømna;49; : ; : ; : ; : ;58,3; : ; : ; : ; : ;26; : ; : ; : ; : ;76,5; : ; : ; : ; : ;23; : ; : ; : ; : ;46; : ; : ; : ; : 
1813 Brønnøy;1813;Brønnøy;232;81;67;37;47;61,5;80,2;67;35,2;66,2;98;46;9;22;21;62;75,4;69,2;37,9;80,8;134;35;58;15;26;61,2;87,5;66,7;31,9;57,8
1815 Vega;1815;Vega;23; : ; : ; : ; : ;65,7; : ; : ; : ; : ;9; : ; : ; : ; : ;75; : ; : ; : ; : ;14; : ; : ; : ; : ;60,9; : ; : ; : ; : 
1816 Vevelstad;1816;Vevelstad;20; : ; : ; : ; : ;76,9; : ; : ; : ; : ;9; : ; : ; : ; : ;75; : ; : ; : ; : ;11; : ; : ; : ; : ;78,6; : ; : ; : ; : 
1818 Herøy;1818;Herøy (Nordl.);113;80;13;5;15;65,7;74,8;50;26,3;75;74;59;1;5;9;72,5;76,6;50;41,7;81,8;39;21;12;.;6;55,7;70;50;.;66,7
1820 Alstahaug;1820;Alstahaug;314;106;60;79;69;62,2;80,9;65,2;40,1;81,2;164;78;15;48;23;61,9;83;78,9;40;71,9;150;28;45;31;46;62,5;75,7;61,6;40,3;86,8
1822 Leirfjord;1822;Leirfjord;63;14;10;21;18;49,6;73,7;47,6;34,4;69,2;31;12;2;7;10;50;85,7;50;22,6;76,9;32;2;8;14;8;49,2;40;47,1;46,7;61,5
1824 Vefsn;1824;Vefsn;352;111;105;80;56;64,2;82,8;72,4;41,9;71,8;174;81;22;45;26;61,5;79,4;75,9;38,1;76,5;178;30;83;35;30;67,2;93,8;71,6;47,9;68,2
1825 Grane;1825;Grane;48; : ; : ; : ; : ;80; : ; : ; : ; : ;17; : ; : ; : ; : ;77,3; : ; : ; : ; : ;31; : ; : ; : ; : ;81,6; : ; : ; : ; : 
