Nr & navn;naringsregion_nr;Næringsregion-navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
34 Mandalsregionen;34;Mandalsregionen;582;129;453;2;451;17,3;41,2;14,8;10;14,9;327;69;258;1;257;19,2;43,7;16,7;12,5;16,7;255;60;195;1;194;15,4;38,7;12,9;8,3;13
35 Kristiansandregionen;35;Kristiansandregionen;3633;903;2730;132;2598;18,9;42,1;16;23,1;15,7;1956;492;1464;80;1384;19,9;43,7;16,8;28;16,4;1677;411;1266;52;1214;17,8;40,4;15,1;18,2;15
36 Dalane;36;Dalane;612;125;487;3;484;18,2;50;15,6;15,8;15,6;344;63;281;1;280;19,4;52,5;17;7,1;17,1;268;62;206;2;204;16,8;47,7;14,1;40;14
37 Haugesundregionen;37;Haugesundregionen;2454;585;1869;21;1848;17,5;45;14,7;16,3;14,7;1338;302;1036;10;1026;18,6;47,1;15,8;15,2;15,8;1116;283;833;11;822;16,4;43;13,5;17,5;13,5
38 Ryfylke;38;Ryfylke;524;142;382;3;379;17,2;47,2;13,9;13,6;13,9;270;74;196;.;196;17,4;50;13,9;.;14,1;254;68;186;3;183;17;44,4;13,9;30;13,8
39 Stavangerregionen;39;Stavangerregionen;8565;2570;5995;311;5684;20;46,6;16,1;23,4;15,8;4753;1335;3418;183;3235;21,6;48,7;17,7;26,5;17,4;3812;1235;2577;128;2449;18,3;44,5;14,3;20;14,1
40 Bergen;40;Bergen;7232;2238;4994;204;4790;18,1;45,6;14,2;19,8;14,1;3995;1141;2854;108;2746;19,8;47,5;16;22;15,9;3237;1097;2140;96;2044;16,4;43,7;12,4;17,9;12,2
41 Bjørnefjorden;41;Bjørnefjorden;525;107;418;8;410;16,7;48;14,3;20;14,2;274;51;223;4;219;16,8;55,4;14,5;26,7;14,4;251;56;195;4;191;16,5;42,7;14;16;14
42 Hardanger;42;Hardanger;440;116;324;2;322;14,5;40,4;11,8;25;11,7;236;56;180;2;178;15;37,1;12,6;40;12,5;204;60;144;.;144;13,9;44,1;10,8;.;10,9
43 Voss;43;Voss;282;65;217;1;216;15,4;51,2;12,7;16,7;12,7;171;36;135;1;134;17,8;46,8;15,3;25;15,3;111;29;82;.;82;12,6;58;9,9;.;9,9
44 Nordhordland;44;Nordhordland;759;121;638;3;635;18,1;43,8;16,3;33,3;16,2;439;66;373;3;370;20,2;45,8;18,4;60;18,3;320;55;265;.;265;15,8;41,7;14;.;14
45 Osterfjorden;45;Osterfjorden;276;40;236;2;234;16,6;39,2;15,1;40;15;149;21;128;.;128;17,7;36,8;16,3;.;16,3;127;19;108;2;106;15,5;42,2;13,9;66,7;13,7
46 Sunnhordland;46;Sunnhordland;1342;259;1083;10;1073;15,7;45,3;13,5;24,4;13,5;740;135;605;6;599;16,5;48,4;14,4;27,3;14,3;602;124;478;4;474;14,7;42,3;12,6;21,1;12,6
47 Hordaland Vest;47;Hordaland Vest;1614;251;1363;17;1346;19,7;44,6;17,9;29,8;17,8;912;132;780;11;769;21,4;48,2;19,6;31,4;19,5;702;119;583;6;577;17,8;41,2;16;27,3;15,9
48 HAFS;48;HAFS;170;35;135;.;135;11,7;15,2;11;.;11,1;93;12;81;.;81;12,9;12,8;12,9;.;12,9;77;23;54;.;54;10,5;16,8;9,1;.;9,2
49 Nordfjord;49;Nordfjord;646;185;461;5;456;14,8;44,4;11,7;20;11,6;384;109;275;.;275;16,5;44,7;13,2;.;13,3;262;76;186;5;181;12,9;43,9;10;41,7;9,8
50 Sogn;50;Sogn;605;148;457;3;454;13,8;45,4;11,2;11,1;11,2;344;72;272;3;269;15,1;40,4;13;21,4;12,9;261;76;185;.;185;12,3;51,4;9,4;.;9,4
51 Sunnfjord;51;Sunnfjord;751;180;571;8;563;15,9;46,3;13,2;22,2;13,1;398;94;304;3;301;16,1;47,2;13,4;16,7;13,3;353;86;267;5;262;15,7;45,3;13;27,8;12,9
52 Nordmøre;52;Nordmøre;1475;302;1173;2;1171;19,1;45,1;16,6;8,3;16,6;836;179;657;1;656;20,4;47,7;17,7;7,1;17,7;639;123;516;1;515;17,6;41,8;15,4;10;15,4
53 Romsdal;53;Romsdal;1389;318;1071;4;1067;17,8;49,3;15;8;15,1;781;168;613;3;610;19,3;49,3;16,5;12,5;16,6;608;150;458;1;457;16,3;49,3;13,4;3,8;13,4
54 Storfjord;54;Storfjord;382;123;259;1;258;17,7;51,3;13,5;5,9;13,6;221;59;162;1;161;19,8;52,7;16,2;12,5;16,2;161;64;97;.;97;15,5;50;10,6;.;10,7
55 Søre Sunnmøre;55;Søre Sunnmøre;1069;262;807;8;799;16,9;42,7;14,1;12,5;14,1;650;134;516;4;512;19,7;42,1;17,3;12,9;17,3;419;128;291;4;287;13,8;43,2;10,6;12,1;10,6
56 Ålesundregionen;56;Ålesundregionen;1874;472;1402;14;1388;18,4;44,1;15,4;15,2;15,4;1065;256;809;7;802;20,2;47;17,1;14,6;17,1;809;216;593;7;586;16,6;41,1;13,6;15,9;13,6
57 Fosen;57;Fosen;530;59;471;2;469;16,2;40,7;15;25;15;291;38;253;1;252;17,2;45,8;15,7;20;15,7;239;21;218;1;217;15,1;33,9;14,3;33,3;14,3
58 Hitra/Frøya;58;Hitra/Frøya;281;126;155;.;155;24,5;61,8;16,4;.;16,4;153;67;86;.;86;27,1;66,3;18,6;.;18,6;128;59;69;.;69;21,9;57,3;14,3;.;14,4
59 Oppdal/Rennebu;59;Oppdal/Rennebu;228;46;182;.;182;18,8;54,8;16,1;.;16,2;131;18;113;.;113;20,9;50;19,1;.;19,2;97;28;69;.;69;16,6;58,3;12,9;.;12,9
