Næringsregion nr & navn;naringsregion_nr;Næringsregion navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
32 Arendalregionen;32;Arendalregionen;820;39;781;8;773;70,1;57,4;70,9;61,5;71;406;17;389;4;385;68,5;58,6;69;50;69,2;414;22;392;4;388;71,8;56,4;72,9;80;72,8
33 Lister;33;Lister;378;19;359;1;358;73,1;67,9;73,4;50;73,5;169;4;165;1;164;65,8;40;66,8;50;66,9;209;15;194;.;194;80,4;83,3;80,2;.;80,2
34 Mandalsregionen;34;Mandalsregionen;221;8;213;2;211;65,8;50;66,6;66,7;66,6;103;1;102;.;102;61,7;20;63;.;63,4;118;7;111;2;109;69,8;63,6;70,3;100;69,9
35 Kristiansandregionen;35;Kristiansandregionen;1308;62;1246;33;1213;74,4;62;75,1;58,9;75,7;675;33;642;12;630;71,2;54,1;72,4;41,4;73,4;633;29;604;21;583;78,1;74,4;78,2;77,8;78,3
36 Dalane;36;Dalane;269;5;264;3;261;76,4;55,6;77;100;76,8;140;1;139;2;137;74,9;33,3;75,5;100;75,3;129;4;125;1;124;78,2;66,7;78,6;100;78,5
37 Haugesundregionen;37;Haugesundregionen;1008;26;982;2;980;73,4;45,6;74,6;40;74,7;509;11;498;2;496;70,4;36,7;71,9;66,7;71,9;499;15;484;.;484;76,7;55,6;77,6;.;77,8
38 Ryfylke;38;Ryfylke;219;5;214;3;211;71,6;50;72,3;100;72;117;2;115;3;112;72,7;66,7;72,8;100;72,3;102;3;99;.;99;70,3;42,9;71,7;.;71,7
39 Stavangerregionen;39;Stavangerregionen;2775;100;2675;62;2613;72,5;55,2;73,4;60,8;73,8;1398;52;1346;21;1325;69,7;51,5;70,7;44,7;71,4;1377;48;1329;41;1288;75,6;60;76,3;74,5;76,4
40 Bergen;40;Bergen;2192;68;2124;51;2073;72,3;54;73,1;68,9;73,2;1090;40;1050;23;1027;68;54,8;68,7;65,7;68,7;1102;28;1074;28;1046;77;52,8;77,9;71,8;78,1
41 Bjørnefjorden;41;Bjørnefjorden;229;6;223;2;221;72,5;85,7;72,2;100;72;109;2;107;1;106;69,9;100;69,5;100;69,3;120;4;116;1;115;75;80;74,8;100;74,7
42 Hardanger;42;Hardanger;253;5;248;.;248;76,7;62,5;77;.;77;131;3;128;.;128;74,9;100;74,4;.;74,4;122;2;120;.;120;78,7;40;80;.;80
43 Voss;43;Voss;141;2;139;1;138;77;66,7;77,2;100;77,1;74;1;73;1;72;74,7;50;75,3;100;75;67;1;66;.;66;79,8;100;79,5;.;79,5
44 Nordhordland;44;Nordhordland;264;3;261;2;259;67,2;42,9;67,6;100;67,4;129;2;127;1;126;64,8;40;65,5;100;65,3;135;1;134;1;133;69,6;50;69,8;100;69,6
45 Osterfjorden;45;Osterfjorden;125;2;123;1;122;74,9;50;75,5;100;75,3;61;.;61;.;61;79,2;.;81,3;.;81,3;64;2;62;1;61;71,1;100;70,5;100;70,1
46 Sunnhordland;46;Sunnhordland;664;11;653;4;649;71,1;50;71,6;57,1;71,7;340;5;335;1;334;68,1;55,6;68,4;33,3;68,6;324;6;318;3;315;74,5;46,2;75,4;75;75,4
47 Hordaland Vest;47;Hordaland Vest;495;16;479;3;476;63,1;45,7;64;50;64,1;216;3;213;1;212;55;25;55,9;25;56,2;279;13;266;2;264;71,4;56,5;72,3;100;72,1
48 HAFS;48;HAFS;121;2;119;.;119;79,6;50;80,4;.;80,4;60;.;60;.;60;78,9;.;78,9;.;78,9;61;2;59;.;59;80,3;50;81,9;.;81,9
