kommune;kommune_nr;kommune_navn;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1411 Gulen;1411;Gulen;27;4;23;:;23;100;14,8;85,2;       :;85,2;13;       :;12;:;12;100;7,7;       :;       :;92,3;14;       :;11;:;11;100;       :;78,6;       :;78,6
1412 Solund;1412;Solund;7;:;7;:;7;100;       :;100;       :;100;       :;:;       :;:;       :;100;       :;       :;       :;       :;4;:;4;:;4;100;       :;100;       :;100
1413 Hyllestad;1413;Hyllestad;6;:;6;:;6;100;       :;100;       :;100;5;:;5;:;       :;100;       :;100;       :;       :;       :;:;       :;:;       :;100;       :;       :;       :;       :
1416 Høyanger;1416;Høyanger;99;14;85;:;85;100;14,1;85,9;       :;85,9;64;7;57;:;57;100;10,9;89,1;       :;89,1;35;7;28;:;28;100;20;80;       :;80
1417 Vik;1417;Vik;30;13;17;:;17;100;43,3;56,7;       :;56,7;12;6;6;:;6;100;50;50;       :;50;18;7;11;:;11;100;38,9;61,1;       :;61,1
1418 Balestrand;1418;Balestrand;38;15;23;       :;22;100;39,5;60,5;       :;57,9;21;6;15;       :;14;100;28,6;71,4;       :;66,7;17;9;8;:;8;100;52,9;47,1;       :;47,1
1419 Leikanger;1419;Leikanger;44;22;22;:;22;100;50;50;       :;50;26;11;15;:;15;100;42,3;57,7;       :;57,7;18;11;7;:;7;100;61,1;38,9;       :;38,9
1420 Sogndal;1420;Sogndal;104;36;68;:;68;100;34,6;65,4;       :;65,4;58;22;36;:;36;100;37,9;62,1;       :;62,1;46;14;32;:;32;100;30,4;69,6;       :;69,6
1421 Aurland;1421;Aurland;48;9;39;:;39;100;18,8;81,3;       :;81,3;28;5;23;:;23;100;17,9;82,1;       :;82,1;20;4;16;:;16;100;20;80;       :;80
1422 Lærdal;1422;Lærdal;40;:;40;:;40;100;       :;100;       :;100;23;:;23;:;23;100;       :;100;       :;100;17;:;17;:;17;100;       :;100;       :;100
1424 Årdal;1424;Årdal;93;15;78;:;78;100;16,1;83,9;       :;83,9;49;9;40;:;40;100;18,4;81,6;       :;81,6;44;6;38;:;38;100;13,6;86,4;       :;86,4
1426 Luster;1426;Luster;82;28;54;:;54;100;34,1;65,9;       :;65,9;38;14;24;:;24;100;36,8;63,2;       :;63,2;44;14;30;:;30;100;31,8;68,2;       :;68,2
1428 Askvoll;1428;Askvoll;71;11;60;       :;59;100;15,5;84,5;       :;83,1;36;6;30;:;30;100;16,7;83,3;       :;83,3;35;5;30;       :;29;100;14,3;85,7;       :;82,9
1429 Fjaler;1429;Fjaler;37;       :;34;:;34;100;       :;91,9;       :;91,9;23;       :;22;:;22;100;       :;95,7;       :;95,7;14;       :;12;:;12;100;       :;85,7;       :;85,7
1430 Gaular;1430;Gaular;31;       :;28;:;28;100;       :;90,3;       :;90,3;14;       :;13;:;13;100;       :;92,9;       :;92,9;17;       :;15;:;15;100;       :;88,2;       :;88,2
1431 Jølster;1431;Jølster;77;30;47;:;47;100;39;61;       :;61;36;15;21;:;21;100;41,7;58,3;       :;58,3;41;15;26;:;26;100;36,6;63,4;       :;63,4
1432 Førde;1432;Førde;317;93;224;       :;223;100;29,3;70,7;       :;70,3;169;47;122;       :;121;100;27,8;72,2;       :;71,6;148;46;102;:;102;100;31,1;68,9;       :;68,9
1433 Naustdal;1433;Naustdal;51;       :;48;:;48;100;       :;94,1;       :;94,1;29;:;29;:;29;100;       :;100;       :;100;22;       :;19;:;19;100;       :;86,4;       :;86,4
1438 Bremanger;1438;Bremanger;61;21;40;:;40;100;34,4;65,6;       :;65,6;36;13;23;:;23;100;36,1;63,9;       :;63,9;25;8;17;:;17;100;32;68;       :;68
1439 Vågsøy;1439;Vågsøy;74;9;65;:;65;100;12,2;87,8;       :;87,8;42;5;37;:;37;100;11,9;88,1;       :;88,1;32;4;28;:;28;100;12,5;87,5;       :;87,5
1441 Selje;1441;Selje;27;       :;26;:;26;100;       :;96,3;       :;96,3;13;:;13;:;13;100;       :;100;       :;100;14;       :;13;:;13;100;       :;92,9;       :;92,9
1443 Eid;1443;Eid;107;32;75;:;75;100;29,9;70,1;       :;70,1;54;10;44;:;44;100;18,5;81,5;       :;81,5;53;22;31;:;31;100;41,5;58,5;       :;58,5
1444 Hornindal;1444;Hornindal;7;       :;4;:;4;100;       :;57,1;       :;57,1;5;       :;       :;:;       :;100;       :;       :;       :;       :;       :;       :;       :;:;       :;100;       :;       :;       :;       :
1445 Gloppen;1445;Gloppen;93;41;52;       :;51;100;44,1;55,9;       :;54,8;58;31;27;:;27;100;53,4;46,6;       :;46,6;35;10;25;       :;24;100;28,6;71,4;       :;68,6
1449 Stryn;1449;Stryn;95;37;58;:;58;100;38,9;61,1;       :;61,1;55;19;36;:;36;100;34,5;65,5;       :;65,5;40;18;22;:;22;100;45;55;       :;55
1502 Molde;1502;Molde;510;152;358;       :;356;100;29,8;70,2;       :;69,8;276;73;203;       :;202;100;26,4;73,6;       :;73,2;234;79;155;       :;154;100;33,8;66,2;       :;65,8
1504 Ålesund;1504;Ålesund;898;248;650;       :;648;100;27,6;72,4;       :;72,2;497;140;357;       :;356;100;28,2;71,8;       :;71,6;401;108;293;       :;292;100;26,9;73,1;       :;72,8
1505 Kristiansund;1505;Kristiansund;596;172;424;:;424;100;28,9;71,1;       :;71,1;319;86;233;:;233;100;27;73;       :;73;277;86;191;:;191;100;31;69;       :;69
1511 Vanylven;1511;Vanylven;33;4;29;:;29;100;12,1;87,9;       :;87,9;18;       :;15;:;15;100;       :;83,3;       :;83,3;15;       :;14;:;14;100;       :;93,3;       :;93,3
1514 Sande (M. og R.);1514;Sande (M. og R.);24;4;20;:;20;100;16,7;83,3;       :;83,3;15;       :;12;:;12;100;       :;80;       :;80;9;       :;8;:;8;100;       :;88,9;       :;88,9
1515 Herøy (M. og R.);1515;Herøy (M. og R.);158;41;117;:;117;100;25,9;74,1;       :;74,1;77;17;60;:;60;100;22,1;77,9;       :;77,9;81;24;57;:;57;100;29,6;70,4;       :;70,4
1516 Ulstein;1516;Ulstein;161;65;96;       :;93;100;40,4;59,6;       :;57,8;75;21;54;       :;51;100;28;72;       :;68;86;44;42;:;42;100;51,2;48,8;       :;48,8
1517 Hareid;1517;Hareid;77;25;52;:;52;100;32,5;67,5;       :;67,5;38;13;25;:;25;100;34,2;65,8;       :;65,8;39;12;27;:;27;100;30,8;69,2;       :;69,2
1519 Volda;1519;Volda;142;70;72;:;72;100;49,3;50,7;       :;50,7;90;50;40;:;40;100;55,6;44,4;       :;44,4;52;20;32;:;32;100;38,5;61,5;       :;61,5
1520 Ørsta;1520;Ørsta;161;63;98;:;98;100;39,1;60,9;       :;60,9;90;34;56;:;56;100;37,8;62,2;       :;62,2;71;29;42;:;42;100;40,8;59,2;       :;59,2
1523 Ørskog;1523;Ørskog;51;13;38;:;38;100;25,5;74,5;       :;74,5;26;9;17;:;17;100;34,6;65,4;       :;65,4;25;4;21;:;21;100;16;84;       :;84
1524 Norddal;1524;Norddal;13;       :;12;:;12;100;       :;92,3;       :;92,3;7;:;7;:;7;100;       :;100;       :;100;6;       :;5;:;5;100;       :;83,3;       :;83,3
1525 Stranda;1525;Stranda;28;5;23;:;23;100;17,9;82,1;       :;82,1;16;4;12;:;12;100;25;75;       :;75;12;       :;11;:;11;100;       :;91,7;       :;91,7
1526 Stordal;1526;Stordal;16;4;12;:;12;100;25;75;       :;75;8;       :;6;:;6;100;       :;75;       :;75;8;       :;6;:;6;100;       :;75;       :;75
1528 Sykkylven;1528;Sykkylven;96;30;66;       :;65;100;31,3;68,8;       :;67,7;55;15;40;       :;39;100;27,3;72,7;       :;70,9;41;15;26;:;26;100;36,6;63,4;       :;63,4
1529 Skodje;1529;Skodje;65;7;58;:;58;100;10,8;89,2;       :;89,2;31;4;27;:;27;100;12,9;87,1;       :;87,1;34;       :;31;:;31;100;       :;91,2;       :;91,2
1531 Sula;1531;Sula;58;11;47;:;47;100;19;81;       :;81;30;6;24;:;24;100;20;80;       :;80;28;5;23;:;23;100;17,9;82,1;       :;82,1
1532 Giske;1532;Giske;93;33;60;:;60;100;35,5;64,5;       :;64,5;56;20;36;:;36;100;35,7;64,3;       :;64,3;37;13;24;:;24;100;35,1;64,9;       :;64,9
1534 Haram;1534;Haram;86;36;50;:;50;100;41,9;58,1;       :;58,1;51;20;31;:;31;100;39,2;60,8;       :;60,8;35;16;19;:;19;100;45,7;54,3;       :;54,3
1535 Vestnes;1535;Vestnes;111;18;93;:;93;100;16,2;83,8;       :;83,8;56;10;46;:;46;100;17,9;82,1;       :;82,1;55;8;47;:;47;100;14,5;85,5;       :;85,5
1539 Rauma;1539;Rauma;146;9;137;       :;136;100;6,2;93,8;       :;93,2;68;       :;65;:;65;100;       :;95,6;       :;95,6;78;6;72;       :;71;100;7,7;92,3;       :;91
1543 Nesset;1543;Nesset;58;       :;57;:;57;100;       :;98,3;       :;98,3;37;       :;36;:;36;100;       :;97,3;       :;97,3;21;:;21;:;21;100;       :;100;       :;100
1545 Midsund;1545;Midsund;33;10;23;:;23;100;30,3;69,7;       :;69,7;9;       :;8;:;8;100;       :;88,9;       :;88,9;24;9;15;:;15;100;37,5;62,5;       :;62,5
1546 Sandøy;1546;Sandøy;6;       :;4;:;4;100;       :;66,7;       :;66,7;6;       :;4;:;4;100;       :;66,7;       :;66,7;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :
1547 Aukra;1547;Aukra;34;10;24;:;24;100;29,4;70,6;       :;70,6;18;       :;15;:;15;100;       :;83,3;       :;83,3;16;7;9;:;9;100;43,8;56,3;       :;56,3
1548 Fræna;1548;Fræna;190;39;151;:;151;100;20,5;79,5;       :;79,5;92;16;76;:;76;100;17,4;82,6;       :;82,6;98;23;75;:;75;100;23,5;76,5;       :;76,5
1551 Eide;1551;Eide;56;7;49;:;49;100;12,5;87,5;       :;87,5;34;       :;31;:;31;100;       :;91,2;       :;91,2;22;4;18;:;18;100;18,2;81,8;       :;81,8
1554 Averøy;1554;Averøy;112;15;97;:;97;100;13,4;86,6;       :;86,6;48;       :;46;:;46;100;       :;95,8;       :;95,8;64;13;51;:;51;100;20,3;79,7;       :;79,7
1557 Gjemnes;1557;Gjemnes;17;       :;15;:;15;100;       :;88,2;       :;88,2;9;:;9;:;9;100;       :;100;       :;100;8;       :;6;:;6;100;25;       :;       :;75
1560 Tingvoll;1560;Tingvoll;44;19;25;:;25;100;43,2;56,8;       :;56,8;25;10;15;:;15;100;40;60;       :;60;19;9;10;:;10;100;47,4;52,6;       :;52,6
1563 Sunndal;1563;Sunndal;202;99;103;:;103;100;49;51;       :;51;119;63;56;:;56;100;52,9;47,1;       :;47,1;83;36;47;:;47;100;43,4;56,6;       :;56,6
1566 Surnadal;1566;Surnadal;60;13;47;:;47;100;21,7;78,3;       :;78,3;36;12;24;:;24;100;33,3;66,7;       :;66,7;24;       :;23;:;23;100;       :;95,8;       :;95,8
1567 Rindal;1567;Rindal;6;:;6;:;6;100;       :;100;       :;100;       :;:;       :;:;       :;100;       :;       :;       :;       :;4;:;4;:;4;100;       :;100;       :;100
1571 Halsa;1571;Halsa;22;       :;20;:;20;100;       :;90,9;       :;90,9;16;       :;15;:;15;100;       :;93,8;       :;93,8;6;       :;5;:;5;100;       :;83,3;       :;83,3
1573 Smøla;1573;Smøla;43;5;38;:;38;100;11,6;88,4;       :;88,4;25;       :;22;:;22;100;       :;88;       :;88;18;       :;16;:;16;100;       :;88,9;       :;88,9
1576 Aure;1576;Aure;73;16;57;:;57;100;21,9;78,1;       :;78,1;34;10;24;:;24;100;29,4;70,6;       :;70,6;39;6;33;:;33;100;15,4;84,6;       :;84,6
1601 Trondheim;1601;Trondheim;3921;1430;2491;25;2466;100;36,5;63,5;0,6;62,9;2230;815;1415;11;1404;100;36,5;63,5;0,5;63;1691;615;1076;14;1062;100;36,4;63,6;0,8;62,8
1612 Hemne;1612;Hemne;96;21;75;:;75;100;21,9;78,1;       :;78,1;53;15;38;:;38;100;28,3;71,7;       :;71,7;43;6;37;:;37;100;14;86;       :;86
1613 Snillfjord;1613;Snillfjord;11;:;11;:;11;100;       :;100;       :;100;6;:;6;:;6;100;       :;100;       :;100;5;:;5;:;5;100;       :;100;       :;100
1617 Hitra;1617;Hitra;91;20;71;:;71;100;22;78;       :;78;52;13;39;:;39;100;25;75;       :;75;39;7;32;:;32;100;17,9;82,1;       :;82,1
1620 Frøya;1620;Frøya;84;17;67;:;67;100;20,2;79,8;       :;79,8;42;12;30;:;30;100;28,6;71,4;       :;71,4;42;5;37;:;37;100;11,9;88,1;       :;88,1
1621 Ørland;1621;Ørland;97;5;92;:;92;100;5,2;94,8;       :;94,8;46;       :;45;:;45;100;       :;97,8;       :;97,8;51;4;47;:;47;100;7,8;92,2;       :;92,2
1622 Agdenes;1622;Agdenes;24;4;20;:;20;100;16,7;83,3;       :;83,3;13;       :;11;:;11;100;       :;84,6;       :;84,6;11;       :;9;:;9;100;       :;81,8;       :;81,8
1624 Rissa;1624;Rissa;110;26;84;:;84;100;23,6;76,4;       :;76,4;63;15;48;:;48;100;23,8;76,2;       :;76,2;47;11;36;:;36;100;23,4;76,6;       :;76,6
1627 Bjugn;1627;Bjugn;69;4;65;:;65;100;5,8;94,2;       :;94,2;35;       :;34;:;34;100;       :;97,1;       :;97,1;34;       :;31;:;31;100;       :;91,2;       :;91,2
1630 Åfjord;1630;Åfjord;40;       :;38;:;38;100;       :;95;       :;95;17;       :;16;:;16;100;       :;94,1;       :;94,1;23;       :;22;:;22;100;       :;95,7;       :;95,7
1632 Roan;1632;Roan;24;6;18;:;18;100;25;75;       :;75;16;6;10;:;10;100;37,5;62,5;       :;62,5;8;:;8;:;8;100;       :;100;       :;100
1633 Osen;1633;Osen;12;       :;10;:;10;100;       :;83,3;       :;83,3;7;       :;6;:;6;100;       :;85,7;       :;85,7;5;       :;4;:;4;100;       :;80;       :;80
1634 Oppdal;1634;Oppdal;124;64;60;:;60;100;51,6;48,4;       :;48,4;64;27;37;:;37;100;42,2;57,8;       :;57,8;60;37;23;:;23;100;61,7;38,3;       :;38,3
1635 Rennebu;1635;Rennebu;30;       :;28;:;28;100;       :;93,3;       :;93,3;18;:;18;:;18;100;       :;100;       :;100;12;       :;10;:;10;100;       :;83,3;       :;83,3
1636 Meldal;1636;Meldal;76;4;72;:;72;100;5,3;94,7;       :;94,7;40;       :;37;:;37;100;       :;92,5;       :;92,5;36;       :;35;:;35;100;       :;97,2;       :;97,2
1638 Orkdal;1638;Orkdal;298;97;201;:;201;100;32,6;67,4;       :;67,4;146;47;99;:;99;100;32,2;67,8;       :;67,8;152;50;102;:;102;100;32,9;67,1;       :;67,1
1640 Røros;1640;Røros;108;25;83;:;83;100;23,1;76,9;       :;76,9;63;14;49;:;49;100;22,2;77,8;       :;77,8;45;11;34;:;34;100;24,4;75,6;       :;75,6
1644 Holtålen;1644;Holtålen;31;:;31;:;31;100;       :;100;       :;100;16;:;16;:;16;100;       :;100;       :;100;15;:;15;:;15;100;       :;100;       :;100
1648 Midtre Gauldal;1648;Midtre Gauldal;114;43;71;       :;70;100;37,7;62,3;       :;61,4;58;23;35;       :;34;100;39,7;60,3;       :;58,6;56;20;36;:;36;100;35,7;64,3;       :;64,3
1653 Melhus;1653;Melhus;272;60;212;:;212;100;22,1;77,9;       :;77,9;144;37;107;:;107;100;25,7;74,3;       :;74,3;128;23;105;:;105;100;18;82;       :;82
1657 Skaun;1657;Skaun;110;21;89;:;89;100;19,1;80,9;       :;80,9;58;9;49;:;49;100;15,5;84,5;       :;84,5;52;12;40;:;40;100;23,1;76,9;       :;76,9
1662 Klæbu;1662;Klæbu;94;10;84;:;84;100;10,6;89,4;       :;89,4;46;       :;43;:;43;100;       :;93,5;       :;93,5;48;7;41;:;41;100;14,6;85,4;       :;85,4
1663 Malvik;1663;Malvik;247;55;192;:;192;100;22,3;77,7;       :;77,7;124;31;93;:;93;100;25;75;       :;75;123;24;99;:;99;100;19,5;80,5;       :;80,5
1664 Selbu;1664;Selbu;64;8;56;:;56;100;12,5;87,5;       :;87,5;38;6;32;:;32;100;15,8;84,2;       :;84,2;26;       :;24;:;24;100;       :;92,3;       :;92,3
1665 Tydal;1665;Tydal;28;       :;27;:;27;100;       :;96,4;       :;96,4;15;:;15;:;15;100;       :;100;       :;100;13;       :;12;:;12;100;       :;92,3;       :;92,3
1702 Steinkjer;1702;Steinkjer;490;102;388;:;388;100;20,8;79,2;       :;79,2;228;34;194;:;194;100;14,9;85,1;       :;85,1;262;68;194;:;194;100;26;74;       :;74
1703 Namsos;1703;Namsos;266;63;203;:;203;100;23,7;76,3;       :;76,3;144;34;110;:;110;100;23,6;76,4;       :;76,4;122;29;93;:;93;100;23,8;76,2;       :;76,2
1711 Meråker;1711;Meråker;78;21;57;:;57;100;26,9;73,1;       :;73,1;36;10;26;:;26;100;27,8;72,2;       :;72,2;42;11;31;:;31;100;26,2;73,8;       :;73,8
1714 Stjørdal;1714;Stjørdal;363;132;231;:;231;100;36,4;63,6;       :;63,6;209;85;124;:;124;100;40,7;59,3;       :;59,3;154;47;107;:;107;100;30,5;69,5;       :;69,5
1717 Frosta;1717;Frosta;53;       :;50;:;50;100;       :;94,3;       :;94,3;32;       :;30;:;30;100;       :;93,8;       :;93,8;21;       :;20;:;20;100;       :;95,2;       :;95,2
1718 Leksvik;1718;Leksvik;86;22;64;:;64;100;25,6;74,4;       :;74,4;48;13;35;:;35;100;27,1;72,9;       :;72,9;38;9;29;:;29;100;23,7;76,3;       :;76,3
1719 Levanger;1719;Levanger;360;72;288;:;288;100;20;80;       :;80;180;35;145;:;145;100;19,4;80,6;       :;80,6;180;37;143;:;143;100;20,6;79,4;       :;79,4
1721 Verdal;1721;Verdal;361;117;244;:;244;100;32,4;67,6;       :;67,6;194;58;136;:;136;100;29,9;70,1;       :;70,1;167;59;108;:;108;100;35,3;64,7;       :;64,7
1724 Verran;1724;Verran;73;8;65;:;65;100;11;89;       :;89;41;4;37;:;37;100;9,8;90,2;       :;90,2;32;4;28;:;28;100;12,5;87,5;       :;87,5
1725 Namdalseid;1725;Namdalseid;29;       :;26;:;26;100;       :;89,7;       :;89,7;13;       :;12;:;12;100;       :;92,3;       :;92,3;16;       :;14;:;14;100;       :;87,5;       :;87,5
1736 Snåsa;1736;Snåsa;40;       :;39;       :;38;100;       :;97,5;       :;95;19;:;19;       :;18;100;       :;100;       :;94,7;21;       :;20;:;20;100;       :;95,2;       :;95,2
1738 Lierne;1738;Lierne;19;       :;18;:;18;100;       :;94,7;       :;94,7;8;:;8;:;8;100;       :;100;       :;100;11;       :;10;:;10;100;       :;90,9;       :;90,9
1739 Røyrvik;1739;Røyrvik;7;       :;5;:;5;100;       :;71,4;       :;71,4;4;:;4;:;4;100;       :;100;       :;100;       :;       :;       :;:;       :;100;       :;       :;       :;       :
1740 Namsskogan;1740;Namsskogan;13;:;13;:;13;100;       :;100;       :;100;7;:;7;:;7;100;       :;100;       :;100;6;:;6;:;6;100;       :;100;       :;100
1742 Grong;1742;Grong;84;35;49;:;49;100;41,7;58,3;       :;58,3;44;17;27;:;27;100;38,6;61,4;       :;61,4;40;18;22;:;22;100;45;55;       :;55
1743 Høylandet;1743;Høylandet;8;       :;7;:;7;100;       :;87,5;       :;87,5;4;       :;       :;:;       :;100;       :;       :;       :;       :;4;:;4;:;4;100;       :;100;       :;100
1744 Overhalla;1744;Overhalla;92;17;75;:;75;100;18,5;81,5;       :;81,5;48;10;38;:;38;100;20,8;79,2;       :;79,2;44;7;37;:;37;100;15,9;84,1;       :;84,1
1748 Fosnes;1748;Fosnes;8;:;8;:;8;100;       :;100;       :;100;5;:;5;:;5;100;       :;100;       :;100;       :;:;       :;:;       :;100;       :;       :;       :;       :
1749 Flatanger;1749;Flatanger;31;4;27;:;27;100;12,9;87,1;       :;87,1;13;       :;11;:;11;100;       :;84,6;       :;84,6;18;       :;16;:;16;100;       :;88,9;       :;88,9
1750 Vikna;1750;Vikna;87;12;75;:;75;100;13,8;86,2;       :;86,2;36;6;30;:;30;100;16,7;83,3;       :;83,3;51;6;45;:;45;100;11,8;88,2;       :;88,2
1751 Nærøy;1751;Nærøy;150;30;120;:;120;100;20;80;       :;80;76;18;58;:;58;100;23,7;76,3;       :;76,3;74;12;62;:;62;100;16,2;83,8;       :;83,8
1755 Leka;1755;Leka;12;       :;11;:;11;100;       :;91,7;       :;91,7;5;:;5;:;5;100;       :;100;       :;100;7;       :;6;:;6;100;       :;85,7;       :;85,7
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);111;9;102;:;102;100;8,1;91,9;       :;91,9;52;       :;49;:;49;100;       :;94,2;       :;94,2;59;6;53;:;53;100;10,2;89,8;       :;89,8
1804 Bodø;1804;Bodø;1226;369;857;:;857;100;30,1;69,9;       :;69,9;722;225;497;:;497;100;31,2;68,8;       :;68,8;504;144;360;:;360;100;28,6;71,4;       :;71,4
1805 Narvik;1805;Narvik;504;137;367;:;367;100;27,2;72,8;       :;72,8;293;75;218;:;218;100;25,6;74,4;       :;74,4;211;62;149;:;149;100;29,4;70,6;       :;70,6
1811 Bindal;1811;Bindal;25;       :;22;:;22;100;       :;88;       :;88;16;       :;14;:;14;100;       :;87,5;       :;87,5;9;       :;8;:;8;100;       :;88,9;       :;88,9
1812 Sømna;1812;Sømna;45;21;24;:;24;100;46,7;53,3;       :;53,3;19;7;12;:;12;100;36,8;63,2;       :;63,2;26;14;12;:;12;100;53,8;46,2;       :;46,2
1813 Brønnøy;1813;Brønnøy;236;77;159;:;159;100;32,6;67,4;       :;67,4;116;42;74;:;74;100;36,2;63,8;       :;63,8;120;35;85;:;85;100;29,2;70,8;       :;70,8
1815 Vega;1815;Vega;42;       :;40;:;40;100;       :;95,2;       :;95,2;23;:;23;:;23;100;       :;100;       :;100;19;       :;17;:;17;100;       :;89,5;       :;89,5
1816 Vevelstad;1816;Vevelstad;12;       :;10;:;10;100;       :;83,3;       :;83,3;       :;       :;       :;:;       :;100;       :;       :;       :;       :;9;       :;8;:;8;100;       :;88,9;       :;88,9
1818 Herøy (Nordl.);1818;Herøy (Nordl.);59;21;38;:;38;100;35,6;64,4;       :;64,4;32;11;21;:;21;100;34,4;65,6;       :;65,6;27;10;17;:;17;100;37;63;       :;63
1820 Alstahaug;1820;Alstahaug;173;48;125;:;125;100;27,7;72,3;       :;72,3;94;25;69;:;69;100;26,6;73,4;       :;73,4;79;23;56;:;56;100;29,1;70,9;       :;70,9
1822 Leirfjord;1822;Leirfjord;79;46;33;:;33;100;58,2;41,8;       :;41,8;47;22;25;:;25;100;46,8;53,2;       :;53,2;32;24;8;:;8;100;75;25;       :;25
1824 Vefsn;1824;Vefsn;265;31;234;:;234;100;11,7;88,3;       :;88,3;148;18;130;:;130;100;12,2;87,8;       :;87,8;117;13;104;:;104;100;11,1;88,9;       :;88,9
1825 Grane;1825;Grane;29;       :;27;:;27;100;       :;93,1;       :;93,1;17;       :;15;:;15;100;       :;88,2;       :;88,2;12;:;12;:;12;100;       :;100;       :;100
1826 Hattfjelldal;1826;Hattfjelldal;34;8;26;:;26;100;23,5;76,5;       :;76,5;18;5;13;:;13;100;27,8;72,2;       :;72,2;16;       :;13;:;13;100;       :;81,3;       :;81,3
1827 Dønna;1827;Dønna;45;4;41;:;41;100;8,9;91,1;       :;91,1;23;       :;22;:;22;100;       :;95,7;       :;95,7;22;       :;19;:;19;100;       :;86,4;       :;86,4
1828 Nesna;1828;Nesna;81;31;50;:;50;100;38,3;61,7;       :;61,7;44;19;25;:;25;100;43,2;56,8;       :;56,8;37;12;25;:;25;100;32,4;67,6;       :;67,6
1832 Hemnes;1832;Hemnes;161;37;124;:;124;100;23;77;       :;77;84;19;65;:;65;100;22,6;77,4;       :;77,4;77;18;59;:;59;100;23,4;76,6;       :;76,6
1833 Rana;1833;Rana;677;139;538;:;538;100;20,5;79,5;       :;79,5;366;79;287;:;287;100;21,6;78,4;       :;78,4;311;60;251;:;251;100;19,3;80,7;       :;80,7
1834 Lurøy;1834;Lurøy;40;       :;37;:;37;100;       :;92,5;       :;92,5;20;       :;19;:;19;100;       :;95;       :;95;20;       :;18;:;18;100;       :;90;       :;90
1835 Træna;1835;Træna;4;       :;       :;:;       :;100;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;       :;4;       :;       :;:;       :;100;       :;       :;       :;       :
1836 Rødøy;1836;Rødøy;33;       :;32;:;32;100;       :;97;       :;97;19;:;19;:;19;100;       :;100;       :;100;14;       :;13;:;13;100;       :;92,9;       :;92,9
1837 Meløy;1837;Meløy;201;23;178;:;178;100;11,4;88,6;       :;88,6;88;8;80;:;80;100;9,1;90,9;       :;90,9;113;15;98;:;98;100;13,3;86,7;       :;86,7
1838 Gildeskål;1838;Gildeskål;65;13;52;:;52;100;20;80;       :;80;43;9;34;:;34;100;20,9;79,1;       :;79,1;22;4;18;:;18;100;18,2;81,8;       :;81,8
1839 Beiarn;1839;Beiarn;25;       :;22;:;22;100;       :;88;       :;88;19;       :;17;:;17;100;       :;89,5;       :;89,5;6;       :;5;:;5;100;       :;83,3;       :;83,3
1840 Saltdal;1840;Saltdal;200;38;162;       :;161;100;19;81;       :;80,5;107;22;85;       :;84;100;20,6;79,4;       :;78,5;93;16;77;:;77;100;17,2;82,8;       :;82,8
1841 Fauske;1841;Fauske;273;60;213;:;213;100;22;78;       :;78;145;35;110;:;110;100;24,1;75,9;       :;75,9;128;25;103;:;103;100;19,5;80,5;       :;80,5
1845 Sørfold;1845;Sørfold;48;4;44;:;44;100;8,3;91,7;       :;91,7;24;       :;22;:;22;100;       :;91,7;       :;91,7;24;       :;22;:;22;100;       :;91,7;       :;91,7
1848 Steigen;1848;Steigen;119;32;87;:;87;100;26,9;73,1;       :;73,1;67;15;52;:;52;100;22,4;77,6;       :;77,6;52;17;35;:;35;100;32,7;67,3;       :;67,3
