Kommune nr & navn;kommune_nr;"Kommune
navn";flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.innvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.utvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.nettoinnvandring;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.innflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.utflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.nettoinnflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.innvandring_og_innflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.utvandring_og_utflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting;flytting.nettoinnvandring_og_nettoinnflytting
Nedbrytninger;;;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Innvkat og v-reg;;;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
Type tall;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0928 Birkenes;928;Birkenes;91;85;14;71;6;11;7;4;3;4;80;78;10;68;2;223;33;18;15;190;273;69;16;53;204;-50;-36;2;-38;-14;314;118;32;86;196;284;76;20;56;208;30;42;12;30;-12
0929 Åmli;929;Åmli;6;6;3;3;0;8;4;4;0;4;-2;2;-1;3;-4;87;5;0;5;82;95;7;4;3;88;-8;-2;-4;2;-6;93;11;3;8;82;103;11;8;3;92;-10;0;-5;5;-10
0935 Iveland;935;Iveland;3;3;0;3;0;0;0;0;0;0;3;3;0;3;0;84;9;3;6;75;65;6;3;3;59;19;3;0;3;16;87;12;3;9;75;65;6;3;3;59;22;6;0;6;16
0937 Evje og Hornnes;937;Evje og Hornnes;20;14;9;5;6;10;10;7;3;0;10;4;2;2;6;144;27;9;18;117;161;39;11;28;122;-17;-12;-2;-10;-5;164;41;18;23;123;171;49;18;31;122;-7;-8;0;-8;1
0938 Bygland;938;Bygland;35;32;3;29;3;3;3;0;3;0;32;29;3;26;3;53;7;4;3;46;86;43;8;35;43;-33;-36;-4;-32;3;88;39;7;32;49;89;46;8;38;43;-1;-7;-1;-6;6
0940 Valle;940;Valle;11;11;7;4;0;3;3;3;0;0;8;8;4;4;0;45;9;0;9;36;52;14;8;6;38;-7;-5;-8;3;-2;56;20;7;13;36;55;17;11;6;38;1;3;-4;7;-2
0941 Bykle;941;Bykle;25;22;18;4;3;3;3;3;0;0;22;19;15;4;3;39;17;9;8;22;50;9;6;3;41;-11;8;3;5;-19;64;39;27;12;25;53;12;9;3;41;11;27;18;9;-16
1001 Kristiansand;1001;Kristiansand;1109;923;522;401;186;496;333;217;116;163;613;590;305;285;23;3736;722;240;482;3014;3295;599;267;332;2696;441;123;-27;150;318;4845;1645;762;883;3200;3791;932;484;448;2859;1054;713;278;435;341
1002 Mandal;1002;Mandal;253;231;86;145;22;103;69;29;40;34;150;162;57;105;-12;496;90;36;54;406;590;116;48;68;474;-94;-26;-12;-14;-68;749;321;122;199;428;693;185;77;108;508;56;136;45;91;-80
1003 Farsund;1003;Farsund;122;113;26;87;9;24;20;16;4;4;98;93;10;83;5;252;34;14;20;218;286;70;8;62;216;-34;-36;6;-42;2;374;147;40;107;227;310;90;24;66;220;64;57;16;41;7
1004 Flekkefjord;1004;Flekkefjord;87;81;21;60;6;25;19;16;3;6;62;62;5;57;0;196;29;15;14;167;301;87;22;65;214;-105;-58;-7;-51;-47;283;110;36;74;173;326;106;38;68;220;-43;4;-2;6;-47
1014 Vennesla;1014;Vennesla;102;85;47;38;17;35;23;20;3;12;67;62;27;35;5;650;95;52;43;555;578;85;39;46;493;72;10;13;-3;62;752;180;99;81;572;613;108;59;49;505;139;72;40;32;67
1017 Songdalen;1017;Songdalen;50;47;25;22;3;38;28;18;10;10;12;19;7;12;-7;373;76;36;40;297;420;102;27;75;318;-47;-26;9;-35;-21;423;123;61;62;300;458;130;45;85;328;-35;-7;16;-23;-28
1018 Søgne;1018;Søgne;87;68;41;27;19;55;41;36;5;14;32;27;5;22;5;546;74;46;28;472;581;81;47;34;500;-35;-7;-1;-6;-28;633;142;87;55;491;636;122;83;39;514;-3;20;4;16;-23
1021 Marnardal;1021;Marnardal;20;16;12;4;4;8;5;5;0;3;12;11;7;4;1;114;18;9;9;96;129;18;10;8;111;-15;0;-1;1;-15;134;34;21;13;100;137;23;15;8;114;-3;11;6;5;-14
1026 Åseral;1026;Åseral;6;6;6;0;0;3;3;3;0;0;3;3;3;0;0;32;3;3;0;29;19;0;0;0;19;13;3;3;0;10;38;9;9;0;29;22;3;3;0;19;16;6;6;0;10
1027 Audnedal;1027;Audnedal;16;13;10;3;3;3;3;3;0;0;13;10;7;3;3;51;13;3;10;38;57;3;3;0;54;-6;10;0;10;-16;67;26;13;13;41;60;6;6;0;54;7;20;7;13;-13
1029 Lindesnes;1029;Lindesnes;37;26;20;6;11;11;5;5;0;6;26;21;15;6;5;244;31;14;17;213;223;26;13;13;197;21;5;1;4;16;281;57;34;23;224;234;31;18;13;203;47;26;16;10;21
1032 Lyngdal;1032;Lyngdal;141;132;34;98;9;26;23;18;5;3;115;109;16;93;6;234;33;14;19;201;291;85;12;73;206;-57;-52;2;-54;-5;375;165;48;117;210;317;108;30;78;209;58;57;18;39;1
1034 Hægebostad;1034;Hægebostad;23;15;11;4;8;3;0;0;0;3;20;15;11;4;5;45;0;0;0;45;62;8;3;5;54;-17;-8;-3;-5;-9;68;15;11;4;53;65;8;3;5;57;3;7;8;-1;-4
1037 Kvinesdal;1037;Kvinesdal;67;58;8;50;9;14;11;3;8;3;53;47;5;42;6;128;20;5;15;108;198;73;13;60;125;-70;-53;-8;-45;-17;195;78;13;65;117;212;84;16;68;128;-17;-6;-3;-3;-11
1046 Sirdal;1046;Sirdal;14;11;7;4;3;3;3;3;0;0;11;8;4;4;3;63;11;5;6;52;76;23;15;8;53;-13;-12;-10;-2;-1;77;22;12;10;55;79;26;18;8;53;-2;-4;-6;2;2
1101 Eigersund;1101;Eigersund;180;163;107;56;17;100;77;62;15;23;80;86;45;41;-6;434;142;82;60;292;377;69;36;33;308;57;73;46;27;-16;614;305;189;116;309;477;146;98;48;331;137;159;91;68;-22
1102 Sandnes;1102;Sandnes;1321;1195;740;455;126;537;390;254;136;147;784;805;486;319;-21;3974;1346;716;630;2628;3558;1050;541;509;2508;416;296;175;121;120;5295;2541;1456;1085;2754;4095;1440;795;645;2655;1200;1101;661;440;99
1103 Stavanger;1103;Stavanger;3735;3358;2109;1249;377;2212;1784;1145;639;428;1523;1574;964;610;-51;5784;1569;717;852;4215;6627;1890;986;904;4737;-843;-321;-269;-52;-522;9519;4927;2826;2101;4592;8839;3674;2131;1543;5165;680;1253;695;558;-573
1106 Haugesund;1106;Haugesund;690;631;401;230;59;292;248;187;61;44;398;383;214;169;15;1763;346;182;164;1417;1958;457;202;255;1501;-195;-111;-20;-91;-84;2453;977;583;394;1476;2250;705;389;316;1545;203;272;194;78;-69
1111 Sokndal;1111;Sokndal;36;29;24;5;7;3;3;3;0;0;33;26;21;5;7;82;3;3;0;79;95;8;0;8;87;-13;-5;3;-8;-8;118;32;27;5;86;98;11;3;8;87;20;21;24;-3;-1
1112 Lund;1112;Lund;46;41;16;25;5;12;8;5;3;4;34;33;11;22;1;132;21;7;14;111;134;39;3;36;95;-2;-18;4;-22;16;178;62;23;39;116;146;47;8;39;99;32;15;15;0;17
1114 Bjerkreim;1114;Bjerkreim;20;20;17;3;0;7;7;4;3;0;13;13;13;0;0;116;40;35;5;76;104;12;12;0;92;12;28;23;5;-16;136;60;52;8;76;111;19;16;3;92;25;41;36;5;-16
1119 Hå;1119;Hå;294;277;193;84;17;80;53;42;11;27;214;224;151;73;-10;832;225;160;65;607;737;208;133;75;529;95;17;27;-10;78;1126;502;353;149;624;817;261;175;86;556;309;241;178;63;68
1120 Klepp;1120;Klepp;228;217;155;62;11;89;66;48;18;23;139;151;107;44;-12;1072;266;188;78;806;1141;238;175;63;903;-69;28;13;15;-97;1300;483;343;140;817;1230;304;223;81;926;70;179;120;59;-109
1121 Time;1121;Time;153;136;99;37;17;87;57;38;19;30;66;79;61;18;-13;1147;241;138;103;906;921;167;117;50;754;226;74;21;53;152;1300;377;237;140;923;1008;224;155;69;784;292;153;82;71;139
1122 Gjesdal;1122;Gjesdal;100;92;75;17;8;38;29;24;5;9;62;63;51;12;-1;606;176;131;45;430;515;124;85;39;391;91;52;46;6;39;706;268;206;62;438;553;153;109;44;400;153;115;97;18;38
1124 Sola;1124;Sola;517;454;309;145;63;303;212;154;58;91;214;242;155;87;-28;1827;590;319;271;1237;1779;499;288;211;1280;48;91;31;60;-43;2344;1044;628;416;1300;2082;711;442;269;1371;262;333;186;147;-71
1127 Randaberg;1127;Randaberg;89;73;52;21;16;61;41;27;14;20;28;32;25;7;-4;545;165;92;73;380;631;152;96;56;479;-86;13;-4;17;-99;634;238;144;94;396;692;193;123;70;499;-58;45;21;24;-103
1129 Forsand;1129;Forsand;8;8;5;3;0;4;4;4;0;0;4;4;1;3;0;69;14;11;3;55;63;9;5;4;54;6;5;6;-1;1;77;22;16;6;55;67;13;9;4;54;10;9;7;2;1
1130 Strand;1130;Strand;157;144;80;64;13;40;26;21;5;14;117;118;59;59;-1;476;88;49;39;388;410;80;24;56;330;66;8;25;-17;58;633;232;129;103;401;450;106;45;61;344;183;126;84;42;57
1133 Hjelmeland;1133;Hjelmeland;41;38;29;9;3;17;14;14;0;3;24;24;15;9;0;96;19;8;11;77;115;16;11;5;99;-19;3;-3;6;-22;137;57;37;20;80;132;30;25;5;102;5;27;12;15;-22
1134 Suldal;1134;Suldal;40;37;23;14;3;16;16;13;3;0;24;21;10;11;3;127;26;7;19;101;136;19;11;8;117;-9;7;-4;11;-16;167;63;30;33;104;152;35;24;11;117;15;28;6;22;-13
1135 Sauda;1135;Sauda;38;31;18;13;7;13;10;4;6;3;25;21;14;7;4;138;32;15;17;106;144;26;9;17;118;-6;6;6;0;-12;176;63;33;30;113;157;36;13;23;121;19;27;20;7;-8
1141 Finnøy;1141;Finnøy;53;49;46;3;4;12;9;9;0;3;41;40;37;3;1;135;11;7;4;124;142;21;16;5;121;-7;-10;-9;-1;3;188;60;53;7;128;154;30;25;5;124;34;30;28;2;4
1142 Rennesøy;1142;Rennesøy;51;47;43;4;4;24;20;16;4;4;27;27;27;0;0;293;70;45;25;223;219;45;32;13;174;74;25;13;12;49;344;117;88;29;227;243;65;48;17;178;101;52;40;12;49
1144 Kvitsøy;1144;Kvitsøy;3;3;3;0;0;3;3;3;0;0;0;0;0;0;0;23;0;0;0;23;21;3;3;0;18;2;-3;-3;0;5;26;3;3;0;23;24;6;6;0;18;2;-3;-3;0;5
1145 Bokn;1145;Bokn;10;10;10;0;0;4;4;4;0;0;6;6;6;0;0;46;9;6;3;37;43;9;6;3;34;3;0;0;0;3;56;19;16;3;37;47;13;10;3;34;9;6;6;0;3
1146 Tysvær;1146;Tysvær;75;70;47;23;5;31;23;19;4;8;44;47;28;19;-3;541;81;41;40;460;466;67;54;13;399;75;14;-13;27;61;616;151;88;63;465;497;90;73;17;407;119;61;15;46;58
1149 Karmøy;1149;Karmøy;361;319;240;79;42;107;77;59;18;30;254;242;181;61;12;1379;250;146;104;1129;1237;200;127;73;1037;142;50;19;31;92;1740;569;386;183;1171;1344;277;186;91;1067;396;292;200;92;104
1151 Utsira;1151;Utsira;0;0;0;0;0;3;3;3;0;0;-3;-3;-3;0;0;13;0;0;0;13;12;3;0;3;9;1;-3;0;-3;4;13;0;0;0;13;15;6;3;3;9;-2;-6;-3;-3;4
1160 Vindafjord;1160;Vindafjord;171;164;145;19;7;56;41;33;8;15;115;123;112;11;-8;250;65;48;17;185;263;57;42;15;206;-13;8;6;2;-21;421;229;193;36;192;319;98;75;23;221;102;131;118;13;-29
1201 Bergen;1201;Bergen;5006;4482;2928;1554;524;2325;1714;971;743;611;2681;2768;1957;811;-87;9795;1657;698;959;8138;9899;1505;826;679;8394;-104;152;-128;280;-256;14801;6139;3626;2513;8662;12224;3219;1797;1422;9005;2577;2920;1829;1091;-343
1211 Etne;1211;Etne;55;55;52;3;0;13;9;9;0;4;42;46;43;3;-4;110;30;18;12;80;142;27;23;4;115;-32;3;-5;8;-35;165;85;70;15;80;155;36;32;4;119;10;49;38;11;-39
1216 Sveio;1216;Sveio;37;37;26;11;0;15;12;12;0;3;22;25;14;11;-3;290;50;36;14;240;272;39;24;15;233;18;11;12;-1;7;327;87;62;25;240;287;51;36;15;236;40;36;26;10;4
1219 Bømlo;1219;Bømlo;157;138;63;75;19;29;22;8;14;7;128;116;55;61;12;307;34;15;19;273;366;82;19;63;284;-59;-48;-4;-44;-11;464;172;78;94;292;395;104;27;77;291;69;68;51;17;1
1221 Stord;1221;Stord;256;232;116;116;24;70;57;39;18;13;186;175;77;98;11;653;161;88;73;492;653;115;45;70;538;0;46;43;3;-46;909;393;204;189;516;723;172;84;88;551;186;221;120;101;-35
1222 Fitjar;1222;Fitjar;36;30;24;6;6;8;5;5;0;3;28;25;19;6;3;102;9;9;0;93;109;17;13;4;92;-7;-8;-4;-4;1;138;39;33;6;99;117;22;18;4;95;21;17;15;2;4
1223 Tysnes;1223;Tysnes;39;36;30;6;3;12;9;9;0;3;27;27;21;6;0;78;3;3;0;75;86;9;9;0;77;-8;-6;-6;0;-2;117;39;33;6;78;98;18;18;0;80;19;21;15;6;-2
1224 Kvinnherad;1224;Kvinnherad;109;97;76;21;12;43;30;23;7;13;66;67;53;14;-1;302;36;20;16;266;425;55;21;34;370;-123;-19;-1;-18;-104;411;133;96;37;278;468;85;44;41;383;-57;48;52;-4;-105
1227 Jondal;1227;Jondal;13;10;6;4;3;3;0;0;0;3;10;10;6;4;0;36;0;0;0;36;33;7;4;3;26;3;-7;-4;-3;10;49;10;6;4;39;36;7;4;3;29;13;3;2;1;10
1228 Odda;1228;Odda;102;90;23;67;12;21;13;13;0;8;81;77;10;67;4;167;34;15;19;133;224;63;17;46;161;-57;-29;-2;-27;-28;269;124;38;86;145;245;76;30;46;169;24;48;8;40;-24
1231 Ullensvang;1231;Ullensvang;60;57;22;35;3;17;14;11;3;3;43;43;11;32;0;77;9;6;3;68;139;43;15;28;96;-62;-34;-9;-25;-28;137;66;28;38;71;156;57;26;31;99;-19;9;2;7;-28
1232 Eidfjord;1232;Eidfjord;17;14;14;0;3;5;5;5;0;0;12;9;9;0;3;41;11;7;4;30;52;18;14;4;34;-11;-7;-7;0;-4;58;25;21;4;33;57;23;19;4;34;1;2;2;0;-1
1233 Ulvik;1233;Ulvik;15;15;12;3;0;3;3;3;0;0;12;12;9;3;0;41;6;3;3;35;64;17;14;3;47;-23;-11;-11;0;-12;56;21;15;6;35;67;20;17;3;47;-11;1;-2;3;-12
1234 Granvin;1234;Granvin;3;3;3;0;0;0;0;0;0;0;3;3;3;0;0;34;0;0;0;34;28;3;3;0;25;6;-3;-3;0;9;37;3;3;0;34;28;3;3;0;25;9;0;0;0;9
1235 Voss;1235;Voss;180;164;108;56;16;43;26;20;6;17;137;138;88;50;-1;387;66;35;31;321;420;92;33;59;328;-33;-26;2;-28;-7;567;230;143;87;337;463;118;53;65;345;104;112;90;22;-8
1238 Kvam;1238;Kvam;103;93;59;34;10;39;36;33;3;3;64;57;26;31;7;196;32;18;14;164;282;56;26;30;226;-86;-24;-8;-16;-62;299;125;77;48;174;321;92;59;33;229;-22;33;18;15;-55
1241 Fusa;1241;Fusa;25;22;18;4;3;13;7;4;3;6;12;15;14;1;-3;129;13;7;6;116;116;10;10;0;106;13;3;-3;6;10;154;35;25;10;119;129;17;14;3;112;25;18;11;7;7
1242 Samnanger;1242;Samnanger;9;9;6;3;0;3;3;0;3;0;6;6;6;0;0;90;19;13;6;71;103;16;4;12;87;-13;3;9;-6;-16;99;28;19;9;71;106;19;4;15;87;-7;9;15;-6;-16
1243 Os (Hord.);1243;Os (Hord.);217;188;155;33;29;49;37;33;4;12;168;151;122;29;17;949;138;102;36;811;711;96;61;35;615;238;42;41;1;196;1166;326;257;69;840;760;133;94;39;627;406;193;163;30;213
1244 Austevoll;1244;Austevoll;81;76;71;5;5;31;21;18;3;10;50;55;53;2;-5;138;17;11;6;121;131;18;9;9;113;7;-1;2;-3;8;219;93;82;11;126;162;39;27;12;123;57;54;55;-1;3
1245 Sund;1245;Sund;86;82;48;34;4;44;25;16;9;19;42;57;32;25;-15;349;51;46;5;298;325;82;35;47;243;24;-31;11;-42;55;435;133;94;39;302;369;107;51;56;262;66;26;43;-17;40
1246 Fjell;1246;Fjell;265;242;168;74;23;82;49;38;11;33;183;193;130;63;-10;1343;249;165;84;1094;1162;182;107;75;980;181;67;58;9;114;1608;491;333;158;1117;1244;231;145;86;1013;364;260;188;72;104
1247 Askøy;1247;Askøy;233;202;157;45;31;88;57;42;15;31;145;145;115;30;0;1251;223;123;100;1028;1088;163;112;51;925;163;60;11;49;103;1484;425;280;145;1059;1176;220;154;66;956;308;205;126;79;103
1251 Vaksdal;1251;Vaksdal;35;32;17;15;3;16;5;5;0;11;19;27;12;15;-8;141;27;18;9;114;143;23;20;3;120;-2;4;-2;6;-6;176;59;35;24;117;159;28;25;3;131;17;31;10;21;-14
1252 Modalen;1252;Modalen;3;3;3;0;0;0;0;0;0;0;3;3;3;0;0;12;0;0;0;12;24;3;0;3;21;-12;-3;0;-3;-9;15;3;3;0;12;24;3;0;3;21;-9;0;3;-3;-9
1253 Osterøy;1253;Osterøy;39;39;33;6;0;29;21;18;3;8;10;18;15;3;-8;319;65;54;11;254;245;24;19;5;221;74;41;35;6;33;358;104;87;17;254;274;45;37;8;229;84;59;50;9;25
1256 Meland;1256;Meland;76;64;41;23;12;22;12;9;3;10;54;52;32;20;2;463;70;60;10;393;402;72;55;17;330;61;-2;5;-7;63;539;134;101;33;405;424;84;64;20;340;115;50;37;13;65
1259 Øygarden;1259;Øygarden;33;30;17;13;3;18;11;5;6;7;15;19;12;7;-4;301;48;21;27;253;203;24;13;11;179;98;24;8;16;74;334;78;38;40;256;221;35;18;17;186;113;43;20;23;70
1260 Radøy;1260;Radøy;48;43;34;9;5;23;17;13;4;6;25;26;21;5;-1;209;31;27;4;178;215;37;31;6;178;-6;-6;-4;-2;0;257;74;61;13;183;238;54;44;10;184;19;20;17;3;-1
1263 Lindås;1263;Lindås;110;93;67;26;17;62;46;40;6;16;48;47;27;20;1;757;116;74;42;641;642;83;51;32;559;115;33;23;10;82;867;209;141;68;658;704;129;91;38;575;163;80;50;30;83
1264 Austrheim;1264;Austrheim;26;23;18;5;3;37;27;22;5;10;-11;-4;-4;0;-7;154;37;26;11;117;149;42;39;3;107;5;-5;-13;8;10;180;60;44;16;120;186;69;61;8;117;-6;-9;-17;8;3
1265 Fedje;1265;Fedje;3;3;3;0;0;3;3;0;3;0;0;0;3;-3;0;16;3;0;3;13;16;0;0;0;16;0;3;0;3;-3;19;6;3;3;13;19;3;0;3;16;0;3;3;0;-3
1266 Masfjorden;1266;Masfjorden;6;3;0;3;3;0;0;0;0;0;6;3;0;3;3;42;3;3;0;39;51;4;4;0;47;-9;-1;-1;0;-8;48;6;3;3;42;51;4;4;0;47;-3;2;-1;3;-5
1401 Flora;1401;Flora;174;166;72;94;8;42;36;19;17;6;132;130;53;77;2;329;63;37;26;266;405;129;45;84;276;-76;-66;-8;-58;-10;503;229;109;120;274;447;165;64;101;282;56;64;45;19;-8
1411 Gulen;1411;Gulen;28;28;20;8;0;13;13;10;3;0;15;15;10;5;0;61;9;4;5;52;65;12;9;3;53;-4;-3;-5;2;-1;89;37;24;13;52;78;25;19;6;53;11;12;5;7;-1
1412 Solund;1412;Solund;11;8;8;0;3;3;3;3;0;0;8;5;5;0;3;13;0;0;0;13;40;13;9;4;27;-27;-13;-9;-4;-14;24;8;8;0;16;43;16;12;4;27;-19;-8;-4;-4;-11
1413 Hyllestad;1413;Hyllestad;3;3;3;0;0;13;13;13;0;0;-10;-10;-10;0;0;39;12;6;6;27;61;13;13;0;48;-22;-1;-7;6;-21;42;15;9;6;27;74;26;26;0;48;-32;-11;-17;6;-21
1416 Høyanger;1416;Høyanger;44;40;14;26;4;14;7;4;3;7;30;33;10;23;-3;101;20;11;9;81;160;15;8;7;145;-59;5;3;2;-64;145;60;25;35;85;174;22;12;10;152;-29;38;13;25;-67
1417 Vik;1417;Vik;35;35;32;3;0;8;5;5;0;3;27;30;27;3;-3;44;10;3;7;34;98;10;4;6;88;-54;0;-1;1;-54;79;45;35;10;34;106;15;9;6;91;-27;30;26;4;-57
1418 Balestrand;1418;Balestrand;17;14;11;3;3;18;12;12;0;6;-1;2;-1;3;-3;34;3;0;3;31;60;11;5;6;49;-26;-8;-5;-3;-18;51;17;11;6;34;78;23;17;6;55;-27;-6;-6;0;-21
1419 Leikanger;1419;Leikanger;8;8;4;4;0;9;3;3;0;6;-1;5;1;4;-6;92;19;10;9;73;81;9;6;3;72;11;10;4;6;1;100;27;14;13;73;90;12;9;3;78;10;15;5;10;-5
1420 Sogndal;1420;Sogndal;163;158;53;105;5;43;32;16;16;11;120;126;37;89;-6;415;73;33;40;342;428;113;53;60;315;-13;-40;-20;-20;27;578;231;86;145;347;471;145;69;76;326;107;86;17;69;21
1421 Aurland;1421;Aurland;32;28;25;3;4;7;7;4;3;0;25;21;21;0;4;51;7;7;0;44;72;11;11;0;61;-21;-4;-4;0;-17;83;35;32;3;48;79;18;15;3;61;4;17;17;0;-13
1422 Lærdal;1422;Lærdal;14;14;11;3;0;3;3;3;0;0;11;11;8;3;0;50;6;3;3;44;55;9;6;3;46;-5;-3;-3;0;-2;64;20;14;6;44;58;12;9;3;46;6;8;5;3;-2
1424 Årdal;1424;Årdal;112;108;19;89;4;33;21;21;0;12;79;87;-2;89;-8;65;17;11;6;48;146;43;27;16;103;-81;-26;-16;-10;-55;177;125;30;95;52;179;64;48;16;115;-2;61;-18;79;-63
1426 Luster;1426;Luster;41;37;16;21;4;6;6;6;0;0;35;31;10;21;4;181;24;8;16;157;180;58;14;44;122;1;-34;-6;-28;35;222;61;24;37;161;186;64;20;44;122;36;-3;4;-7;39
1428 Askvoll;1428;Askvoll;15;15;12;3;0;0;0;0;0;0;15;15;12;3;0;107;6;3;3;101;109;20;17;3;89;-2;-14;-14;0;12;122;21;15;6;101;109;20;17;3;89;13;1;-2;3;12
1429 Fjaler;1429;Fjaler;95;95;43;52;0;97;97;32;65;0;-2;-2;11;-13;0;86;8;5;3;78;93;18;8;10;75;-7;-10;-3;-7;3;181;103;48;55;78;190;115;40;75;75;-9;-12;8;-20;3
1430 Gaular;1430;Gaular;17;14;11;3;3;9;9;6;3;0;8;5;5;0;3;110;14;14;0;96;130;18;15;3;112;-20;-4;-1;-3;-16;127;28;25;3;99;139;27;21;6;112;-12;1;4;-3;-13
1431 Jølster;1431;Jølster;73;70;9;61;3;13;9;9;0;4;60;61;0;61;-1;117;13;9;4;104;189;61;7;54;128;-72;-48;2;-50;-24;190;83;18;65;107;202;70;16;54;132;-12;13;2;11;-25
1432 Førde;1432;Førde;177;162;72;90;15;33;27;19;8;6;144;135;53;82;9;575;108;55;53;467;704;143;62;81;561;-129;-35;-7;-28;-94;752;270;127;143;482;737;170;81;89;567;15;100;46;54;-85
1433 Naustdal;1433;Naustdal;19;16;12;4;3;0;0;0;0;0;19;16;12;4;3;125;14;9;5;111;96;12;9;3;84;29;2;0;2;27;144;30;21;9;114;96;12;9;3;84;48;18;12;6;30
1438 Bremanger;1438;Bremanger;92;89;24;65;3;17;14;11;3;3;75;75;13;62;0;110;22;18;4;88;166;55;10;45;111;-56;-33;8;-41;-23;202;111;42;69;91;183;69;21;48;114;19;42;21;21;-23
1439 Vågsøy;1439;Vågsøy;76;64;57;7;12;34;34;29;5;0;42;30;28;2;12;128;12;8;4;116;199;47;25;22;152;-71;-35;-17;-18;-36;204;76;65;11;128;233;81;54;27;152;-29;-5;11;-16;-24
1441 Selje;1441;Selje;12;9;0;9;3;7;3;3;0;4;5;6;-3;9;-1;77;15;8;7;62;80;3;0;3;77;-3;12;8;4;-15;89;24;8;16;65;87;6;3;3;81;2;18;5;13;-16
1443 Eid;1443;Eid;60;52;45;7;8;16;16;13;3;0;44;36;32;4;8;152;20;6;14;132;218;27;17;10;191;-66;-7;-11;4;-59;212;72;51;21;140;234;43;30;13;191;-22;29;21;8;-51
1444 Hornindal;1444;Hornindal;7;7;7;0;0;5;5;5;0;0;2;2;2;0;0;24;3;3;0;21;41;3;0;3;38;-17;0;3;-3;-17;31;10;10;0;21;46;8;5;3;38;-15;2;5;-3;-17
1445 Gloppen;1445;Gloppen;35;31;24;7;4;11;7;3;4;4;24;24;21;3;0;154;32;15;17;122;139;15;11;4;124;15;17;4;13;-2;189;63;39;24;126;150;22;14;8;128;39;41;25;16;-2
