Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt;botid_5.alle;botid_5.0_4;botid_5.5_9;botid_5.10+;botid_5.uoppgitt
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.1;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2;vreg_3.2
Todelt verdensregion;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
0622 Krødsherad;622;Krødsherad;239;166;40;33;0;199;148;26;25;0;40;18;14;8;0
0623 Modum;623;Modum;1128;428;323;377;0;638;253;198;187;0;490;175;125;190;0
0624 Øvre Eiker;624;Øvre Eiker;1940;851;483;606;0;1223;651;296;276;0;717;200;187;330;0
0625 Nedre Eiker;625;Nedre Eiker;3333;961;751;1621;0;1515;654;415;446;0;1818;307;336;1175;0
0626 Lier;626;Lier;3709;1378;822;1509;0;2010;951;516;543;0;1699;427;306;966;0
0627 Røyken;627;Røyken;2409;915;599;895;0;1623;664;430;529;0;786;251;169;366;0
0628 Hurum;628;Hurum;955;384;256;315;0;648;245;169;234;0;307;139;87;81;0
0631 Flesberg;631;Flesberg;209;126;34;49;0;126;58;30;38;0;83;68;4;11;0
0632 Rollag;632;Rollag;84;42;17;25;0;40;10;13;17;0;44;32;4;8;0
0633 Nore og Uvdal;633;Nore og Uvdal;205;140;34;31;0;136;87;27;22;0;69;53;7;9;0
0701 Horten;701;Horten;3053;1052;622;1379;0;1425;624;287;514;0;1628;428;335;865;0
0702 Holmestrand;702;Holmestrand;873;304;197;372;0;483;188;107;188;0;390;116;90;184;0
0704 Tønsberg;704;Tønsberg;4496;1685;1041;1770;0;2415;1087;610;718;0;2081;598;431;1052;0
0706 Sandefjord;706;Sandefjord;5472;1747;1205;2520;0;2665;1168;593;904;0;2807;579;612;1616;0
0709 Larvik;709;Larvik;4245;1384;1004;1857;0;2066;828;558;680;0;2179;556;446;1177;0
0711 Svelvik;711;Svelvik;622;234;157;231;0;449;195;113;141;0;173;39;44;90;0
0713 Sande (Vestf.);713;Sande (Vestf.);827;347;184;296;0;545;246;124;175;0;282;101;60;121;0
0714 Hof;714;Hof;205;92;41;72;0;160;81;32;47;0;45;11;9;25;0
0716 Re;716;Re (f.o.m. 2002);764;292;210;262;0;484;207;151;126;0;280;85;59;136;0
0719 Andebu;719;Andebu;485;254;91;140;0;334;191;79;64;0;151;63;12;76;0
0720 Stokke;720;Stokke;1325;623;334;368;0;796;417;215;164;0;529;206;119;204;0
0722 Nøtterøy;722;Nøtterøy;1948;612;377;959;0;1054;408;211;435;0;894;204;166;524;0
0723 Tjøme;723;Tjøme;469;211;122;136;0;317;137;83;97;0;152;74;39;39;0
0728 Lardal;728;Lardal;151;83;18;50;0;95;55;14;26;0;56;28;4;24;0
0805 Porsgrunn;805;Porsgrunn;3354;1194;650;1510;0;1383;571;269;543;0;1971;623;381;967;0
0806 Skien;806;Skien;6122;1927;1286;2909;0;2187;877;441;869;0;3935;1050;845;2040;0
0807 Notodden;807;Notodden;1048;480;250;318;0;506;247;111;148;0;542;233;139;170;0
0811 Siljan;811;Siljan;140;67;29;44;0;47;14;6;27;0;93;53;23;17;0
0814 Bamble;814;Bamble;975;424;262;289;0;418;161;97;160;0;557;263;165;129;0
0815 Kragerø;815;Kragerø;933;396;227;310;0;476;173;114;189;0;457;223;113;121;0
0817 Drangedal;817;Drangedal;314;137;107;70;0;204;71;81;52;0;110;66;26;18;0
0819 Nome;819;Nome;647;292;154;201;0;316;160;77;79;0;331;132;77;122;0
0821 Bø (Telemark);821;Bø (Telem.);582;303;123;156;0;294;180;52;62;0;288;123;71;94;0
0822 Sauherad;822;Sauherad;392;217;68;107;0;201;113;28;60;0;191;104;40;47;0
0826 Tinn;826;Tinn;592;260;81;251;0;281;94;55;132;0;311;166;26;119;0
0827 Hjartdal;827;Hjartdal;71;45;7;19;0;56;35;7;14;0;15;10;0;5;0
0828 Seljord;828;Seljord;217;112;57;48;0;147;76;35;36;0;70;36;22;12;0
0829 Kviteseid;829;Kviteseid;184;73;57;54;0;146;67;38;41;0;38;6;19;13;0
0830 Nissedal;830;Nissedal;108;37;47;24;0;94;33;43;18;0;14;4;4;6;0
0831 Fyresdal;831;Fyresdal;126;45;44;37;0;99;21;44;34;0;27;24;0;3;0
0833 Tokke;833;Tokke;130;28;50;52;0;89;24;36;29;0;41;4;14;23;0
0834 Vinje;834;Vinje;280;139;37;104;0;196;110;30;56;0;84;29;7;48;0
0901 Risør;901;Risør;607;243;159;205;0;326;120;89;117;0;281;123;70;88;0
0904 Grimstad;904;Grimstad;2293;1009;496;788;0;1269;569;279;421;0;1024;440;217;367;0
0906 Arendal;906;Arendal;4681;1783;1091;1807;0;2439;1102;604;733;0;2242;681;487;1074;0
0911 Gjerstad;911;Gjerstad;183;89;36;58;0;76;21;27;28;0;107;68;9;30;0
0912 Vegårshei;912;Vegårshei;126;45;34;47;0;57;17;20;20;0;69;28;14;27;0
0914 Tvedestrand;914;Tvedestrand;556;205;175;176;0;340;137;111;92;0;216;68;64;84;0
0919 Froland;919;Froland;358;114;134;110;0;220;74;81;65;0;138;40;53;45;0
0926 Lillesand;926;Lillesand;829;288;170;371;0;420;144;74;202;0;409;144;96;169;0
0928 Birkenes;928;Birkenes;447;165;122;160;0;227;72;83;72;0;220;93;39;88;0
0929 Åmli;929;Åmli;203;88;72;43;0;116;60;28;28;0;87;28;44;15;0
0935 Iveland;935;Iveland;117;31;56;30;0;71;9;45;17;0;46;22;11;13;0
0937 Evje og Hornnes;937;Evje og Hornnes;366;112;113;141;0;159;54;52;53;0;207;58;61;88;0
0938 Bygland;938;Bygland;71;27;22;22;0;34;7;16;11;0;37;20;6;11;0
0940 Valle;940;Valle;110;60;31;19;0;47;13;18;16;0;63;47;13;3;0
0941 Bykle;941;Bykle;162;76;45;41;0;109;49;28;32;0;53;27;17;9;0
1001 Kristiansand;1001;Kristiansand;11348;3638;2233;5477;0;4162;1763;845;1554;0;7186;1875;1388;3923;0
1002 Mandal;1002;Mandal;1477;626;340;511;0;697;253;205;239;0;780;373;135;272;0
1003 Farsund;1003;Farsund;719;292;121;306;0;393;136;65;192;0;326;156;56;114;0
1004 Flekkefjord;1004;Flekkefjord;872;287;201;384;0;527;147;145;235;0;345;140;56;149;0
1014 Vennesla;1014;Vennesla;1088;386;280;422;0;573;218;171;184;0;515;168;109;238;0
1017 Songdalen;1017;Songdalen;763;257;240;266;0;353;122;121;110;0;410;135;119;156;0
1018 Søgne;1018;Søgne;845;342;206;297;0;462;197;130;135;0;383;145;76;162;0
1021 Marnardal;1021;Marnardal;192;76;60;56;0;109;42;39;28;0;83;34;21;28;0
1026 Åseral;1026;Åseral;97;47;36;14;0;63;32;20;11;0;34;15;16;3;0
1027 Audnedal;1027;Audnedal;109;45;43;21;0;86;31;39;16;0;23;14;4;5;0
1029 Lindesnes;1029;Lindesnes;461;165;144;152;0;295;103;105;87;0;166;62;39;65;0
1032 Lyngdal;1032;Lyngdal;806;328;196;282;0;350;151;76;123;0;456;177;120;159;0
1034 Hægebostad;1034;Hægebostad;114;51;41;22;0;85;34;38;13;0;29;17;3;9;0
1037 Kvinesdal;1037;Kvinesdal;473;182;161;130;0;243;69;91;83;0;230;113;70;47;0
1046 Sirdal;1046;Sirdal;181;89;52;40;0;133;68;42;23;0;48;21;10;17;0
1101 Eigersund;1101;Eigersund;1535;702;456;377;0;877;431;270;176;0;658;271;186;201;0
1102 Sandnes;1102;Sandnes;11508;4856;2888;3764;0;5929;3191;1645;1093;0;5579;1665;1243;2671;0
1103 Stavanger;1103;Stavanger;23565;11089;4642;7834;0;12061;6834;2281;2946;0;11504;4255;2361;4888;0
1106 Haugesund;1106;Haugesund;4990;2279;1205;1506;0;2755;1523;727;505;0;2235;756;478;1001;0
1111 Sokndal;1111;Sokndal;165;85;37;43;0;100;55;16;29;0;65;30;21;14;0
1112 Lund;1112;Lund;252;111;49;92;0;121;42;15;64;0;131;69;34;28;0
