kommunenr.kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1.5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2.5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk.samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0517 Sel;517;Sel;4869939,00;3700500,00;2557500,00;1143000,00;0,00;0,00;1096539,00;41400,00;0,00;31500,00
0519 Sør.Fron;519;Sør.Fron;1303500,00;1282500,00;682500,00;600000,00;0,00;0,00;0,00;0,00;0,00;21000,00
0520 Ringebu;520;Ringebu;3604000,00;3530500,00;700000,00;2830500,00;0,00;0,00;0,00;0,00;0,00;73500,00
0521 Øyer;521;Øyer;10651944,00;9134500,00;2420000,00;6714500,00;1078600,00;0,00;123144,00;41400,00;138700,00;135600,00
0522 Gausdal;522;Gausdal;3596700,00;3544500,00;1075000,00;2469500,00;0,00;0,00;0,00;0,00;0,00;52200,00
0528 Østre Toten;528;Østre Toten;8340800,00;8142500,00;3300000,00;4842500,00;0,00;0,00;0,00;82800,00;0,00;115500,00
0529 Vestre Toten;529;Vestre Toten;11199668,00;10677000,00;3930000,00;6747000,00;0,00;0,00;143668,00;82800,00;138700,00;157500,00
0532 Jevnaker;532;Jevnaker;3190644,00;3036000,00;800000,00;2236000,00;0,00;0,00;123144,00;0,00;0,00;31500,00
0533 Lunner;533;Lunner;14477042,00;13790500,00;4470000,00;9320500,00;-117816,00;0,00;605458,00;41400,00;0,00;157500,00
0534 Gran;534;Gran;23530437,00;22084300,00;7102500,00;14981800,00;350045,00;0,00;677292,00;82800,00;0,00;336000,00
0536 Søndre Land;536;Søndre Land;3894500,00;3852500,00;0,00;3852500,00;0,00;0,00;0,00;0,00;0,00;42000,00
0538 Nordre Land;538;Nordre Land;9814496,00;7374000,00;1910000,00;5464000,00;1185800,00;0,00;1108296,00;41400,00;0,00;105000,00
0540 Sør.Aurdal;540;Sør.Aurdal;3482144,00;3306500,00;200000,00;3106500,00;0,00;0,00;123144,00;0,00;0,00;52500,00
0541 Etnedal;541;Etnedal;1559932,00;1180000,00;280000,00;900000,00;0,00;0,00;369432,00;0,00;0,00;10500,00
0542 Nord.Aurdal;542;Nord.Aurdal;6038500,00;6017500,00;2200000,00;3817500,00;0,00;0,00;0,00;0,00;0,00;21000,00
0543 Vestre Slidre;543;Vestre Slidre;5572200,00;4923500,00;1810000,00;3113500,00;0,00;0,00;513100,00;62100,00;0,00;73500,00
0544 Øystre Slidre;544;Øystre Slidre;1632000,00;1632000,00;400000,00;1232000,00;0,00;0,00;0,00;0,00;0,00;0,00
0545 Vang;545;Vang;2197000,00;2144500,00;810000,00;1334500,00;0,00;0,00;0,00;0,00;0,00;52500,00
0602 Drammen;602;Drammen;71949389,00;56429800,00;17601000,00;38828800,00;8010000,00;0,00;6403189,00;227700,00;0,00;878700,00
0604 Kongsberg;604;Kongsberg;23246469,00;20396500,00;6827500,00;13569000,00;1017992,00;0,00;1518477,00;41400,00;0,00;272100,00
0605 Ringerike;605;Ringerike;19699324,00;18419000,00;4815000,00;13604000,00;0,00;0,00;830624,00;124200,00;0,00;325500,00
0612 Hole;612;Hole;2873344,00;2563000,00;592500,00;1970500,00;0,00;0,00;123144,00;0,00;134700,00;52500,00
0615 Flå;615;Flå;867288,00;600000,00;0,00;600000,00;0,00;0,00;246288,00;0,00;0,00;21000,00
0616 Nes (Busk.);616;Nes (Busk.);2718000,00;2676000,00;442500,00;2233500,00;0,00;0,00;0,00;0,00;0,00;42000,00
