Kommune nr & navn;kommune_nr;"Kmmune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1244 Austevoll;1244;Austevoll;155;.;155;.;155;72,1;.;73,1;.;73,1;69;.;69;.;69;69,7;.;70,4;.;70,4;86;.;86;.;86;74,1;.;75,4;.;75,4
1245 Sund;1245;Sund;156;6;150;1;149;60,7;46,2;61,5;25;62,1;79;2;77;.;77;56,8;33,3;57,9;.;59,2;77;4;73;1;72;65,3;57,1;65,8;100;65,5
1246 Fjell;1246;Fjell;656;17;639;4;635;64,2;42,5;65,1;66,7;65,1;310;5;305;1;304;61,3;33,3;62,1;50;62,2;346;12;334;3;331;67,1;48;68;75;68
1247 Askøy;1247;Askøy;580;13;567;.;567;66,1;48,1;66,6;.;66,8;240;6;234;.;234;58,1;50;58,4;.;58,6;340;7;333;.;333;73,1;46,7;74;.;74
1251 Vaksdal;1251;Vaksdal;119;2;117;.;117;73;40;74,1;.;74,1;62;1;61;.;61;81,6;25;84,7;.;84,7;57;1;56;.;56;65,5;100;65,1;.;65,1
1252 Modalen;1252;Modalen;14;.;14;.;14;77,8;.;77,8;.;77,8;5;.;5;.;5;100;.;100;.;100;9;.;9;.;9;69,2;.;69,2;.;69,2
1253 Osterøy;1253;Osterøy;240;3;237;1;236;71,6;60;71,8;100;71,7;119;2;117;.;117;67,6;66,7;67,6;.;67,6;121;1;120;1;119;76,1;50;76,4;100;76,3
1256 Meland;1256;Meland;175;2;173;.;173;64,8;40;65,3;.;65,3;85;.;85;.;85;60,7;.;61,2;.;61,2;90;2;88;.;88;69,2;50;69,8;.;69,8
1259 Øygarden;1259;Øygarden;116;3;113;.;113;61,7;37,5;62,8;.;62,8;54;1;53;.;53;57,4;33,3;58,2;.;58,2;62;2;60;.;60;66;40;67,4;.;67,4
1260 Radøy;1260;Radøy;133;2;131;.;131;67,2;22,2;69,3;.;69,3;58;2;56;.;56;58;22,2;61,5;.;61,5;75;.;75;.;75;76,5;.;76,5;.;76,5
1263 Lindås;1263;Lindås;419;3;416;4;412;72,5;42,9;72,9;100;72,7;214;1;213;1;212;67,5;33,3;67,8;100;67,7;205;2;203;3;200;78,5;50;79;100;78,7
1264 Austrheim;1264;Austrheim;74;.;74;.;74;62,2;.;63,2;.;63,2;31;.;31;.;31;58,5;.;60,8;.;60,8;43;.;43;.;43;65,2;.;65,2;.;65,2
1265 Fedje;1265;Fedje;15;.;15;.;15;62,5;.;62,5;.;62,5;7;.;7;.;7;63,6;.;63,6;.;63,6;8;.;8;.;8;61,5;.;61,5;.;61,5
1266 Masfjorden;1266;Masfjorden;56;.;56;.;56;66,7;.;66,7;.;66,7;27;.;27;.;27;64,3;.;64,3;.;64,3;29;.;29;.;29;69;.;69;.;69
1401 Flora;1401;Flora;350;13;337;4;333;70,3;50;71,4;80;71,3;178;1;177;2;175;65,9;8,3;68,6;66,7;68,6;172;12;160;2;158;75,4;85,7;74,8;100;74,5
1411 Gulen;1411;Gulen;82;2;80;.;80;73,2;100;72,7;.;72,7;40;1;39;.;39;69;100;68,4;.;68,4;42;1;41;.;41;77,8;100;77,4;.;77,4
1412 Solund;1412;Solund;29;.;29;.;29;82,9;.;82,9;.;82,9;20;.;20;.;20;87;.;87;.;87;9;.;9;.;9;75;.;75;.;75
1413 Hyllestad;1413;Hyllestad;44;1;43;.;43;75,9;50;76,8;.;76,8;24;.;24;.;24;80;.;80;.;80;20;1;19;.;19;71,4;50;73,1;.;73,1
1416 Høyanger;1416;Høyanger;141;3;138;.;138;72,7;60;73;.;73;61;1;60;.;60;63,5;50;63,8;.;63,8;80;2;78;.;78;81,6;66,7;82,1;.;82,1
1417 Vik;1417;Vik;92;2;90;1;89;73,6;50;74,4;100;74,2;37;.;37;1;36;62,7;.;64,9;100;64,3;55;2;53;.;53;83,3;100;82,8;.;82,8
1418 Balestrand;1418;Balestrand;50;1;49;.;49;82;33,3;84,5;.;86;24;1;23;.;23;77,4;50;79,3;.;82,1;26;.;26;.;26;86,7;.;89,7;.;89,7
1419 Leikanger;1419;Leikanger;71;1;70;.;70;84,5;50;85,4;.;85,4;32;1;31;.;31;86,5;100;86,1;.;86,1;39;.;39;.;39;83;.;84,8;.;84,8
1420 Sogndal;1420;Sogndal;241;4;237;.;237;81,1;50;82;.;82;114;.;114;.;114;74;.;75,5;.;75,5;127;4;123;.;123;88,8;80;89,1;.;89,1
1421 Aurland;1421;Aurland;62;.;62;.;62;74,7;.;74,7;.;74,7;35;.;35;.;35;74,5;.;74,5;.;74,5;27;.;27;.;27;75;.;75;.;75
1422 Lærdal;1422;Lærdal;62;.;62;.;62;76,5;.;78,5;.;79,5;35;.;35;.;35;77,8;.;77,8;.;79,5;27;.;27;.;27;75;.;79,4;.;79,4
1424 Årdal;1424;Årdal;154;4;150;1;149;72,6;50;73,5;50;73,8;75;3;72;1;71;71,4;50;72,7;50;73,2;79;1;78;.;78;73,8;50;74,3;.;74,3
1426 Luster;1426;Luster;169;4;165;.;165;79,3;80;79,3;.;79,3;81;4;77;.;77;75;80;74,8;.;74,8;88;.;88;.;88;83,8;.;83,8;.;83,8
1428 Askvoll;1428;Askvoll;97;1;96;.;96;74,6;100;74,4;.;74,4;38;1;37;.;37;65,5;100;64,9;.;64,9;59;.;59;.;59;81,9;.;81,9;.;81,9
1429 Fjaler;1429;Fjaler;91;3;88;.;88;78,4;50;80;.;80;50;2;48;.;48;74,6;66,7;75;.;75;41;1;40;.;40;83,7;33,3;87;.;87
1430 Gaular;1430;Gaular;116;1;115;.;115;79,5;100;79,3;.;79,3;55;1;54;.;54;73,3;100;73;.;73;61;.;61;.;61;85,9;.;85,9;.;85,9
1431 Jølster;1431;Jølster;107;.;107;.;107;77;.;77;.;77;54;.;54;.;54;75;.;75;.;75;53;.;53;.;53;79,1;.;79,1;.;79,1
1432 Førde;1432;Førde;432;12;420;3;417;76,3;54,5;77,2;50;77,5;214;8;206;2;204;73,3;57,1;74,1;100;73,9;218;4;214;1;213;79,6;50;80,5;25;81,3
1433 Naustdal;1433;Naustdal;86;1;85;.;85;76,1;100;75,9;.;75,9;44;.;44;.;44;71;.;71;.;71;42;1;41;.;41;82,4;100;82;.;82
1438 Bremanger;1438;Bremanger;103;5;98;.;98;73,6;50;75,4;.;76;44;1;43;.;43;68,8;25;71,7;.;71,7;59;4;55;.;55;77,6;66,7;78,6;.;79,7
1439 Vågsøy;1439;Vågsøy;191;7;184;2;182;71,5;70;71,6;40;72,2;103;4;99;1;98;74,1;66,7;74,4;100;74,2;88;3;85;1;84;68,8;75;68,5;25;70
1441 Selje;1441;Selje;103;.;103;.;103;82,4;.;82,4;.;82,4;48;.;48;.;48;77,4;.;77,4;.;77,4;55;.;55;.;55;87,3;.;87,3;.;87,3
1443 Eid;1443;Eid;234;5;229;3;226;82,7;71,4;83;100;82,8;115;3;112;2;110;79,9;100;79,4;100;79,1;119;2;117;1;116;85,6;50;86,7;100;86,6
1444 Hornindal;1444;Hornindal;50;2;48;.;48;75,8;100;75;.;75;23;.;23;.;23;67,6;.;67,6;.;67,6;27;2;25;.;25;84,4;100;83,3;.;83,3
1445 Gloppen;1445;Gloppen;212;6;206;.;206;78,2;50;79,5;.;79,5;110;3;107;.;107;73,3;42,9;74,8;.;74,8;102;3;99;.;99;84,3;60;85,3;.;85,3
1449 Stryn;1449;Stryn;225;8;217;.;217;79,2;61,5;80,1;.;80,1;112;3;109;.;109;74,2;37,5;76,2;.;76,2;113;5;108;.;108;85;100;84,4;.;84,4
1502 Molde;1502;Molde;745;10;735;5;730;78,4;52,6;78,9;83,3;78,9;363;5;358;3;355;73,3;41,7;74,1;75;74,1;382;5;377;2;375;84;71,4;84,2;100;84,1
1504 Ålesund;1504;Ålesund;1259;20;1239;18;1221;74,4;44,4;75,2;90;75;595;10;585;7;578;70,3;45,5;71;77,8;70,9;664;10;654;11;643;78,5;43,5;79,5;100;79,2
1505 Kristiansund;1505;Kristiansund;606;22;584;5;579;66,8;48,9;67,7;83,3;67,6;280;12;268;3;265;62,9;50;63,7;75;63,5;326;10;316;2;314;70,6;47,6;71,7;100;71,5
1511 Vanylven;1511;Vanylven;95;.;95;.;95;67,4;.;67,4;.;67,4;42;.;42;.;42;60,9;.;60,9;.;60,9;53;.;53;.;53;73,6;.;73,6;.;73,6
1514 Sande;1514;Sande;84;3;81;.;81;75,7;100;75;.;75;34;2;32;.;32;63;100;61,5;.;61,5;50;1;49;.;49;87,7;100;87,5;.;87,5
1515 Herøy;1515;Herøy;254;10;244;2;242;76,3;58,8;77,2;100;77,1;129;4;125;2;123;76,8;57,1;77,6;100;77,4;125;6;119;.;119;75,8;60;76,8;.;76,8
1516 Ulstein;1516;Ulstein;268;6;262;3;259;81,5;75;81,6;75;81,7;136;5;131;.;131;81,4;100;80,9;.;81,4;132;1;131;3;128;81,5;33,3;82,4;100;82,1
1517 Hareid;1517;Hareid;151;8;143;.;143;68,3;72,7;68,1;.;69,4;78;7;71;.;71;70,3;70;70,3;.;71;73;1;72;.;72;66,4;100;66,1;.;67,9
1519 Volda;1519;Volda;278;7;271;1;270;76;53,8;76,8;100;76,7;121;1;120;.;120;68,4;25;69,4;.;69,4;157;6;151;1;150;83,1;66,7;83,9;100;83,8
1520 Ørsta;1520;Ørsta;296;9;287;2;285;66,2;56,3;66,6;100;66,4;132;4;128;1;127;57,6;40;58,4;100;58,3;164;5;159;1;158;75,2;83,3;75;100;74,9
1523 Ørskog;1523;Ørskog;72;2;70;2;68;79,1;66,7;79,5;100;79,1;38;.;38;1;37;79,2;.;79,2;100;78,7;34;2;32;1;31;79,1;66,7;80;100;79,5
1524 Norddal;1524;Norddal;52;2;50;.;50;74,3;100;73,5;.;73,5;29;2;27;.;27;70,7;100;69,2;.;69,2;23;.;23;.;23;79,3;.;79,3;.;79,3
1525 Stranda;1525;Stranda;143;6;137;1;136;73;60;73,7;100;73,5;61;3;58;1;57;64,9;50;65,9;100;65,5;82;3;79;.;79;80,4;75;80,6;.;80,6
1526 Stordal;1526;Stordal;25;1;24;.;24;78,1;50;80;.;80;14;1;13;.;13;87,5;50;92,9;.;92,9;11;.;11;.;11;68,8;.;68,8;.;68,8
1528 Sykkylven;1528;Sykkylven;234;7;227;2;225;73,4;43,8;74,9;100;74,8;107;3;104;.;104;65,6;37,5;67,1;.;67,1;127;4;123;2;121;81,4;50;83,1;100;82,9
1529 Skodje;1529;Skodje;127;5;122;.;122;73,8;62,5;74,4;.;74,4;57;2;55;.;55;68,7;66,7;68,8;.;68,8;70;3;67;.;67;78,7;60;79,8;.;79,8
1531 Sula;1531;Sula;244;5;239;1;238;72,6;50;73,3;100;73,2;111;3;108;.;108;64,9;42,9;65,9;.;65,9;133;2;131;1;130;80,6;66,7;80,9;100;80,7
1532 Giske;1532;Giske;213;4;209;.;209;73,7;66,7;73,9;.;73,9;92;3;89;.;89;68,7;60;69;.;69;121;1;120;.;120;78,1;100;77,9;.;77,9
1534 Haram;1534;Haram;247;10;237;1;236;70,6;71,4;70,5;50;70,7;142;5;137;1;136;72,1;83,3;71,7;50;72;105;5;100;.;100;68,6;62,5;69;.;69
1535 Vestnes;1535;Vestnes;233;6;227;1;226;70,4;66,7;70,5;100;70,4;111;2;109;1;108;65,3;40;66,1;100;65,9;122;4;118;.;118;75,8;100;75,2;.;75,2
1539 Rauma;1539;Rauma;214;4;210;1;209;67,3;50;67,7;100;67,6;98;1;97;1;96;62;25;63;100;62,7;116;3;113;.;113;72,5;75;72,4;.;72,4
1543 Nesset;1543;Nesset;115;1;114;.;114;73,7;50;74;.;74;57;.;57;.;57;68,7;.;68,7;.;68,7;58;1;57;.;57;79,5;50;80,3;.;80,3
1545 Midsund;1545;Midsund;47;.;47;.;47;68,1;.;72,3;.;72,3;20;.;20;.;20;60,6;.;64,5;.;64,5;27;.;27;.;27;75;.;79,4;.;79,4
1546 Sandøy;1546;Sandøy;25;.;25;.;25;64,1;.;65,8;.;65,8;11;.;11;.;11;57,9;.;57,9;.;57,9;14;.;14;.;14;70;.;73,7;.;73,7
1547 Aukra;1547;Aukra;101;1;100;2;98;72,7;25;74,1;66,7;74,2;47;.;47;1;46;70,1;.;73,4;100;73;54;1;53;1;52;75;100;74,6;50;75,4
1548 Fræna;1548;Fræna;270;3;267;2;265;64;27,3;65;100;64,8;121;.;121;.;121;59,3;.;60,2;.;60,2;149;3;146;2;144;68,3;37,5;69,5;100;69,2
1551 Eide;1551;Eide;86;2;84;.;84;58,1;50;58,3;.;58,3;42;1;41;.;41;52,5;33,3;53,2;.;53,2;44;1;43;.;43;64,7;100;64,2;.;64,2
1554 Averøy;1554;Averøy;169;5;164;.;164;69,8;62,5;70,1;.;70,1;98;4;94;.;94;67,1;66,7;67,1;.;67,1;71;1;70;.;70;74;50;74,5;.;74,5
1557 Gjemnes;1557;Gjemnes;65;4;61;.;61;68,4;36,4;72,6;.;72,6;27;3;24;.;24;62,8;42,9;66,7;.;66,7;38;1;37;.;37;73,1;25;77,1;.;77,1
1560 Tingvoll;1560;Tingvoll;82;2;80;.;80;70,1;40;71,4;.;71,4;43;.;43;.;43;66,2;.;69,4;.;69,4;39;2;37;.;37;75;100;74;.;74
1563 Sunndal;1563;Sunndal;217;3;214;.;214;76,4;37,5;77,5;.;77,5;102;.;102;.;102;70,3;.;72,3;.;72,3;115;3;112;.;112;82,7;75;83;.;83
1566 Surnadal;1566;Surnadal;177;2;175;.;175;67;100;66,8;.;66,8;84;1;83;.;83;57,5;100;57,2;.;57,2;93;1;92;.;92;78,8;100;78,6;.;78,6
1567 Rindal;1567;Rindal;57;.;57;.;57;71,3;.;72,2;.;72,2;27;.;27;.;27;67,5;.;67,5;.;67,5;30;.;30;.;30;75;.;76,9;.;76,9
1571 Halsa;1571;Halsa;50;.;50;.;50;76,9;.;78,1;.;78,1;24;.;24;.;24;72,7;.;75;.;75;26;.;26;.;26;81,3;.;81,3;.;81,3
1573 Smøla;1573;Smøla;52;1;51;.;51;60,5;100;60;.;60;23;.;23;.;23;52,3;.;52,3;.;52,3;29;1;28;.;28;69;100;68,3;.;68,3
1576 Aure;1576;Aure;112;1;111;.;111;75,2;100;75;.;75;63;1;62;.;62;79,7;100;79,5;.;79,5;49;.;49;.;49;70;.;70;.;70
1601 Trondheim;1601;Trondheim;4262;132;4130;100;4030;70,7;53,2;71,4;70,4;71,5;1994;48;1946;45;1901;64;37,8;65,1;58,4;65,3;2268;84;2184;55;2129;77,8;69,4;78,1;84,6;78
1612 Hemne;1612;Hemne;116;2;114;.;114;60,7;25;62,3;.;62,3;50;1;49;.;49;55,6;25;57;.;57;66;1;65;.;65;65,3;25;67;.;67
1613 Snillfjord;1613;Snillfjord;30;1;29;.;29;65,2;100;64,4;.;64,4;15;1;14;.;14;53,6;100;51,9;.;51,9;15;.;15;.;15;83,3;.;83,3;.;83,3
1617 Hitra;1617;Hitra;107;2;105;.;105;64,5;40;65,2;.;65,2;51;.;51;.;51;60,7;.;61,4;.;61,4;56;2;54;.;54;68,3;50;69,2;.;69,2
1620 Frøya;1620;Frøya;89;1;88;.;88;61;50;61,1;.;61,1;47;1;46;.;46;62,7;100;62,2;.;62,2;42;.;42;.;42;59,2;.;60;.;60
1621 Ørland;1621;Ørland;136;.;136;.;136;61,8;.;63;.;63;54;.;54;.;54;52,9;.;54,5;.;54,5;82;.;82;.;82;69,5;.;70,1;.;70,1
1622 Agdenes;1622;Agdenes;51;2;49;.;49;59,3;50;59,8;.;59,8;25;.;25;.;25;52,1;.;53,2;.;53,2;26;2;24;.;24;68,4;66,7;68,6;.;68,6
1624 Rissa;1624;Rissa;203;4;199;.;199;69,3;80;69,1;.;69,1;100;4;96;.;96;67,6;80;67,1;.;67,1;103;.;103;.;103;71;.;71;.;71
1627 Bjugn;1627;Bjugn;133;5;128;1;127;63,3;62,5;63,4;100;63,2;52;1;51;1;50;52;33,3;52,6;100;52,1;81;4;77;.;77;73,6;80;73,3;.;73,3
1630 Åfjord;1630;Åfjord;120;.;120;.;120;77,4;.;77,9;.;77,9;75;.;75;.;75;79,8;.;79,8;.;79,8;45;.;45;.;45;73,8;.;75;.;75
1632 Roan;1632;Roan;29;.;29;.;29;74,4;.;74,4;.;74,4;8;.;8;.;8;57,1;.;57,1;.;57,1;21;.;21;.;21;84;.;84;.;84
1633 Osen;1633;Osen;30;.;30;.;30;75;.;75;.;75;17;.;17;.;17;77,3;.;77,3;.;77,3;13;.;13;.;13;72,2;.;72,2;.;72,2
1634 Oppdal;1634;Oppdal;228;4;224;1;223;76;50;76,7;100;76,6;107;4;103;.;103;71,3;80;71;.;71;121;.;121;1;120;80,7;.;82,3;100;82,2
1635 Rennebu;1635;Rennebu;77;1;76;.;76;70,6;100;70,4;.;70,4;35;.;35;.;35;66;.;66;.;66;42;1;41;.;41;75;100;74,5;.;74,5
1636 Meldal;1636;Meldal;99;2;97;.;97;69,7;50;70,3;.;70,8;42;.;42;.;42;58,3;.;60;.;60,9;57;2;55;.;55;81,4;100;80,9;.;80,9
1638 Orkdal;1638;Orkdal;277;10;267;.;267;65,6;45,5;66,8;.;66,8;131;6;125;.;125;59;50;59,5;.;59,5;146;4;142;.;142;73;40;74,7;.;74,7
1640 Røros;1640;Røros;166;5;161;.;161;81,8;71,4;82,1;.;82,1;87;1;86;.;86;79,1;33,3;80,4;.;80,4;79;4;75;.;75;84,9;100;84,3;.;84,3
1644 Holtålen;1644;Holtålen;66;2;64;.;64;82,5;100;82,1;.;82,1;26;.;26;.;26;74,3;.;74,3;.;74,3;40;2;38;.;38;88,9;100;88,4;.;88,4
1648 Midtre Gauldal;1648;Midtre Gauldal;189;1;188;.;188;75;33,3;75,5;.;75,5;94;.;94;.;94;71,8;.;72,9;.;72,9;95;1;94;.;94;78,5;100;78,3;.;78,3
1653 Melhus;1653;Melhus;470;10;460;6;454;74,1;62,5;74,4;100;74,2;223;6;217;2;215;70,3;60;70,7;100;70,5;247;4;243;4;239;77,9;66,7;78,1;100;77,9
1657 Skaun;1657;Skaun;189;4;185;.;185;69,5;80;69,3;.;69,3;88;2;86;.;86;64,2;66,7;64,2;.;64,2;101;2;99;.;99;74,8;100;74,4;.;74,4
1662 Klæbu;1662;Klæbu;184;6;178;.;178;61,1;85,7;60,5;.;60,5;84;1;83;.;83;55,6;100;55,3;.;55,3;100;5;95;.;95;66,7;83,3;66;.;66
1663 Malvik;1663;Malvik;392;9;383;.;383;71,7;52,9;72,3;.;72,3;197;5;192;.;192;67,2;45,5;68,1;.;68,1;195;4;191;.;191;76,8;66,7;77;.;77
1664 Selbu;1664;Selbu;104;.;104;.;104;71,7;.;72,2;.;72,2;55;.;55;.;55;67,9;.;68,8;.;68,8;49;.;49;.;49;76,6;.;76,6;.;76,6
1665 Tydal;1665;Tydal;30;.;30;.;30;81,1;.;81,1;.;81,1;15;.;15;.;15;75;.;75;.;75;15;.;15;.;15;88,2;.;88,2;.;88,2
1702 Steinkjer;1702;Steinkjer;638;7;631;2;629;70,9;30,4;71,9;66,7;72;290;2;288;1;287;64;15,4;65,5;50;65,5;348;5;343;1;342;77,9;50;78,5;100;78,4
1703 Namsos;1703;Namsos;363;10;353;2;351;67,7;47,6;68,5;66,7;68,6;170;1;169;2;167;62,7;16,7;63,8;66,7;63,7;193;9;184;.;184;72,8;60;73,6;.;73,6
1711 Meråker;1711;Meråker;73;4;69;.;69;65,2;57,1;65,7;.;65,7;33;2;31;.;31;60;50;60,8;.;60,8;40;2;38;.;38;70,2;66,7;70,4;.;70,4
1714 Stjørdal;1714;Stjørdal;572;10;562;3;559;70,7;45,5;71,4;60;71,5;283;2;281;1;280;66,9;22,2;67,9;50;68;289;8;281;2;279;74,9;61,5;75,3;66,7;75,4
1717 Frosta;1717;Frosta;76;1;75;.;75;66,1;100;65,8;.;65,8;35;.;35;.;35;60,3;.;60,3;.;60,3;41;1;40;.;40;71,9;100;71,4;.;71,4
1718 Leksvik;1718;Leksvik;108;1;107;1;106;73,5;100;73,3;100;73,1;45;.;45;1;44;71,4;.;71,4;100;71;63;1;62;.;62;75;100;74,7;.;74,7
1719 Levanger;1719;Levanger;657;10;647;2;645;75,8;43,5;76,7;50;76,8;342;3;339;1;338;76,2;37,5;76,9;33,3;77,2;315;7;308;1;307;75,4;46,7;76,4;100;76,4
1721 Verdal;1721;Verdal;396;12;384;.;384;66,1;57,1;66,4;.;66,4;204;6;198;.;198;65,4;60;65,6;.;65,6;192;6;186;.;186;66,9;54,5;67,4;.;67,4
1724 Verran;1724;Verran;78;1;77;.;77;75;50;75,5;.;75,5;42;.;42;.;42;71,2;.;71,2;.;71,2;36;1;35;.;35;80;50;81,4;.;81,4
1725 Namdalseid;1725;Namdalseid;57;3;54;.;54;64,8;75;64,3;.;64,3;27;.;27;.;27;58,7;.;58,7;.;58,7;30;3;27;.;27;71,4;75;71,1;.;71,1
1736 Snåase Snåsa;1736;Snåase Snåsa;75;.;75;.;75;68,2;.;70,1;.;70,1;35;.;35;.;35;63,6;.;63,6;.;63,6;40;.;40;.;40;72,7;.;76,9;.;76,9
1738 Lierne;1738;Lierne;40;.;40;.;40;74,1;.;74,1;.;74,1;25;.;25;.;25;89,3;.;89,3;.;89,3;15;.;15;.;15;57,7;.;57,7;.;57,7
1739 Raarvihke Røyrvik;1739;Raarvihke Røyrvik;9;.;9;.;9;39,1;.;39,1;.;39,1;4;.;4;.;4;25;.;25;.;25;5;.;5;.;5;71,4;.;71,4;.;71,4
1740 Namsskogan;1740;Namsskogan;16;.;16;.;16;59,3;.;59,3;.;59,3;6;.;6;.;6;46,2;.;46,2;.;46,2;10;.;10;.;10;71,4;.;71,4;.;71,4
1742 Grong;1742;Grong;51;2;49;.;49;62,2;100;61,3;.;61,3;29;2;27;.;27;56,9;100;55,1;.;55,1;22;.;22;.;22;71;.;71;.;71
1743 Høylandet;1743;Høylandet;33;.;33;.;33;75;.;75;.;75;13;.;13;.;13;61,9;.;61,9;.;61,9;20;.;20;.;20;87;.;87;.;87
1744 Overhalla;1744;Overhalla;116;1;115;.;115;69,9;33,3;70,6;.;70,6;52;.;52;.;52;61,2;.;61,2;.;61,2;64;1;63;.;63;79;33,3;80,8;.;80,8
1748 Fosnes;1748;Fosnes;20;.;20;.;20;58,8;.;58,8;.;58,8;8;.;8;.;8;47,1;.;47,1;.;47,1;12;.;12;.;12;70,6;.;70,6;.;70,6
1749 Flatanger;1749;Flatanger;42;3;39;.;39;76,4;100;75;.;75;20;1;19;.;19;71,4;100;70,4;.;70,4;22;2;20;.;20;81,5;100;80;.;80
1750 Vikna;1750;Vikna;100;3;97;.;97;62,5;60;62,6;.;62,6;40;1;39;.;39;57,1;50;57,4;.;57,4;60;2;58;.;58;66,7;66,7;66,7;.;66,7
1751 Nærøy;1751;Nærøy;150;4;146;.;146;60,7;100;60,1;.;60,3;88;2;86;.;86;61,1;100;60,6;.;61;62;2;60;.;60;60,2;100;59,4;.;59,4
1755 Leka;1755;Leka;18;1;17;.;17;66,7;50;68;.;68;11;.;11;.;11;84,6;.;84,6;.;84,6;7;1;6;.;6;50;50;50;.;50
1756 Inderøy;1756;Inderøy;236;5;231;.;231;71,5;62,5;71,7;.;71,7;104;4;100;.;100;66,2;57,1;66,7;.;66,7;132;1;131;.;131;76,3;100;76,2;.;76,2
1804 Bodø;1804;Bodø;1209;25;1184;5;1179;64,7;42,4;65,4;62,5;65,4;583;15;568;4;564;58,4;38,5;59,2;57,1;59,2;626;10;616;1;615;71,9;50;72,4;100;72,4
1805 Narvik;1805;Narvik;525;6;519;4;515;66,4;50;66,6;66,7;66,6;242;1;241;1;240;59,6;16,7;60,3;50;60,3;283;5;278;3;275;73,5;83,3;73,4;75;73,3
1811 Bindal;1811;Bindal;37;2;35;.;35;52,9;100;51,5;.;51,5;12;.;12;.;12;34,3;.;34,3;.;34,3;25;2;23;.;23;71,4;100;69,7;.;69,7
1812 Sømna;1812;Sømna;69;.;69;.;69;64,5;.;65,1;.;65,1;36;.;36;.;36;66,7;.;66,7;.;66,7;33;.;33;.;33;62,3;.;63,5;.;63,5
1813 Brønnøy;1813;Brønnøy;220;6;214;.;214;65,5;60;65,6;.;65,8;109;4;105;.;105;65,7;66,7;65,6;.;65,6;111;2;109;.;109;65,3;50;65,7;.;66,1
1815 Vega;1815;Vega;29;.;29;.;29;51,8;.;51,8;.;51,8;8;.;8;.;8;33,3;.;33,3;.;33,3;21;.;21;.;21;65,6;.;65,6;.;65,6
1816 Vevelstad;1816;Vevelstad;7;.;7;.;7;43,8;.;43,8;.;43,8;4;.;4;.;4;44,4;.;44,4;.;44,4;3;.;3;.;3;42,9;.;42,9;.;42,9
1818 Herøy;1818;Herøy;45;2;43;.;43;58,4;50;58,9;.;58,9;17;2;15;.;15;47,2;66,7;45,5;.;45,5;28;.;28;.;28;68,3;.;70;.;70
1820 Alstahaug;1820;Alstahaug;202;10;192;1;191;62,5;83,3;61,7;100;61,6;98;3;95;.;95;59;100;58,3;.;58,3;104;7;97;1;96;66,2;77,8;65,5;100;65,3
1822 Leirfjord;1822;Leirfjord;73;3;70;.;70;68,9;50;70;.;70;44;.;44;.;44;67,7;.;69,8;.;69,8;29;3;26;.;26;70,7;75;70,3;.;70,3
1824 Vefsn;1824;Vefsn;336;10;326;.;326;63,2;45,5;63,9;.;64;157;2;155;.;155;57,5;18,2;59,2;.;59,2;179;8;171;.;171;69,1;72,7;69;.;69,2
1825 Grane;1825;Grane;42;1;41;.;41;62,7;100;62,1;.;62,1;17;.;17;.;17;45,9;.;45,9;.;45,9;25;1;24;.;24;83,3;100;82,8;.;82,8
1826 Hattfjelldal;1826;Hattfjelldal;25;.;25;.;25;55,6;.;59,5;.;59,5;14;.;14;.;14;51,9;.;53,8;.;53,8;11;.;11;.;11;61,1;.;68,8;.;68,8
1827 Dønna;1827;Dønna;38;2;36;.;36;57,6;100;56,3;.;56,3;20;2;18;.;18;62,5;100;60;.;60;18;.;18;.;18;52,9;.;52,9;.;52,9
