kommune_nr-kommunenavn;kommune_nr;kommunenavn;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.alle
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.personer;enhet.personer
0632 Rollag;632;Rollag;0;100;0;0;0;.;0;0;0
0633 Nore og Uvdal;633;Nore og Uvdal;4;100;0;0;4;100;0;4;0
0701 Horten;701;Horten;54;100;36;66,7;18;33,33333333;37;17;0
0702 Holmestrand;702;Holmestrand;12;100;2;16,7;10;83,33333333;0;12;0
0704 Tønsberg;704;Tønsberg;133;100;50;37,6;83;62,40601504;60;72;1
0706 Sandefjord;706;Sandefjord;87;100;70;80,5;17;19,54022989;85;2;0
0709 Larvik;709;Larvik;155;100;120;77,4;35;22,58064516;126;25;4
0711 Svelvik;711;Svelvik;9;100;0;0;9;100;0;9;0
0713 Sande (Vestf.);713;Sande (Vestf.);3;100;0;0;3;100;0;3;0
0714 Hof;714;Hof;2;100;0;0;2;100;0;2;0
0716 Re;716;Re (f.o.m. 2002);0;100;0;0;0;.;0;0;0
0719 Andebu;719;Andebu;1;100;0;0;1;100;0;1;0
0720 Stokke;720;Stokke;9;100;5;55,6;4;44,44444444;0;9;0
0722 Nøtterøy;722;Nøtterøy;0;100;0;0;0;.;0;0;0
0723 Tjøme;723;Tjøme;0;100;0;0;0;.;0;0;0
0728 Lardal;728;Lardal;0;100;0;0;0;.;0;0;0
0805 Porsgrunn;805;Porsgrunn;72;100;44;61,1;28;38,88888889;48;24;0
0806 Skien;806;Skien;222;100;93;41,9;129;58,10810811;65;150;7
0807 Notodden;807;Notodden;26;100;26;100;0;0;26;0;0
0811 Siljan;811;Siljan;8;100;8;100;0;0;8;0;0
0814 Bamble;814;Bamble;18;100;13;72,2;5;27,77777778;13;5;0
0815 Kragerø;815;Kragerø;55;100;33;60;22;40;34;21;0
