kommune_nr-kommunenavn;kommune_nr;kommunenavn;kjonn.alle;kjonn.0;kjonn.1
;;;enhet.personer;enhet.personer;enhet.personer
1416 Høyanger;1416;Høyanger;23;11;12
1417 Vik;1417;Vik;:;:;:
1418 Balestrand;1418;Balestrand;:;:;:
1419 Leikanger;1419;Leikanger;:;:;:
1420 Sogndal;1420;Sogndal;64;41;23
1421 Aurland;1421;Aurland;.;.;.
1422 Lærdal;1422;Lærdal;8;:;5
1424 Årdal;1424;Årdal;:;:;:
1426 Luster;1426;Luster;:;:;:
1428 Askvoll;1428;Askvoll;.;.;.
1429 Fjaler;1429;Fjaler;.;.;.
1430 Gaular;1430;Gaular;.;.;.
1431 Jølster;1431;Jølster;6;:;:
1432 Førde;1432;Førde;29;12;17
1433 Naustdal;1433;Naustdal;.;.;.
1438 Bremanger;1438;Bremanger;22;11;11
1439 Vågsøy;1439;Vågsøy;7;:;:
1441 Selje;1441;Selje;.;.;.
1443 Eid;1443;Eid;15;8;7
1444 Hornindal;1444;Hornindal;.;.;.
1445 Gloppen;1445;Gloppen;23;9;14
1449 Stryn;1449;Stryn;34;15;19
1502 Molde;1502;Molde;104;55;49
1504 Ålesund;1504;Ålesund;52;30;22
1505 Kristiansund;1505;Kristiansund;70;42;28
1511 Vanylven;1511;Vanylven;8;7;:
1514 Sande (M. og R.);1514;Sande (M. og R.);.;.;.
1515 Herøy (M. og R.);1515;Herøy (M. og R.);7;:;5
1516 Ulstein;1516;Ulstein;28;18;10
1517 Hareid;1517;Hareid;8;5;:
1519 Volda;1519;Volda;28;8;20
1520 Ørsta;1520;Ørsta;27;14;13
1523 Ørskog;1523;Ørskog;10;:;8
1524 Norddal;1524;Norddal;.;.;.
1525 Stranda;1525;Stranda;.;.;.
1526 Stordal;1526;Stordal;.;.;.
1528 Sykkylven;1528;Sykkylven;25;6;19
1529 Skodje;1529;Skodje;7;:;6
1531 Sula;1531;Sula;.;.;.
1532 Giske;1532;Giske;20;8;12
1534 Haram;1534;Haram;26;13;13
1535 Vestnes;1535;Vestnes;12;:;8
1539 Rauma;1539;Rauma;.;.;.
1543 Nesset;1543;Nesset;13;:;11
1545 Midsund;1545;Midsund;.;.;.
1546 Sandøy;1546;Sandøy;.;.;.
1547 Aukra;1547;Aukra;:;:;:
1548 Fræna;1548;Fræna;12;5;7
1551 Eide;1551;Eide;:;:;:
1554 Averøy;1554;Averøy;12;11;:
1557 Gjemnes;1557;Gjemnes;.;.;.
1560 Tingvoll;1560;Tingvoll;12;:;9
1563 Sunndal;1563;Sunndal;72;28;44
1566 Surnadal;1566;Surnadal;28;5;23
1567 Rindal;1567;Rindal;.;.;.
1571 Halsa;1571;Halsa;:;:;:
1573 Smøla;1573;Smøla;.;.;.
1576 Aure;1576;Aure;19;10;9
1601 Trondheim;1601;Trondheim;377;168;209
1612 Hemne;1612;Hemne;7;:;5
1613 Snillfjord;1613;Snillfjord;.;.;.
1617 Hitra;1617;Hitra;11;5;6
1620 Frøya;1620;Frøya;.;.;.
1621 Ørland;1621;Ørland;10;:;7
1622 Agdenes;1622;Agdenes;.;.;.
1624 Rissa;1624;Rissa;23;11;12
1627 Bjugn;1627;Bjugn;7;:;5
1630 Åfjord;1630;Åfjord;8;:;8
1632 Roan;1632;Roan;.;.;.
1633 Osen;1633;Osen;.;.;.
1634 Oppdal;1634;Oppdal;31;17;14
1635 Rennebu;1635;Rennebu;10;:;6
1636 Meldal;1636;Meldal;7;:;6
1638 Orkdal;1638;Orkdal;36;19;17
1640 Røros;1640;Røros;17;8;9
1644 Holtålen;1644;Holtålen;.;.;.
1648 Midtre Gauldal;1648;Midtre Gauldal;23;11;12
1653 Melhus;1653;Melhus;15;7;8
1657 Skaun;1657;Skaun;9;:;7
1662 Klæbu;1662;Klæbu;.;.;.
1663 Malvik;1663;Malvik;16;12;:
1664 Selbu;1664;Selbu;.;.;.
1665 Tydal;1665;Tydal;6;:;:
1702 Steinkjer;1702;Steinkjer;21;9;12
1703 Namsos;1703;Namsos;86;47;39
1711 Meråker;1711;Meråker;22;6;16
1714 Stjørdal;1714;Stjørdal;69;34;35
1717 Frosta;1717;Frosta;.;.;.
1718 Leksvik;1718;Leksvik;15;7;8
1719 Levanger;1719;Levanger;72;35;37
1721 Verdal;1721;Verdal;73;41;32
1724 Verran;1724;Verran;32;13;19
1725 Namdalseid;1725;Namdalseid;.;.;.
1736 Snåsa;1736;Snåsa;15;6;9
1738 Lierne;1738;Lierne;8;:;:
1739 Røyrvik;1739;Røyrvik;.;.;.
1740 Namsskogan;1740;Namsskogan;.;.;.
1742 Grong;1742;Grong;11;6;5
1743 Høylandet;1743;Høylandet;.;.;.
1744 Overhalla;1744;Overhalla;14;7;7
1748 Fosnes;1748;Fosnes;.;.;.
1749 Flatanger;1749;Flatanger;.;.;.
1750 Vikna;1750;Vikna;15;7;8
1751 Nærøy;1751;Nærøy;39;15;24
1755 Leka;1755;Leka;.;.;.
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);21;8;13
1804 Bodø;1804;Bodø;152;74;78
1805 Narvik;1805;Narvik;65;29;36
1811 Bindal;1811;Bindal;.;.;.
1812 Sømna;1812;Sømna;11;6;5
1813 Brønnøy;1813;Brønnøy;42;22;20
1815 Vega;1815;Vega;.;.;.
1816 Vevelstad;1816;Vevelstad;5;:;:
1818 Herøy (Nordl.);1818;Herøy (Nordl.);:;:;:
1820 Alstahaug;1820;Alstahaug;43;22;21
1822 Leirfjord;1822;Leirfjord;26;10;16
1824 Vefsn;1824;Vefsn;37;18;19
1825 Grane;1825;Grane;.;.;.
1826 Hattfjelldal;1826;Hattfjelldal;7;5;:
1827 Dønna;1827;Dønna;.;.;.
1828 Nesna;1828;Nesna;23;9;14
1832 Hemnes;1832;Hemnes;:;:;:
1833 Rana;1833;Rana;22;10;12
1834 Lurøy;1834;Lurøy;.;.;.
1835 Træna;1835;Træna;.;.;.
1836 Rødøy;1836;Rødøy;.;.;.
1837 Meløy;1837;Meløy;24;15;9
1838 Gildeskål;1838;Gildeskål;20;8;12
1839 Beiarn;1839;Beiarn;:;:;:
1840 Saltdal;1840;Saltdal;17;7;10
1841 Fauske;1841;Fauske;37;19;18
1845 Sørfold;1845;Sørfold;.;.;.
1848 Steigen;1848;Steigen;18;5;13
1849 Hamarøy;1849;Hamarøy;9;5;:
1850 Tysfjord;1850;Tysfjord;6;6;:
1851 Lødingen;1851;Lødingen;14;6;8
1852 Tjeldsund;1852;Tjeldsund;.;.;.
1853 Evenes;1853;Evenes;19;10;9
1854 Ballangen;1854;Ballangen;22;14;8
1856 Røst;1856;Røst;.;.;.
1857 Værøy;1857;Værøy;.;.;.
1859 Flakstad;1859;Flakstad;.;.;.
1860 Vestvågøy;1860;Vestvågøy;45;24;21
1865 Vågan;1865;Vågan;48;25;23
1866 Hadsel;1866;Hadsel;43;20;23
1867 Bø (Nordl.);1867;Bø (Nordl.);21;11;10
1868 Øksnes;1868;Øksnes;8;:;:
1870 Sortland;1870;Sortland;36;15;21
1871 Andøy;1871;Andøy;39;20;19
1874 Moskenes;1874;Moskenes;.;.;.
1902 Tromsø;1902;Tromsø;187;76;111
1903 Harstad;1903;Harstad;101;37;64
1911 Kvæfjord;1911;Kvæfjord;16;8;8
1913 Skånland;1913;Skånland;11;5;6
1917 Ibestad;1917;Ibestad;.;.;.
1919 Gratangen;1919;Gratangen;9;6;:
1920 Lavangen;1920;Lavangen;.;.;.
1922 Bardu;1922;Bardu;15;7;8
1923 Salangen;1923;Salangen;12;:;10
1924 Målselv;1924;Målselv;20;10;10
1925 Sørreisa;1925;Sørreisa;18;7;11
1926 Dyrøy;1926;Dyrøy;.;.;.
1927 Tranøy;1927;Tranøy;29;21;8
1928 Torsken;1928;Torsken;9;:;6
1929 Berg;1929;Berg;24;11;13
1931 Lenvik;1931;Lenvik;57;28;29
1933 Balsfjord;1933;Balsfjord;.;.;.
1936 Karlsøy;1936;Karlsøy;.;.;.
1938 Lyngen;1938;Lyngen;.;.;.
1939 Storfjord;1939;Storfjord;:;:;:
1940 Kåfjord;1940;Kåfjord;.;.;.
1941 Skjervøy;1941;Skjervøy;:;:;:
1942 Nordreisa;1942;Nordreisa;27;14;13
1943 Kvænangen;1943;Kvænangen;.;.;.
2002 Vardø;2002;Vardø;.;.;.
2003 Vadsø;2003;Vadsø;84;40;44
2004 Hammerfest;2004;Hammerfest;44;21;23
2011 Kautokeino;2011;Kautokeino;.;.;.
2012 Alta;2012;Alta;31;19;12
2014 Loppa;2014;Loppa;.;.;.
2015 Hasvik;2015;Hasvik;.;.;.
2017 Kvalsund;2017;Kvalsund;.;.;.
2018 Måsøy;2018;Måsøy;.;.;.
2019 Nordkapp;2019;Nordkapp;14;9;5
2020 Porsanger;2020;Porsanger Porsángu Porsanki;12;9;:
2021 Karasjok;2021;Karasjok;.;.;.
2022 Lebesby;2022;Lebesby;.;.;.
2023 Gamvik;2023;Gamvik;:;:;:
2024 Berlevåg;2024;Berlevåg;.;.;.
2025 Tana;2025;Tana;:;:;:
2027 Nesseby;2027;Nesseby;:;:;:
2028 Båtsfjord;2028;Båtsfjord;:;:;:
2030 Sør-Varanger;2030;Sør-Varanger;46;26;20
99 Uoppgitt kommune;9999;Uoppgitt kommune;.;.;.
