Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1563 Sunndal;1563;Sunndal;989;71;913;5;100;7,2;92,3;0,5;572;39;532;1;100;6,8;93;0,2;417;32;381;4;100;7,7;91,4;1
1566 Surnadal;1566;Surnadal;879;15;862;2;100;1,7;98,1;0,2;486;6;480;.;100;1,2;98,8;.;393;9;382;2;100;2,3;97,2;0,5
1567 Rindal;1567;Rindal;314;.;314;.;100;.;100;.;155;.;155;.;100;.;100;.;159;.;159;.;100;.;100;.
1571 Halsa;1571;Halsa;161;.;161;.;100;.;100;.;62;.;62;.;100;.;100;.;99;.;99;.;100;.;100;.
1573 Smøla;1573;Smøla;243;9;234;.;100;3,7;96,3;.;127;6;121;.;100;4,7;95,3;.;116;3;113;.;100;2,6;97,4;.
1576 Aure;1576;Aure;456;19;437;.;100;4,2;95,8;.;224;6;218;.;100;2,7;97,3;.;232;13;219;.;100;5,6;94,4;.
1601 Trondheim;1601;Trondheim;19699;1054;18088;557;100;5,4;91,8;2,8;10047;547;9199;301;100;5,4;91,6;3;9652;507;8889;256;100;5,3;92,1;2,7
1612 Hemne;1612;Hemne;630;24;605;1;100;3,8;96;0,2;311;20;291;.;100;6,4;93,6;.;319;4;314;1;100;1,3;98,4;0,3
1613 Snillfjord;1613;Snillfjord;157;.;157;.;100;.;100;.;105;.;105;.;100;.;100;.;52;.;52;.;100;.;100;.
1617 Hitra;1617;Hitra;591;35;556;.;100;5,9;94,1;.;293;10;283;.;100;3,4;96,6;.;298;25;273;.;100;8,4;91,6;.
1620 Frøya;1620;Frøya;622;45;577;.;100;7,2;92,8;.;300;18;282;.;100;6;94;.;322;27;295;.;100;8,4;91,6;.
1621 Ørland;1621;Ørland;792;27;765;.;100;3,4;96,6;.;440;14;426;.;100;3,2;96,8;.;352;13;339;.;100;3,7;96,3;.
1622 Agdenes;1622;Agdenes;293;11;279;3;100;3,8;95,2;1;168;6;159;3;100;3,6;94,6;1,8;125;5;120;.;100;4;96;.
1624 Rissa;1624;Rissa;972;39;932;1;100;4;95,9;0,1;534;31;503;.;100;5,8;94,2;.;438;8;429;1;100;1,8;97,9;0,2
1627 Bjugn;1627;Bjugn;639;23;616;.;100;3,6;96,4;.;340;15;325;.;100;4,4;95,6;.;299;8;291;.;100;2,7;97,3;.
1630 Åfjord;1630;Åfjord;524;3;521;.;100;0,6;99,4;.;297;1;296;.;100;0,3;99,7;.;227;2;225;.;100;0,9;99,1;.
1632 Roan;1632;Roan;164;3;161;.;100;1,8;98,2;.;70;3;67;.;100;4,3;95,7;.;94;.;94;.;100;.;100;.
1633 Osen;1633;Osen;133;.;133;.;100;.;100;.;57;.;57;.;100;.;100;.;76;.;76;.;100;.;100;.
1634 Oppdal;1634;Oppdal;882;40;840;2;100;4,5;95,2;0,2;468;26;440;2;100;5,6;94;0,4;414;14;400;.;100;3,4;96,6;.
1635 Rennebu;1635;Rennebu;365;1;364;.;100;0,3;99,7;.;205;.;205;.;100;.;100;.;160;1;159;.;100;0,6;99,4;.
1636 Meldal;1636;Meldal;522;17;505;.;100;3,3;96,7;.;266;11;255;.;100;4,1;95,9;.;256;6;250;.;100;2,3;97,7;.
1638 Orkdal;1638;Orkdal;1383;75;1290;18;100;5,4;93,3;1,3;725;38;679;8;100;5,2;93,7;1,1;658;37;611;10;100;5,6;92,9;1,5
1640 Røros;1640;Røros;814;28;777;9;100;3,4;95,5;1,1;408;15;389;4;100;3,7;95,3;1;406;13;388;5;100;3,2;95,6;1,2
1644 Holtålen;1644;Holtålen;269;.;269;.;100;.;100;.;139;.;139;.;100;.;100;.;130;.;130;.;100;.;100;.
1648 Midtre Gauldal;1648;Midtre Gauldal;822;11;810;1;100;1,3;98,5;0,1;441;7;434;.;100;1,6;98,4;.;381;4;376;1;100;1;98,7;0,3
1653 Melhus;1653;Melhus;2241;90;2129;22;100;4;95;1;1250;57;1179;14;100;4,6;94,3;1,1;991;33;950;8;100;3,3;95,9;0,8
1657 Skaun;1657;Skaun;872;20;852;.;100;2,3;97,7;.;425;17;408;.;100;4;96;.;447;3;444;.;100;0,7;99,3;.
1662 Klæbu;1662;Klæbu;973;22;940;11;100;2,3;96,6;1,1;498;17;478;3;100;3,4;96;0,6;475;5;462;8;100;1,1;97,3;1,7
1663 Malvik;1663;Malvik;1920;74;1830;16;100;3,9;95,3;0,8;1069;46;1012;11;100;4,3;94,7;1;851;28;818;5;100;3,3;96,1;0,6
1664 Selbu;1664;Selbu;526;12;513;1;100;2,3;97,5;0,2;303;4;298;1;100;1,3;98,3;0,3;223;8;215;.;100;3,6;96,4;.
1665 Tydal;1665;Tydal;138;.;138;.;100;.;100;.;70;.;70;.;100;.;100;.;68;.;68;.;100;.;100;.
1702 Steinkjer;1702;Steinkjer;2872;92;2766;14;100;3,2;96,3;0,5;1498;53;1441;4;100;3,5;96,2;0,3;1374;39;1325;10;100;2,8;96,4;0,7
1703 Namsos;1703;Namsos;1797;81;1706;10;100;4,5;94,9;0,6;956;47;906;3;100;4,9;94,8;0,3;841;34;800;7;100;4;95,1;0,8
1711 Meråker;1711;Meråker;368;35;333;.;100;9,5;90,5;.;200;22;178;.;100;11;89;.;168;13;155;.;100;7,7;92,3;.
1714 Stjørdal;1714;Stjørdal;3185;147;3027;11;100;4,6;95;0,3;1687;81;1599;7;100;4,8;94,8;0,4;1498;66;1428;4;100;4,4;95,3;0,3
1717 Frosta;1717;Frosta;382;10;372;.;100;2,6;97,4;.;191;3;188;.;100;1,6;98,4;.;191;7;184;.;100;3,7;96,3;.
1718 Leksvik;1718;Leksvik;444;3;434;7;100;0,7;97,7;1,6;221;2;214;5;100;0,9;96,8;2,3;223;1;220;2;100;0,4;98,7;0,9
1719 Levanger;1719;Levanger;2623;92;2520;11;100;3,5;96,1;0,4;1336;38;1292;6;100;2,8;96,7;0,4;1287;54;1228;5;100;4,2;95,4;0,4
1721 Verdal;1721;Verdal;2080;72;2004;4;100;3,5;96,3;0,2;1119;35;1082;2;100;3,1;96,7;0,2;961;37;922;2;100;3,9;95,9;0,2
1724 Verran;1724;Verran;349;1;348;.;100;0,3;99,7;.;178;.;178;.;100;.;100;.;171;1;170;.;100;0,6;99,4;.
1725 Namdalseid;1725;Namdalseid;229;16;213;.;100;7;93;.;126;7;119;.;100;5,6;94,4;.;103;9;94;.;100;8,7;91,3;.
1736 Snåsa;1736;Snåsa;324;.;318;6;100;.;98,1;1,9;152;.;151;1;100;.;99,3;0,7;172;.;167;5;100;.;97,1;2,9
1738 Lierne;1738;Lierne;168;6;162;.;100;3,6;96,4;.;84;2;82;.;100;2,4;97,6;.;84;4;80;.;100;4,8;95,2;.
1739 Røyrvik;1739;Røyrvik;54;2;52;.;100;3,7;96,3;.;33;2;31;.;100;6,1;93,9;.;21;.;21;.;100;.;100;.
1740 Namsskogan;1740;Namsskogan;122;4;118;.;100;3,3;96,7;.;63;1;62;.;100;1,6;98,4;.;59;3;56;.;100;5,1;94,9;.
1742 Grong;1742;Grong;397;54;343;.;100;13,6;86,4;.;229;45;184;.;100;19,7;80,3;.;168;9;159;.;100;5,4;94,6;.
1743 Høylandet;1743;Høylandet;139;2;137;.;100;1,4;98,6;.;78;2;76;.;100;2,6;97,4;.;61;.;61;.;100;.;100;.
1744 Overhalla;1744;Overhalla;506;21;485;.;100;4,2;95,8;.;273;8;265;.;100;2,9;97,1;.;233;13;220;.;100;5,6;94,4;.
1748 Fosnes;1748;Fosnes;82;4;78;.;100;4,9;95,1;.;43;.;43;.;100;.;100;.;39;4;35;.;100;10,3;89,7;.
1749 Flatanger;1749;Flatanger;174;7;164;3;100;4;94,3;1,7;91;1;90;.;100;1,1;98,9;.;83;6;74;3;100;7,2;89,2;3,6
1750 Vikna;1750;Vikna;591;18;573;.;100;3;97;.;303;10;293;.;100;3,3;96,7;.;288;8;280;.;100;2,8;97,2;.
1751 Nærøy;1751;Nærøy;742;18;723;1;100;2,4;97,4;0,1;402;12;390;.;100;3;97;.;340;6;333;1;100;1,8;97,9;0,3
1755 Leka;1755;Leka;68;3;65;.;100;4,4;95,6;.;33;3;30;.;100;9,1;90,9;.;35;.;35;.;100;.;100;.
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);1037;18;1018;1;100;1,7;98,2;0,1;517;2;514;1;100;0,4;99,4;0,2;520;16;504;.;100;3,1;96,9;.
1804 Bodø;1804;Bodø;6223;258;5936;29;100;4,1;95,4;0,5;3211;142;3061;8;100;4,4;95,3;0,2;3012;116;2875;21;100;3,9;95,5;0,7
1805 Narvik;1805;Narvik;2294;96;2182;16;100;4,2;95,1;0,7;1194;55;1131;8;100;4,6;94,7;0,7;1100;41;1051;8;100;3,7;95,5;0,7
1811 Bindal;1811;Bindal;202;.;202;.;100;.;100;.;96;.;96;.;100;.;100;.;106;.;106;.;100;.;100;.
1812 Sømna;1812;Sømna;292;7;285;.;100;2,4;97,6;.;141;4;137;.;100;2,8;97,2;.;151;3;148;.;100;2;98;.
1813 Brønnøy;1813;Brønnøy;1142;28;1111;3;100;2,5;97,3;0,3;590;8;582;.;100;1,4;98,6;.;552;20;529;3;100;3,6;95,8;0,5
1815 Vega;1815;Vega;199;5;194;.;100;2,5;97,5;.;107;3;104;.;100;2,8;97,2;.;92;2;90;.;100;2,2;97,8;.
1816 Vevelstad;1816;Vevelstad;59;.;59;.;100;.;100;.;34;.;34;.;100;.;100;.;25;.;25;.;100;.;100;.
1818 Herøy (Nordl.);1818;Herøy (Nordl.);237;4;233;.;100;1,7;98,3;.;128;3;125;.;100;2,3;97,7;.;109;1;108;.;100;0,9;99,1;.
1820 Alstahaug;1820;Alstahaug;1000;53;947;.;100;5,3;94,7;.;493;29;464;.;100;5,9;94,1;.;507;24;483;.;100;4,7;95,3;.
1822 Leirfjord;1822;Leirfjord;308;15;292;1;100;4,9;94,8;0,3;164;9;154;1;100;5,5;93,9;0,6;144;6;138;.;100;4,2;95,8;.
1824 Vefsn;1824;Vefsn;1754;53;1694;7;100;3;96,6;0,4;915;35;875;5;100;3,8;95,6;0,5;839;18;819;2;100;2,1;97,6;0,2
1825 Grane;1825;Grane;172;1;171;.;100;0,6;99,4;.;98;1;97;.;100;1;99;.;74;.;74;.;100;.;100;.
1826 Hattfjelldal;1826;Hattfjelldal;183;12;171;.;100;6,6;93,4;.;100;8;92;.;100;8;92;.;83;4;79;.;100;4,8;95,2;.
1827 Dønna;1827;Dønna;184;10;174;.;100;5,4;94,6;.;117;9;108;.;100;7,7;92,3;.;67;1;66;.;100;1,5;98,5;.
1828 Nesna;1828;Nesna;276;29;247;.;100;10,5;89,5;.;152;20;132;.;100;13,2;86,8;.;124;9;115;.;100;7,3;92,7;.
1832 Hemnes;1832;Hemnes;655;21;634;.;100;3,2;96,8;.;332;14;318;.;100;4,2;95,8;.;323;7;316;.;100;2,2;97,8;.
1833 Rana;1833;Rana;3576;125;3448;3;100;3,5;96,4;0,1;1867;71;1794;2;100;3,8;96,1;0,1;1709;54;1654;1;100;3,2;96,8;0,1
1834 Lurøy;1834;Lurøy;229;2;227;.;100;0,9;99,1;.;118;2;116;.;100;1,7;98,3;.;111;.;111;.;100;.;100;.
1835 Træna;1835;Træna;76;4;72;.;100;5,3;94,7;.;38;2;36;.;100;5,3;94,7;.;38;2;36;.;100;5,3;94,7;.
1836 Rødøy;1836;Rødøy;186;.;184;2;100;.;98,9;1,1;103;.;103;.;100;.;100;.;83;.;81;2;100;.;97,6;2,4
1837 Meløy;1837;Meløy;980;22;958;.;100;2,2;97,8;.;493;10;483;.;100;2;98;.;487;12;475;.;100;2,5;97,5;.
1838 Gildeskål;1838;Gildeskål;252;10;242;.;100;4;96;.;133;7;126;.;100;5,3;94,7;.;119;3;116;.;100;2,5;97,5;.
1839 Beiarn;1839;Beiarn;152;.;152;.;100;.;100;.;71;.;71;.;100;.;100;.;81;.;81;.;100;.;100;.
1840 Saltdal;1840;Saltdal;572;8;564;.;100;1,4;98,6;.;280;7;273;.;100;2,5;97,5;.;292;1;291;.;100;0,3;99,7;.
1841 Fauske;1841;Fauske;1245;31;1213;1;100;2,5;97,4;0,1;667;16;651;.;100;2,4;97,6;.;578;15;562;1;100;2,6;97,2;0,2
1845 Sørfold;1845;Sørfold;214;11;203;.;100;5,1;94,9;.;107;4;103;.;100;3,7;96,3;.;107;7;100;.;100;6,5;93,5;.
1848 Steigen;1848;Steigen;366;15;351;.;100;4,1;95,9;.;203;7;196;.;100;3,4;96,6;.;163;8;155;.;100;4,9;95,1;.
1849 Hamarøy;1849;Hamarøy;244;20;224;.;100;8,2;91,8;.;136;11;125;.;100;8,1;91,9;.;108;9;99;.;100;8,3;91,7;.
1850 Tysfjord;1850;Tysfjord;237;1;236;.;100;0,4;99,6;.;134;.;134;.;100;.;100;.;103;1;102;.;100;1;99;.
1851 Lødingen;1851;Lødingen;275;14;261;.;100;5,1;94,9;.;150;8;142;.;100;5,3;94,7;.;125;6;119;.;100;4,8;95,2;.
1852 Tjeldsund;1852;Tjeldsund;144;3;141;.;100;2,1;97,9;.;77;3;74;.;100;3,9;96,1;.;67;.;67;.;100;.;100;.
1853 Evenes;1853;Evenes;154;3;151;.;100;1,9;98,1;.;87;2;85;.;100;2,3;97,7;.;67;1;66;.;100;1,5;98,5;.
1854 Ballangen;1854;Ballangen;321;25;296;.;100;7,8;92,2;.;186;18;168;.;100;9,7;90,3;.;135;7;128;.;100;5,2;94,8;.
1856 Røst;1856;Røst;81;4;74;3;100;4,9;91,4;3,7;49;1;48;.;100;2;98;.;32;3;26;3;100;9,4;81,3;9,4
1857 Værøy;1857;Værøy;93;1;92;.;100;1,1;98,9;.;31;1;30;.;100;3,2;96,8;.;62;.;62;.;100;.;100;.
1859 Flakstad;1859;Flakstad;222;7;212;3;100;3,2;95,5;1,4;106;1;102;3;100;0,9;96,2;2,8;116;6;110;.;100;5,2;94,8;.
1860 Vestvågøy;1860;Vestvågøy;1558;62;1493;3;100;4;95,8;0,2;813;42;771;.;100;5,2;94,8;.;745;20;722;3;100;2,7;96,9;0,4
1865 Vågan;1865;Vågan;1050;68;976;6;100;6,5;93;0,6;539;26;508;5;100;4,8;94,2;0,9;511;42;468;1;100;8,2;91,6;0,2
1866 Hadsel;1866;Hadsel;1112;83;1025;4;100;7,5;92,2;0,4;576;40;536;.;100;6,9;93,1;.;536;43;489;4;100;8;91,2;0,7
1867 Bø (Nordl.);1867;Bø (Nordl.);309;10;287;12;100;3,2;92,9;3,9;144;.;137;7;100;.;95,1;4,9;165;10;150;5;100;6,1;90,9;3
1868 Øksnes;1868;Øksnes;664;27;637;.;100;4,1;95,9;.;317;10;307;.;100;3,2;96,8;.;347;17;330;.;100;4,9;95,1;.
1870 Sortland;1870;Sortland;1382;65;1311;6;100;4,7;94,9;0,4;753;33;719;1;100;4,4;95,5;0,1;629;32;592;5;100;5,1;94,1;0,8
1871 Andøy;1871;Andøy;691;18;673;.;100;2,6;97,4;.;361;15;346;.;100;4,2;95,8;.;330;3;327;.;100;0,9;99,1;.
1874 Moskenes;1874;Moskenes;119;1;118;.;100;0,8;99,2;.;72;1;71;.;100;1,4;98,6;.;47;.;47;.;100;.;100;.
1902 Tromsø;1902;Tromsø;8472;276;8146;50;100;3,3;96,2;0,6;4521;160;4332;29;100;3,5;95,8;0,6;3951;116;3814;21;100;2,9;96,5;0,5
1903 Harstad;1901;Harstad;3132;133;2987;12;100;4,2;95,4;0,4;1716;64;1646;6;100;3,7;95,9;0,3;1416;69;1341;6;100;4,9;94,7;0,4
1911 Kvæfjord;1911;Kvæfjord;517;30;487;.;100;5,8;94,2;.;243;24;219;.;100;9,9;90,1;.;274;6;268;.;100;2,2;97,8;.
1913 Skånland;1913;Skånland;321;12;307;2;100;3,7;95,6;0,6;167;7;160;.;100;4,2;95,8;.;154;5;147;2;100;3,2;95,5;1,3
1917 Ibestad;1917;Ibestad;163;10;153;.;100;6,1;93,9;.;75;5;70;.;100;6,7;93,3;.;88;5;83;.;100;5,7;94,3;.
1919 Gratangen;1919;Gratangen;131;6;125;.;100;4,6;95,4;.;67;6;61;.;100;9;91;.;64;.;64;.;100;.;100;.
1920 Lavangen;1920;Lavangen;137;1;136;.;100;0,7;99,3;.;87;1;86;.;100;1,1;98,9;.;50;.;50;.;100;.;100;.
1922 Bardu;1922;Bardu;450;19;427;4;100;4,2;94,9;0,9;238;15;219;4;100;6,3;92;1,7;212;4;208;.;100;1,9;98,1;.
1923 Salangen;1923;Salangen;346;19;325;2;100;5,5;93,9;0,6;173;9;162;2;100;5,2;93,6;1,2;173;10;163;.;100;5,8;94,2;.
1924 Målselv;1924;Målselv;879;27;852;.;100;3,1;96,9;.;504;20;484;.;100;4;96;.;375;7;368;.;100;1,9;98,1;.
1925 Sørreisa;1925;Sørreisa;478;10;468;.;100;2,1;97,9;.;226;4;222;.;100;1,8;98,2;.;252;6;246;.;100;2,4;97,6;.
1926 Dyrøy;1926;Dyrøy;184;6;176;2;100;3,3;95,7;1,1;110;2;108;.;100;1,8;98,2;.;74;4;68;2;100;5,4;91,9;2,7
1927 Tranøy;1927;Tranøy;179;7;172;.;100;3,9;96,1;.;109;5;104;.;100;4,6;95,4;.;70;2;68;.;100;2,9;97,1;.
1928 Torsken;1928;Torsken;113;4;109;.;100;3,5;96,5;.;64;4;60;.;100;6,3;93,8;.;49;.;49;.;100;.;100;.
1929 Berg;1929;Berg;107;1;106;.;100;0,9;99,1;.;44;.;44;.;100;.;100;.;63;1;62;.;100;1,6;98,4;.
1931 Lenvik;1931;Lenvik;1615;68;1543;4;100;4,2;95,5;0,2;822;26;793;3;100;3,2;96,5;0,4;793;42;750;1;100;5,3;94,6;0,1
1933 Balsfjord;1933;Balsfjord;739;15;721;3;100;2;97,6;0,4;391;7;381;3;100;1,8;97,4;0,8;348;8;340;.;100;2,3;97,7;.
1936 Karlsøy;1936;Karlsøy;279;11;268;.;100;3,9;96,1;.;148;10;138;.;100;6,8;93,2;.;131;1;130;.;100;0,8;99,2;.
1938 Lyngen;1938;Lyngen;370;17;348;5;100;4,6;94,1;1,4;223;13;209;1;100;5,8;93,7;0,4;147;4;139;4;100;2,7;94,6;2,7
1939 Storfjord;1939;Storfjord;278;12;266;.;100;4,3;95,7;.;173;7;166;.;100;4;96;.;105;5;100;.;100;4,8;95,2;.
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;291;.;291;.;100;.;100;.;141;.;141;.;100;.;100;.;150;.;150;.;100;.;100;.
1941 Skjervøy;1941;Skjervøy;480;20;460;.;100;4,2;95,8;.;245;8;237;.;100;3,3;96,7;.;235;12;223;.;100;5,1;94,9;.
1942 Nordreisa;1942;Nordreisa;677;24;653;.;100;3,5;96,5;.;385;8;377;.;100;2,1;97,9;.;292;16;276;.;100;5,5;94,5;.
1943 Kvænangen;1943;Kvænangen;145;.;145;.;100;.;100;.;85;.;85;.;100;.;100;.;60;.;60;.;100;.;100;.
2002 Vardø;2002;Vardø;239;11;228;.;100;4,6;95,4;.;127;10;117;.;100;7,9;92,1;.;112;1;111;.;100;0,9;99,1;.
2003 Vadsø;2003;Vadsø;854;137;712;5;100;16;83,4;0,6;463;87;375;1;100;18,8;81;0,2;391;50;337;4;100;12,8;86,2;1
2004 Hammerfest;2004;Hammerfest;1206;65;1131;10;100;5,4;93,8;0,8;644;33;608;3;100;5,1;94,4;0,5;562;32;523;7;100;5,7;93,1;1,2
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;393;1;389;3;100;0,3;99;0,8;206;1;202;3;100;0,5;98,1;1,5;187;.;187;.;100;.;100;.
2012 Alta;2012;Alta;2695;83;2607;5;100;3,1;96,7;0,2;1421;44;1374;3;100;3,1;96,7;0,2;1274;39;1233;2;100;3,1;96,8;0,2
2014 Loppa;2014;Loppa;167;8;159;.;100;4,8;95,2;.;99;5;94;.;100;5,1;94,9;.;68;3;65;.;100;4,4;95,6;.
2015 Hasvik;2015;Hasvik;112;2;110;.;100;1,8;98,2;.;54;2;52;.;100;3,7;96,3;.;58;.;58;.;100;.;100;.
2017 Kvalsund;2017;Kvalsund;107;2;104;1;100;1,9;97,2;0,9;55;.;55;.;100;.;100;.;52;2;49;1;100;3,8;94,2;1,9
2018 Måsøy;2018;Måsøy;144;9;133;2;100;6,3;92,4;1,4;66;3;61;2;100;4,5;92,4;3;78;6;72;.;100;7,7;92,3;.
2019 Nordkapp;2019;Nordkapp;447;30;417;.;100;6,7;93,3;.;241;22;219;.;100;9,1;90,9;.;206;8;198;.;100;3,9;96,1;.
2020 Porsanger;2020;Porsanger Porsángu Porsanki;524;25;499;.;100;4,8;95,2;.;275;18;257;.;100;6,5;93,5;.;249;7;242;.;100;2,8;97,2;.
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;428;6;422;.;100;1,4;98,6;.;231;3;228;.;100;1,3;98,7;.;197;3;194;.;100;1,5;98,5;.
2022 Lebesby;2022;Lebesby;158;4;154;.;100;2,5;97,5;.;87;3;84;.;100;3,4;96,6;.;71;1;70;.;100;1,4;98,6;.
2023 Gamvik;2023;Gamvik;123;3;120;.;100;2,4;97,6;.;72;.;72;.;100;.;100;.;51;3;48;.;100;5,9;94,1;.
2024 Berlevåg;2024;Berlevåg;131;.;130;1;100;.;99,2;0,8;49;.;49;.;100;.;100;.;82;.;81;1;100;.;98,8;1,2
2025 Deatnu Tana;2025;Deatnu Tana;329;8;319;2;100;2,4;97;0,6;163;3;160;.;100;1,8;98,2;.;166;5;159;2;100;3;95,8;1,2
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;93;5;88;.;100;5,4;94,6;.;50;4;46;.;100;8;92;.;43;1;42;.;100;2,3;97,7;.
2028 Båtsfjord;2028;Båtsfjord;236;20;214;2;100;8,5;90,7;0,8;114;11;102;1;100;9,6;89,5;0,9;122;9;112;1;100;7,4;91,8;0,8
2030 Sør-Varanger;2030;Sør-Varanger;1291;66;1218;7;100;5,1;94,3;0,5;701;40;658;3;100;5,7;93,9;0,4;590;26;560;4;100;4,4;94,9;0,7
9999 Uoppgitt;9999;Uoppgitt;2856;107;2724;25;100;3,7;95,4;0,9;1381;47;1324;10;100;3,4;95,9;0,7;1475;60;1400;15;100;4,1;94,9;1
