Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0239 Hurdal;239;Hurdal;355;6;346;3;100;1,7;97,5;0,8;204;2;202;.;100;1;99;.;151;4;144;3;100;2,6;95,4;2
0301 Oslo;301;Oslo kommune;51570;6297;34756;10517;100;12,2;67,4;20,4;26647;3347;17856;5444;100;12,6;67;20,4;24923;2950;16900;5073;100;11,8;67,8;20,4
0402 Kongsvinger;402;Kongsvinger;2062;138;1839;85;100;6,7;89,2;4,1;1070;81;950;39;100;7,6;88,8;3,6;992;57;889;46;100;5,7;89,6;4,6
0403 Hamar;403;Hamar;3393;223;3091;79;100;6,6;91,1;2,3;1846;122;1669;55;100;6,6;90,4;3;1547;101;1422;24;100;6,5;91,9;1,6
0412 Ringsaker;412;Ringsaker;4251;141;4038;72;100;3,3;95;1,7;2213;76;2103;34;100;3,4;95;1,5;2038;65;1935;38;100;3,2;94,9;1,9
0415 Løten;415;Løten;876;35;832;9;100;4;95;1;454;12;433;9;100;2,6;95,4;2;422;23;399;.;100;5,5;94,5;.
0417 Stange;417;Stange;2494;129;2324;41;100;5,2;93,2;1,6;1300;69;1215;16;100;5,3;93,5;1,2;1194;60;1109;25;100;5;92,9;2,1
0418 Nord-Odal;418;Nord-Odal;574;19;554;1;100;3,3;96,5;0,2;287;10;276;1;100;3,5;96,2;0,3;287;9;278;.;100;3,1;96,9;.
0419 Sør-Odal;419;Sør-Odal;976;34;938;4;100;3,5;96,1;0,4;489;18;471;.;100;3,7;96,3;.;487;16;467;4;100;3,3;95,9;0,8
0420 Eidskog;420;Eidskog;844;30;809;5;100;3,6;95,9;0,6;427;16;409;2;100;3,7;95,8;0,5;417;14;400;3;100;3,4;95,9;0,7
0423 Grue;423;Grue;617;39;577;1;100;6,3;93,5;0,2;310;24;286;.;100;7,7;92,3;.;307;15;291;1;100;4,9;94,8;0,3
0425 Åsnes;425;Åsnes;857;19;828;10;100;2,2;96,6;1,2;441;7;430;4;100;1,6;97,5;0,9;416;12;398;6;100;2,9;95,7;1,4
0426 Våler (Hedm.);426;Våler (Hedm.);398;11;385;2;100;2,8;96,7;0,5;207;5;200;2;100;2,4;96,6;1;191;6;185;.;100;3,1;96,9;.
0427 Elverum;427;Elverum;2538;154;2351;33;100;6,1;92,6;1,3;1366;79;1271;16;100;5,8;93;1,2;1172;75;1080;17;100;6,4;92,2;1,5
0428 Trysil;428;Trysil;834;37;795;2;100;4,4;95,3;0,2;439;22;417;.;100;5;95;.;395;15;378;2;100;3,8;95,7;0,5
0429 Åmot;429;Åmot;463;19;439;5;100;4,1;94,8;1,1;264;9;252;3;100;3,4;95,5;1,1;199;10;187;2;100;5;94;1
0430 Stor-Elvdal;430;Stor-Elvdal;287;15;272;.;100;5,2;94,8;.;148;4;144;.;100;2,7;97,3;.;139;11;128;.;100;7,9;92,1;.
0432 Rendalen;432;Rendalen;225;3;222;.;100;1,3;98,7;.;122;1;121;.;100;0,8;99,2;.;103;2;101;.;100;1,9;98,1;.
0434 Engerdal;434;Engerdal;158;1;157;.;100;0,6;99,4;.;95;1;94;.;100;1,1;98,9;.;63;.;63;.;100;.;100;.
0436 Tolga;436;Tolga;251;14;237;.;100;5,6;94,4;.;145;11;134;.;100;7,6;92,4;.;106;3;103;.;100;2,8;97,2;.
0437 Tynset;437;Tynset;754;56;689;9;100;7,4;91,4;1,2;384;33;348;3;100;8,6;90,6;0,8;370;23;341;6;100;6,2;92,2;1,6
0438 Alvdal;438;Alvdal;303;2;301;.;100;0,7;99,3;.;161;1;160;.;100;0,6;99,4;.;142;1;141;.;100;0,7;99,3;.
0439 Folldal;439;Folldal;207;5;199;3;100;2,4;96,1;1,4;118;4;114;.;100;3,4;96,6;.;89;1;85;3;100;1,1;95,5;3,4
0441 Os (Hedm.);441;Os (Hedm.);351;23;328;.;100;6,6;93,4;.;174;13;161;.;100;7,5;92,5;.;177;10;167;.;100;5,6;94,4;.
0501 Lillehammer;501;Lillehammer;3196;202;2925;69;100;6,3;91,5;2,2;1662;104;1526;32;100;6,3;91,8;1,9;1534;98;1399;37;100;6,4;91,2;2,4
0502 Gjøvik;502;Gjøvik;3365;226;3050;89;100;6,7;90,6;2,6;1705;114;1552;39;100;6,7;91;2,3;1660;112;1498;50;100;6,7;90,2;3
0511 Dovre;511;Dovre;300;13;287;.;100;4,3;95,7;.;153;6;147;.;100;3,9;96,1;.;147;7;140;.;100;4,8;95,2;.
0512 Lesja;512;Lesja;278;12;263;3;100;4,3;94,6;1,1;128;5;123;.;100;3,9;96,1;.;150;7;140;3;100;4,7;93,3;2
0513 Skjåk;513;Skjåk;291;7;284;.;100;2,4;97,6;.;136;4;132;.;100;2,9;97,1;.;155;3;152;.;100;1,9;98,1;.
0514 Lom;514;Lom;326;11;311;4;100;3,4;95,4;1,2;164;7;157;.;100;4,3;95,7;.;162;4;154;4;100;2,5;95,1;2,5
0515 Vågå;515;Vågå;473;15;453;5;100;3,2;95,8;1,1;238;2;231;5;100;0,8;97,1;2,1;235;13;222;.;100;5,5;94,5;.
0516 Nord-Fron;516;Nord-Fron;670;36;630;4;100;5,4;94;0,6;368;15;349;4;100;4,1;94,8;1,1;302;21;281;.;100;7;93;.
0517 Sel;517;Sel;819;28;784;7;100;3,4;95,7;0,9;459;23;435;1;100;5;94,8;0,2;360;5;349;6;100;1,4;96,9;1,7
0519 Sør-Fron;519;Sør-Fron;368;13;352;3;100;3,5;95,7;0,8;218;10;208;.;100;4,6;95,4;.;150;3;144;3;100;2;96;2
0520 Ringebu;520;Ringebu;573;28;541;4;100;4,9;94,4;0,7;295;17;278;.;100;5,8;94,2;.;278;11;263;4;100;4;94,6;1,4
0521 Øyer;521;Øyer;781;36;744;1;100;4,6;95,3;0,1;410;17;393;.;100;4,1;95,9;.;371;19;351;1;100;5,1;94,6;0,3
0522 Gausdal;522;Gausdal;837;46;791;.;100;5,5;94,5;.;452;20;432;.;100;4,4;95,6;.;385;26;359;.;100;6,8;93,2;.
0528 Østre Toten;528;Østre Toten;1895;54;1812;29;100;2,8;95,6;1,5;1035;34;992;9;100;3,3;95,8;0,9;860;20;820;20;100;2,3;95,3;2,3
0529 Vestre Toten;529;Vestre Toten;1634;77;1535;22;100;4,7;93,9;1,3;895;47;841;7;100;5,3;94;0,8;739;30;694;15;100;4,1;93,9;2
0532 Jevnaker;532;Jevnaker;838;29;804;5;100;3,5;95,9;0,6;419;19;395;5;100;4,5;94,3;1,2;419;10;409;.;100;2,4;97,6;.
0533 Lunner;533;Lunner;1125;46;1075;4;100;4,1;95,6;0,4;582;29;549;4;100;5;94,3;0,7;543;17;526;.;100;3,1;96,9;.
0534 Gran;534;Gran;1631;71;1548;12;100;4,4;94,9;0,7;826;36;782;8;100;4,4;94,7;1;805;35;766;4;100;4,3;95,2;0,5
0536 Søndre Land;536;Søndre Land;785;40;737;8;100;5,1;93,9;1;421;20;396;5;100;4,8;94,1;1,2;364;20;341;3;100;5,5;93,7;0,8
0538 Nordre Land;538;Nordre Land;908;44;861;3;100;4,8;94,8;0,3;488;17;471;.;100;3,5;96,5;.;420;27;390;3;100;6,4;92,9;0,7
0540 Sør-Aurdal;540;Sør-Aurdal;435;14;421;.;100;3,2;96,8;.;245;10;235;.;100;4,1;95,9;.;190;4;186;.;100;2,1;97,9;.
0541 Etnedal;541;Etnedal;158;8;148;2;100;5,1;93,7;1,3;82;6;74;2;100;7,3;90,2;2,4;76;2;74;.;100;2,6;97,4;.
0542 Nord-Aurdal;542;Nord-Aurdal;756;30;726;.;100;4;96;.;411;24;387;.;100;5,8;94,2;.;345;6;339;.;100;1,7;98,3;.
0543 Vestre Slidre;543;Vestre Slidre;270;17;251;2;100;6,3;93;0,7;143;10;131;2;100;7;91,6;1,4;127;7;120;.;100;5,5;94,5;.
0544 Øystre Slidre;544;Øystre Slidre;356;5;346;5;100;1,4;97,2;1,4;181;3;176;2;100;1,7;97,2;1,1;175;2;170;3;100;1,1;97,1;1,7
0545 Vang;545;Vang;208;24;179;5;100;11,5;86,1;2,4;101;16;84;1;100;15,8;83,2;1;107;8;95;4;100;7,5;88,8;3,7
0602 Drammen;602;Drammen;6849;932;5079;838;100;13,6;74,2;12,2;3480;504;2550;426;100;14,5;73,3;12,2;3369;428;2529;412;100;12,7;75,1;12,2
0604 Kongsberg;604;Kongsberg;2929;219;2650;60;100;7,5;90,5;2;1531;129;1380;22;100;8,4;90,1;1,4;1398;90;1270;38;100;6,4;90,8;2,7
