Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1820 Alstahaug;1820;Alstahaug;790;1951;868;93;186;44;697;1765;824;69,1;83,5;58,5;58,1;62,8;63,8;70,8;86,5;58,3
1822 Leirfjord;1822;Leirfjord;243;540;264;20;37;8;223;503;256;72,5;79,9;60,4;46,5;48,7;61,5;76,4;83,8;60,4
1824 Vefsn;1824;Vefsn;1387;3634;1462;73;261;31;1314;3373;1431;69,9;85,7;57,8;47,7;72,3;50,8;71,7;87;58
1825 Grane;1825;Grane;138;380;171;18;28; : ;120;352; : ;76,2;85,4;57;81,8;87,5; : ;75,5;85,2; : 
1826 Hattfjelldal;1826;Hattfjelldal;119;377;187;8;24;10;111;353;177;57,2;85,1;62,1;16,3;50;62,5;69,8;89,4;62,1
1827 Dønna;1827;Dønna;142;331;175;13;27;7;129;304;168;74;81,9;54,7;76,5;79,4;63,6;73,7;82,2;54,4
1828 Nesna;1828;Nesna;183;468;186;18;73;6;165;395;180;54,8;76,6;59;21,4;58,4;60;66;81,3;59
1832 Hemnes;1832;Hemnes;498;1161;426;19;80;16;479;1081;410;74,2;83,3;49,1;48,7;71,4;57,1;75,8;84,3;48,8
1833 Rana;1833;Rana;2841;7116;2539;181;478;74;2660;6638;2465;71,6;84;53,9;55,9;67,6;57,8;73;85,5;53,8
1834 Lurøy;1834;Lurøy;199;475;209;24;43;5;175;432;204;76;86,4;56,2;77,4;87,8;55,6;75,8;86,2;56,2
1835 Træna;1835;Træna;51;149;48;16;48; : ;35;101; : ;66,2;93,1;60;72,7;98; : ;63,6;91; : 
1836 Rødøy;1836;Rødøy;143;305;166;8;28; : ;135;277; : ;78,6;85;63,1;80;84,8; : ;78,5;85; : 
1837 Meløy;1837;Meløy;641;1652;728;51;133;24;590;1519;704;67,9;82,7;59,3;61,4;71,5;64,9;68,5;83,9;59,2
1838 Gildeskål;1838;Gildeskål;170;502;265;23;82;5;147;420;260;65,1;82,4;58,4;53,5;80,4;55,6;67,4;82,8;58,4
1839 Beiarn;1839;Beiarn;95;254;151; : ;14; : ; : ;240; : ;74,8;82,7;56,3; : ;77,8; : ; : ;83; : 
1840 Saltdal;1840;Saltdal;434;1211;573;24;95;22;410;1116;551;64,7;83,1;54,8;27,3;62,5;59,5;70,3;85,5;54,7
1841 Fauske;1841;Fauske;935;2487;1132;59;170;25;876;2317;1107;69,7;82,4;57,2;62,1;66,9;53,2;70,3;83,8;57,3
1845 Sørfold;1845;Sørfold;189;475;216;14;37;4;175;438;212;74,4;83;46,3;63,6;78,7;66,7;75,4;83,4;46
1848 Steigen;1848;Steigen;241;596;361;12;60;13;229;536;348;65,8;81,2;60,2;33,3;61,2;81,3;69,4;84,3;59,6
1849 Hamarøy;1849;Hamarøy;198;410;239;34;67;14;164;343;225;65,6;83,5;58;55,7;77;73,7;68;84,9;57,3
1850 Tysfjord;1850;Tysfjord;178;481;225;9;58;7;169;423;218;65,9;79;48;42,9;79,5;58,3;67,9;78,9;47,7
1851 Lødingen;1851;Lødingen;186;484;295;29;66;10;157;418;285;55,9;77,9;58,5;32,6;57,4;58,8;64,3;82,6;58,5
1852 Tjeldsund;1852;Tjeldsund;97;287;172;5;19; : ;92;268; : ;68,3;79,3;56;62,5;67,9; : ;68,7;80,2; : 
1853 Evenes;1853;Evenes;103;290;175;14;21;6;89;269;169;67,3;75,7;50,4;50;52,5;50;71,2;78,4;50,4
1854 Ballangen;1854;Ballangen;226;581;280;14;51;10;212;530;270;69,1;77,3;48;43,8;67,1;55,6;71,9;78,4;47,8
1856 Røst;1856;Røst;54;171;63; : ;15; : ; : ;156; : ;71,1;85,1;58,9; : ;68,2; : ; : ;87,2; : 
1857 Værøy;1857;Værøy;85;220;87;23;51;5;62;169;82;80,2;83,7;63;76,7;87,9;71,4;81,6;82,4;62,6
1859 Flakstad;1859;Flakstad;139;315;147;5;30;10;134;285;137;70,2;78,9;56,3;33,3;73,2;83,3;73,2;79,6;55
1860 Vestvågøy;1860;Vestvågøy;1196;2794;1209;98;247;42;1098;2547;1167;69,9;82,8;59;48;67,3;59,2;72,9;84,7;59
1865 Vågan;1865;Vågan;916;2435;1115;129;342;50;787;2093;1065;67,8;82,2;61,1;54,7;69,1;63,3;70,6;84,8;61
1866 Hadsel;1866;Hadsel;800;2030;918;89;236;31;711;1794;887;67,1;81,3;56,1;50,9;69;68,9;69,8;83,3;55,8
1867 Bø (Nordl.);1867;Bø (Nordl.);185;590;296;15;49;9;170;541;287;67,3;76,5;53,5;53,6;57,6;50;68,8;78,9;53,6
1868 Øksnes;1868;Øksnes;449;1199;480;55;160;15;394;1039;465;65,1;80,9;55,4;49,5;72,7;48,4;68;82,3;55,6
1870 Sortland;1870;Sortland;1065;2741;1081;79;230;27;986;2511;1054;68,1;83;59;49,1;72,1;55,1;70,3;84,2;59,1
1871 Andøy;1871;Andøy;489;1218;538;35;130;13;454;1088;525;72;81,4;53,4;50;66,7;43,3;74,5;83,6;53,7
1874 Moskenes;1874;Moskenes;100;293;132;25;73;10;75;220;122;75,2;82,1;60,6;71,4;82;66,7;76,5;82,1;60,1
1902 Tromsø;1902;Tromsø;9466;22051;7175;1201;3024;406;8265;19027;6769;71,4;84,6;64,6;59,2;75,8;65,7;73,6;86,2;64,6
1903 Harstad;1903;Harstad;2644;6629;2725;243;646;84;2401;5983;2641;68;83,5;58,7;51,4;69,5;51,5;70,3;85,4;59
1911 Kvæfjord;1911;Kvæfjord;302;716;368;15;84;10;287;632;358;62,7;78,9;57;19,5;63,6;45,5;70,9;81,5;57,4
1913 Skånland;1913;Skånland;255;722;378;14;84;10;241;638;368;68,9;80,2;56;36,8;71,8;62,5;72,6;81,5;55,8
1917 Ibestad;1917;Ibestad;135;316;179;27;31;6;108;285;173;71,8;85,2;53,1;81,8;73,8;85,7;69,7;86,6;52,4
1919 Gratangen;1919;Gratangen;112;277;123;22;58;8;90;219;115;70,9;80,5;52,6;88;79,5;61,5;67,7;80,8;52
1920 Lavangen;1920;Lavangen;86;234;102;4;13; : ;82;221; : ;66,7;78,8;53,7;57,1;81,3; : ;67,2;78,6; : 
1922 Bardu;1922;Bardu;564;1063;429;30;81;8;534;982;421;78,8;87,6;60,2;42,3;66,4;38,1;82,8;90;60,8
1923 Salangen;1923;Salangen;182;577;263;33;39;8;149;538;255;53,5;83,5;59;35,1;66,1;72,7;60,6;85,1;58,6
1924 Målselv;1924;Målselv;918;1733;756;48;118;26;870;1615;730;78,1;85;62,6;48,5;73,8;63,4;80,9;86;62,6
1925 Sørreisa;1925;Sørreisa;347;929;384;22;96;12;325;833;372;72,3;84,4;58,6;64,7;79,3;54,5;72,9;85;58,8
1926 Dyrøy;1926;Dyrøy;99;278;137; : ;18;4; : ;260;133;68,3;83,5;48,9; : ;90; : ; : ;83,1; : 
1927 Tranøy;1927;Tranøy;124;328;179;10;31;8;114;297;171;74,3;77,4;52,6;55,6;63,3;61,5;76,5;79,2;52,3
1928 Torsken;1928;Torsken;96;203;101;12;33;7;84;170;94;78;81,2;50,8;75;78,6;70;78,5;81,7;49,7
1929 Berg;1929;Berg;114;220;106;31;35;4;83;185;102;72,6;81,5;55,2;73,8;70;100;72,2;84,1;54,3
1931 Lenvik;1931;Lenvik;1233;3070;1088;109;267;30;1124;2803;1058;73,6;83,9;52,6;52,4;70,8;54,5;76,6;85,4;52,5
1933 Balsfjord;1933;Balsfjord;587;1409;617;44;111;21;543;1298;596;76,3;81,9;56,1;75,9;74,5;53,8;76,4;82,6;56,2
1936 Karlsøy;1936;Karlsøy;247;549;313;36;86;9;211;463;304;76;78;60,4;70,6;73,5;60;77;78,9;60,4
1938 Lyngen;1938;Lyngen;297;726;377;19;60;6;278;666;371;75,4;83,2;59;73,1;80;42,9;75,5;83,5;59,4
1939 Storfjord;1939;Storfjord;177;473;249;9;36;14;168;437;235;64,6;82,5;52,6;23,7;62,1;46,7;71,2;84,9;53
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;253;492;245;13;35;8;240;457;237;70,5;77,4;52,9;44,8;54,7;61,5;72,7;79,9;52,7
1941 Skjervøy;1941;Skjervøy;325;742;277;38;98;9;287;644;268;71,1;82,2;51,3;73,1;82,4;42,9;70,9;82,1;51,6
1942 Nordreisa;1942;Nordreisa;530;1220;554;23;74;13;507;1146;541;70,8;81,4;58,3;48,9;63,2;59,1;72,2;83;58,3
1943 Kvænangen;1943;Kvænangen;117;279;152; : ;21;8; : ;258;144;67,2;81,1;58,7; : ;91,3;50; : ;80,4;59,3
2002 Vardø;2002;Vardø;213;542;226;33;98;16;180;444;210;70,8;78,9;46,1;80,5;76;32;69,2;79,6;47,7
2003 Vadsø;2003;Vadsø;667;1747;593;84;230;49;583;1517;544;64,6;83;57,1;33,3;56,7;57;74,6;89,3;57,1
2004 Hammerfest;2004;Hammerfest;1444;3156;958;284;607;85;1160;2549;873;77,3;85,9;60,3;73,8;79,2;64,9;78,2;87,7;59,8
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;296;803;340;14;59;20;282;744;320;62,2;79,7;62,7;48,3;78,7;58,8;63,1;79,7;63
2012 Alta;2012;Alta;2511;5406;1734;277;581;76;2234;4825;1658;70,9;82,3;57;61,1;73,2;61,3;72,3;83,5;56,8
2014 Loppa;2014;Loppa;96;227;126;18;35;4;78;192;122;70,1;77,2;52,3;72;67,3;57,1;69,6;79,3;52,1
2015 Hasvik;2015;Hasvik;103;265;99;36;81;8;67;184;91;68,2;77,5;48,1;81,8;80,2;61,5;62,6;76,3;47,2
2017 Kvalsund;2017;Kvalsund;76;243;129;5;32;5;71;211;124;68,5;80,2;48,7;83,3;80;50;67,6;80,2;48,6
2018 Måsøy;2018;Måsøy;97;304;126;16;79;8;81;225;118;61,4;78,4;45;50;71,2;57,1;64,3;81,2;44,4
2019 Nordkapp;2019;Nordkapp;343;812;370;36;134;23;307;678;347;72,1;77;55,2;64,3;67,3;60,5;73,1;79,3;54,9
2020 Porsanger;2020;Porsanger Porsángu Porsanki;383;1040;512;33;93;18;350;947;494;68,3;79,9;57,9;56,9;71;46,2;69,6;80,9;58,4
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;274;745;353;9;76;19;265;669;334;60,2;84,9;68,7;52,9;88,4;67,9;60,5;84,5;68,7
2022 Lebesby;2022;Lebesby;124;338;125;18;68;9;106;270;116;73,4;77,3;44,8;75;86,1;40,9;73,1;75,4;45,1
2023 Gamvik;2023;Gamvik;119;296;115;37;88;18;82;208;97;68,8;78,5;50,2;66,1;73,9;75;70,1;80,6;47,3
2024 Berlevåg;2024;Berlevåg;126;283;109;21;52;10;105;231;99;75,9;84,2;49,3;75;81,3;71,4;76,1;84,9;47,8
2025 Deatnu Tana;2025;Deatnu Tana;261;793;355;19;110;32;242;683;323;68,1;83,9;58,2;55,9;77,5;59,3;69,3;85,1;58,1
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;100;224;122;14;35;6;86;189;116;76,9;86,2;57;82,4;92,1;42,9;76,1;85,1;58
2028 Båtsfjord;2028;Båtsfjord;256;626;221;84;205;29;172;421;192;71,1;81,2;52,5;71,8;81,3;56,9;70,8;81,1;51,9
2030 Sør-Varanger;2030;Sør-Varanger;1324;3000;969;210;526;106;1114;2474;863;77,7;86,3;55,7;69,8;79,5;59,2;79,3;87,9;55,3
