Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
Nedbrytninger;;;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69;arbeidsalder_18_69.18_29;arbeidsalder_18_69.30_54;arbeidsalder_18_69.55_69
Alder;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0515 Vågå;515;Vågå;321;984;478;15;42;10;306;942;468;71,2;86,9;63,2;50;58,3;83,3;72,7;88,9;62,9
0516 Nord-Fron;516;Nord-Fron;542;1548;731;33;110;15;509;1438;716;73,4;84,4;59,5;49,3;72,8;53,6;75,9;85,4;59,6
0517 Sel;517;Sel;500;1565;706;20;98;7;480;1467;699;62,3;83,7;57,9;22,7;64,9;43,8;67,1;85,3;58,1
0519 Sør-Fron;519;Sør-Fron;324;834;365;35;77;9;289;757;356;75,5;83,3;57,8;74,5;73,3;42,9;75,7;84,5;58,3
0520 Ringebu;520;Ringebu;463;1202;521;48;141;15;415;1061;506;76,4;82,7;59,2;59,3;68,1;60;79;85,2;59,2
0521 Øyer;521;Øyer;542;1425;629;72;168;38;470;1257;591;69,4;85,5;64,2;55;67,7;59,4;72,3;88,6;64,5
0522 Gausdal;522;Gausdal;629;1780;740;44;123;20;585;1657;720;77,2;87,1;62,3;62;75,9;57,1;78,6;88;62,5
0528 Østre Toten;528;Østre Toten;1406;4060;1709;119;372;56;1287;3688;1653;71,6;82,7;57,9;57,2;70,1;50,9;73,2;84,3;58,1
0529 Vestre Toten;529;Vestre Toten;1195;3580;1415;77;295;41;1118;3285;1374;68,6;81,1;54,2;42,5;69,7;54,7;71,7;82,3;54,2
0532 Jevnaker;532;Jevnaker;659;1790;682;57;183;29;602;1607;653;74,4;80,8;55,4;62,6;77,5;49,2;75,7;81,2;55,8
0533 Lunner;533;Lunner;844;2628;1073;71;243;47;773;2385;1026;70,3;84;61,4;55,9;64,8;62,7;72;86,6;61,4
0534 Gran;534;Gran;1287;3714;1564;108;325;35;1179;3389;1529;70,2;81,9;59,5;44,3;64,4;45,5;74,2;84,1;59,9
0536 Søndre Land;536;Søndre Land;506;1441;617;36;107;18;470;1334;599;67,2;77,1;51,2;46,2;63,7;46,2;69,6;78,5;51,3
0538 Nordre Land;538;Nordre Land;661;1719;796;36;120;9;625;1599;787;72,6;79,8;58,1;53,7;67;45;74,1;81;58,3
0540 Sør-Aurdal;540;Sør-Aurdal;290;823;382;21;56;14;269;767;368;72,3;85,3;60,4;60;70,9;53,8;73,5;86,6;60,7
0541 Etnedal;541;Etnedal;96;370;159;7;31;6;89;339;153;52,2;80,8;60,9;13,2;39,7;40;67,9;89,2;62,2
0542 Nord-Aurdal;542;Nord-Aurdal;643;1750;868;61;194;41;582;1556;827;73,6;84,4;63,7;54;71,1;64,1;76,5;86,4;63,7
0543 Vestre Slidre;543;Vestre Slidre;204;619;304;15;46;6;189;573;298;75,6;86,2;67,9;46,9;63;50;79,4;88,8;68,3
0544 Øystre Slidre;544;Øystre Slidre;363;922;455;36;102;24;327;820;431;79,1;88,3;69,4;78,3;75;75;79,2;90,3;69,1
0545 Vang;545;Vang;177;418;243;22;72;8;155;346;235;72,2;84,8;72,8;41,5;67,9;61,5;80,7;89,4;73,2
0602 Drammen;602;Drammen;7131;18243;6396;1618;4649;579;5513;13594;5817;67,8;78,7;57,1;57,7;65;42,2;71,5;84,8;59,2
0604 Kongsberg;604;Kongsberg;2754;7791;3061;466;1351;184;2288;6440;2877;70,2;85,2;64,2;61,5;75,2;63,7;72,3;87,7;64,2
0605 Ringerike;605;Ringerike;2947;8093;3426;335;1103;181;2612;6990;3245;67,8;81;58,9;57;69,7;57,3;69,5;83,1;59
0612 Hole;612;Hole;538;2011;741;103;331;55;435;1680;686;66,3;83,9;61,7;61,7;74,2;64;67,4;86,1;61,5
0615 Flå;615;Flå;105;263;133;14;26;6;91;237;127;72,9;84,6;61;63,6;68,4;46,2;74,6;86,8;62
0616 Nes (Busk.);616;Nes (Busk.);299;921;502;37;114;23;262;807;479;61,5;86,3;68,9;41,6;64,4;67,6;66;90,7;68,9
0617 Gol;617;Gol;469;1335;579;105;254;41;364;1081;538;75,3;86,1;67,6;81,4;75,6;63,1;73,7;89;67,9
0618 Hemsedal;618;Hemsedal;228;760;240;62;184;13;166;576;227;69,7;86,8;70,8;60,2;78;59,1;74,1;90;71,6
0619 Ål;619;Ål;496;1294;629;59;163;19;437;1131;610;76,3;89,7;68,1;67;79,1;57,6;77,8;91,4;68,5
0620 Hol;620;Hol;509;1279;649;109;266;38;400;1013;611;78,2;87,7;69,3;70,8;80,4;59,4;80,5;89,9;70
0621 Sigdal;621;Sigdal;337;969;541;27;69;10;310;900;531;78,4;87,1;71,7;77,1;74,2;55,6;78,5;88,3;72
0622 Krødsherad;622;Krødsherad;246;616;290;43;104;8;203;512;282;76,6;82;60,5;78,2;78,8;42,1;76,3;82,7;61,3
0623 Modum;623;Modum;1281;3663;1622;96;394;65;1185;3269;1557;69,9;79,7;58,9;50;68,6;53,7;72,3;81,3;59,1
0624 Øvre Eiker;624;Øvre Eiker;1893;5159;1870;230;793;94;1663;4366;1776;71,5;82,8;59;61;76;56,6;73,2;84,2;59,1
0625 Nedre Eiker;625;Nedre Eiker;2360;7157;2311;349;1427;161;2011;5730;2150;69,9;82,9;58;61,4;74,5;46,8;71,6;85,3;59
0626 Lier;626;Lier;2241;7804;2724;406;1596;218;1835;6208;2506;67,3;85,6;62,1;60,9;74,9;53,2;68,9;88,9;63
0627 Røyken;627;Røyken;1864;6679;2186;242;1063;163;1622;5616;2023;70,4;86,8;63,5;63,9;77,3;62,7;71,5;88,9;63,6
0628 Hurum;628;Hurum;715;2653;1126;84;378;67;631;2275;1059;63,8;83,7;57,2;52,2;75,9;60,4;65,8;85,2;57
0631 Flesberg;631;Flesberg;245;778;361;23;74;12;222;704;349;72,9;88,2;67;59;69,8;85,7;74,7;90,7;66,5
0632 Rollag;632;Rollag;112;351;212;5;32;6;107;319;206;71,8;88,4;67,9;35,7;72,7;66,7;75,4;90,4;68
0633 Nore og Uvdal;633;Nore og Uvdal;270;706;370;16;90;6;254;616;364;81,1;88,3;70,7;47,1;78,9;66,7;84,9;89,8;70,8
0701 Horten;701;Horten;2492;7013;2591;351;1008;164;2141;6005;2427;62,5;78,4;52,6;53,8;67,3;45,8;64,2;80,7;53,2
0702 Holmestrand;702;Holmestrand;941;2871;1129;81;330;59;860;2541;1070;68;80,3;53,8;60,9;69;54,1;68,7;82;53,7
0704 Tønsberg;704;Tønsberg;4497;11692;4257;647;1633;294;3850;10059;3963;67,8;82,3;59,3;61,3;71,2;59,5;69;84,4;59,2
0706 Sandefjord;706;Sandefjord;4014;12041;4553;631;1958;258;3383;10083;4295;63;79,4;55,2;56,6;67,9;46,1;64,4;82,1;55,9
0709 Larvik;709;Larvik;3868;11509;4878;455;1495;193;3413;10014;4685;64,3;80,8;56,7;55,7;68,4;42,4;65,6;83;57,5
0711 Svelvik;711;Svelvik;606;1872;752;63;254;46;543;1618;706;66,5;82,5;56,6;60;77,4;54,8;67,4;83,3;56,7
0713 Sande (Vestf.);713;Sande (Vestf.);893;2603;951;98;323;48;795;2280;903;71,3;83,7;59,1;65,8;73,9;54,5;72,1;85,3;59,4
0714 Hof;714;Hof;258;919;354;23;93;15;235;826;339;70,9;83,5;58,7;67,6;78,2;65,2;71,2;84,2;58,4
0716 Re;716;Re (f.o.m. 2002);919;2723;990;82;313;37;837;2410;953;70,6;84,2;63,7;58,6;73,1;59,7;72,1;85,9;63,9
0719 Andebu;719;Andebu;657;1677;579;63;203;23;594;1474;556;74,7;81,3;61,7;67,7;75,7;48,9;75,6;82,2;62,3
0720 Stokke;720;Stokke;1235;3370;1254;241;426;55;994;2944;1199;67,3;83,3;62,2;61,6;70,4;50,5;68,9;85,5;62,9
0722 Nøtterøy;722;Nøtterøy;1821;5847;2442;206;710;117;1615;5137;2325;63,1;83,1;60,7;55,7;73,3;48,3;64,2;84,6;61,5
0723 Tjøme;723;Tjøme;417;1265;619;57;159;29;360;1106;590;62,3;79,9;55,3;59,4;74;60,4;62,8;80,8;55,1
0728 Lardal;728;Lardal;212;698;311;21;56;5;191;642;306;71,1;82,4;63;67,7;71,8;41,7;71,5;83,5;63,5
0805 Porsgrunn;805;Porsgrunn;3456;9678;3603;348;1098;179;3108;8580;3424;64,5;80,7;54,6;47,3;65,2;46;67,2;83,2;55,2
0806 Skien;806;Skien;5301;14206;5602;660;1900;325;4641;12306;5277;64,5;79,8;56,2;47;63,5;48,9;68,1;83,1;56,7
0807 Notodden;807;Notodden;1147;3195;1373;94;354;48;1053;2841;1325;61,9;79,5;57,4;39,3;68,2;52,2;65,2;81,1;57,6
0811 Siljan;811;Siljan;218;677;283;5;43; : ;213;634; : ;65,9;85,2;61,8;23,8;67,2; : ;68,7;86,7; : 
0814 Bamble;814;Bamble;1439;3671;1597;62;282;47;1377;3389;1550;65,9;81,1;53,3;34,8;61,7;47;68,6;83,3;53,5
0815 Kragerø;815;Kragerø;913;2657;1290;70;280;67;843;2377;1223;63;79;53,3;42,2;66,7;50;65,7;80,8;53,5
0817 Drangedal;817;Drangedal;357;1066;483;16;99;23;341;967;460;69,6;81,3;57,7;47,1;67,8;57,5;71,2;83;57,7
0819 Nome;819;Nome;539;1694;787;51;195;36;488;1499;751;62,5;79,5;56,9;42,9;65,9;52,9;65,6;81,7;57,1
0821 Bø (Telemark);821;Bø (Telem.);627;1486;591;77;148;16;550;1338;575;56,5;80,8;60,8;30,3;65,5;38,1;64,3;83;61,8
0822 Sauherad;822;Sauherad;416;1105;545;47;126;24;369;979;521;66;80;63,2;53,4;68,9;66,7;68,1;81,7;63
0826 Tinn;826;Tinn;507;1576;745;46;225;41;461;1351;704;69,4;83,5;57,9;41,4;75;55,4;74,4;85,1;58
0827 Hjartdal;827;Hjartdal;153;388;218; : ;21; : ; : ;367; : ;70,5;82,7;65,3; : ;60; : ; : ;84,6; : 
0828 Seljord;828;Seljord;257;775;388;29;79;12;228;696;376;67,6;83,2;61,9;61,7;72,5;75;68,5;84,6;61,5
0829 Kviteseid;829;Kviteseid;250;674;351;19;75;21;231;599;330;75,5;86,2;67,2;59,4;82,4;65,6;77,3;86,7;67,3
0830 Nissedal;830;Nissedal;151;391;219;10;43;12;141;348;207;75,1;84,8;70,6;66,7;79,6;66,7;75,8;85,5;70,9
0831 Fyresdal;831;Fyresdal;122;340;175;7;40;14;115;300;161;64,6;83,7;66,8;31,8;66,7;77,8;68,9;86,7;66
0833 Tokke;833;Tokke;215;613;311;14;44;15;201;569;296;72,9;90,1;65,5;73,7;84,6;62,5;72,8;90,6;65,6
0834 Vinje;834;Vinje;442;1071;503;37;120;10;405;951;493;78,8;88,7;69,3;60,7;78,9;47,6;81;90,1;69,9
0901 Risør;901;Risør;577;1705;819;48;173;26;529;1532;793;61;78,8;55,4;39,3;64,6;40,6;64,2;80,8;56,1
0904 Grimstad;904;Grimstad;2356;5859;2042;286;755;125;2070;5104;1917;64;81,2;56,9;51,8;69,3;52,7;66,1;83,3;57,2
0906 Arendal;906;Arendal;4189;11542;4629;551;1505;241;3638;10037;4388;64,4;78,2;56,5;56,4;64,7;48,7;65,8;80,7;57
0911 Gjerstad;911;Gjerstad;204;645;277;9;49;4;195;596;273;63,8;75,8;55,7;25,7;54,4; : ;68,4;78,3; : 
0912 Vegårshei;912;Vegårshei;180;542;195; : ;38; : ; : ;504; : ;67,4;80,7;58,9; : ;60,3; : ; : ;82,8; : 
0914 Tvedestrand;914;Tvedestrand;490;1524;667;47;174;26;443;1350;641;61,4;78,3;52,1;50;63,3;53,1;62,9;80,8;52
0919 Froland;919;Froland;598;1517;514;30;143;17;568;1374;497;71,3;79,5;60,3;49,2;72,2;58,6;73;80,4;60,3
0926 Lillesand;926;Lillesand;952;2792;1122;92;290;49;860;2502;1073;69;83,1;59,4;60,1;75,3;46,7;70,1;84,1;60,1
0928 Birkenes;928;Birkenes;555;1371;471;45;152;33;510;1219;438;72,5;83,6;58,9;49,5;74,1;66;75,7;85;58,4
0929 Åmli;929;Åmli;148;443;219;19;70;10;129;373;209;67;76,9;57,2;65,5;77,8;41,7;67,2;76,7;58,2
0935 Iveland;935;Iveland;174;345;133;8;41; : ;166;304; : ;74,7;79,1;61,3;61,5;73,2; : ;75,5;80; : 
0937 Evje og Hornnes;937;Evje og Hornnes;325;901;410;34;114;22;291;787;388;67,6;80,7;62,1;56,7;64;56,4;69,1;83,8;62,5
0938 Bygland;938;Bygland;102;291;192; : ;21;12; : ;270;180;69,9;79,3;64,4; : ;63,6;70,6; : ;80,8;64,1
0940 Valle;940;Valle;129;334;193;13;30;10;116;304;183;74,1;86,1;68;65;63,8;83,3;75,3;89,1;67,3
0941 Bykle;941;Bykle;96;313;129;20;65;9;76;248;120;61,9;92,1;75,9;57,1;83,3;81,8;63,3;94,7;75,5
1001 Kristiansand;1001;Kristiansand;10081;23823;8077;1379;3836;640;8702;19987;7437;66,6;81,2;60,5;53,8;67,5;50;69,3;84,6;61,6
1002 Mandal;1002;Mandal;1530;4015;1571;120;435;86;1410;3580;1485;67,5;79,8;57,3;42,9;61,4;52,4;71;82,8;57,6
1003 Farsund;1003;Farsund;976;2518;1040;38;226;58;938;2292;982;74,7;84,1;57,8;40,4;71,1;49,2;77,3;85,7;58,4
1004 Flekkefjord;1004;Flekkefjord;942;2412;996;73;345;52;869;2067;944;73,2;85,4;58,9;50,3;77,9;47,7;76,1;86,8;59,7
1014 Vennesla;1014;Vennesla;1639;3831;1202;126;389;59;1513;3442;1143;70,3;80,9;56,9;65,6;68,2;47,2;70,8;82,7;57,5
1017 Songdalen;1017;Songdalen;704;1755;537;76;280;29;628;1475;508;69,6;80;57,9;58,9;69,5;44,6;71,2;82,3;58,9
