kommune;kommune_nr;kommune_navn;bosetting.bosatt_per_1000
Nedbrytninger;;;enhet.promille
1621 Ørland;1621;Ørland;0
1622 Agdenes;1622;Agdenes;0
1624 Rissa;1624;Rissa;2,106530244
1627 Bjugn;1627;Bjugn;0
1630 Åfjord;1630;Åfjord;0,308451573
1632 Roan;1632;Roan;0
1633 Osen;1633;Osen;0
1634 Oppdal;1634;Oppdal;2,201350161
1635 Rennebu;1635;Rennebu;4,303599374
1636 Meldal;1636;Meldal;0
1638 Orkdal;1638;Orkdal;1,805985552
1640 Røros;1640;Røros;0,537345513
1644 Holtålen;1644;Holtålen;0
1648 Midtre Gauldal;1648;Midtre Gauldal;1,414871875
1653 Melhus;1653;Melhus;1,009845998
1657 Skaun;1657;Skaun;0,541125541
1662 Klæbu;1662;Klæbu;0
1663 Malvik;1663;Malvik;0,972253384
1664 Selbu;1664;Selbu;0
1665 Tydal;1665;Tydal;0
1702 Steinkjer;1702;Steinkjer;1,484574345
1703 Namsos;1703;Namsos;3,286707942
1711 Meråker;1711;Meråker;3,916960439
1714 Stjørdal;1714;Stjørdal;1,631177534
1717 Frosta;1717;Frosta;0
1718 Leksvik;1718;Leksvik;3,094233474
1719 Levanger;1719;Levanger;2,238184468
1721 Verdal;1721;Verdal;1,690559913
1724 Verran;1724;Verran;6,635441062
1725 Namdalseid;1725;Namdalseid;0
1736 Snåsa;1736;Snåsa;4,638218924
1738 Lierne;1738;Lierne;0
1739 Røyrvik;1739;Røyrvik;0
1740 Namsskogan;1740;Namsskogan;0
1742 Grong;1742;Grong;4,491629236
1743 Høylandet;1743;Høylandet;0
1744 Overhalla;1744;Overhalla;2,679528403
1748 Fosnes;1748;Fosnes;0
1749 Flatanger;1749;Flatanger;0
1750 Vikna;1750;Vikna;2,314279102
1751 Nærøy;1751;Nærøy;3,949447077
1755 Leka;1755;Leka;0
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);1,488095238
1804 Bodø;1804;Bodø;1,447789105
1805 Narvik;1805;Narvik;2,245388933
1811 Bindal;1811;Bindal;0
1812 Sømna;1812;Sømna;4,396678065
1813 Brønnøy;1813;Brønnøy;2,405976953
1815 Vega;1815;Vega;0
1816 Vevelstad;1816;Vevelstad;0
1818 Herøy (Nordl.);1818;Herøy (Nordl.);0
1820 Alstahaug;1820;Alstahaug;4,192588585
1822 Leirfjord;1822;Leirfjord;9,597806216
1824 Vefsn;1824;Vefsn;1,731145567
1825 Grane;1825;Grane;0
1826 Hattfjelldal;1826;Hattfjelldal;0,666666667
1827 Dønna;1827;Dønna;0
1828 Nesna;1828;Nesna;7,886435331
1832 Hemnes;1832;Hemnes;0,878541621
1833 Rana;1833;Rana;1,618933816
1834 Lurøy;1834;Lurøy;0
1835 Træna;1835;Træna;0
1836 Rødøy;1836;Rødøy;0
1837 Meløy;1837;Meløy;2,310892004
1838 Gildeskål;1838;Gildeskål;7,414730598
1839 Beiarn;1839;Beiarn;8,272058824
1840 Saltdal;1840;Saltdal;3,624733475
1841 Fauske;1841;Fauske;1,569694433
1845 Sørfold;1845;Sørfold;0
1848 Steigen;1848;Steigen;3,489724699
1849 Hamarøy;1849;Hamarøy;8,791208791
1850 Tysfjord;1850;Tysfjord;0,5
1851 Lødingen;1851;Lødingen;3,113879004
1852 Tjeldsund;1852;Tjeldsund;0
1853 Evenes;1853;Evenes;3,594536305
1854 Ballangen;1854;Ballangen;3,859513701
1856 Røst;1856;Røst;0
1857 Værøy;1857;Værøy;0
1859 Flakstad;1859;Flakstad;0
1860 Vestvågøy;1860;Vestvågøy;3,273620078
1865 Vågan;1865;Vågan;4,011709856
1866 Hadsel;1866;Hadsel;1,972386588
1867 Bø (Nordl.);1867;Bø (Nordl.);5,677517033
1868 Øksnes;1868;Øksnes;1,315212626
1870 Sortland;1870;Sortland;2,863066443
1871 Andøy;1871;Andøy;5,607850991
1874 Moskenes;1874;Moskenes;0
1902 Tromsø;1902;Tromsø;1,578432742
1903 Harstad;1903;Harstad;2,454891371
1911 Kvæfjord;1911;Kvæfjord;0,965561635
1913 Skånland;1913;Skånland;2,710945442
1917 Ibestad;1917;Ibestad;1,39275766
1919 Gratangen;1919;Gratangen;0,881057269
1920 Lavangen;1920;Lavangen;0
1922 Bardu;1922;Bardu;3,011292346
1923 Salangen;1923;Salangen;7,647323437
1924 Målselv;1924;Målselv;1,95960205
1925 Sørreisa;1925;Sørreisa;4,057971014
1926 Dyrøy;1926;Dyrøy;0
1927 Tranøy;1927;Tranøy;10,59602649
1928 Torsken;1928;Torsken;0
1929 Berg;1929;Berg;11,98257081
1931 Lenvik;1931;Lenvik;4,672492861
1933 Balsfjord;1933;Balsfjord;0
1936 Karlsøy;1936;Karlsøy;0
1938 Lyngen;1938;Lyngen;0
1939 Storfjord;1939;Storfjord;2,060793405
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;0
1941 Skjervøy;1941;Skjervøy;0,347101701
1942 Nordreisa;1942;Nordreisa;2,060156572
1943 Kvænangen;1943;Kvænangen;0
2002 Vardø;2002;Vardø;0
2003 Vadsø;2003;Vadsø;14,9445605
2004 Hammerfest;2004;Hammerfest;3,207932342
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;0
2012 Alta;2012;Alta;1,866612854
2014 Loppa;2014;Loppa;0
2015 Hasvik;2015;Hasvik;0
2017 Kvalsund;2017;Kvalsund;0
2018 Måsøy;2018;Måsøy;0
2019 Nordkapp;2019;Nordkapp;0
2020 Porsanger;2020;Porsanger Porsángu Porsanki;4,289679536
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;0
2022 Lebesby;2022;Lebesby;0
2023 Gamvik;2023;Gamvik;0
2024 Berlevåg;2024;Berlevåg;0
2025 Deatnu Tana;2025;Deatnu Tana;0
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;8,705114255
2028 Båtsfjord;2028;Båtsfjord;0
2030 Sør-Varanger;2030;Sør-Varanger;3,468780971
