kommune;kommune_nr;kommune_navn;bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt;bosetting.anmodning;bosetting.anmodning
0533 Lunner;533;Lunner;30;100;28;93,33;40;133,33
0534 Gran;534;Gran;40;100;38;95;40;100,00
0536 Søndre Land;536;Søndre Land;10;100;8;80;15;150,00
0538 Nordre Land;538;Nordre Land;20;100;20;100;20;100,00
0540 Sør-Aurdal;540;Sør-Aurdal;8;100;1;12,5;10;125,00
0541 Etnedal;541;Etnedal;5;100;3;60;10;200,00
0542 Nord-Aurdal;542;Nord-Aurdal;10;100;10;100;15;150,00
0543 Vestre Slidre;543;Vestre Slidre;5;100;5;100;10;200,00
0544 Øystre Slidre;544;Øystre Slidre;7;100;7;100;10;142,86
0545 Vang;545;Vang;3;100;5;166,67;10;333,33
0602 Drammen;602;Drammen;130;100;124;95,38;130;100,00
0604 Kongsberg;604;Kongsberg;27;100;28;103,7;50;185,19
0605 Ringerike;605;Ringerike;50;100;33;66;50;100,00
0612 Hole;612;Hole;10;100;1;10;15;150,00
0615 Flå;615;Flå;10;100;10;100;10;100,00
0616 Nes (Busk.);616;Nes (Busk.);5;100;3;60;15;300,00
0617 Gol;617;Gol;10;100;16;160;15;150,00
0618 Hemsedal;618;Hemsedal;7;100;7;100;15;214,29
0619 Ål;619;Ål;15;100;15;100;15;100,00
0620 Hol;620;Hol;5;100;5;100;15;300,00
0621 Sigdal;621;Sigdal;0;.;2;.;10;.
0622 Krødsherad;622;Krødsherad;.;.;0;.;10;.
0623 Modum;623;Modum;26;100;22;84,62;35;134,62
0624 Øvre Eiker;624;Øvre Eiker;20;100;20;100;35;175,00
0625 Nedre Eiker;625;Nedre Eiker;20;100;22;110;45;225,00
0626 Lier;626;Lier;22;100;29;131,82;45;204,55
0627 Røyken;627;Røyken;20;100;31;155;40;200,00
0628 Hurum;628;Hurum;20;100;19;95;20;100,00
0631 Flesberg;631;Flesberg;10;100;10;100;10;100,00
0632 Rollag;632;Rollag;8;100;7;87,5;10;125,00
0633 Nore og Uvdal;633;Nore og Uvdal;6;100;8;133,33;10;166,67
0701 Horten;701;Horten;20;100;29;145;40;200,00
0702 Holmestrand;702;Holmestrand;8;100;13;162,5;15;187,50
0704 Tønsberg;704;Tønsberg;50;100;46;92;50;100,00
0706 Sandefjord;706;Sandefjord;40;100;38;95;50;125,00
0709 Larvik;709;Larvik;70;100;53;75,71;50;71,43
0711 Svelvik;711;Svelvik;6;100;6;100;15;250,00
0713 Sande (Vestf.);713;Sande (Vestf.);10;100;10;100;15;150,00
0714 Hof;714;Hof;5;100;0;0;15;300,00
0716 Re;716;Re (f.o.m. 2002);15;100;11;73,33;25;166,67
0719 Andebu;719;Andebu;5;100;8;160;15;300,00
0720 Stokke;720;Stokke;25;100;24;96;25;100,00
0722 Nøtterøy;722;Nøtterøy;30;100;30;100;30;100,00
0723 Tjøme;723;Tjøme;5;100;6;120;15;300,00
0728 Lardal;728;Lardal;5;100;8;160;15;300,00
0805 Porsgrunn;805;Porsgrunn;50;100;54;108;85;170,00
0806 Skien;806;Skien;68;100;88;129,41;120;176,47
0807 Notodden;807;Notodden;45;100;52;115,56;45;100,00
0811 Siljan;811;Siljan;10;100;11;110;15;150,00
0814 Bamble;814;Bamble;35;100;40;114,29;45;128,57
0815 Kragerø;815;Kragerø;35;100;37;105,71;45;128,57
0817 Drangedal;817;Drangedal;15;100;10;66,67;15;100,00
0819 Nome;819;Nome;10;100;11;110;20;200,00
0821 Bø (Telemark);821;Bø (Telem.);18;100;17;94,44;25;138,89
0822 Sauherad;822;Sauherad;20;100;19;95;20;100,00
0826 Tinn;826;Tinn;13;100;16;123,08;25;192,31
0827 Hjartdal;827;Hjartdal;11;100;9;81,82;10;90,91
0828 Seljord;828;Seljord;17;100;11;64,71;15;88,24
0829 Kviteseid;829;Kviteseid;0;.;0;.;10;.
0830 Nissedal;830;Nissedal;0;.;0;.;10;.
0831 Fyresdal;831;Fyresdal;10;100;7;70;10;100,00
0833 Tokke;833;Tokke;4;100;0;0;10;250,00
0834 Vinje;834;Vinje;7;100;6;85,71;15;214,29
0901 Risør;901;Risør;25;100;17;68;30;120,00
0904 Grimstad;904;Grimstad;55;100;57;103,64;55;100,00
0906 Arendal;906;Arendal;95;100;85;89,47;95;100,00
0911 Gjerstad;911;Gjerstad;10;100;17;170;15;150,00
0912 Vegårshei;912;Vegårshei;10;100;12;120;15;150,00
0914 Tvedestrand;914;Tvedestrand;5;100;5;100;25;500,00
0919 Froland;919;Froland;3;100;1;33,33;15;500,00
0926 Lillesand;926;Lillesand;30;100;27;90;40;133,33
0928 Birkenes;928;Birkenes;12;100;9;75;20;166,67
0929 Åmli;929;Åmli;10;100;6;60;15;150,00
0935 Iveland;935;Iveland;10;100;10;100;10;100,00
0937 Evje og Hornnes;937;Evje og Hornnes;10;100;14;140;15;150,00
0938 Bygland;938;Bygland;5;100;1;20;10;200,00
0940 Valle;940;Valle;10;100;12;120;10;100,00
0941 Bykle;941;Bykle;5;100;3;60;10;200,00
1001 Kristiansand;1001;Kristiansand;200;100;213;106,5;200;100,00
1002 Mandal;1002;Mandal;45;100;45;100;45;100,00
1003 Farsund;1003;Farsund;20;100;22;110;40;200,00
1004 Flekkefjord;1004;Flekkefjord;20;100;21;105;35;175,00
1014 Vennesla;1014;Vennesla;35;100;36;102,86;40;114,29
1017 Songdalen;1017;Songdalen;25;100;14;56;30;120,00
1018 Søgne;1018;Søgne;20;100;23;115;40;200,00
1021 Marnardal;1021;Marnardal;10;100;11;110;15;150,00
1026 Åseral;1026;Åseral;5;100;4;80;10;200,00
1027 Audnedal;1027;Audnedal;5;100;3;60;10;200,00
1029 Lindesnes;1029;Lindesnes;10;100;10;100;20;200,00
1032 Lyngdal;1032;Lyngdal;20;100;18;90;35;175,00
1034 Hægebostad;1034;Hægebostad;5;100;5;100;10;200,00
1037 Kvinesdal;1037;Kvinesdal;30;100;27;90;30;100,00
1046 Sirdal;1046;Sirdal;5;100;4;80;10;200,00
1101 Eigersund;1101;Eigersund;35;100;32;91,43;35;100,00
1102 Sandnes;1102;Sandnes;70;100;75;107,14;70;100,00
1103 Stavanger;1103;Stavanger;120;100;112;93,33;120;100,00
1106 Haugesund;1106;Haugesund;50;100;50;100;60;120,00
1111 Sokndal;1111;Sokndal;10;100;0;0;10;100,00
1112 Lund;1112;Lund;10;100;10;100;25;250,00
1114 Bjerkreim;1114;Bjerkreim;10;100;9;90;10;100,00
1119 Hå;1119;Hå;25;100;23;92;35;140,00
1120 Klepp;1120;Klepp;25;100;25;100;35;140,00
1121 Time;1121;Time;28;100;29;103,57;35;125,00
1122 Gjesdal;1122;Gjesdal;15;100;17;113,33;30;200,00
1124 Sola;1124;Sola;27;100;18;66,67;40;148,15
1127 Randaberg;1127;Randaberg;21;100;27;128,57;30;142,86
1129 Forsand;1129;Forsand;5;100;0;0;8;160,00
1130 Strand;1130;Strand;15;100;22;146,67;30;200,00
1133 Hjelmeland;1133;Hjelmeland;9;100;8;88,89;25;277,78
1134 Suldal;1134;Suldal;15;100;17;113,33;25;166,67
1135 Sauda;1135;Sauda;10;100;10;100;25;250,00
1141 Finnøy;1141;Finnøy;.;.;0;.;10;.
1142 Rennesøy;1142;Rennesøy;10;100;12;120;25;250,00
1144 Kvitsøy;1144;Kvitsøy;4;100;3;75;8;200,00
1145 Bokn;1145;Bokn;0;.;0;.;8;.
1146 Tysvær;1146;Tysvær;20;100;16;80;30;150,00
1149 Karmøy;1149;Karmøy;30;100;42;140;60;200,00
1151 Utsira;1151;Utsira;8;100;0;0;8;100,00
1160 Vindafjord;1160;Vindafjord;10;100;7;70;25;250,00
1201 Bergen;1201;Bergen;350;100;323;92,29;350;100,00
1211 Etne;1211;Etne;10;100;5;50;10;100,00
1216 Sveio;1216;Sveio;20;100;4;20;20;100,00
1219 Bømlo;1219;Bømlo;24;100;28;116,67;30;125,00
1221 Stord;1221;Stord;20;100;22;110;35;175,00
1222 Fitjar;1222;Fitjar;.;.;0;.;10;.
1223 Tysnes;1223;Tysnes;7;100;7;100;10;142,86
1224 Kvinnherad;1224;Kvinnherad;10;100;15;150;25;250,00
1227 Jondal;1227;Jondal;.;.;0;.;10;.
1228 Odda;1228;Odda;10;100;13;130;20;200,00
1231 Ullensvang;1231;Ullensvang;15;100;16;106,67;20;133,33
1232 Eidfjord;1232;Eidfjord;0;.;0;.;10;.
1233 Ulvik;1233;Ulvik;10;100;12;120;10;100,00
1234 Granvin;1234;Granvin;0;.;0;.;10;.
1235 Voss;1235;Voss;30;100;34;113,33;30;100,00
1238 Kvam;1238;Kvam;15;100;7;46,67;20;133,33
1241 Fusa;1241;Fusa;10;100;4;40;10;100,00
1242 Samnanger;1242;Samnanger;0;.;0;.;15;.
1243 Os (Hord.);1243;Os (Hord.);10;100;13;130;25;250,00
1244 Austevoll;1244;Austevoll;10;100;5;50;10;100,00
1245 Sund;1245;Sund;10;100;10;100;15;150,00
1246 Fjell;1246;Fjell;20;100;20;100;40;200,00
1247 Askøy;1247;Askøy;25;100;24;96;40;160,00
1251 Vaksdal;1251;Vaksdal;6;100;5;83,33;15;250,00
1252 Modalen;1252;Modalen;0;.;0;.;8;.
1253 Osterøy;1253;Osterøy;7;100;7;100;15;214,29
1256 Meland;1256;Meland;10;100;10;100;25;250,00
1259 Øygarden;1259;Øygarden;15;100;19;126,67;20;133,33
1260 Radøy;1260;Radøy;6;100;9;150;20;333,33
1263 Lindås;1263;Lindås;25;100;17;68;25;100,00
1264 Austrheim;1264;Austrheim;11;100;22;200;15;136,36
1265 Fedje;1265;Fedje;.;.;1;.;8;.
1266 Masfjorden;1266;Masfjorden;0;.;0;.;10;.
1401 Flora;1401;Flora;45;100;45;100;35;77,78
1411 Gulen;1411;Gulen;10;100;8;80;10;100,00
1412 Solund;1412;Solund;.;.;0;.;8;.
1413 Hyllestad;1413;Hyllestad;7;100;9;128,57;10;142,86
1416 Høyanger;1416;Høyanger;20;100;11;55;20;100,00
1417 Vik;1417;Vik;0;.;3;.;15;.
1418 Balestrand;1418;Balestrand;.;.;0;.;10;.
1419 Leikanger;1419;Leikanger;10;100;1;10;10;100,00
1420 Sogndal;1420;Sogndal;35;100;33;94,29;30;85,71
1421 Aurland;1421;Aurland;0;.;0;.;10;.
1422 Lærdal;1422;Lærdal;15;100;6;40;10;66,67
1424 Årdal;1424;Årdal;15;100;8;53,33;15;100,00
1426 Luster;1426;Luster;15;100;11;73,33;15;100,00
1428 Askvoll;1428;Askvoll;0;.;0;.;10;.
1429 Fjaler;1429;Fjaler;10;100;0;0;10;100,00
1430 Gaular;1430;Gaular;.;.;0;.;10;.
1431 Jølster;1431;Jølster;7;100;8;114,29;15;214,29
1432 Førde;1432;Førde;20;100;13;65;35;175,00
1433 Naustdal;1433;Naustdal;.;.;0;.;10;.
1438 Bremanger;1438;Bremanger;0;.;15;.;15;.
1439 Vågsøy;1439;Vågsøy;10;100;6;60;10;100,00
1441 Selje;1441;Selje;7;100;0;0;10;142,86
1443 Eid;1443;Eid;30;100;20;66,67;30;100,00
1444 Hornindal;1444;Hornindal;0;.;0;.;8;.
1445 Gloppen;1445;Gloppen;20;100;5;25;20;100,00
1449 Stryn;1449;Stryn;25;100;27;108;25;100,00
1502 Molde;1502;Molde;60;100;105;175;60;100,00
1504 Ålesund;1504;Ålesund;50;100;48;96;90;180,00
1505 Kristiansund;1505;Kristiansund;50;100;47;94;50;100,00
1511 Vanylven;1511;Vanylven;0;.;9;.;15;.
1514 Sande (M. og R.);1514;Sande (M. og R.);.;.;0;.;10;.
1515 Herøy (M. og R.);1515;Herøy (M. og R.);10;100;9;90;30;300,00
1516 Ulstein;1516;Ulstein;20;100;15;75;20;100,00
1517 Hareid;1517;Hareid;10;100;4;40;15;150,00
1519 Volda;1519;Volda;30;100;31;103,33;30;100,00
1520 Ørsta;1520;Ørsta;21;100;19;90,48;30;142,86
1523 Ørskog;1523;Ørskog;0;.;7;.;10;.
1524 Norddal;1524;Norddal;0;.;0;.;10;.
1525 Stranda;1525;Stranda;0;.;0;.;10;.
1526 Stordal;1526;Stordal;0;.;0;.;10;.
1528 Sykkylven;1528;Sykkylven;19;100;2;10,53;20;105,26
1529 Skodje;1529;Skodje;10;100;6;60;10;100,00
1531 Sula;1531;Sula;12;100;7;58,33;25;208,33
1532 Giske;1532;Giske;10;100;10;100;15;150,00
1534 Haram;1534;Haram;24;100;24;100;30;125,00
1535 Vestnes;1535;Vestnes;10;100;7;70;15;150,00
1539 Rauma;1539;Rauma;.;.;0;.;15;.
1543 Nesset;1543;Nesset;10;100;10;100;10;100,00
1545 Midsund;1545;Midsund;0;.;0;.;10;.
1546 Sandøy;1546;Sandøy;0;.;0;.;10;.
1547 Aukra;1547;Aukra;.;.;2;.;15;.
1548 Fræna;1548;Fræna;.;.;6;.;30;.
1551 Eide;1551;Eide;5;100;0;0;10;200,00
1554 Averøy;1554;Averøy;10;100;6;60;15;150,00
1557 Gjemnes;1557;Gjemnes;0;.;0;.;15;.
1560 Tingvoll;1560;Tingvoll;5;100;12;240;10;200,00
1563 Sunndal;1563;Sunndal;37;100;24;64,86;35;94,59
1566 Surnadal;1566;Surnadal;15;100;25;166,67;15;100,00
1567 Rindal;1567;Rindal;10;100;0;0;10;100,00
1571 Halsa;1571;Halsa;5;100;5;100;10;200,00
1573 Smøla;1573;Smøla;0;.;0;.;10;.
1576 Aure;1576;Aure;10;100;11;110;10;100,00
1601 Trondheim;1601;Trondheim;300;100;314;104,67;300;100,00
1612 Hemne;1612;Hemne;5;100;7;140;10;200,00
1613 Snillfjord;1613;Snillfjord;0;.;0;.;10;.
1617 Hitra;1617;Hitra;10;100;10;100;15;150,00
1620 Frøya;1620;Frøya;15;100;0;0;15;100,00
1621 Ørland;1621;Ørland;15;100;10;66,67;15;100,00
1622 Agdenes;1622;Agdenes;.;.;0;.;10;.
1624 Rissa;1624;Rissa;14;100;16;114,29;20;142,86
1627 Bjugn;1627;Bjugn;15;100;7;46,67;15;100,00
1630 Åfjord;1630;Åfjord;5;100;7;140;10;200,00
1632 Roan;1632;Roan;0;.;0;.;10;.
1633 Osen;1633;Osen;0;.;0;.;10;.
1634 Oppdal;1634;Oppdal;20;100;18;90;20;100,00
1635 Rennebu;1635;Rennebu;10;100;3;30;10;100,00
1636 Meldal;1636;Meldal;10;100;11;110;10;100,00
1638 Orkdal;1638;Orkdal;20;100;20;100;30;150,00
1640 Røros;1640;Røros;5;100;16;320;15;300,00
1644 Holtålen;1644;Holtålen;0;.;0;.;10;.
1648 Midtre Gauldal;1648;Midtre Gauldal;8;100;8;100;15;187,50
1653 Melhus;1653;Melhus;15;100;7;46,67;35;233,33
1657 Skaun;1657;Skaun;6;100;7;116,67;20;333,33
1662 Klæbu;1662;Klæbu;10;100;9;90;15;150,00
1663 Malvik;1663;Malvik;15;100;7;46,67;30;200,00
1664 Selbu;1664;Selbu;10;100;10;100;10;100,00
1665 Tydal;1665;Tydal;10;100;9;90;10;100,00
1702 Steinkjer;1702;Steinkjer;35;100;34;97,14;45;128,57
1703 Namsos;1703;Namsos;40;100;41;102,5;40;100,00
1711 Meråker;1711;Meråker;10;100;13;130;15;150,00
1714 Stjørdal;1714;Stjørdal;45;100;50;111,11;45;100,00
1717 Frosta;1717;Frosta;10;100;10;100;10;100,00
1718 Leksvik;1718;Leksvik;10;100;6;60;10;100,00
1719 Levanger;1719;Levanger;45;100;48;106,67;45;100,00
1721 Verdal;1721;Verdal;35;100;35;100;35;100,00
1724 Verran;1724;Verran;10;100;10;100;10;100,00
1725 Namdalseid;1725;Namdalseid;0;.;0;.;10;.
1736 Snåsa;1736;Snåsa;10;100;11;110;10;100,00
1738 Lierne;1738;Lierne;10;100;14;140;10;100,00
1739 Røyrvik;1739;Røyrvik;0;.;0;.;10;.
1740 Namsskogan;1740;Namsskogan;0;.;0;.;10;.
1742 Grong;1742;Grong;15;100;15;100;15;100,00
1743 Høylandet;1743;Høylandet;0;.;0;.;10;.
1744 Overhalla;1744;Overhalla;10;100;9;90;10;100,00
1748 Fosnes;1748;Fosnes;0;.;0;.;10;.
1749 Flatanger;1749;Flatanger;0;.;0;.;10;.
1750 Vikna;1750;Vikna;15;100;16;106,67;15;100,00
1751 Nærøy;1751;Nærøy;20;100;18;90;20;100,00
1755 Leka;1755;Leka;0;.;0;.;10;.
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);13;100;13;100;20;153,85
1804 Bodø;1804;Bodø;90;100;78;86,67;90;100,00
1805 Narvik;1805;Narvik;40;100;36;90;40;100,00
1811 Bindal;1811;Bindal;0;.;0;.;10;.
1812 Sømna;1812;Sømna;10;100;8;80;15;150,00
1813 Brønnøy;1813;Brønnøy;20;100;25;125;30;150,00
1815 Vega;1815;Vega;.;.;0;.;15;.
1816 Vevelstad;1816;Vevelstad;7;100;10;142,86;10;142,86
1818 Herøy (Nordl.);1818;Herøy (Nordl.);0;.;0;.;10;.
1820 Alstahaug;1820;Alstahaug;30;100;29;96,67;35;116,67
1822 Leirfjord;1822;Leirfjord;20;100;20;100;20;100,00
1824 Vefsn;1824;Vefsn;30;100;26;86,67;30;100,00
1825 Grane;1825;Grane;.;.;0;.;15;.
1826 Hattfjelldal;1826;Hattfjelldal;15;100;8;53,33;15;100,00
1827 Dønna;1827;Dønna;0;.;0;.;10;.
1828 Nesna;1828;Nesna;20;100;20;100;20;100,00
1832 Hemnes;1832;Hemnes;.;.;0;.;10;.
1833 Rana;1833;Rana;50;100;33;66;50;100,00
1834 Lurøy;1834;Lurøy;.;.;0;.;15;.
1835 Træna;1835;Træna;.;.;0;.;10;.
1836 Rødøy;1836;Rødøy;0;.;0;.;15;.
1837 Meløy;1837;Meløy;15;100;17;113,33;15;100,00
1838 Gildeskål;1838;Gildeskål;15;100;7;46,67;15;100,00
1839 Beiarn;1839;Beiarn;5;100;6;120;10;200,00
1840 Saltdal;1840;Saltdal;15;100;14;93,33;20;133,33
1841 Fauske;1841;Fauske;30;100;23;76,67;25;83,33
1845 Sørfold;1845;Sørfold;.;.;0;.;10;.
1848 Steigen;1848;Steigen;10;100;9;90;10;100,00
1849 Hamarøy;1849;Hamarøy;16;100;21;131,25;20;125,00
1850 Tysfjord;1850;Tysfjord;.;.;0;.;15;.
1851 Lødingen;1851;Lødingen;10;100;9;90;15;150,00
1852 Tjeldsund;1852;Tjeldsund;.;.;0;.;15;.
1853 Evenes;1853;Evenes;15;100;15;100;15;100,00
1854 Ballangen;1854;Ballangen;10;100;13;130;15;150,00
1856 Røst;1856;Røst;.;.;0;.;10;.
1857 Værøy;1857;Værøy;.;.;0;.;10;.
1859 Flakstad;1859;Flakstad;.;.;0;.;15;.
1860 Vestvågøy;1860;Vestvågøy;42;100;40;95,24;40;95,24
1865 Vågan;1865;Vågan;50;100;45;90;40;80,00
1866 Hadsel;1866;Hadsel;15;100;17;113,33;25;166,67
1867 Bø (Nordl.);1867;Bø (Nordl.);15;100;17;113,33;15;100,00
1868 Øksnes;1868;Øksnes;.;.;1;.;15;.
1870 Sortland;1870;Sortland;25;100;31;124;35;140,00
1871 Andøy;1871;Andøy;30;100;20;66,67;30;100,00
1874 Moskenes;1874;Moskenes;0;.;0;.;15;.
1902 Tromsø;1902;Tromsø;120;100;112;93,33;120;100,00
1903 Harstad;1903;Harstad;60;100;60;100;70;116,67
1911 Kvæfjord;1911;Kvæfjord;5;100;6;120;10;200,00
1913 Skånland;1913;Skånland;10;100;7;70;10;100,00
1917 Ibestad;1917;Ibestad;2;100;5;250;15;750,00
1919 Gratangen;1919;Gratangen;6;100;5;83,33;10;166,67
1920 Lavangen;1920;Lavangen;15;100;4;26,67;15;100,00
1922 Bardu;1922;Bardu;15;100;11;73,33;15;100,00
1923 Salangen;1923;Salangen;20;100;22;110;20;100,00
1924 Målselv;1924;Målselv;10;100;12;120;20;200,00
1925 Sørreisa;1925;Sørreisa;18;100;12;66,67;20;111,11
1926 Dyrøy;1926;Dyrøy;.;.;0;.;15;.
1927 Tranøy;1927;Tranøy;15;100;21;140;15;100,00
1928 Torsken;1928;Torsken;10;100;10;100;10;100,00
1929 Berg;1929;Berg;10;100;10;100;10;100,00
1931 Lenvik;1931;Lenvik;40;100;27;67,5;40;100,00
1933 Balsfjord;1933;Balsfjord;20;100;0;0;20;100,00
1936 Karlsøy;1936;Karlsøy;0;.;0;.;10;.
1938 Lyngen;1938;Lyngen;0;.;0;.;15;.
1939 Storfjord;1939;Storfjord;2;100;1;50;10;500,00
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;10;100;0;0;10;100,00
1941 Skjervøy;1941;Skjervøy;10;100;5;50;10;100,00
1942 Nordreisa;1942;Nordreisa;10;100;11;110;20;200,00
1943 Kvænangen;1943;Kvænangen;.;.;0;.;15;.
2002 Vardø;2002;Vardø;.;.;0;.;20;.
2003 Vadsø;2003;Vadsø;90;100;93;103,33;90;100,00
2004 Hammerfest;2004;Hammerfest;32;100;34;106,25;30;93,75
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;0;.;0;.;20;.
2012 Alta;2012;Alta;40;100;40;100;40;100,00
2014 Loppa;2014;Loppa;.;.;0;.;15;.
2015 Hasvik;2015;Hasvik;0;.;0;.;15;.
2017 Kvalsund;2017;Kvalsund;0;.;0;.;10;.
2018 Måsøy;2018;Måsøy;0;.;0;.;15;.
2019 Nordkapp;2019;Nordkapp;10;100;12;120;10;100,00
2020 Porsanger;2020;Porsanger Porsángu Porsanki;15;100;13;86,67;20;133,33
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;0;.;0;.;20;.
2022 Lebesby;2022;Lebesby;.;.;0;.;15;.
2023 Gamvik;2023;Gamvik;.;.;0;.;15;.
2024 Berlevåg;2024;Berlevåg;0;.;0;.;15;.
2025 Deatnu Tana;2025;Deatnu Tana;15;100;14;93,33;15;100,00
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;10;100;11;110;10;100,00
2028 Båtsfjord;2028;Båtsfjord;0;.;0;.;10;.
2030 Sør-Varanger;2030;Sør-Varanger;30;100;34;113,33;40;133,33
