kommune;kommune_nr;kommune_navn;bosetting.anmodning;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_per_1000;bosetting.bosatt_av_anmodede;bosetting.bosatt_av_vedtak;bosetting.bosatt_siste_trear;bosetting.bosatt_per_1000_snitt_trear;;;
0415 Løten;0415;Løten;13,00;10,00;8,00;1,069661719;61,53846154;80,00;.;.;;;
0417 Stange;0417;Stange;36,00;25,00;26,00;1,33972278;72,22222222;104,00;.;.;;;
0418 Nord-Odal;0418;Nord-Odal;13,00;10,00;1,00;0,192678227;7,692307692;10,00;.;.;;;
0419 Sør-Odal;0419;Sør-Odal;13,00;10,00;6,00;0,768639508;46,15384615;60,00;.;.;;;
0420 Eidskog;0420;Eidskog;10,00;.;1,00;0,159184973;10;.;.;.;;;
0423 Grue;0423;Grue;15,00;4,00;4,00;0,800480288;26,66666667;100,00;.;.;;;
0425 Åsnes;0425;Åsnes;15,00;19,00;14,00;1,842105263;93,33333333;73,68;.;.;;;
0426 Våler (Hedm.);0426;Våler (Hedm.);0,00;.;0,00;0;.;.;.;.;;;
0427 Elverum;0427;Elverum;41,00;35,00;27,00;1,327237871;65,85365854;77,14;.;.;;;
0428 Trysil;0428;Trysil;14,00;8,00;9,00;1,3454926;64,28571429;112,50;.;.;;;
0429 Åmot;0429;Åmot;2,00;2,00;0,00;0;0;0,00;.;.;;;
0430 Stor-Elvdal;0430;Stor-Elvdal;14,00;.;3,00;1,135933359;21,42857143;.;.;.;;;
0432 Rendalen;0432;Rendalen;0,00;.;0,00;0;.;.;.;.;;;
0434 Engerdal;0434;Engerdal;10,00;5,00;5,00;3,63372093;50;100,00;.;.;;;
0436 Tolga;0436;Tolga;14,00;7,00;7,00;4,164187983;50;100,00;.;.;;;
0437 Tynset;0437;Tynset;19,00;15,00;15,00;2,692998205;78,94736842;100,00;.;.;;;
0438 Alvdal;0438;Alvdal;10,00;10,00;5,00;2,041649653;50;50,00;.;.;;;
0439 Folldal;0439;Folldal;8,00;8,00;0,00;0;0;0,00;.;.;;;
0441 Os (Hedm.);0441;Os (Hedm.);10,00;7,00;1,00;0,491400491;10;14,29;.;.;;;
0501 Lillehammer;0501;Lillehammer;57,00;45,00;48,00;1,787709497;84,21052632;106,67;.;.;;;
0502 Gjøvik;0502;Gjøvik;50,00;50,00;44,00;1,496242391;88;88,00;.;.;;;
0511 Dovre;0511;Dovre;9,00;.;6,00;2,200220022;66,66666667;.;.;.;;;
0512 Lesja;0512;Lesja;0,00;.;0,00;0;.;.;.;.;;;
0513 Skjåk;0513;Skjåk;12,00;5,00;3,00;1,316366828;25;60,00;.;.;;;
0514 Lom;0514;Lom;10,00;11,00;0,00;0;0;0,00;.;.;;;
0515 Vågå;0515;Vågå;14,00;12,00;10,00;2,691065662;71,42857143;83,33;.;.;;;
0516 Nord-Fron;0516;Nord-Fron;19,00;15,00;13,00;2,23099365;68,42105263;86,67;.;.;;;
0517 Sel;0517;Sel;9,00;5,00;6,00;1,008064516;66,66666667;120,00;.;.;;;
0519 Sør-Fron;0519;Sør-Fron;5,00;.;1,00;0,313185092;20;.;.;.;;;
0520 Ringebu;0520;Ringebu;16,00;5,00;10,00;2,224199288;62,5;200,00;.;.;;;
0521 Øyer;0521;Øyer;20,00;15,00;16,00;3,136025088;80;106,67;.;.;;;
0522 Gausdal;0522;Gausdal;10,00;5,00;5,00;0,814199642;50;100,00;.;.;;;
0528 Østre Toten;0528;Østre Toten;19,00;15,00;11,00;0,744954625;57,89473684;73,33;.;.;;;
0529 Vestre Toten;0529;Vestre Toten;19,00;15,00;12,00;0,923147934;63,15789474;80,00;.;.;;;
0532 Jevnaker;0532;Jevnaker;10,00;10,00;5,00;0,77591558;50;50,00;.;.;;;
0533 Lunner;0533;Lunner;30,00;25,00;33,00;3,716216216;110;132,00;.;.;;;
0534 Gran;0534;Gran;35,00;30,00;30,00;2,21402214;85,71428571;100,00;.;.;;;
0536 Søndre Land;0536;Søndre Land;10,00;10,00;7,00;1,227424163;70;70,00;.;.;;;
0538 Nordre Land;0538;Nordre Land;19,00;15,00;15,00;2,219591595;78,94736842;100,00;.;.;;;
0540 Sør-Aurdal;0540;Sør-Aurdal;10,00;7,00;4,00;1,271051795;40;57,14;.;.;;;
0541 Etnedal;0541;Etnedal;10,00;.;2,00;1,429592566;20;.;.;.;;;
0542 Nord-Aurdal;0542;Nord-Aurdal;14,00;10,00;12,00;1,876172608;85,71428571;120,00;.;.;;;
0543 Vestre Slidre;0543;Vestre Slidre;9,00;5,00;0,00;0;0;0,00;.;.;;;
0544 Øystre Slidre;0544;Øystre Slidre;9,00;5,00;2,00;0,625586487;22,22222222;40,00;.;.;;;
0545 Vang;0545;Vang;2,00;2,00;2,00;1,252348153;100;100,00;.;.;;;
0602 Drammen;0602;Drammen;124,00;124,00;133,00;2,03137171;107,2580645;107,26;.;.;;;
0604 Kongsberg;0604;Kongsberg;45,00;35,00;23,00;0,888476842;51,11111111;65,71;.;.;;;
0605 Ringerike;0605;Ringerike;39,00;30,00;29,00;0,986394558;74,35897436;96,67;.;.;;;
0612 Hole;0612;Hole;13,00;10,00;4,00;0,618907628;30,76923077;40,00;.;.;;;
0615 Flå;0615;Flå;0,00;.;0,00;0;.;.;.;.;;;
0616 Nes (Busk.);0616;Nes (Busk.);12,00;10,00;9,00;2,620087336;75;90,00;.;.;;;
0617 Gol;0617;Gol;18,00;10,00;11,00;2,356974502;61,11111111;110,00;.;.;;;
0618 Hemsedal;0618;Hemsedal;15,00;12,00;7,00;3,147482014;46,66666667;58,33;.;.;;;
0619 Ål;0619;Ål;13,00;10,00;12,00;2,520478891;92,30769231;120,00;.;.;;;
0620 Hol;0620;Hol;12,00;5,00;3,00;0,674460432;25;60,00;.;.;;;
0621 Sigdal;0621;Sigdal;8,00;5,00;4,00;1,13058225;50;80,00;.;.;;;
0622 Krødsherad;0622;Krødsherad;5,00;.;0,00;0;0;.;.;.;;;
0623 Modum;0623;Modum;20,00;20,00;21,00;1,574566994;105;105,00;.;.;;;
0624 Øvre Eiker;0624;Øvre Eiker;27,00;20,00;19,00;1,070301938;70,37037037;95,00;.;.;;;
0625 Nedre Eiker;0625;Nedre Eiker;25,00;15,00;12,00;0,507614213;48;80,00;.;.;;;
0626 Lier;0626;Lier;27,00;20,00;18,00;0,726890926;66,66666667;90,00;.;.;;;
0627 Røyken;0627;Røyken;27,00;20,00;16,00;0,796892121;59,25925926;80,00;.;.;;;
0628 Hurum;0628;Hurum;27,00;20,00;14,00;1,501984766;51,85185185;70,00;.;.;;;
0631 Flesberg;0631;Flesberg;13,00;10,00;8,00;3,010914565;61,53846154;80,00;.;.;;;
0632 Rollag;0632;Rollag;17,00;8,00;4,00;2,95202952;23,52941176;50,00;.;.;;;
0633 Nore og Uvdal;0633;Nore og Uvdal;12,00;6,00;7,00;2,765705255;58,33333333;116,67;.;.;;;
0701 Horten;0701;Horten;40,00;15,00;21,00;0,789622109;52,5;140,00;.;.;;;
0702 Holmestrand;0702;Holmestrand;18,00;8,00;9,00;0,869565217;50;112,50;.;.;;;
0704 Tønsberg;0704;Tønsberg;50,00;30,00;23,00;0,557724484;46;76,67;.;.;;;
0706 Sandefjord;0706;Sandefjord;50,00;30,00;30,00;0,672208654;60;100,00;.;.;;;
0709 Larvik;0709;Larvik;50,00;40,00;32,00;0,74190856;64;80,00;.;.;;;
0711 Svelvik;0711;Svelvik;13,00;5,00;5,00;0,761035008;38,46153846;100,00;.;.;;;
0713 Sande (Vestf.);0713;Sande (Vestf.);18,00;10,00;11,00;1,245048104;61,11111111;110,00;.;.;;;
0714 Hof;0714;Hof;13,00;5,00;0,00;0;0;0,00;.;.;;;
0716 Re;0716;Re (f.o.m. 2002);25,00;15,00;5,00;0,555926173;20;33,33;.;.;;;
0719 Andebu;0719;Andebu;25,00;.;1,00;0,180310133;4;.;.;.;;;
0720 Stokke;0720;Stokke;25,00;20,00;27,00;2,368836638;108;135,00;.;.;;;
0722 Nøtterøy;0722;Nøtterøy;30,00;25,00;19,00;0,900473934;63,33333333;76,00;.;.;;;
0723 Tjøme;0723;Tjøme;18,00;8,00;5,00;1,027749229;27,77777778;62,50;.;.;;;
0728 Lardal;0728;Lardal;20,00;5,00;4,00;1,642710472;20;80,00;.;.;;;
0805 Porsgrunn;0805;Porsgrunn;70,00;50,00;43,00;1,214963834;61,42857143;86,00;.;.;;;
0806 Skien;0806;Skien;100,00;90,00;95,00;1,791945676;95;105,56;.;.;;;
0807 Notodden;0807;Notodden;40,00;30,00;34,00;2,720652957;85;113,33;.;.;;;
0811 Siljan;0811;Siljan;15,00;15,00;15,00;6,183017312;100;100,00;.;.;;;
0814 Bamble;0814;Bamble;40,00;41,00;42,00;2,972609527;105;102,44;.;.;;;
0815 Kragerø;0815;Kragerø;40,00;40,00;37,00;3,457943925;92,5;92,50;.;.;;;
0817 Drangedal;0817;Drangedal;15,00;4,00;5,00;1,208021261;33,33333333;125,00;.;.;;;
0819 Nome;0819;Nome;20,00;10,00;11,00;1,660377358;55;110,00;.;.;;;
0821 Bø (Telemark);0821;Bø (Telem.);25,00;10,00;6,00;1,036090485;24;60,00;.;.;;;
0822 Sauherad;0822;Sauherad;25,00;15,00;23,00;5,264362554;92;153,33;.;.;;;
0826 Tinn;0826;Tinn;20,00;14,00;16,00;2,678720911;80;114,29;.;.;;;
0827 Hjartdal;0827;Hjartdal;0,00;.;0,00;0;.;.;.;.;;;
0828 Seljord;0828;Seljord;20,00;8,00;1,00;0,339558574;5;12,50;.;.;;;
0829 Kviteseid;0829;Kviteseid;0,00;.;0,00;0;.;.;.;.;;;
0830 Nissedal;0830;Nissedal;0,00;.;0,00;0;.;.;.;.;;;
0831 Fyresdal;0831;Fyresdal;10,00;10,00;5,00;3,703703704;50;50,00;.;.;;;
0833 Tokke;0833;Tokke;0,00;.;0,00;0;.;.;.;.;;;
0834 Vinje;0834;Vinje;5,00;10,00;6,00;1,612469766;120;60,00;.;.;;;
0901 Risør;0901;Risør;20,00;18,00;18,00;2,628504673;90;100,00;.;.;;;
0904 Grimstad;0904;Grimstad;45,00;25,00;21,00;0,972492359;46,66666667;84,00;.;.;;;
0906 Arendal;0906;Arendal;85,00;75,00;73,00;1,684511722;85,88235294;97,33;.;.;;;
0911 Gjerstad;0911;Gjerstad;15,00;13,00;11,00;4,428341385;73,33333333;84,62;.;.;;;
0912 Vegårshei;0912;Vegårshei;15,00;.;0,00;0;0;.;.;.;;;
0914 Tvedestrand;0914;Tvedestrand;15,00;5,00;3,00;0,494722955;20;60,00;.;.;;;
0919 Froland;0919;Froland;10,00;10,00;11,00;2,02764977;110;110,00;.;.;;;
0926 Lillesand;0926;Lillesand;25,00;15,00;13,00;1,29585327;52;86,67;.;.;;;
0928 Birkenes;0928;Birkenes;15,00;8,00;6,00;1,215559157;40;75,00;.;.;;;
0929 Åmli;0929;Åmli;10,00;10,00;7,00;3,856749311;70;70,00;.;.;;;
0935 Iveland;0935;Iveland;10,00;7,00;7,00;5,455962588;70;100,00;.;.;;;
0937 Evje og Hornnes;0937;Evje og Hornnes;10,00;.;0,00;0;0;.;.;.;;;
0938 Bygland;0938;Bygland;0,00;.;0,00;0;.;.;.;.;;;
0940 Valle;0940;Valle;15,00;.;0,00;0;0;.;.;.;;;
0941 Bykle;0941;Bykle;15,00;5,00;5,00;5,382131324;33,33333333;100,00;.;.;;;
1001 Kristiansand;1001;Kristiansand;160,00;140,00;128,00;1,515223259;80;91,43;.;.;;;
1002 Mandal;1002;Mandal;40,00;40,00;25,00;1,640742928;62,5;62,50;.;.;;;
1003 Farsund;1003;Farsund;25,00;15,00;17,00;1,80065671;68;113,33;.;.;;;
1004 Flekkefjord;1004;Flekkefjord;30,00;10,00;6,00;0,662251656;20;60,00;.;.;;;
1014 Vennesla;1014;Vennesla;35,00;20,00;20,00;1,453911021;57,14285714;100,00;.;.;;;
1017 Songdalen;1017;Songdalen;25,00;20,00;21,00;3,341288783;84;105,00;.;.;;;
1018 Søgne;1018;Søgne;30,00;25,00;19,00;1,733576642;63,33333333;76,00;.;.;;;
1021 Marnardal;1021;Marnardal;10,00;5,00;3,00;1,308900524;30;60,00;.;.;;;
1026 Åseral;1026;Åseral;10,00;.;0,00;0;0;.;.;.;;;
1027 Audnedal;1027;Audnedal;0,00;.;0,00;0;.;.;.;.;;;
1029 Lindesnes;1029;Lindesnes;15,00;10,00;6,00;1,251042535;40;60,00;.;.;;;
1032 Lyngdal;1032;Lyngdal;30,00;20,00;17,00;2,122082137;56,66666667;85,00;.;.;;;
1034 Hægebostad;1034;Hægebostad;15,00;.;1,00;0,599161174;6,666666667;.;.;.;;;
1037 Kvinesdal;1037;Kvinesdal;15,00;15,00;15,00;2,542803865;100;100,00;.;.;;;
1046 Sirdal;1046;Sirdal;10,00;10,00;5,00;2,730748225;50;50,00;.;.;;;
1101 Eigersund;1101;Eigersund;30,00;20,00;20,00;1,366493577;66,66666667;100,00;.;.;;;
1102 Sandnes;1102;Sandnes;75,00;60,00;59,00;0,842303629;78,66666667;98,33;.;.;;;
1103 Stavanger;1103;Stavanger;140,00;102,00;103,00;0,79726916;73,57142857;100,98;.;.;;;
1106 Haugesund;1106;Haugesund;59,00;44,00;49,00;1,370514362;83,05084746;111,36;.;.;;;
1111 Sokndal;1111;Sokndal;10,00;.;0,00;0;0;.;.;.;;;
1112 Lund;1112;Lund;15,00;10,00;7,00;2,206114088;46,66666667;70,00;.;.;;;
1114 Bjerkreim;1114;Bjerkreim;10,00;.;0,00;0;0;.;.;.;;;
1119 Hå;1119;Hå;15,00;10,00;11,00;0,623759569;73,33333333;110,00;.;.;;;
1120 Klepp;1120;Klepp;25,00;20,00;18,00;0,987545948;72;90,00;.;.;;;
1121 Time;1121;Time;30,00;25,00;14,00;0,802890405;46,66666667;56,00;.;.;;;
1122 Gjesdal;1122;Gjesdal;20,00;15,00;15,00;1,358818734;75;100,00;.;.;;;
1124 Sola;1124;Sola;30,00;20,00;16,00;0,650962204;53,33333333;80,00;.;.;;;
1127 Randaberg;1127;Randaberg;25,00;20,00;25,00;2,404539771;100;125,00;.;.;;;
1129 Forsand;1129;Forsand;5,00;.;0,00;0;0;.;.;.;;;
1130 Strand;1130;Strand;20,00;15,00;14,00;1,178252819;70;93,33;.;.;;;
1133 Hjelmeland;1133;Hjelmeland;15,00;10,00;11,00;3,929974991;73,33333333;110,00;.;.;;;
1134 Suldal;1134;Suldal;15,00;.;1,00;0,258264463;6,666666667;.;.;.;;;
1135 Sauda;1135;Sauda;15,00;.;0,00;0;0;.;.;.;;;
1141 Finnøy;1141;Finnøy;10,00;.;0,00;0;0;.;.;.;;;
1142 Rennesøy;1142;Rennesøy;15,00;10,00;10,00;2,164970773;66,66666667;100,00;.;.;;;
1144 Kvitsøy;1144;Kvitsøy;5,00;.;0,00;0;0;.;.;.;;;
1145 Bokn;1145;Bokn;5,00;.;0,00;0;0;.;.;.;;;
1146 Tysvær;1146;Tysvær;30,00;20,00;19,00;1,81176695;63,33333333;95,00;.;.;;;
1149 Karmøy;1149;Karmøy;55,00;40,00;42,00;1,02145046;76,36363636;105,00;.;.;;;
1151 Utsira;1151;Utsira;5,00;.;0,00;0;0;.;.;.;;;
1160 Vindafjord;1160;Vindafjord;15,00;15,00;22,00;2,553685432;146,6666667;146,67;.;.;;;
1201 Bergen;1201;Bergen;300,00;265,00;278,00;1,037506998;92,66666667;104,91;.;.;;;
1211 Etne;1211;Etne;15,00;.;0,00;0;0;.;.;.;;;
1216 Sveio;1216;Sveio;19,00;13,00;9,00;1,666666667;47,36842105;69,23;.;.;;;
1219 Bømlo;1219;Bømlo;25,00;15,00;17,00;1,460732085;68;113,33;.;.;;;
1221 Stord;1221;Stord;20,00;10,00;10,00;0,550630472;50;100,00;.;.;;;
1222 Fitjar;1222;Fitjar;10,00;.;0,00;0;0;.;.;.;;;
1223 Tysnes;1223;Tysnes;10,00;.;0,00;0;0;.;.;.;;;
1224 Kvinnherad;1224;Kvinnherad;20,00;15,00;23,00;1,728673431;115;153,33;.;.;;;
1227 Jondal;1227;Jondal;5,00;.;0,00;0;0;.;.;.;;;
1228 Odda;1228;Odda;25,00;.;0,00;0;0;.;.;.;;;
1231 Ullensvang;1231;Ullensvang;20,00;15,00;15,00;4,407875404;75;100,00;.;.;;;
1232 Eidfjord;1232;Eidfjord;5,00;.;0,00;0;0;.;.;.;;;
1233 Ulvik;1233;Ulvik;5,00;.;0,00;0;0;.;.;.;;;
1234 Granvin;1234;Granvin;5,00;.;0,00;0;0;.;.;.;;;
1235 Voss;1235;Voss;40,00;.;15,00;1,066780457;37,5;.;.;.;;;
1238 Kvam;1238;Kvam;25,00;15,00;13,00;1,51444548;52;86,67;.;.;;;
1241 Fusa;1241;Fusa;10,00;.;0,00;0;0;.;.;.;;;
1242 Samnanger;1242;Samnanger;10,00;.;0,00;0;0;.;.;.;;;
1243 Os (Hord.);1243;Os (Hord.);20,00;10,00;9,00;0,496086429;45;90,00;.;.;;;
1244 Austevoll;1244;Austevoll;20,00;.;0,00;0;0;.;.;.;;;
1245 Sund;1245;Sund;15,00;.;2,00;0,30703101;13,33333333;.;.;.;;;
1246 Fjell;1246;Fjell;30,00;20,00;15,00;0,64441294;50;75,00;.;.;;;
1247 Askøy;1247;Askøy;35,00;25,00;25,00;0,931758041;71,42857143;100,00;.;.;;;
1251 Vaksdal;1251;Vaksdal;20,00;6,00;8,00;1,936108422;40;133,33;.;.;;;
1252 Modalen;1252;Modalen;5,00;.;0,00;0;0;.;.;.;;;
1253 Osterøy;1253;Osterøy;20,00;.;0,00;0;0;.;.;.;;;
1256 Meland;1256;Meland;15,00;.;0,00;0;0;.;.;.;;;
1259 Øygarden;1259;Øygarden;25,00;15,00;13,00;2,849002849;52;86,67;.;.;;;
1260 Radøy;1260;Radøy;15,00;.;2,00;0,399760144;13,33333333;.;.;.;;;
1263 Lindås;1263;Lindås;25,00;17,00;10,00;0,674763833;40;58,82;.;.;;;
1264 Austrheim;1264;Austrheim;10,00;.;0,00;0;0;.;.;.;;;
1265 Fedje;1265;Fedje;5,00;.;0,00;0;0;.;.;.;;;
1266 Masfjorden;1266;Masfjorden;5,00;.;0,00;0;0;.;.;.;;;
1401 Flora;1401;Flora;35,00;25,00;31,00;2,650252201;88,57142857;124,00;.;.;;;
1411 Gulen;1411;Gulen;10,00;.;0,00;0;0;.;.;.;;;
1412 Solund;1412;Solund;5,00;.;0,00;0;0;.;.;.;;;
1413 Hyllestad;1413;Hyllestad;5,00;.;0,00;0;0;.;.;.;;;
1416 Høyanger;1416;Høyanger;10,00;9,00;1,00;0,236854571;10;11,11;.;.;;;
1417 Vik;1417;Vik;10,00;.;0,00;0;0;.;.;.;;;
1418 Balestrand;1418;Balestrand;15,00;.;0,00;0;0;.;.;.;;;
1419 Leikanger;1419;Leikanger;15,00;.;2,00;0,88691796;13,33333333;.;.;.;;;
1420 Sogndal;1420;Sogndal;20,00;20,00;16,00;2,13989568;80;80,00;.;.;;;
1421 Aurland;1421;Aurland;5,00;.;0,00;0;0;.;.;.;;;
1422 Lærdal;1422;Lærdal;10,00;.;0,00;0;0;.;.;.;;;
1424 Årdal;1424;Årdal;15,00;.;0,00;0;0;.;.;.;;;
1426 Luster;1426;Luster;15,00;5,00;5,00;0,991866693;33,33333333;100,00;.;.;;;
1428 Askvoll;1428;Askvoll;10,00;.;0,00;0;0;.;.;.;;;
1429 Fjaler;1429;Fjaler;10,00;.;0,00;0;0;.;.;.;;;
1430 Gaular;1430;Gaular;10,00;.;0,00;0;0;.;.;.;;;
1431 Jølster;1431;Jølster;15,00;5,00;6,00;1,949317739;40;120,00;.;.;;;
1432 Førde;1432;Førde;30,00;20,00;18,00;1,43323513;60;90,00;.;.;;;
1433 Naustdal;1433;Naustdal;10,00;.;0,00;0;0;.;.;.;;;
1438 Bremanger;1438;Bremanger;20,00;.;0,00;0;0;.;.;.;;;
1439 Vågsøy;1439;Vågsøy;10,00;.;0,00;0;0;.;.;.;;;
1441 Selje;1441;Selje;10,00;.;0,00;0;0;.;.;.;;;
1443 Eid;1443;Eid;30,00;8,00;3,00;0,506756757;10;37,50;.;.;;;
1444 Hornindal;1444;Hornindal;5,00;.;0,00;0;0;.;.;.;;;
1445 Gloppen;1445;Gloppen;30,00;10,00;14,00;2,466525722;46,66666667;140,00;.;.;;;
1449 Stryn;1449;Stryn;30,00;15,00;13,00;1,829697396;43,33333333;86,67;.;.;;;
1502 Molde;1502;Molde;55,00;55,00;53,00;2,043491672;96,36363636;96,36;.;.;;;
1504 Ålesund;1504;Ålesund;60,00;40,00;32,00;0,710590012;53,33333333;80,00;.;.;;;
1505 Kristiansund;1505;Kristiansund;50,00;40,00;30,00;1,243214123;60;75,00;.;.;;;
1511 Vanylven;1511;Vanylven;0,00;.;0,00;0;.;.;.;.;;;
1514 Sande (M. og R.);1514;Sande (M. og R.);0,00;.;0,00;0;.;.;.;.;;;
1515 Herøy (M. og R.);1515;Herøy (M. og R.);20,00;10,00;6,00;0,678195999;30;60,00;.;.;;;
1516 Ulstein;1516;Ulstein;20,00;20,00;19,00;2,396871452;95;95,00;.;.;;;
1517 Hareid;1517;Hareid;15,00;15,00;11,00;2,175202689;73,33333333;73,33;.;.;;;
1519 Volda;1519;Volda;30,00;25,00;29,00;3,285374419;96,66666667;116,00;.;.;;;
1520 Ørsta;1520;Ørsta;30,00;25,00;24,00;2,295332823;80;96,00;.;.;;;
1523 Ørskog;1523;Ørskog;0,00;.;1,00;0,441111601;.;.;.;.;;;
1524 Norddal;1524;Norddal;0,00;.;0,00;0;.;.;.;.;;;
1525 Stranda;1525;Stranda;0,00;.;0,00;0;.;.;.;.;;;
1526 Stordal;1526;Stordal;0,00;.;0,00;0;.;.;.;.;;;
1528 Sykkylven;1528;Sykkylven;20,00;14,00;11,00;1,433598332;55;78,57;.;.;;;
1529 Skodje;1529;Skodje;0,00;.;0,00;0;.;.;.;.;;;
1531 Sula;1531;Sula;10,00;.;0,00;0;0;.;.;.;;;
1532 Giske;1532;Giske;10,00;6,00;6,00;0,795650444;60;100,00;.;.;;;
1534 Haram;1534;Haram;20,00;20,00;18,00;1,99556541;90;90,00;.;.;;;
1535 Vestnes;1535;Vestnes;5,00;3,00;2,00;0,301841232;40;66,67;.;.;;;
1539 Rauma;1539;Rauma;5,00;.;0,00;0;0;.;.;.;;;
1543 Nesset;1543;Nesset;0,00;.;0,00;0;.;.;.;.;;;
1545 Midsund;1545;Midsund;0,00;.;0,00;0;.;.;.;.;;;
1546 Sandøy;1546;Sandøy;0,00;.;0,00;0;.;.;.;.;;;
1547 Aukra;1547;Aukra;10,00;8,00;5,00;1,497454328;50;62,50;.;.;;;
1548 Fræna;1548;Fræna;10,00;3,00;0,00;0;0;0,00;.;.;;;
1551 Eide;1551;Eide;10,00;2,00;5,00;1,438434983;50;250,00;.;.;;;
1554 Averøy;1554;Averøy;0,00;.;0,00;0;.;.;.;.;;;
