naringsgregion_nr-naringsregionnavn;naringsgregion_nr;naringsgregionnavn;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet;spraak.alle;spraak.alle;spraak.minoritet;spraak.minoritet;spraak.ikke_minoritet;spraak.ikke_minoritet
;;;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.alle;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_grunnskoleoppl;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.kun_spesialund;undervisning_grskole.grskole_og_spesial;undervisning_grskole.grskole_og_spesial;;undervisning_grskole.grskole_og_spesial;undervisning_grskole.grskole_og_spesial;undervisning_grskole.grskole_og_spesial
nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
68 Sør-Helgeland;68;Sør-Helgeland;75;100;49;65,3;26;34,66666667;45;0,6;.;.;.;.;29;0,386666667;.;.;.;.;1;0,013333333;.;.;.;.
69 HALD;69;HALD;30;100;23;76,7;7;23,33333333;23;0,766666667;.;.;.;.;7;0,233333333;.;.;.;.;0;0;.;.;.;.
70 Ytre Helgeland;70;Ytre Helgeland;5;100;0;0;5;100;0;0;.;.;.;.;5;1;.;.;.;.;0;0;.;.;.;.
71 Mosjøregionen;71;Mosjøregionen;37;100;25;67,6;12;32,43243243;25;0,675675676;.;.;.;.;12;0,324324324;.;.;.;.;0;0;.;.;.;.
72 Ranaregionen;72;Ranaregionen;72;100;59;81,9;13;18,05555556;64;0,888888889;.;.;.;.;8;0,111111111;.;.;.;.;0;0;.;.;.;.
73 Salten;73;Salten;47;100;41;87,2;6;12,76595745;40;0,85106383;.;.;.;.;7;0,14893617;.;.;.;.;0;0;.;.;.;.
74 Ofoten;74;Ofoten;33;100;25;75,8;8;24,24242424;25;0,757575758;.;.;.;.;8;0,242424242;.;.;.;.;0;0;.;.;.;.
75 Lofoten;75;Lofoten;89;100;89;100;0;0;86;0,966292135;.;.;.;.;0;0;.;.;.;.;3;0,033707865;.;.;.;.
76 Vesterålen;76;Vesterålen;77;100;77;100;0;0;77;1;.;.;.;.;0;0;.;.;.;.;0;0;.;.;.;.
77 Sør-Troms;77;Sør-Troms;72;100;66;91,7;6;8,333333333;70;0,972222222;.;.;.;.;2;0,027777778;.;.;.;.;0;0;.;.;.;.
78 Midt-Troms;78;Midt-Troms;127;100;122;96,1;5;3,937007874;124;0,976377953;.;.;.;.;3;0,023622047;.;.;.;.;0;0;.;.;.;.
79 Tromsøregionen;79;Tromsøregionen;50;100;38;76;12;24;44;0,88;.;.;.;.;6;0,12;.;.;.;.;0;0;.;.;.;.
80 Nord-Troms;80;Nord-Troms;31;100;12;38,7;19;61,29032258;13;0,419354839;.;.;.;.;18;0,580645161;.;.;.;.;0;0;.;.;.;.
81 Vest-Finnmark;81;Vest-Finnmark;123;100;80;65;43;34,95934959;75;0,609756098;.;.;.;.;45;0,365853659;.;.;.;.;3;0,024390244;.;.;.;.
82 Midt-Finnmark;82;Midt-Finnmark;9;100;8;88,9;1;11,11111111;8;0,888888889;.;.;.;.;1;0,111111111;.;.;.;.;0;0;.;.;.;.
83 Øst-Finnmark;83;Øst-Finnmark;40;100;37;92,5;3;7,5;37;0,925;.;.;.;.;3;0,075;.;.;.;.;0;0;.;.;.;.
99 Uoppgitt naringsregion;99;Uoppgitt naringsregion;;;;;;;;.;.;.;.;.;;.;.;.;.;.;;.;.;.;.;.
