kommune_nr-kommunenavn;kommune_nr;kommunenavn;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.alle;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.plikt;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett;rettigheter_introlov_nosfk.rett_og_plikt;rettigheter_introlov_nosfk.rett_og_plikt
nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1;kjonn.0;kjonn.1
0821 Bø (Telemark);821;Bø (Telem.);18;:;:;15;9;9;:;:;:;:;9;6
0822 Sauherad;822;Sauherad;17;:;:;16;7;10;:;:;:;:;6;10
0826 Tinn;826;Tinn;23;:;:;20;9;14;:;:;:;:;9;11
0827 Hjartdal;827;Hjartdal;5;:;:;:;:;:;:;:;:;:;:;:
0828 Seljord;828;Seljord;13;:;:;13;6;7;:;:;:;:;6;7
0829 Kviteseid;829;Kviteseid;:;:;:;:;:;:;:;:;:;:;:;:
0830 Nissedal;830;Nissedal;:;:;:;:;:;:;:;:;:;:;:;:
0831 Fyresdal;831;Fyresdal;5;:;:;5;:;:;:;:;:;:;:;:
0833 Tokke;833;Tokke;.;.;.;.;.;.;.;.;.;.;.;.
0834 Vinje;834;Vinje;7;:;:;7;:;5;:;:;:;:;:;5
0901 Risør;901;Risør;22;:;:;21;13;9;:;:;:;:;12;9
0904 Grimstad;904;Grimstad;86;23;:;62;42;44;9;14;:;:;32;30
0906 Arendal;906;Arendal;97;21;:;74;62;35;10;11;:;:;50;24
0911 Gjerstad;911;Gjerstad;13;:;:;12;:;11;:;:;:;:;:;10
0912 Vegårshei;912;Vegårshei;13;:;:;12;:;10;:;:;:;:;:;10
0914 Tvedestrand;914;Tvedestrand;14;:;:;12;6;8;:;:;:;:;6;6
0919 Froland;919;Froland;6;:;:;:;:;:;:;:;:;:;:;:
0926 Lillesand;926;Lillesand;22;:;:;21;12;10;:;:;:;:;11;10
0928 Birkenes;928;Birkenes;10;:;:;9;:;6;:;:;:;:;:;6
0929 Åmli;929;Åmli;:;:;:;:;:;:;:;:;:;:;:;:
0935 Iveland;935;Iveland;:;:;:;:;:;:;:;:;:;:;:;:
0937 Evje og Hornnes;937;Evje og Hornnes;10;:;:;10;:;9;:;:;:;:;:;9
0938 Bygland;938;Bygland;:;:;:;:;:;:;:;:;:;:;:;:
0940 Valle;940;Valle;7;:;:;7;:;6;:;:;:;:;:;6
0941 Bykle;941;Bykle;:;:;:;:;:;:;:;:;:;:;:;:
1001 Kristiansand;1001;Kristiansand;275;56;8;211;140;135;24;32;7;:;109;102
1002 Mandal;1002;Mandal;76;:;:;73;25;51;:;:;:;:;23;50
1003 Farsund;1003;Farsund;33;:;:;32;14;19;:;:;:;:;14;18
1004 Flekkefjord;1004;Flekkefjord;26;:;:;22;11;15;:;:;:;:;8;14
1014 Vennesla;1014;Vennesla;32;:;:;28;20;12;:;:;:;:;17;11
1017 Songdalen;1017;Songdalen;21;:;:;20;11;10;:;:;:;:;10;10
1018 Søgne;1018;Søgne;24;:;:;24;11;13;:;:;:;:;11;13
1021 Marnardal;1021;Marnardal;5;:;:;5;:;:;:;:;:;:;:;:
1026 Åseral;1026;Åseral;.;.;.;.;.;.;.;.;.;.;.;.
1027 Audnedal;1027;Audnedal;11;:;:;11;:;8;:;:;:;:;:;8
1029 Lindesnes;1029;Lindesnes;14;:;:;14;9;5;:;:;:;:;9;5
1032 Lyngdal;1032;Lyngdal;26;:;:;25;11;15;:;:;:;:;10;15
1034 Hægebostad;1034;Hægebostad;:;:;:;:;:;:;:;:;:;:;:;:
1037 Kvinesdal;1037;Kvinesdal;31;:;:;29;17;14;:;:;:;:;16;13
1046 Sirdal;1046;Sirdal;:;:;:;:;:;:;:;:;:;:;:;:
1101 Eigersund;1101;Eigersund;57;13;:;43;32;25;:;9;:;:;27;16
1102 Sandnes;1102;Sandnes;256;125;:;127;152;104;60;65;:;:;89;38
1103 Stavanger;1103;Stavanger;669;457;7;205;358;311;218;239;:;:;136;69
1106 Haugesund;1106;Haugesund;91;16;:;73;60;31;9;7;:;:;50;23
1111 Sokndal;1111;Sokndal;7;:;:;5;5;:;:;:;:;:;:;:
1112 Lund;1112;Lund;6;:;:;6;:;:;:;:;:;:;:;:
1114 Bjerkreim;1114;Bjerkreim;:;:;:;:;:;:;:;:;:;:;:;:
1119 Hå;1119;Hå;54;:;:;47;13;41;:;:;:;:;10;37
1120 Klepp;1120;Klepp;32;7;:;24;19;13;:;:;:;:;15;9
1121 Time;1121;Time;39;7;:;31;25;14;:;:;:;:;22;9
1122 Gjesdal;1122;Gjesdal;23;:;:;20;14;9;:;:;:;:;12;8
1124 Sola;1124;Sola;104;70;:;34;59;45;37;33;:;:;22;12
1127 Randaberg;1127;Randaberg;26;:;:;21;16;10;:;:;:;:;12;9
1129 Forsand;1129;Forsand;:;:;:;:;:;:;:;:;:;:;:;:
1130 Strand;1130;Strand;39;:;:;35;15;24;:;:;:;:;13;22
1133 Hjelmeland;1133;Hjelmeland;11;:;:;11;6;5;:;:;:;:;6;5
1134 Suldal;1134;Suldal;18;:;:;14;7;11;:;:;:;:;:;10
1135 Sauda;1135;Sauda;21;:;:;20;10;11;:;:;:;:;10;10
1141 Finnøy;1141;Finnøy;:;:;:;:;:;:;:;:;:;:;:;:
1142 Rennesøy;1142;Rennesøy;7;:;:;7;:;:;:;:;:;:;:;:
1144 Kvitsøy;1144;Kvitsøy;.;.;.;.;.;.;.;.;.;.;.;.
1145 Bokn;1145;Bokn;:;:;:;:;:;:;:;:;:;:;:;:
1146 Tysvær;1146;Tysvær;23;:;:;20;13;10;:;:;:;:;12;8
1149 Karmøy;1149;Karmøy;59;7;:;51;43;16;6;:;:;:;36;15
1151 Utsira;1151;Utsira;:;:;:;:;:;:;:;:;:;:;:;:
1160 Vindafjord;1160;Vindafjord;16;:;:;12;9;7;:;:;:;:;7;5
1201 Bergen;1201;Bergen;922;355;17;550;463;459;166;189;7;10;290;260
1211 Etne;1211;Etne;:;:;:;:;:;:;:;:;:;:;:;:
1216 Sveio;1216;Sveio;7;:;:;6;5;:;:;:;:;:;5;:
1219 Bømlo;1219;Bømlo;24;:;:;23;17;7;:;:;:;:;16;7
1221 Stord;1221;Stord;39;12;:;25;17;22;:;8;:;:;12;13
1222 Fitjar;1222;Fitjar;5;:;:;:;:;:;:;:;:;:;:;:
1223 Tysnes;1223;Tysnes;9;:;:;7;7;:;:;:;:;:;5;:
1224 Kvinnherad;1224;Kvinnherad;16;:;:;15;7;9;:;:;:;:;7;8
1227 Jondal;1227;Jondal;:;:;:;:;:;:;:;:;:;:;:;:
1228 Odda;1228;Odda;32;:;:;26;14;18;:;:;:;:;10;16
1231 Ullensvang;1231;Ullensvang;15;:;:;13;9;6;:;:;:;:;8;5
1232 Eidfjord;1232;Eidfjord;:;:;:;:;:;:;:;:;:;:;:;:
1233 Ulvik;1233;Ulvik;.;.;.;.;.;.;.;.;.;.;.;.
1234 Granvin;1234;Granvin;:;:;:;:;:;:;:;:;:;:;:;:
1235 Voss;1235;Voss;52;:;:;51;22;30;:;:;:;:;22;29
1238 Kvam;1238;Kvam;9;:;:;8;6;:;:;:;:;:;6;:
1241 Fusa;1241;Fusa;:;:;:;:;:;:;:;:;:;:;:;:
1242 Samnanger;1242;Samnanger;:;:;:;:;:;:;:;:;:;:;:;:
1243 Os (Hord.);1243;Os (Hord.);26;:;:;22;19;7;:;:;:;:;16;6
1244 Austevoll;1244;Austevoll;9;:;:;9;6;:;:;:;:;:;6;:
1245 Sund;1245;Sund;23;:;:;23;5;18;:;:;:;:;5;18
1246 Fjell;1246;Fjell;42;9;:;32;22;20;:;8;:;:;21;11
1247 Askøy;1247;Askøy;35;6;:;29;19;16;:;:;:;:;15;14
1251 Vaksdal;1251;Vaksdal;13;:;:;12;5;8;:;:;:;:;5;7
1252 Modalen;1252;Modalen;:;:;:;:;:;:;:;:;:;:;:;:
1253 Osterøy;1253;Osterøy;10;:;:;9;6;:;:;:;:;:;6;:
1256 Meland;1256;Meland;14;:;:;14;10;:;:;:;:;:;10;:
1259 Øygarden;1259;Øygarden;15;:;:;13;7;8;:;:;:;:;6;7
1260 Radøy;1260;Radøy;10;:;:;10;:;7;:;:;:;:;:;7
1263 Lindås;1263;Lindås;29;9;:;20;17;12;5;:;:;:;12;8
1264 Austrheim;1264;Austrheim;9;:;:;7;:;5;:;:;:;:;:;:
1265 Fedje;1265;Fedje;:;:;:;:;:;:;:;:;:;:;:;:
1266 Masfjorden;1266;Masfjorden;:;:;:;:;:;:;:;:;:;:;:;:
1401 Flora;1401;Flora;55;:;:;52;23;32;:;:;:;:;22;30
1411 Gulen;1411;Gulen;6;:;:;:;:;:;:;:;:;:;:;:
1412 Solund;1412;Solund;:;:;:;:;:;:;:;:;:;:;:;:
1413 Hyllestad;1413;Hyllestad;7;:;:;7;6;:;:;:;:;:;6;:
1416 Høyanger;1416;Høyanger;17;:;:;16;8;9;:;:;:;:;7;9
1417 Vik;1417;Vik;:;:;:;:;:;:;:;:;:;:;:;:
1418 Balestrand;1418;Balestrand;:;:;:;:;:;:;:;:;:;:;:;:
1419 Leikanger;1419;Leikanger;:;:;:;:;:;:;:;:;:;:;:;:
1420 Sogndal;1420;Sogndal;49;:;:;44;32;17;:;:;:;:;29;15
1421 Aurland;1421;Aurland;.;.;.;.;.;.;.;.;.;.;.;.
1422 Lærdal;1422;Lærdal;:;:;:;:;:;:;:;:;:;:;:;:
1424 Årdal;1424;Årdal;45;:;:;42;12;33;:;:;:;:;10;32
1426 Luster;1426;Luster;5;:;:;:;:;:;:;:;:;:;:;:
1428 Askvoll;1428;Askvoll;:;:;:;:;:;:;:;:;:;:;:;:
1429 Fjaler;1429;Fjaler;:;:;:;:;:;:;:;:;:;:;:;:
1430 Gaular;1430;Gaular;:;:;:;:;:;:;:;:;:;:;:;:
1431 Jølster;1431;Jølster;24;:;:;24;:;20;:;:;:;:;:;20
1432 Førde;1432;Førde;31;:;:;27;11;20;:;:;:;:;10;17
1433 Naustdal;1433;Naustdal;:;:;:;:;:;:;:;:;:;:;:;:
1438 Bremanger;1438;Bremanger;19;:;:;19;10;9;:;:;:;:;10;9
1439 Vågsøy;1439;Vågsøy;8;:;:;:;5;:;:;:;:;:;:;:
1441 Selje;1441;Selje;:;:;:;:;:;:;:;:;:;:;:;:
1443 Eid;1443;Eid;6;:;:;:;:;:;:;:;:;:;:;:
1444 Hornindal;1444;Hornindal;.;.;.;.;.;.;.;.;.;.;.;.
1445 Gloppen;1445;Gloppen;12;:;:;11;8;:;:;:;:;:;8;:
1449 Stryn;1449;Stryn;17;:;:;16;11;6;:;:;:;:;10;6
1502 Molde;1502;Molde;83;17;:;66;45;38;7;10;:;:;38;28
1504 Ålesund;1504;Ålesund;112;41;:;67;63;49;17;24;:;:;43;24
1505 Kristiansund;1505;Kristiansund;68;15;:;52;46;22;6;9;:;:;39;13
1511 Vanylven;1511;Vanylven;:;:;:;:;:;:;:;:;:;:;:;:
1514 Sande (M. og R.);1514;Sande (M. og R.);:;:;:;:;:;:;:;:;:;:;:;:
1515 Herøy (M. og R.);1515;Herøy (M. og R.);12;:;:;11;10;:;:;:;:;:;9;:
1516 Ulstein;1516;Ulstein;36;10;:;25;22;14;5;5;:;:;16;9
1517 Hareid;1517;Hareid;7;:;:;5;7;:;:;:;:;:;5;:
1519 Volda;1519;Volda;36;:;:;34;11;25;:;:;:;:;9;25
1520 Ørsta;1520;Ørsta;26;:;:;24;14;12;:;:;:;:;13;11
1523 Ørskog;1523;Ørskog;12;:;:;11;5;7;:;:;:;:;5;6
1524 Norddal;1524;Norddal;:;:;:;:;:;:;:;:;:;:;:;:
1525 Stranda;1525;Stranda;5;:;:;5;:;:;:;:;:;:;:;:
