Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.minoritet;spraak.ikke_minoritet
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
1027 Audnedal;1027;Audnedal;6;.;.;:;.;:
1029 Lindesnes;1029;Lindesnes;15;6;9;100;40;60
1032 Lyngdal;1032;Lyngdal;17;5;12;100;29,4;70,6
1034 Hægebostad;1034;Hægebostad;9;4;5;100;44,4;55,6
1037 Kvinesdal;1037;Kvinesdal;20;6;14;100;30;70
1046 Sirdal;1046;Sirdal;14;2;12;100;14,3;85,7
1101 Eigersund;1101;Eigersund;52;5;47;100;9,6;90,4
1102 Sandnes;1102;Sandnes;312;73;239;100;23,4;76,6
1103 Stavanger;1103;Stavanger;509;155;354;100;30,5;69,5
1106 Haugesund;1106;Haugesund;155;40;115;100;25,8;74,2
1111 Sokndal;1111;Sokndal;13;1;12;100;7,7;92,3
1112 Lund;1112;Lund;11;2;9;100;18,2;81,8
1114 Bjerkreim;1114;Bjerkreim;12;3;9;100;25;75
1119 Hå;1119;Hå;100;17;83;100;17;83
1120 Klepp;1120;Klepp;69;14;55;100;20,3;79,7
1121 Time;1121;Time;105;19;86;100;18,1;81,9
1122 Gjesdal;1122;Gjesdal;70;15;55;100;21,4;78,6
1124 Sola;1124;Sola;80;22;58;100;27,5;72,5
1127 Randaberg;1127;Randaberg;36;7;29;100;19,4;80,6
1129 Forsand;1129;Forsand;5;.;.;:;.;:
1130 Strand;1130;Strand;55;7;48;100;12,7;87,3
1133 Hjelmeland;1133;Hjelmeland;4;1;3;100;25;75
1134 Suldal;1134;Suldal;21;6;15;100;28,6;71,4
1135 Sauda;1135;Sauda;39;2;37;100;5,1;94,9
1141 Finnøy;1141;Finnøy;11;.;.;:;.;:
1142 Rennesøy;1142;Rennesøy;17;1;16;100;5,9;94,1
1144 Kvitsøy;1144;Kvitsøy;:;:;:;:;:;:
1145 Bokn;1145;Bokn;:;:;:;:;:;:
1146 Tysvær;1146;Tysvær;26;4;22;100;15,4;84,6
1149 Karmøy;1149;Karmøy;174;38;136;100;21,8;78,2
1160 Vindafjord;1160;Vindafjord;40;5;35;100;12,5;87,5
1201 Bergen;1201;Bergen;1873;645;1228;100;34,4;65,6
1211 Etne;1211;Etne;20;5;15;100;25;75
1216 Sveio;1216;Sveio;40;4;36;100;10;90
