kommune;kommune_nr;kommune_navn;bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt_av_vedtak;bosetting.anmodning;bosetting.anmodning
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
1836 Rødøy;1836;Rødøy;.;.;0;.;0;.
1837 Meløy;1837;Meløy;10;100;9;90;10;100,00
1838 Gildeskål;1838;Gildeskål;15;100;1;6,67;15;100,00
1839 Beiarn;1839;Beiarn;.;.;0;.;0;.
1840 Saltdal;1840;Saltdal;10;100;7;70;15;150,00
1841 Fauske;1841;Fauske;18;100;14;77,78;20;111,11
1845 Sørfold;1845;Sørfold;.;.;0;.;0;.
1848 Steigen;1848;Steigen;10;100;1;10;10;100,00
1849 Hamarøy;1849;Hamarøy;10;100;8;80;10;100,00
1850 Tysfjord;1850;Tysfjord;10;100;2;20;10;100,00
1851 Lødingen;1851;Lødingen;10;100;13;130;15;150,00
1852 Tjeldsund;1852;Tjeldsund;.;.;0;.;0;.
1853 Evenes;1853;Evenes;.;.;12;.;10;.
1854 Ballangen;1854;Ballangen;10;100;6;60;10;100,00
1856 Røst;1856;Røst;.;.;0;.;0;.
1857 Værøy;1857;Værøy;.;.;0;.;0;.
1859 Flakstad;1859;Flakstad;.;.;0;.;0;.
1860 Vestvågøy;1860;Vestvågøy;40;100;46;115;40;100,00
1865 Vågan;1865;Vågan;30;100;33;110;40;133,33
1866 Hadsel;1866;Hadsel;15;100;12;80;40;266,67
1867 Bø (Nordl.);1867;Bø (Nordl.);.;.;0;.;10;.
1868 Øksnes;1868;Øksnes;10;100;6;60;0;0,00
1870 Sortland;1870;Sortland;25;100;29;116;35;140,00
1871 Andøy;1871;Andøy;30;100;23;76,67;30;100,00
1874 Moskenes;1874;Moskenes;.;.;0;.;0;.
1902 Tromsø;1902;Tromsø;100;100;112;112;100;100,00
1903 Harstad;1903;Harstad;.;.;58;.;0;.
1911 Kvæfjord;1911;Kvæfjord;10;100;8;80;10;100,00
1913 Skånland;1913;Skånland;10;100;12;120;10;100,00
1917 Ibestad;1917;Ibestad;5;100;5;100;5;100,00
1919 Gratangen;1919;Gratangen;5;100;5;100;10;200,00
1920 Lavangen;1920;Lavangen;.;.;0;.;0;.
1922 Bardu;1922;Bardu;10;100;4;40;10;100,00
1923 Salangen;1923;Salangen;15;100;16;106,67;20;133,33
1924 Målselv;1924;Målselv;10;100;10;100;20;200,00
1925 Sørreisa;1925;Sørreisa;.;.;0;.;0;.
1926 Dyrøy;1926;Dyrøy;.;.;0;.;0;.
1927 Tranøy;1927;Tranøy;15;100;12;80;15;100,00
1928 Torsken;1928;Torsken;.;.;0;.;0;.
1929 Berg;1929;Berg;.;.;0;.;15;.
1931 Lenvik;1931;Lenvik;30;100;30;100;40;133,33
1933 Balsfjord;1933;Balsfjord;.;.;0;.;10;.
1936 Karlsøy;1936;Karlsøy;.;.;0;.;0;.
1938 Lyngen;1938;Lyngen;.;.;0;.;0;.
1939 Storfjord;1939;Storfjord;10;100;5;50;5;50,00
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;.;.;0;.;0;.
1941 Skjervøy;1941;Skjervøy;.;.;1;.;5;.
1942 Nordreisa;1942;Nordreisa;13;100;15;115,38;30;230,77
1943 Kvænangen;1943;Kvænangen;.;.;0;.;0;.
2002 Vardø;2002;Vardø;.;.;0;.;0;.
2003 Vadsø;2003;Vadsø;75;100;69;92;75;100,00
2004 Hammerfest;2004;Hammerfest;25;100;25;100;25;100,00
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;.;.;0;.;0;.
2012 Alta;2012;Alta;20;100;32;160;40;200,00
2014 Loppa;2014;Loppa;.;.;0;.;0;.
2015 Hasvik;2015;Hasvik;.;.;0;.;0;.
2017 Kvalsund;2017;Kvalsund;.;.;0;.;0;.
2018 Måsøy;2018;Måsøy;.;.;0;.;0;.
2019 Nordkapp;2019;Nordkapp;.;.;1;.;10;.
2020 Porsanger;2020;Porsanger Porsángu Porsanki;15;100;11;73,33;15;100,00
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;.;.;0;.;0;.
2022 Lebesby;2022;Lebesby;.;.;0;.;0;.
2023 Gamvik;2023;Gamvik;.;.;0;.;0;.
2024 Berlevåg;2024;Berlevåg;.;.;0;.;0;.
2025 Deatnu Tana;2025;Deatnu Tana;.;.;0;.;0;.
2027 Unjargga-Nesseby;2027;Unjárga Nesseby;.;.;0;.;0;.
2028 Båtsfjord;2028;Båtsfjord;6;100;5;83,33;10;166,67
2030 Sør-Varanger;2030;Sør-Varanger;25;100;27;108;35;140,00
