Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0540 Sør-Aurdal;540;Sør-Aurdal;361;316;45;18;27;18,4;17,4;32,1;20,2;52,9
0541 Etnedal;541;Etnedal;226;126;100;10;90;25,5;17,1;67,6;21,3;89,1
0542 Nord-Aurdal;542;Nord-Aurdal;790;650;140;87;53;18,7;17,2;30,9;29,1;34,4
0543 Vestre Slidre;543;Vestre Slidre;241;194;47;18;29;16,9;14,9;39,2;24,7;61,7
0544 Øystre Slidre;544;Øystre Slidre;293;242;51;34;17;14;12,9;23,8;21,5;30,4
0545 Vang;545;Vang;181;114;67;23;44;17,3;13,1;39;20,7;72,1
0602 Drammen;602;Drammen;9812;5818;3994;933;3061;22,2;17,8;35;24;40,8
0604 Kongsberg;604;Kongsberg;2897;2173;724;262;462;16,5;14,8;25,2;18,5;31,9
0605 Ringerike;605;Ringerike;4254;3477;777;302;475;21,4;20;30,8;24,3;37,2
0612 Hole;612;Hole;823;627;196;124;72;18,8;17,1;27,8;24;37,9
0615 Flå;615;Flå;137;111;26;22;4;20,7;18,8;36,1;37,3;30,8
0616 Nes (Busk.);616;Nes (Busk.);405;285;120;35;85;18,1;14,7;39,6;21,1;62
0617 Gol;617;Gol;454;337;117;59;58;15,2;13,7;21,9;17,8;28,6
0618 Hemsedal;618;Hemsedal;239;141;98;51;47;15,5;11,9;27,1;17,8;62,7
0619 Ål;619;Ål;420;343;77;34;43;14;12,9;22,8;15,8;35,2
0620 Hol;620;Hol;445;319;126;92;34;15;13,2;23;21,3;29,1
0621 Sigdal;621;Sigdal;326;287;39;25;14;14,5;13,7;26,2;21,7;41,2
0622 Krødsherad;622;Krødsherad;310;260;50;35;15;20,5;20;24,2;20,3;42,9
0623 Modum;623;Modum;1967;1669;298;121;177;21,9;20,6;33,4;24,8;43,7
0624 Øvre Eiker;624;Øvre Eiker;2349;1925;424;223;201;19,7;18,6;26,4;22;33,8
0625 Nedre Eiker;625;Nedre Eiker;3018;2266;752;228;524;19;17,4;26,5;18,5;32,7
0626 Lier;626;Lier;2791;1938;853;349;504;16,8;14,4;26,6;20,6;33,3
0627 Røyken;627;Røyken;2083;1601;482;282;200;15,2;13,7;23,9;20,9;29,9
0628 Hurum;628;Hurum;1242;1035;207;99;108;20,3;19,4;26,8;19;43
0631 Flesberg;631;Flesberg;273;223;50;19;31;16;14,4;30,9;17,8;56,4
0632 Rollag;632;Rollag;135;111;24;5;19;15,8;14,1;34,8;14,7;54,3
0633 Nore og Uvdal;633;Nore og Uvdal;215;176;39;25;14;13,2;12;24,1;23,1;25,9
0701 Horten;701;Horten;4114;3294;820;296;524;23,4;21,9;32,5;26,7;37
