kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0901 Risør;901;Risør;313 800;247 700;190 700;320 000
0904 Grimstad;904;Grimstad;321 700;260 600;221 900;329 400
0906 Arendal;906;Arendal;323 300;256 900;226 900;331 500
0911 Gjerstad;911;Gjerstad;303 900;301 700;185 900;308 800
0912 Vegårshei;912;Vegårshei;309 500;255 000;199 000;313 100
0914 Tvedestrand;914;Tvedestrand;308 400;230 100;196 900;315 500
0919 Froland;919;Froland;313 800;275 700;223 000;317 300
0926 Lillesand;926;Lillesand;339 200;290 400;251 300;344 100
0928 Birkenes;928;Birkenes;310 600;282 600;213 200;314 200
0929 Åmli;929;Åmli;304 500;241 900;224 300;310 800
0935 Iveland;935;Iveland;304 900;258 700;199 100;315 100
0937 Evje og Hornnes;937;Evje og Hornnes;308 800;248 300;202 200;318 100
0938 Bygland;938;Bygland;324 300;268 500;207 600;327 700
0940 Valle;940;Valle;333 300;324 100;182 300;340 000
0941 Bykle;941;Bykle;339 200;265 400;203 900;358 400
1001 Kristiansand;1001;Kristiansand;330 500;290 300;233 000;339 800
1002 Mandal;1002;Mandal;322 000;262 400;201 600;330 100
1003 Farsund;1003;Farsund;329 000;275 500;220 100;333 700
1004 Flekkefjord;1004;Flekkefjord;335 800;306 600;229 900;339 400
1014 Vennesla;1014;Vennesla;315 300;275 600;245 700;319 700
1017 Songdalen;1017;Songdalen;314 900;278 400;241 900;320 000
1018 Søgne;1018;Søgne;337 200;273 600;223 700;342 000
1021 Marnardal;1021;Marnardal;310 200;279 700;172 200;316 200
1026 Åseral;1026;Åseral;322 400;249 700;155 500;330 500
1027 Audnedal;1027;Audnedal;325 200;250 200;211 700;327 500
1029 Lindesnes;1029;Lindesnes;304 300;267 200;217 400;309 400
1032 Lyngdal;1032;Lyngdal;312 200;266 200;236 700;316 900
1034 Hægebostad;1034;Hægebostad;331 000;241 500;199 900;336 600
1037 Kvinesdal;1037;Kvinesdal;325 500;280 700;211 400;331 800
1046 Sirdal;1046;Sirdal;350 900;287 200;277 800;356 400
1101 Eigersund;1101;Eigersund;343 600;297 400;258 500;350 200
1102 Sandnes;1102;Sandnes;368 300;305 400;287 600;379 800
1103 Stavanger;1103;Stavanger;385 700;348 100;287 100;396 900
1106 Haugesund;1106;Haugesund;339 900;262 300;254 000;349 900
1111 Sokndal;1111;Sokndal;335 500;277 200;316 300;338 700
1112 Lund;1112;Lund;321 700;313 400;215 900;325 200
1114 Bjerkreim;1114;Bjerkreim;350 600;311 500;360 800;359 400
1119 Hå;1119;Hå;341 000;281 500;244 100;349 400
1120 Klepp;1120;Klepp;358 900;300 600;261 100;367 400
1121 Time;1121;Time;363 300;306 600;258 200;370 800
1122 Gjesdal;1122;Gjesdal;353 800;317 700;281 700;358 400
1124 Sola;1124;Sola;407 800;347 000;325 900;417 000
1127 Randaberg;1127;Randaberg;390 000;315 500;272 200;396 500
1129 Forsand;1129;Forsand;354 000;320 400;369 500;356 200
1130 Strand;1130;Strand;349 700;275 800;242 400;356 900
1133 Hjelmeland;1133;Hjelmeland;347 100;282 300;243 600;358 100
1134 Suldal;1134;Suldal;337 000;294 400;208 800;342 000
1135 Sauda;1135;Sauda;335 000;275 200;220 800;340 200
1141 Finnøy;1141;Finnøy;355 400;264 900;327 500;369 400
1142 Rennesøy;1142;Rennesøy;377 200;295 100;261 700;387 100
1144 Kvitsøy;1144;Kvitsøy;345 300;298 300;342 700;345 700
1145 Bokn;1145;Bokn;356 600;269 500;251 200;361 400
1146 Tysvær;1146;Tysvær;347 000;265 300;230 000;352 900
1149 Karmøy;1149;Karmøy;336 000;260 800;250 100;342 200
1151 Utsira;1151;Utsira;362 200;:;:;369 000
