Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
0709 Larvik;709;Larvik;19184;2095;17089;73,5;63,8;74,9
0711 Svelvik;711;Svelvik;3048;354;2694;75;70,9;75,6
0713 Sande (Vestf.);713;Sande (Vestf.);4203;458;3745;77,4;70,9;78,3
0714 Hof;714;Hof;1434;129;1305;77,5;76,3;77,6
0716 Re;716;Re (f.o.m. 2002);4383;421;3962;78,9;70;79,9
0719 Andebu;719;Andebu;2760;277;2483;77,6;71,8;78,3
0720 Stokke;720;Stokke;5525;675;4850;76,8;65,5;78,7
0722 Nøtterøy;722;Nøtterøy;9562;995;8567;75,9;67,6;77
0723 Tjøme;723;Tjøme;2175;239;1936;71,8;70,1;72
0728 Lardal;728;Lardal;1161;82;1079;77,6;70,7;78,2
0805 Porsgrunn;805;Porsgrunn;15985;1601;14384;73,2;59,6;75,1
0806 Skien;806;Skien;23854;2811;21043;73,2;58,8;75,7
0807 Notodden;807;Notodden;5438;492;4946;72,5;60,1;74
0811 Siljan;811;Siljan;1104;51;1053;78,5;57,3;79,9
0814 Bamble;814;Bamble;6341;383;5958;73,3;55,8;74,8
0815 Kragerø;815;Kragerø;4581;408;4173;70,7;61,1;71,8
0817 Drangedal;817;Drangedal;1802;138;1664;74,8;65,4;75,7
0819 Nome;819;Nome;2872;277;2595;72,9;61,3;74,4
0821 Bø (Telemark);821;Bø (Telem.);2568;237;2331;72;47,4;76,1
0822 Sauherad;822;Sauherad;1927;188;1739;74,4;66,2;75,4
0826 Tinn;826;Tinn;2663;302;2361;75,5;65,8;77
0827 Hjartdal;827;Hjartdal;708;25;683;77,2;49;78,9
0828 Seljord;828;Seljord;1346;119;1227;76,6;70,8;77,2
0829 Kviteseid;829;Kviteseid;1214;114;1100;80,9;76,5;81,4
0830 Nissedal;830;Nissedal;714;62;652;80,2;75,6;80,7
0831 Fyresdal;831;Fyresdal;592;60;532;78,1;63,2;80,2
0833 Tokke;833;Tokke;1061;72;989;81,1;80,9;81,1
0834 Vinje;834;Vinje;1880;165;1715;84,1;74,7;85,2
0901 Risør;901;Risør;2954;239;2715;71,3;56,6;73
0904 Grimstad;904;Grimstad;9678;1134;8544;73,6;63,9;75,1
0906 Arendal;906;Arendal;19406;2249;17157;72,2;62;73,8
0911 Gjerstad;911;Gjerstad;1058;61;997;70,3;46,6;72,6
0912 Vegårshei;912;Vegårshei;867;42;825;74,9;54,5;76,4
0914 Tvedestrand;914;Tvedestrand;2557;242;2315;70,2;60,5;71,3
0919 Froland;919;Froland;2497;184;2313;75,3;67,6;76
0926 Lillesand;926;Lillesand;4608;419;4189;76,6;68,5;77,6
0928 Birkenes;928;Birkenes;2266;220;2046;77,9;67,5;79,2
0929 Åmli;929;Åmli;761;96;665;71,2;70,1;71,4
0935 Iveland;935;Iveland;613;49;564;75,8;68,1;76,5
0937 Evje og Hornnes;937;Evje og Hornnes;1549;165;1384;75,7;61,8;77,8
0938 Bygland;938;Bygland;551;34;517;74,9;64,2;75,7
0940 Valle;940;Valle;613;49;564;80,6;68,1;81,9
0941 Bykle;941;Bykle;510;92;418;83,7;77,3;85,3
1001 Kristiansand;1001;Kristiansand;40018;5722;34296;75,4;62,8;78
1002 Mandal;1002;Mandal;6737;624;6113;73,7;56,9;76
1003 Farsund;1003;Farsund;4246;311;3935;77,8;63;79,3
1004 Flekkefjord;1004;Flekkefjord;4114;462;3652;78,5;69,2;79,9
1014 Vennesla;1014;Vennesla;6349;555;5794;75,4;65,8;76,5
1017 Songdalen;1017;Songdalen;2837;374;2463;74,9;66;76,4
1018 Søgne;1018;Søgne;5016;412;4604;77;63,5;78,5
1021 Marnardal;1021;Marnardal;1031;87;944;76,4;63,5;77,8
1026 Åseral;1026;Åseral;437;43;394;83,6;62,3;86,8
1027 Audnedal;1027;Audnedal;801;58;743;81,3;69,9;82,4
1029 Lindesnes;1029;Lindesnes;2116;242;1874;75,1;68,4;76,1
1032 Lyngdal;1032;Lyngdal;3619;400;3219;77,1;68;78,4
1034 Hægebostad;1034;Hægebostad;814;50;764;83,1;62,5;85
