kommunenr-kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1-5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2-5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk-samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
0605 Ringerike;605;Ringerike;19705190,00;18240500,00;3924000,00;14316500,00;352250,00;0,00;761040,00;65400,00;0,00;286000,00
0612 Hole;612;Hole;2199140,00;1984500,00;583000,00;1401500,00;0,00;0,00;126840,00;21800,00;0,00;66000,00
0615 Flå;615;Flå;533680,00;280000,00;0,00;280000,00;0,00;0,00;253680,00;0,00;0,00;0,00
0616 Nes (Busk.);616;Nes (Busk.);4025500,00;3992500,00;1836500,00;2156000,00;0,00;0,00;0,00;0,00;0,00;33000,00
0617 Gol;617;Gol;4819640,00;4550000,00;1824500,00;2725500,00;0,00;0,00;126840,00;21800,00;0,00;121000,00
0618 Hemsedal;618;Hemsedal;3596500,00;3519500,00;1213000,00;2306500,00;0,00;0,00;0,00;0,00;0,00;77000,00
0619 Ål;619;Ål;4385100,00;3630500,00;1824000,00;1806500,00;0,00;0,00;634200,00;65400,00;0,00;55000,00
0620 Hol;620;Hol;4826880,00;4529200,00;1139500,00;3389700,00;0,00;0,00;253680,00;0,00;0,00;44000,00
0621 Sigdal;621;Sigdal;2629541,00;2079000,00;820000,00;1259000,00;485541,00;0,00;0,00;0,00;0,00;65000,00
0622 Krødsherad;622;Krødsherad;582000,00;560000,00;0,00;560000,00;0,00;0,00;0,00;0,00;0,00;22000,00
0623 Modum;623;Modum;14236750,00;11935500,00;3718000,00;8217500,00;0,00;0,00;2061150,00;86100,00;0,00;154000,00
0624 Øvre Eiker;624;Øvre Eiker;15154286,00;13899500,00;4577000,00;9322500,00;0,00;0,00;664986,00;151500,00;143000,00;295300,00
0625 Nedre Eiker;625;Nedre Eiker;13727112,00;12563250,00;2582000,00;9981250,00;0,00;0,00;855862,00;0,00;143000,00;165000,00
0626 Lier;626;Lier;21613330,00;19520500,00;4887000,00;14633500,00;0,00;0,00;1786330,00;109000,00;0,00;197500,00
0627 Røyken;627;Røyken;10768920,00;10399000,00;891500,00;9507500,00;0,00;0,00;63420,00;0,00;0,00;306500,00
0628 Hurum;628;Hurum;14274042,00;12883000,00;2642500,00;10240500,00;0,00;0,00;1109542,00;85000,00;0,00;196500,00
0631 Flesberg;631;Flesberg;5931100,00;5781000,00;1536500,00;4244500,00;0,00;0,00;0,00;62100,00;0,00;88000,00
0632 Rollag;632;Rollag;2740000,00;2718000,00;840000,00;1878000,00;0,00;0,00;0,00;0,00;0,00;22000,00
0633 Nore og Uvdal;633;Nore og Uvdal;7136520,00;5192500,00;1381500,00;3811000,00;820000,00;0,00;1014720,00;21800,00;0,00;87500,00
0701 Horten;701;Horten;20230739,00;15656500,00;3857000,00;11799500,00;952423,00;0,00;3097416,00;150400,00;143000,00;231000,00
0702 Holmestrand;702;Holmestrand;10351060,00;6786000,00;2397500,00;4388500,00;2294200,00;0,00;1141560,00;64300,00;0,00;65000,00
0704 Tønsberg;704;Tønsberg;20836302,00;18318400,00;5443500,00;12874900,00;0,00;0,00;2145402,00;109000,00;0,00;263500,00
0706 Sandefjord;706;Sandefjord;20170171,00;17633000,00;4641500,00;12991500,00;499523,00;0,00;1520848,00;21800,00;0,00;495000,00
0709 Larvik;709;Larvik;38330946,00;30515500,00;7317000,00;23198500,00;2497234,00;0,00;4627812,00;107900,00;0,00;582500,00
0711 Svelvik;711;Svelvik;931500,00;931500,00;0,00;931500,00;0,00;0,00;0,00;0,00;0,00;0,00
0713 Sande (Vestf.);713;Sande (Vestf.);8132278,00;7793000,00;2399500,00;5393500,00;-144264,00;0,00;263942,00;43600,00;0,00;176000,00
0714 Hof;714;Hof;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
0716 Re;716;Re (f.o.m. 2002);5935800,00;5848000,00;1904500,00;3943500,00;0,00;0,00;0,00;21800,00;0,00;66000,00
