kommune;kommune_nr;kommune_navn;bosetting.vedtak;bosetting.vedtak;bosetting.bosatt;bosetting.bosatt;bosetting.anmodning;bosetting.anmodning
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent
1018 Søgne;1018;Søgne;9;100;12;133,33;35;388,89
1021 Marnardal;1021;Marnardal;5;100;6;120;15;300,00
1026 Åseral;1026;Åseral;5;100;0;0;10;200,00
1027 Audnedal;1027;Audnedal;10;100;9;90;10;100,00
1029 Lindesnes;1029;Lindesnes;10;100;15;150;20;200,00
1032 Lyngdal;1032;Lyngdal;20;100;24;120;35;175,00
1034 Hægebostad;1034;Hægebostad;0;.;0;.;10;.
1037 Kvinesdal;1037;Kvinesdal;25;100;25;100;25;100,00
1046 Sirdal;1046;Sirdal;5;100;5;100;15;300,00
1101 Eigersund;1101;Eigersund;35;100;40;114,29;35;100,00
1102 Sandnes;1102;Sandnes;60;100;57;95;80;133,33
1103 Stavanger;1103;Stavanger;115;100;95;82,61;150;130,43
1106 Haugesund;1106;Haugesund;44;100;33;75;75;170,45
1111 Sokndal;1111;Sokndal;.;.;0;.;10;.
1112 Lund;1112;Lund;10;100;11;110;25;250,00
1114 Bjerkreim;1114;Bjerkreim;.;.;0;.;10;.
1119 Hå;1119;Hå;10;100;10;100;40;400,00
1120 Klepp;1120;Klepp;20;100;21;105;40;200,00
1121 Time;1121;Time;20;100;18;90;40;200,00
1122 Gjesdal;1122;Gjesdal;15;100;15;100;35;233,33
1124 Sola;1124;Sola;20;100;12;60;45;225,00
1127 Randaberg;1127;Randaberg;20;100;11;55;35;175,00
1129 Forsand;1129;Forsand;.;.;0;.;5;.
1130 Strand;1130;Strand;15;100;23;153,33;35;233,33
1133 Hjelmeland;1133;Hjelmeland;10;100;11;110;25;250,00
1134 Suldal;1134;Suldal;10;100;3;30;30;300,00
1135 Sauda;1135;Sauda;10;100;10;100;30;300,00
1141 Finnøy;1141;Finnøy;.;.;0;.;10;.
1142 Rennesøy;1142;Rennesøy;7;100;8;114,29;25;357,14
1144 Kvitsøy;1144;Kvitsøy;.;.;0;.;5;.
1145 Bokn;1145;Bokn;.;.;0;.;5;.
1146 Tysvær;1146;Tysvær;20;100;25;125;40;200,00
1149 Karmøy;1149;Karmøy;30;100;37;123,33;75;250,00
1151 Utsira;1151;Utsira;.;.;0;.;5;.
1160 Vindafjord;1160;Vindafjord;12;100;10;83,33;35;291,67
1201 Bergen;1201;Bergen;300;100;318;106;340;113,33
1211 Etne;1211;Etne;5;100;12;240;15;300,00
1216 Sveio;1216;Sveio;13;100;10;76,92;30;230,77
1219 Bømlo;1219;Bømlo;15;100;16;106,67;40;266,67
1221 Stord;1221;Stord;.;.;14;.;40;.
1222 Fitjar;1222;Fitjar;.;.;0;.;10;.
1223 Tysnes;1223;Tysnes;5;100;0;0;10;200,00
1224 Kvinnherad;1224;Kvinnherad;.;.;7;.;30;.
1227 Jondal;1227;Jondal;.;.;0;.;5;.
1228 Odda;1228;Odda;20;100;24;120;30;150,00
1231 Ullensvang;1231;Ullensvang;15;100;16;106,67;25;166,67
1232 Eidfjord;1232;Eidfjord;5;100;4;80;5;100,00
