Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0544 Øystre Slidre;544;Øystre Slidre;23;14;9;5;4;1,5;1;5,6;4,1;10,4
0545 Vang;545;Vang;11;6;5;2;3;1,5;1;5;2,5;16,6
0602 Drammen;602;Drammen;1374;578;796;226;570;4,3;2,3;10,8;7,3;13,3
0604 Kongsberg;604;Kongsberg;265;160;105;42;63;2;1,4;5,2;3,7;7,2
0605 Ringerike;605;Ringerike;582;410;172;61;111;4;3,2;9,7;6,3;13,9
0612 Hole;612;Hole;90;51;39;30;9;2,8;1,9;7,4;7,2;8
0615 Flå;615;Flå;8;6; : ; : ; : ;1,7;1,4; : ; : ; : 
0616 Nes (Busk.);616;Nes (Busk.);52;37;15;7;8;3,2;2,5;8,1;5,4;14,4
0617 Gol;617;Gol;59;38;21;6;15;2,6;2;5,2;2,3;10,9
0618 Hemsedal;618;Hemsedal;45;24;21;18;3;4;2,8;7,9;7,4;12,6
0619 Ål;619;Ål;40;30;10;6;4;1,8;1,5;4,2;3,4;7,1
0620 Hol;620;Hol;41;23;18;16;2;1,8;1,3;4,3;4,6;2,6
0621 Sigdal;621;Sigdal;21;15;6;4;2;1,3;1;5,4;4,3;11,8
0622 Krødsherad;622;Krødsherad;29;24;5;3;2;2,6;2,5;3,1;2,1;11
0623 Modum;623;Modum;243;185;58;27;31;3,7;3,1;9,6;7,1;14
0624 Øvre Eiker;624;Øvre Eiker;285;186;99;56;43;3,2;2,4;8,3;6,8;11,3
0625 Nedre Eiker;625;Nedre Eiker;437;256;181;65;116;3,6;2,6;8,7;6,2;11,2
0626 Lier;626;Lier;335;169;166;70;96;2,7;1,6;7,1;5,1;10,1
0627 Røyken;627;Røyken;281;181;100;70;30;2,6;2;6,4;6,2;6,7
0628 Hurum;628;Hurum;120;81;39;17;22;2,7;2,1;7,1;4;17,8
0631 Flesberg;631;Flesberg;26;19;7;2;5;1,9;1,6;6,2;2,2;24,5
0632 Rollag;632;Rollag;8;6; : ; : ; : ;1,2;1; : ; : ; : 
0633 Nore og Uvdal;633;Nore og Uvdal;19;13;6;3;3;1,5;1,2;5,4;3,6;10,6
0701 Horten;701;Horten;539;354;185;72;113;4,4;3,3;11,1;8,4;13,9
0702 Holmestrand;702;Holmestrand;179;135;44;21;23;3,6;3;8,9;6,9;12,1
0704 Tønsberg;704;Tønsberg;772;485;287;114;173;3,7;2,7;10,6;7,1;15,6
0706 Sandefjord;706;Sandefjord;882;535;347;134;213;4,2;3;11,1;8;14,7
0709 Larvik;709;Larvik;765;513;252;82;170;3,9;2,9;11,3;6,5;17,6
0711 Svelvik;711;Svelvik;128;98;30;22;8;4;3,5;7,8;7,4;9,2
0713 Sande (Vestf.);713;Sande (Vestf.);173;123;50;21;29;3,9;3,2;9,8;5,7;21,2
0714 Hof;714;Hof;42;29;13;9;4;2,8;2,1;9,4;8,2;14,1
0716 Re;716;Re (f.o.m. 2002);101;64;37;23;14;2,3;1,6;8,1;7;11
0719 Andebu;719;Andebu;92;67;25;11;14;3,2;2,6;8,2;4,9;17,9
0720 Stokke;720;Stokke;204;142;62;27;35;3,5;2,8;8,5;5,2;16,4
0722 Nøtterøy;722;Nøtterøy;314;232;82;37;45;3,1;2,6;7,7;6,2;9,8
0723 Tjøme;723;Tjøme;75;66;9;3;6;3,4;3,4;3,7;1,7;9,5
0728 Lardal;728;Lardal;25;19;6;2;4;2,2;1,8;7,2;3;22,1
0805 Porsgrunn;805;Porsgrunn;753;525;228;73;155;4,4;3,4;12,9;9;16,1
0806 Skien;806;Skien;1215;788;427;96;331;4,8;3,5;13,8;7,4;18,5
