kommunenr-kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1-5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2-5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk-samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
0236 Nes (Akershus);236;Nes (Ak.);20444675,00;14146000,00;3785000,00;10361000,00;0,00;4179200,00;1799875,00;91600,00;0,00;228000,00
0237 Eidsvoll;237;Eidsvoll;10469900,00;5876200,00;0,00;5876200,00;400000,00;3942900,00;0,00;0,00;0,00;250800,00
0238 Nannestad;238;Nannestad;8084500,00;5370400,00;1166000,00;4204400,00;0,00;2555300,00;0,00;0,00;0,00;158800,00
0239 Hurdal;239;Hurdal;1704900,00;725000,00;165000,00;560000,00;0,00;849000,00;130900,00;0,00;0,00;0,00
0301 Oslo;301;Oslo kommune;689577091,00;427991800,00;122889850,00;305101950,00;9494093,00;212375900,00;30896098,00;1660700,00;1914200,00;5244300,00
0402 Kongsvinger;402;Kongsvinger;23965106,00;13172900,00;2355500,00;10817400,00;4326006,00;6040200,00;130900,00;44700,00;0,00;250400,00
0403 Hamar;403;Hamar;48099572,00;32224200,00;10182500,00;22041700,00;3374348,00;9145700,00;2650724,00;181000,00;0,00;523600,00
0412 Ringsaker;412;Ringsaker;25783810,00;17182300,00;4731500,00;12450800,00;0,00;6731500,00;1209810,00;91600,00;147600,00;421000,00
0415 Løten;415;Løten;11705602,00;9000400,00;3043000,00;5957400,00;555502,00;1588400,00;130900,00;111200,00;0,00;319200,00
0417 Stange;417;Stange;31055985,00;24017100,00;6954500,00;17062600,00;1239985,00;4306900,00;1047200,00;45800,00;0,00;399000,00
0418 Nord-Odal;418;Nord-Odal;1671250,00;815550,00;215000,00;600550,00;0,00;821500,00;0,00;0,00;0,00;34200,00
0419 Sør-Odal;419;Sør-Odal;6188700,00;4650800,00;2260000,00;2390800,00;0,00;1470400,00;0,00;44700,00;0,00;22800,00
0420 Eidskog;420;Eidskog;5693400,00;3803600,00;835000,00;2968600,00;490000,00;1320000,00;0,00;0,00;0,00;79800,00
0423 Grue;423;Grue;6297750,00;4337600,00;330000,00;4007600,00;0,00;1137600,00;719950,00;0,00;0,00;102600,00
0425 Åsnes;425;Åsnes;17343580,00;8841300,00;2212500,00;6628800,00;0,00;7949600,00;304080,00;21800,00;0,00;226800,00
0426 Våler (Hedm.);426;Våler (Hedm.);4838400,00;0,00;0,00;0,00;0,00;4838400,00;0,00;0,00;0,00;0,00
0427 Elverum;427;Elverum;36022691,00;26233900,00;8099500,00;18134400,00;1027425,00;4794100,00;3228866,00;248600,00;0,00;489800,00
0428 Trysil;428;Trysil;11449492,00;8648000,00;2655000,00;5993000,00;0,00;2009700,00;643592,00;0,00;0,00;148200,00
0429 Åmot;429;Åmot;2495675,00;935000,00;545000,00;390000,00;0,00;808000,00;752675,00;0,00;0,00;0,00
0430 Stor-Elvdal;430;Stor-Elvdal;11621800,00;4315900,00;1501500,00;2814400,00;0,00;7238300,00;0,00;0,00;0,00;67600,00
0432 Rendalen;432;Rendalen;2004400,00;1075000,00;1075000,00;0,00;0,00;883700,00;0,00;22900,00;0,00;22800,00
0434 Engerdal;434;Engerdal;8858672,00;5172000,00;3033000,00;2139000,00;445872,00;2747100,00;0,00;112300,00;290600,00;90800,00
0436 Tolga;436;Tolga;6595650,00;5357700,00;2171500,00;3186200,00;0,00;1013800,00;65450,00;44700,00;0,00;114000,00
0437 Tynset;437;Tynset;17672715,00;11971900,00;3839500,00;8132400,00;1050673,00;2020300,00;2279842,00;43600,00;147600,00;158800,00
0438 Alvdal;438;Alvdal;7625000,00;6209200,00;2948000,00;3261200,00;0,00;1172000,00;0,00;21800,00;143000,00;79000,00
0439 Folldal;439;Folldal;2105400,00;1480000,00;620000,00;860000,00;0,00;568200,00;0,00;45800,00;0,00;11400,00
0441 Os (Hedm.);441;Os (Hedm.);5062280,00;3325200,00;1203000,00;2122200,00;0,00;927500,00;696780,00;67600,00;0,00;45200,00
0501 Lillehammer;501;Lillehammer;53256185,00;32198500,00;7249500,00;24949000,00;11638766,00;6162200,00;2563119,00;260800,00;0,00;432800,00
0502 Gjøvik;502;Gjøvik;51792988,00;31995600,00;7575500,00;24420100,00;9197078,00;5898600,00;3752210,00;22900,00;290600,00;636000,00
0511 Dovre;511;Dovre;7565100,00;3334400,00;815000,00;2519400,00;0,00;4150700,00;0,00;45800,00;0,00;34200,00
0512 Lesja;512;Lesja;568200,00;0,00;0,00;0,00;0,00;568200,00;0,00;0,00;0,00;0,00
0513 Skjåk;513;Skjåk;4425500,00;3410400,00;1030000,00;2380400,00;0,00;946600,00;0,00;22900,00;0,00;45600,00
0514 Lom;514;Lom;5853500,00;4521800,00;1775000,00;2746800,00;0,00;1240500,00;0,00;0,00;0,00;91200,00
0515 Vågå;515;Vågå;9667900,00;8081000,00;3498000,00;4583000,00;0,00;1360500,00;0,00;67600,00;0,00;158800,00
0516 Nord-Fron;516;Nord-Fron;6903700,00;5163900,00;156500,00;5007400,00;0,00;1614400,00;0,00;0,00;0,00;125400,00
0517 Sel;517;Sel;18163400,00;9564200,00;4145000,00;5419200,00;0,00;7039900,00;1309000,00;136300,00;0,00;114000,00
0519 Sør-Fron;519;Sør-Fron;1217800,00;406800,00;0,00;406800,00;0,00;811000,00;0,00;0,00;0,00;0,00
0520 Ringebu;520;Ringebu;5679700,00;2488000,00;0,00;2488000,00;160000,00;2963300,00;0,00;0,00;0,00;68400,00
0521 Øyer;521;Øyer;16065298,00;11211800,00;3218000,00;7993800,00;2443098,00;1853000,00;261800,00;67600,00;0,00;228000,00
0522 Gausdal;522;Gausdal;4076600,00;2747000,00;728000,00;2019000,00;155400,00;1095700,00;0,00;44700,00;0,00;33800,00
0528 Østre Toten;528;Østre Toten;16678700,00;10852000,00;2825000,00;8027000,00;0,00;5541600,00;0,00;22900,00;0,00;262200,00
0529 Vestre Toten;529;Vestre Toten;19320800,00;13516100,00;4489100,00;9027000,00;0,00;5310000,00;130900,00;113400,00;0,00;250400,00
0532 Jevnaker;532;Jevnaker;4485700,00;3277000,00;1123000,00;2154000,00;0,00;1174500,00;0,00;0,00;0,00;34200,00
0533 Lunner;533;Lunner;25221200,00;20563800,00;7036500,00;13527300,00;0,00;3120000,00;1047200,00;91600,00;0,00;398600,00
0534 Gran;534;Gran;33733833,00;28370700,00;10511500,00;17859200,00;223833,00;3491500,00;1047200,00;89400,00;147600,00;363600,00
0536 Søndre Land;536;Søndre Land;8099850,00;3137600,00;1350000,00;1787600,00;0,00;4680700,00;65450,00;22900,00;147600,00;45600,00
0538 Nordre Land;538;Nordre Land;15615512,00;10666000,00;2840000,00;7826000,00;686387,00;2010600,00;1865325,00;45800,00;147600,00;193800,00
0540 Sør-Aurdal;540;Sør-Aurdal;5364500,00;4199400,00;1505000,00;2694400,00;0,00;1039500,00;0,00;45800,00;0,00;79800,00
0541 Etnedal;541;Etnedal;8565000,00;1838600,00;215000,00;1623600,00;0,00;6715000,00;0,00;0,00;0,00;11400,00
0542 Nord-Aurdal;542;Nord-Aurdal;8435300,00;6942000,00;1935000,00;5007000,00;0,00;1459100,00;0,00;0,00;0,00;34200,00
0543 Vestre Slidre;543;Vestre Slidre;5225500,00;2590000,00;0,00;2590000,00;0,00;2447600,00;130900,00;0,00;0,00;57000,00
0544 Øystre Slidre;544;Øystre Slidre;2692900,00;1670400,00;430000,00;1240400,00;0,00;891600,00;130900,00;0,00;0,00;0,00
0545 Vang;545;Vang;5405500,00;1640400,00;165000,00;1475400,00;0,00;3742300,00;0,00;0,00;0,00;22800,00
0602 Drammen;602;Drammen;118939262,00;80100712,00;24796000,00;55304712,00;3772862,00;26028450,00;6911838,00;612800,00;0,00;1512600,00
0604 Kongsberg;604;Kongsberg;35569222,00;23193200,00;5833000,00;17360200,00;628235,00;9386200,00;1839787,00;89400,00;0,00;432400,00
0605 Ringerike;605;Ringerike;32112377,00;20596900,00;6222500,00;14374400,00;748335,00;9684000,00;447242,00;90500,00;147600,00;397800,00
0612 Hole;612;Hole;4557897,00;2832200,00;1365000,00;1467200,00;410597,00;1166600,00;0,00;68700,00;0,00;79800,00
0615 Flå;615;Flå;369100,00;0,00;0,00;0,00;0,00;238200,00;130900,00;0,00;0,00;0,00
0616 Nes (Busk.);616;Nes (Busk.);9310800,00;4443000,00;1545000,00;2898000,00;0,00;4833500,00;0,00;22900,00;0,00;11400,00
0617 Gol;617;Gol;5121200,00;3909800,00;0,00;3909800,00;0,00;1086000,00;0,00;0,00;0,00;125400,00
0618 Hemsedal;618;Hemsedal;9497299,00;3940900,00;651500,00;3289400,00;957309,00;4144000,00;204890,00;0,00;147600,00;102600,00
0619 Ål;619;Ål;8861600,00;4361600,00;1505000,00;2856600,00;0,00;3606600,00;654500,00;22900,00;147600,00;68400,00
0620 Hol;620;Hol;5749600,00;3822600,00;835000,00;2987600,00;0,00;1585200,00;261800,00;45800,00;0,00;34200,00
0621 Sigdal;621;Sigdal;4122910,00;2770200,00;1013000,00;1757200,00;612610,00;662300,00;0,00;43600,00;0,00;34200,00
0622 Krødsherad;622;Krødsherad;1375200,00;620000,00;620000,00;0,00;0,00;709400,00;0,00;45800,00;0,00;0,00
0623 Modum;623;Modum;17167442,00;11802650,00;2395000,00;9407650,00;0,00;3190300,00;1821692,00;0,00;147600,00;205200,00
0624 Øvre Eiker;624;Øvre Eiker;16761850,00;12667050,00;3001500,00;9665550,00;0,00;3251600,00;523600,00;91600,00;0,00;228000,00
0625 Nedre Eiker;625;Nedre Eiker;17947625,00;12189900,00;3956500,00;8233400,00;0,00;4910800,00;425425,00;68700,00;147600,00;205200,00
0626 Lier;626;Lier;24845900,00;17266800,00;4380000,00;12886800,00;0,00;5427800,00;1570800,00;68700,00;295200,00;216600,00
0627 Røyken;627;Røyken;21636625,00;16778100,00;6014000,00;10764100,00;0,00;4252400,00;32725,00;154800,00;0,00;418600,00
0628 Hurum;628;Hurum;19116212,00;14773000,00;5016000,00;9757000,00;160000,00;2706000,00;1112312,00;114500,00;0,00;250400,00
0631 Flesberg;631;Flesberg;12220800,00;10438400,00;4226000,00;6212400,00;0,00;1387700,00;0,00;201700,00;0,00;193000,00
0632 Rollag;632;Rollag;5012400,00;3990400,00;2005000,00;1985400,00;0,00;965000,00;0,00;0,00;0,00;57000,00
0633 Nore og Uvdal;633;Nore og Uvdal;9695080,00;6884900,00;1751500,00;5133400,00;1254780,00;1198700,00;130900,00;21800,00;0,00;204000,00
0701 Horten;701;Horten;28904712,00;19084100,00;7158000,00;11926100,00;467269,00;5127400,00;3770643,00;114500,00;0,00;340800,00
0702 Holmestrand;702;Holmestrand;10822320,00;6265800,00;1936000,00;4329800,00;795000,00;2298300,00;1372420,00;0,00;0,00;90800,00
0704 Tønsberg;704;Tønsberg;29579203,00;17309500,00;4106500,00;13203000,00;0,00;9564700,00;2397803,00;113400,00;0,00;193800,00
0706 Sandefjord;706;Sandefjord;33170888,00;22577700,00;8432500,00;14145200,00;712221,00;7698300,00;1527167,00;223500,00;0,00;432000,00
0709 Larvik;709;Larvik;46461287,00;29594400,00;8330500,00;21263900,00;1603613,00;9716900,00;4726774,00;250800,00;0,00;568800,00
0711 Svelvik;711;Svelvik;4048700,00;2659000,00;1050000,00;1609000,00;0,00;1389700,00;0,00;0,00;0,00;0,00
0713 Sande (Vestf.);713;Sande (Vestf.);9907556,00;7784800,00;2910000,00;4874800,00;-27044,00;1910200,00;0,00;45800,00;0,00;193800,00
0714 Hof;714;Hof;746100,00;0,00;0,00;0,00;0,00;746100,00;0,00;0,00;0,00;0,00
0716 Re;716;Re (f.o.m. 2002);7748200,00;5916200,00;2200000,00;3716200,00;0,00;1683600,00;0,00;45800,00;0,00;102600,00
0719 Andebu;719;Andebu;4529420,00;2463300,00;1086500,00;1376800,00;0,00;1028600,00;992320,00;0,00;0,00;45200,00
0720 Stokke;720;Stokke;22461160,00;13473700,00;3185000,00;10288700,00;0,00;7398000,00;1144360,00;114500,00;0,00;330600,00
0722 Nøtterøy;722;Nøtterøy;21386792,00;13147900,00;4551500,00;8596400,00;1740587,00;3431200,00;2693005,00;112300,00;0,00;261800,00
0723 Tjøme;723;Tjøme;6234200,00;4645500,00;2241500,00;2404000,00;0,00;1441200,00;0,00;90500,00;0,00;57000,00
0728 Lardal;728;Lardal;2803100,00;1574000,00;0,00;1574000,00;0,00;876100,00;261800,00;0,00;0,00;91200,00
0805 Porsgrunn;805;Porsgrunn;43874010,00;31679100,00;11841500,00;19837600,00;521710,00;9375200,00;1570800,00;196200,00;0,00;531000,00
0806 Skien;806;Skien;109584499,00;77071100,00;16718000,00;60353100,00;5265490,00;17257900,00;8409309,00;293300,00;0,00;1287400,00
0807 Notodden;807;Notodden;31904783,00;23203050,00;7633000,00;15570050,00;800100,00;4526600,00;2661633,00;178800,00;295200,00;239400,00
0811 Siljan;811;Siljan;7336500,00;5762000,00;1655000,00;4107000,00;0,00;1335000,00;0,00;22900,00;0,00;216600,00
0814 Bamble;814;Bamble;41164498,00;31923400,00;10230000,00;21693400,00;1200500,00;4571500,00;2715498,00;176600,00;0,00;577000,00
0815 Kragerø;815;Kragerø;34618562,00;24761400,00;6565000,00;18196400,00;3075679,00;4401000,00;1810783,00;68700,00;147600,00;353400,00
0817 Drangedal;817;Drangedal;8022000,00;6354000,00;1725000,00;4629000,00;0,00;1451200,00;0,00;45800,00;0,00;171000,00
0819 Nome;819;Nome;16445122,00;8372000,00;2630000,00;5742000,00;1847622,00;6020300,00;0,00;0,00;0,00;205200,00
0821 Bø (Telemark);821;Bø (Telem.);16420100,00;9249100,00;3035000,00;6214100,00;2346000,00;2236300,00;2225300,00;67600,00;147600,00;148200,00
0822 Sauherad;822;Sauherad;17104496,00;11592600,00;2133000,00;9459600,00;2004496,00;1956000,00;1178100,00;112300,00;0,00;261000,00
0826 Tinn;826;Tinn;22898962,00;12643700,00;6194500,00;6449200,00;2162755,00;6086000,00;1602507,00;67600,00;143000,00;193400,00
0827 Hjartdal;827;Hjartdal;2065132,00;1155000,00;1155000,00;0,00;0,00;701400,00;174532,00;0,00;0,00;34200,00
0828 Seljord;828;Seljord;5980200,00;4751800,00;2010000,00;2741800,00;0,00;1091500,00;0,00;22900,00;0,00;114000,00
0829 Kviteseid;829;Kviteseid;631200,00;0,00;0,00;0,00;0,00;631200,00;0,00;0,00;0,00;0,00
0830 Nissedal;830;Nissedal;291600,00;0,00;0,00;0,00;0,00;291600,00;0,00;0,00;0,00;0,00
0831 Fyresdal;831;Fyresdal;4700900,00;3579000,00;475000,00;3104000,00;0,00;973600,00;0,00;22900,00;0,00;125400,00
0833 Tokke;833;Tokke;175000,00;0,00;0,00;0,00;0,00;175000,00;0,00;0,00;0,00;0,00
0834 Vinje;834;Vinje;3885100,00;2590800,00;0,00;2590800,00;0,00;1117800,00;130900,00;0,00;0,00;45600,00
0901 Risør;901;Risør;19310763,00;13294200,00;5340000,00;7954200,00;1029680,00;2663100,00;2072583,00;91600,00;0,00;159600,00
0904 Grimstad;904;Grimstad;36242735,00;27533400,00;8944000,00;18589400,00;-43900,00;5056700,00;3206035,00;68700,00;0,00;421800,00
0906 Arendal;906;Arendal;64422594,00;46480300,00;10340500,00;36139800,00;2189144,00;9799600,00;4646950,00;135200,00;295200,00;876200,00
0911 Gjerstad;911;Gjerstad;10437178,00;7564800,00;2075000,00;5489800,00;1330778,00;1268600,00;0,00;0,00;147600,00;125400,00
0912 Vegårshei;912;Vegårshei;2133700,00;670000,00;0,00;670000,00;713000,00;693700,00;0,00;0,00;0,00;57000,00
0914 Tvedestrand;914;Tvedestrand;8351700,00;6464000,00;2200000,00;4264000,00;0,00;1716600,00;0,00;22900,00;0,00;148200,00
0919 Froland;919;Froland;5226600,00;2889800,00;580000,00;2309800,00;800100,00;1217900,00;261800,00;0,00;0,00;57000,00
0926 Lillesand;926;Lillesand;14489400,00;10059300,00;2351500,00;7707800,00;0,00;3550200,00;654500,00;21800,00;0,00;203600,00
0928 Birkenes;928;Birkenes;8686900,00;4853800,00;1803000,00;3050800,00;0,00;3685700,00;0,00;67600,00;0,00;79800,00
0929 Åmli;929;Åmli;3971100,00;2897600,00;765000,00;2132600,00;0,00;970900,00;0,00;0,00;0,00;102600,00
0935 Iveland;935;Iveland;3460800,00;2392600,00;835000,00;1557600,00;0,00;1011100,00;0,00;22900,00;0,00;34200,00
0937 Evje og Hornnes;937;Evje og Hornnes;5879000,00;4066100,00;1100000,00;2966100,00;0,00;1328900,00;392700,00;22900,00;0,00;68400,00
0938 Bygland;938;Bygland;1764000,00;0,00;0,00;0,00;0,00;1633100,00;130900,00;0,00;0,00;0,00
0940 Valle;940;Valle;5443900,00;4318600,00;1550000,00;2768600,00;0,00;919900,00;0,00;45800,00;0,00;159600,00
0941 Bykle;941;Bykle;3445000,00;2370500,00;861500,00;1509000,00;0,00;826500,00;0,00;21800,00;147600,00;78600,00
1001 Kristiansand;1001;Kristiansand;155026995,00;110535100,00;36159000,00;74376100,00;4622467,00;27326200,00;9891828,00;604000,00;147600,00;1899800,00
1002 Mandal;1002;Mandal;34666474,00;23151700,00;6946500,00;16205200,00;1796616,00;7391300,00;1647158,00;134100,00;0,00;545600,00
1003 Farsund;1003;Farsund;15998800,00;10281000,00;2953000,00;7328000,00;320000,00;4463600,00;392700,00;22900,00;290600,00;228000,00
1004 Flekkefjord;1004;Flekkefjord;14433127,00;7149000,00;1840000,00;5309000,00;1371927,00;5610100,00;130900,00;45800,00;0,00;125400,00
1014 Vennesla;1014;Vennesla;17447910,00;12052900,00;3091500,00;8961400,00;1891910,00;3059000,00;0,00;22900,00;147600,00;273600,00
1017 Songdalen;1017;Songdalen;17933470,00;13104200,00;4529500,00;8574700,00;1771072,00;2235000,00;350098,00;136300,00;143000,00;193800,00
1018 Søgne;1018;Søgne;17056195,00;11825000,00;2050000,00;9775000,00;1179895,00;3094800,00;785400,00;22900,00;0,00;148200,00
1021 Marnardal;1021;Marnardal;4779900,00;3810500,00;1261500,00;2549000,00;0,00;878600,00;0,00;0,00;0,00;90800,00
1026 Åseral;1026;Åseral;1761200,00;1060000,00;0,00;1060000,00;0,00;678400,00;0,00;0,00;0,00;22800,00
1027 Audnedal;1027;Audnedal;1845800,00;1155000,00;1155000,00;0,00;0,00;690800,00;0,00;0,00;0,00;0,00
1029 Lindesnes;1029;Lindesnes;7702400,00;5960800,00;2405000,00;3555800,00;0,00;1473800,00;130900,00;22900,00;0,00;114000,00
1032 Lyngdal;1032;Lyngdal;18297900,00;11939300,00;3336500,00;8602800,00;0,00;5839900,00;130900,00;22900,00;0,00;364900,00
1034 Hægebostad;1034;Hægebostad;2846200,00;1843600,00;0,00;1843600,00;0,00;979800,00;0,00;0,00;0,00;22800,00
1037 Kvinesdal;1037;Kvinesdal;17127900,00;10753500,00;4881500,00;5872000,00;0,00;5527700,00;392700,00;45800,00;147600,00;260600,00
1046 Sirdal;1046;Sirdal;2456800,00;1544000,00;430000,00;1114000,00;0,00;901400,00;0,00;0,00;0,00;11400,00
1101 Eigersund;1101;Eigersund;24034608,00;17718600,00;6690000,00;11028600,00;487000,00;4115800,00;1450808,00;45800,00;0,00;216600,00
1102 Sandnes;1102;Sandnes;75352807,00;45459400,00;11115500,00;34343900,00;1493000,00;23574700,00;3642707,00;181000,00;295200,00;706800,00
1103 Stavanger;1103;Stavanger;112715634,00;64393200,00;16431000,00;47962200,00;5327700,00;34549200,00;6909434,00;363100,00;295200,00;877800,00
1106 Haugesund;1106;Haugesund;51798206,00;32924250,00;9447000,00;23477250,00;3653356,00;14328200,00;130900,00;249700,00;0,00;511800,00
1111 Sokndal;1111;Sokndal;1371200,00;0,00;0,00;0,00;0,00;1371200,00;0,00;0,00;0,00;0,00
1112 Lund;1112;Lund;9759900,00;5458700,00;1675000,00;3783700,00;0,00;3902200,00;261800,00;91600,00;0,00;45600,00
1114 Bjerkreim;1114;Bjerkreim;883900,00;135000,00;0,00;135000,00;0,00;748900,00;0,00;0,00;0,00;0,00
1119 Hå;1119;Hå;12401900,00;5386600,00;1480000,00;3906600,00;0,00;6360800,00;392700,00;45800,00;147600,00;68400,00
1120 Klepp;1120;Klepp;19786900,00;15228100,00;3959500,00;11268600,00;0,00;3986400,00;130900,00;90500,00;0,00;351000,00
1121 Time;1121;Time;18154233,00;13494200,00;3580000,00;9914200,00;0,00;4228400,00;43633,00;91600,00;0,00;296400,00
1122 Gjesdal;1122;Gjesdal;13611700,00;10716000,00;3225000,00;7491000,00;0,00;2297500,00;392700,00;68700,00;0,00;136800,00
1124 Sola;1124;Sola;17380300,00;11930500,00;3699500,00;8231000,00;0,00;5034900,00;130900,00;113400,00;0,00;170600,00
1127 Randaberg;1127;Randaberg;20468115,00;15598800,00;3329000,00;12269800,00;0,00;2842100,00;1690115,00;131900,00;0,00;205200,00
1129 Forsand;1129;Forsand;637100,00;0,00;0,00;0,00;0,00;637100,00;0,00;0,00;0,00;0,00
1130 Strand;1130;Strand;21946018,00;13371600,00;3455000,00;9916600,00;1196518,00;6888000,00;261800,00;22900,00;0,00;205200,00
1133 Hjelmeland;1133;Hjelmeland;8075200,00;5914800,00;1860000,00;4054800,00;491000,00;1464500,00;0,00;22900,00;0,00;182000,00
1134 Suldal;1134;Suldal;9537400,00;6676800,00;1620000,00;5056800,00;800000,00;1781400,00;130900,00;22900,00;0,00;125400,00
1135 Sauda;1135;Sauda;9474100,00;7626700,00;156500,00;7470200,00;0,00;1687800,00;0,00;0,00;0,00;159600,00
1141 Finnøy;1141;Finnøy;964300,00;0,00;0,00;0,00;0,00;833400,00;130900,00;0,00;0,00;0,00
1142 Rennesøy;1142;Rennesøy;7698670,00;4804500,00;1346500,00;3458000,00;0,00;1557900,00;1188670,00;0,00;147600,00;0,00
1144 Kvitsøy;1144;Kvitsøy;272100,00;0,00;0,00;0,00;0,00;272100,00;0,00;0,00;0,00;0,00
