Næringsregion nr & navn;naringsregion_nr;Næringsregionsavn;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf;innvkat_4.alle;innvkat_4.innvandrere;innvkat_4.bef_u_innv_og_norskf;innvkat_4.norskfodte_m_innvf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
37 Haugesundregionen;37;Haugesundregionen;14022;666;13165;191;100;4,7;93,9;1,4;7379;325;6950;104;100;4,4;94,2;1,4;6643;341;6215;87;100;5,1;93,6;1,3
38 Ryfylke;38;Ryfylke;3190;178;2985;27;100;5,6;93,6;0,8;1731;85;1631;15;100;4,9;94,2;0,9;1459;93;1354;12;100;6,4;92,8;0,8
39 Stavangerregionen;39;Stavangerregionen;38598;2243;34999;1356;100;5,8;90,7;3,5;20206;1166;18323;717;100;5,8;90,7;3,5;18392;1077;16676;639;100;5,9;90,7;3,5
40 Bergen;40;Bergen;31099;1996;28063;1040;100;6,4;90,2;3,3;16135;1057;14589;489;100;6,6;90,4;3;14964;939;13474;551;100;6,3;90;3,7
41 Bjørnefjorden;41;Bjørnefjorden;3309;140;3119;50;100;4,2;94,3;1,5;1803;52;1733;18;100;2,9;96,1;1;1506;88;1386;32;100;5,8;92;2,1
42 Hardanger;42;Hardanger;3166;201;2961;4;100;6,3;93,5;0,1;1651;116;1532;3;100;7;92,8;0,2;1515;85;1429;1;100;5,6;94,3;0,1
43 Voss;43;Voss;1886;45;1830;11;100;2,4;97;0,6;977;28;940;9;100;2,9;96,2;0,9;909;17;890;2;100;1,9;97,9;0,2
44 Nordhordland;44;Nordhordland;4554;213;4331;10;100;4,7;95,1;0,2;2374;118;2254;2;100;5;94,9;0,1;2180;95;2077;8;100;4,4;95,3;0,4
45 Osterfjorden;45;Osterfjorden;1769;70;1692;7;100;4;95,6;0,4;928;43;881;4;100;4,6;94,9;0,4;841;27;811;3;100;3,2;96,4;0,4
46 Sunnhordland;46;Sunnhordland;9270;334;8876;60;100;3,6;95,7;0,6;5001;165;4806;30;100;3,3;96,1;0,6;4269;169;4070;30;100;4;95,3;0,7
47 Hordaland Vest;47;Hordaland Vest;8825;384;8375;66;100;4,4;94,9;0,7;4739;195;4499;45;100;4,1;94,9;0,9;4086;189;3876;21;100;4,6;94,9;0,5
48 HAFS;48;HAFS;1776;186;1582;8;100;10,5;89,1;0,5;862;78;782;2;100;9;90,7;0,2;914;108;800;6;100;11,8;87,5;0,7
49 Nordfjord;49;Nordfjord;4748;280;4431;37;100;5,9;93,3;0,8;2616;166;2431;19;100;6,3;92,9;0,7;2132;114;2000;18;100;5,3;93,8;0,8
50 Sogn;50;Sogn;4543;152;4349;42;100;3,3;95,7;0,9;2445;94;2332;19;100;3,8;95,4;0,8;2098;58;2017;23;100;2,8;96,1;1,1
51 Sunnfjord;51;Sunnfjord;4807;219;4533;55;100;4,6;94,3;1,1;2577;118;2431;28;100;4,6;94,3;1,1;2230;101;2102;27;100;4,5;94,3;1,2
52 Nordmøre;52;Nordmøre;7772;360;7387;25;100;4,6;95;0,3;4164;202;3948;14;100;4,9;94,8;0,3;3608;158;3439;11;100;4,4;95,3;0,3
53 Romsdal;53;Romsdal;8015;319;7638;58;100;4;95,3;0,7;4196;194;3970;32;100;4,6;94,6;0,8;3819;125;3668;26;100;3,3;96;0,7
54 Storfjord;54;Storfjord;2270;115;2124;31;100;5,1;93,6;1,4;1197;57;1125;15;100;4,8;94;1,3;1073;58;999;16;100;5,4;93,1;1,5
55 Søre Sunnmøre;55;Søre Sunnmøre;6539;330;6112;97;100;5;93,5;1,5;3495;197;3251;47;100;5,6;93;1,3;3044;133;2861;50;100;4,4;94;1,6
56 Ålesundregionen;56;Ålesundregionen;9444;456;8880;108;100;4,8;94;1,1;5021;231;4741;49;100;4,6;94,4;1;4423;225;4139;59;100;5,1;93,6;1,3
57 Fosen;57;Fosen;3668;98;3562;8;100;2,7;97,1;0,2;1959;66;1888;5;100;3,4;96,4;0,3;1709;32;1674;3;100;1,9;98;0,2
58 Hitra/Frøya;58;Hitra/Frøya;1213;80;1133;.;100;6,6;93,4;.;593;28;565;.;100;4,7;95,3;.;620;52;568;.;100;8,4;91,6;.
59 Oppdal/Rennebu;59;Oppdal/Rennebu;1247;41;1204;2;100;3,3;96,6;0,2;673;26;645;2;100;3,9;95,8;0,3;574;15;559;.;100;2,6;97,4;.
60 Orkdalregionen;60;Orkdalregionen;2985;127;2836;22;100;4,3;95;0,7;1575;75;1489;11;100;4,8;94,5;0,7;1410;52;1347;11;100;3,7;95,5;0,8
61 Trondheimsregionen;61;Trondheimsregionen;27053;1283;25162;608;100;4,7;93;2,2;14033;695;13008;330;100;5;92,7;2,4;13020;588;12154;278;100;4,5;93,3;2,1
62 Rørosregionen;62;Rørosregionen;1221;28;1184;9;100;2,3;97;0,7;617;15;598;4;100;2,4;96,9;0,6;604;13;586;5;100;2,2;97;0,8
63 Stjørdalsregionen;63;Stjørdalsregionen;3935;192;3732;11;100;4,9;94,8;0,3;2078;106;1965;7;100;5,1;94,6;0,3;1857;86;1767;4;100;4,6;95,2;0,2
64 Innherred;64;Innherred;8961;275;8656;30;100;3,1;96,6;0,3;4648;128;4507;13;100;2,8;97;0,3;4313;147;4149;17;100;3,4;96,2;0,4
65 Indre Namdal;65;Indre Namdal;1204;68;1130;6;100;5,6;93,9;0,5;639;52;586;1;100;8,1;91,7;0,2;565;16;544;5;100;2,8;96,3;0,9
66 Kystgruppen;66;Kystgruppen;1401;39;1361;1;100;2,8;97,1;0,1;738;25;713;.;100;3,4;96,6;.;663;14;648;1;100;2,1;97,7;0,2
67 Midtre Namdal;67;Midtre Namdal;2788;129;2646;13;100;4,6;94,9;0,5;1489;63;1423;3;100;4,2;95,6;0,2;1299;66;1223;10;100;5,1;94,1;0,8
68 Sør-Helgeland;68;Sør-Helgeland;1894;40;1851;3;100;2,1;97,7;0,2;968;15;953;.;100;1,5;98,5;.;926;25;898;3;100;2,7;97;0,3
69 HALD;69;HALD;1729;82;1646;1;100;4,7;95,2;0,1;902;50;851;1;100;5,5;94,3;0,1;827;32;795;.;100;3,9;96,1;.
70 Ytre Helgeland;70;Ytre Helgeland;491;6;483;2;100;1,2;98,4;0,4;259;4;255;.;100;1,5;98,5;.;232;2;228;2;100;0,9;98,3;0,9
71 Mosjøregionen;71;Mosjøregionen;2109;66;2036;7;100;3,1;96,5;0,3;1113;44;1064;5;100;4;95,6;0,4;996;22;972;2;100;2,2;97,6;0,2
72 Ranaregionen;72;Ranaregionen;4507;175;4329;3;100;3,9;96,1;0,1;2351;105;2244;2;100;4,5;95,4;0,1;2156;70;2085;1;100;3,2;96,7;0
73 Salten;73;Salten;10248;375;9843;30;100;3,7;96;0,3;5301;204;5089;8;100;3,8;96;0,2;4947;171;4754;22;100;3,5;96,1;0,4
74 Ofoten;74;Ofoten;3150;128;3006;16;100;4,1;95,4;0,5;1678;78;1592;8;100;4,6;94,9;0,5;1472;50;1414;8;100;3,4;96,1;0,5
75 Lofoten;75;Lofoten;3123;143;2965;15;100;4,6;94,9;0,5;1610;72;1530;8;100;4,5;95;0,5;1513;71;1435;7;100;4,7;94,8;0,5
76 Vesterålen;76;Vesterålen;4433;217;4194;22;100;4,9;94,6;0,5;2301;106;2187;8;100;4,6;95;0,3;2132;111;2007;14;100;5,2;94,1;0,7
77 Sør-Troms;77;Sør-Troms;4747;211;4520;16;100;4,4;95,2;0,3;2528;116;2404;8;100;4,6;95,1;0,3;2219;95;2116;8;100;4,3;95,4;0,4
78 Midt-Troms;78;Midt-Troms;4005;142;3853;10;100;3,5;96,2;0,2;2117;76;2034;7;100;3,6;96,1;0,3;1888;66;1819;3;100;3,5;96,3;0,2
79 Tromsøregionen;79;Tromsøregionen;9490;302;9135;53;100;3,2;96,3;0,6;5060;177;4851;32;100;3,5;95,9;0,6;4430;125;4284;21;100;2,8;96,7;0,5
80 Nord-Troms;80;Nord-Troms;2241;73;2163;5;100;3,3;96,5;0,2;1252;36;1215;1;100;2,9;97;0,1;989;37;948;4;100;3,7;95,9;0,4
81 Vest-Finnmark;81;Vest-Finnmark;4878;199;4661;18;100;4,1;95,6;0,4;2580;109;2463;8;100;4,2;95,5;0,3;2298;90;2198;10;100;3,9;95,6;0,4
82 Midt-Finnmark;82;Midt-Finnmark;1832;44;1783;5;100;2,4;97,3;0,3;962;28;931;3;100;2,9;96,8;0,3;870;16;852;2;100;1,8;97,9;0,2
83 Øst-Finnmark;83;Øst-Finnmark;2967;242;2710;15;100;8,2;91,3;0,5;1576;152;1419;5;100;9,6;90;0,3;1391;90;1291;10;100;6,5;92,8;0,7
99 Uoppgitt;99;Uoppgitt;2856;107;2724;25;100;3,7;95,4;0,9;1381;47;1324;10;100;3,4;95,9;0,7;1475;60;1400;15;100;4,1;94,9;1
