kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0830 Nissedal;830;Nissedal;8,8;30,3;:;29,4;7,5
0831 Fyresdal;831;Fyresdal;8,6;27,8;:;30;6,9
0833 Tokke;833;Tokke;5,6;:;:;10,6;5,3
0834 Vinje;834;Vinje;8,3;27,3;32,8;29;7,1
0901 Risør;901;Risør;10,3;28,5;49,8;38,1;8,1
0904 Grimstad;904;Grimstad;9,5;23,3;40,2;30,7;7,5
0906 Arendal;906;Arendal;8,8;24,5;33,9;29,2;6,7
0911 Gjerstad;911;Gjerstad;8,6;17,9;48,8;34,7;6,9
0912 Vegårshei;912;Vegårshei;9,4;32,7;45,3;39,2;7,7
0914 Tvedestrand;914;Tvedestrand;10,9;33,1;42,1;36,7;8,6
0919 Froland;919;Froland;7,9;22,7;25,7;23,7;6,9
0926 Lillesand;926;Lillesand;6,3;14,5;27,4;20,7;5,2
0928 Birkenes;928;Birkenes;7,7;15,2;29,3;21,5;6,5
0929 Åmli;929;Åmli;13,5;34,6;36,2;35,2;11
0935 Iveland;935;Iveland;9;26,5;:;28,6;7,3
0937 Evje og Hornnes;937;Evje og Hornnes;10,4;29,2;42,1;36,7;7,6
0938 Bygland;938;Bygland;5,7;:;:;:;5,3
0940 Valle;940;Valle;11,2;:;66,7;45,3;8,5
0941 Bykle;941;Bykle;5,3;18,3;:;15,5;3,7
1001 Kristiansand;1001;Kristiansand;9,8;16,6;32,4;27;7,6
1002 Mandal;1002;Mandal;8,6;19,9;37,4;28,7;6,9
1003 Farsund;1003;Farsund;7,1;24,2;29,1;26,2;5,9
1004 Flekkefjord;1004;Flekkefjord;7,2;15,2;30,8;20,8;5,8
1014 Vennesla;1014;Vennesla;7,4;18,5;25,9;22,1;6,2
1017 Songdalen;1017;Songdalen;8,5;20;31,3;26;6,3
1018 Søgne;1018;Søgne;7,6;22,3;32,1;26,7;6,2
1021 Marnardal;1021;Marnardal;8,7;17,4;52,9;32,7;6,7
1026 Åseral;1026;Åseral;10,5;40,4;71,9;53,2;6,1
1027 Audnedal;1027;Audnedal;6,6;20,8;:;20,7;5,8
1029 Lindesnes;1029;Lindesnes;10,1;21,3;38,8;27,8;8,5
1032 Lyngdal;1032;Lyngdal;8,7;21,6;32;27,4;7
1034 Hægebostad;1034;Hægebostad;7,4;21,7;47,8;28,9;6,2
1037 Kvinesdal;1037;Kvinesdal;8;19,9;28,5;23,6;6,9
1046 Sirdal;1046;Sirdal;6,1;15,3;:;15,3;5,3
