Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
0217 Oppegård;217;Oppegård;1956;3663;1406;2696;9089;3750;3695;51;164;87;432;1604;351;248;1905;3499;1319;2264;7485;3399;3447;978;1841;730;1424;4453;1892;1626;29;82;46;215;800;183;101;949;1759;684;1209;3653;1709;1525;978;1822;676;1272;4636;1858;2069;22;82;41;217;804;168;147;956;1740;635;1055;3832;1690;1922
0219 Bærum;219;Bærum;9525;16195;6218;12493;42361;15689;16107;360;1140;512;2990;10551;1950;1265;9165;15055;5706;9503;31810;13739;14842;4905;8266;3267;6168;21135;7919;6807;193;551;249;1291;5613;1009;455;4712;7715;3018;4877;15522;6910;6352;4620;7929;2951;6325;21226;7770;9300;167;589;263;1699;4938;941;810;4453;7340;2688;4626;16288;6829;8490
0220 Asker;220;Asker;4434;8220;3465;6152;20694;7755;7618;181;564;286;1491;4850;890;583;4253;7656;3179;4661;15844;6865;7035;2267;4123;1749;3100;10261;3967;3439;96;284;154;703;2594;476;225;2171;3839;1595;2397;7667;3491;3214;2167;4097;1716;3052;10433;3788;4179;85;280;132;788;2256;414;358;2082;3817;1584;2264;8177;3374;3821
0221 Aurskog-Høland;221;Aurskog-Høland;1064;1861;833;1658;5507;2227;2350;26;130;70;246;780;112;55;1038;1731;763;1412;4727;2115;2295;527;941;429;867;2870;1145;1065;17;72;36;142;432;65;27;510;869;393;725;2438;1080;1038;537;920;404;791;2637;1082;1285;9;58;34;104;348;47;28;528;862;370;687;2289;1035;1257
0226 Sørum;226;Sørum;1479;2385;822;1937;6403;2050;1842;58;137;48;418;1285;152;71;1421;2248;774;1519;5118;1898;1771;722;1233;418;1000;3314;1062;821;31;63;27;210;744;95;29;691;1170;391;790;2570;967;792;757;1152;404;937;3089;988;1021;27;74;21;208;541;57;42;730;1078;383;729;2548;931;979
0227 Fet;227;Fet;841;1430;556;1220;4119;1490;1392;16;71;37;228;767;101;54;825;1359;519;992;3352;1389;1338;451;735;281;641;2107;776;666;8;34;15;138;424;61;23;443;701;266;503;1683;715;643;390;695;275;579;2012;714;726;8;37;22;90;343;40;31;382;658;253;489;1669;674;695
0228 Rælingen;228;Rælingen;1413;2131;818;2086;6324;2178;1856;33;160;85;441;1524;282;125;1380;1971;733;1645;4800;1896;1731;744;1108;423;1042;3186;1099;846;12;87;45;207;773;169;54;732;1021;378;835;2413;930;792;669;1023;395;1044;3138;1079;1010;21;73;40;234;751;113;71;648;950;355;810;2387;966;939
0229 Enebakk;229;Enebakk;900;1469;571;1118;3993;1434;1141;15;91;35;176;681;111;36;885;1378;536;942;3312;1323;1105;469;734;296;565;2032;745;546;8;46;16;90;365;58;20;461;688;280;475;1667;687;526;431;735;275;553;1961;689;595;7;45;19;86;316;53;16;424;690;256;467;1645;636;579
0230 Lørenskog;230;Lørenskog;2437;4641;1869;3951;12647;4890;4262;70;271;185;978;3630;650;323;2367;4370;1684;2973;9017;4240;3939;1232;2434;951;2051;6424;2419;1931;32;144;92;495;1994;347;140;1200;2290;859;1556;4430;2072;1791;1205;2207;918;1900;6223;2471;2331;38;127;93;483;1636;303;183;1167;2080;825;1417;4587;2168;2148
0231 Skedsmo;231;Skedsmo;3743;6619;2610;6453;18905;6244;6614;100;511;324;1612;5030;807;511;3643;6108;2286;4841;13875;5437;6103;1935;3349;1346;3285;9724;3077;2842;54;244;184;803;2731;430;207;1881;3105;1162;2482;6993;2647;2635;1808;3270;1264;3168;9181;3167;3772;46;267;140;809;2299;377;304;1762;3003;1124;2359;6882;2790;3468
