Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
0811 Siljan;811;Siljan;174;312;137;259;800;347;375;3;30;8;16;65;8;11;171;282;129;243;735;339;364;96;170;76;118;402;172;174;0;15;5;7;19;5;7;96;155;71;111;383;167;167;78;142;61;141;398;175;201;3;15;3;9;46;3;4;75;127;58;132;352;172;197
0814 Bamble;814;Bamble;863;1750;799;1752;4520;2383;2126;29;135;59;145;460;84;63;834;1615;740;1607;4060;2299;2063;433;922;414;936;2271;1178;1035;13;64;36;72;224;40;28;420;858;378;864;2047;1138;1007;430;828;385;816;2249;1205;1091;16;71;23;73;236;44;35;414;757;362;743;2013;1161;1056
0815 Kragerø;815;Kragerø;597;1162;564;1152;3339;1966;1841;27;103;51;140;422;109;81;570;1059;513;1012;2917;1857;1760;322;606;304;598;1700;944;835;14;52;25;70;215;56;37;308;554;279;528;1485;888;798;275;556;260;554;1639;1022;1006;13;51;26;70;207;53;44;262;505;234;484;1432;969;962
0817 Drangedal;817;Drangedal;245;517;218;407;1315;691;742;10;60;16;28;147;37;16;235;457;202;379;1168;654;726;116;268;115;211;680;351;343;3;25;11;13;62;14;5;113;243;104;198;618;337;338;129;249;103;196;635;340;399;7;35;5;15;85;23;11;122;214;98;181;550;317;388
0819 Nome;819;Nome;393;781;353;690;2125;1120;1181;24;91;43;101;301;59;28;369;690;310;589;1824;1061;1153;216;392;179;357;1075;600;501;11;50;25;48;129;31;11;205;342;154;309;946;569;490;177;389;174;333;1050;520;680;13;41;18;53;172;28;17;164;348;156;280;878;492;663
0821 Bø;821;Bø (Telem.);419;678;288;956;1831;773;889;13;37;22;234;221;35;20;406;641;266;722;1610;738;869;221;342;156;505;906;385;381;7;16;13;119;105;15;10;214;326;143;386;801;370;371;198;336;132;451;925;388;508;6;21;9;115;116;20;10;192;315;123;336;809;368;498
0822 Sauherad;822;Sauherad;262;505;233;512;1376;700;737;16;48;26;76;181;33;12;246;457;207;436;1195;667;725;142;252;121;268;710;363;340;7;21;14;45;85;21;5;135;231;107;223;625;342;335;120;253;112;244;666;337;397;9;27;12;31;96;12;7;111;226;100;213;570;325;390
0826 Tinn;826;Tinn;359;681;306;583;1895;1055;1078;22;41;29;91;307;65;37;337;640;277;492;1588;990;1041;175;324;152;317;945;566;442;10;17;18;49;146;38;16;165;307;134;268;799;528;426;184;357;154;266;950;489;636;12;24;11;42;161;27;21;172;333;143;224;789;462;615
0827 Hjartdal;827;Hjartdal;90;182;95;174;469;276;316;0;11;3;10;35;5;6;90;171;92;164;434;271;310;50;79;45;90;241;156;140;0;6;1;6;17;1;3;50;73;44;84;224;155;137;40;103;50;84;228;120;176;0;5;2;4;18;4;3;40;98;48;80;210;116;173
0828 Seljord;828;Seljord;202;335;127;332;928;516;549;7;22;9;44;109;18;10;195;313;118;288;819;498;539;97;159;69;181;472;254;240;0;9;6;23;55;9;3;97;150;63;158;417;245;237;105;176;58;151;456;262;309;7;13;3;21;54;9;7;98;163;55;130;402;253;302
0829 Kviteseid;829;Kviteseid;124;271;111;280;780;440;462;3;15;4;30;91;27;14;121;256;107;250;689;413;448;67;128;59;159;394;243;201;3;7;0;15;40;13;6;64;121;59;144;354;230;195;57;143;52;121;386;197;261;0;8;4;15;51;14;8;57;135;48;106;335;183;253
0830 Nissedal;830;Nissedal;110;155;66;172;460;261;227;3;11;8;13;53;16;5;107;144;58;159;407;245;222;50;83;42;98;234;132;101;0;3;5;9;28;6;2;50;80;37;89;206;126;99;60;72;24;74;226;129;126;3;8;3;4;25;10;3;57;64;21;70;201;119;123
0831 Fyresdal;831;Fyresdal;72;173;73;150;405;204;226;4;16;6;19;60;16;7;68;157;67;131;345;188;219;38;88;39;80;208;104;109;0;5;3;10;32;11;3;38;83;36;70;176;93;106;34;85;34;70;197;100;117;4;11;3;9;28;5;4;30;74;31;61;169;95;113
0833 Tokke;833;Tokke;139;269;130;237;672;398;412;3;14;8;17;51;21;15;136;255;122;220;621;377;397;69;135;65;134;347;208;188;0;3;4;8;24;11;7;69;132;61;126;323;197;181;70;134;65;103;325;190;224;3;11;4;9;27;10;8;67;123;61;94;298;180;216
0834 Vinje;834;Vinje;249;403;204;458;1199;569;641;7;25;13;51;149;17;18;242;378;191;407;1050;552;623;128;204;96;237;624;274;302;4;11;5;24;80;7;11;124;193;91;213;544;267;291;121;199;108;221;575;295;339;3;14;8;27;69;10;7;118;185;100;194;506;285;332
0901 Risør;901;Risør;406;792;372;777;2155;1214;1183;13;72;34;106;270;49;63;393;720;338;671;1885;1165;1120;200;399;187;401;1105;603;530;5;41;15;50;142;23;30;195;358;172;351;963;580;500;206;393;185;376;1050;611;653;8;31;19;56;128;26;33;198;362;166;320;922;585;620
0904 Grimstad;904;Grimstad;1644;2925;1296;3015;7198;2929;2776;54;199;122;476;1087;204;151;1590;2726;1174;2539;6111;2725;2625;824;1484;686;1610;3633;1474;1252;26;116;70;269;539;117;59;798;1368;616;1341;3094;1357;1193;820;1441;610;1405;3565;1455;1524;28;83;52;207;548;87;92;792;1358;558;1198;3017;1368;1432
0906 Arendal;906;Arendal;3142;5336;2301;5398;14745;6758;6161;107;426;207;861;2348;443;289;3035;4910;2094;4537;12397;6315;5872;1598;2724;1194;2755;7494;3365;2722;57;196;105;426;1228;257;115;1541;2528;1089;2329;6266;3108;2607;1544;2612;1107;2643;7251;3393;3439;50;230;102;435;1120;186;174;1494;2382;1005;2208;6131;3207;3265
0911 Gjerstad;911;Gjerstad;142;297;148;256;851;404;391;0;24;12;33;91;12;9;142;273;136;223;760;392;382;75;159;77;121;443;203;188;0;11;5;19;49;7;5;75;148;72;102;394;196;183;67;138;71;135;408;201;203;0;13;7;14;42;5;4;67;125;64;121;366;196;199
0912 Vegårshei;912;Vegårshei;151;285;115;214;675;268;292;0;31;9;7;65;5;7;151;254;106;207;610;263;285;74;139;64;105;345;149;124;0;13;2;2;35;3;5;74;126;62;103;310;146;119;77;146;51;109;330;119;168;0;18;7;5;30;2;2;77;128;44;104;300;117;166
0914 Tvedestrand;914;Tvedestrand;391;725;297;659;1941;1044;1002;9;73;29;82;276;42;45;382;652;268;577;1665;1002;957;207;365;145;310;986;546;441;4;36;18;35;151;23;24;203;329;127;275;835;523;417;184;360;152;349;955;498;561;5;37;11;47;125;19;21;179;323;141;302;830;479;540
0919 Froland;919;Froland;509;746;287;704;1907;706;627;8;39;18;49;201;25;18;501;707;269;655;1706;681;609;283;375;157;368;985;362;291;4;20;13;25;108;13;8;279;355;144;343;877;349;283;226;371;130;336;922;344;336;4;19;5;24;93;12;10;222;352;125;312;829;332;326
0926 Lillesand;926;Lillesand;839;1325;517;1128;3362;1525;1410;17;80;35;141;390;86;80;822;1245;482;987;2972;1439;1330;427;696;274;569;1695;752;666;11;37;18;57;180;41;42;416;659;256;512;1515;711;624;412;629;243;559;1667;773;744;6;43;17;84;210;45;38;406;586;226;475;1457;728;706
0928 Birkenes;928;Birkenes;449;708;304;623;1643;640;626;14;52;30;81;206;42;22;435;656;274;542;1437;598;604;227;378;140;337;844;327;290;5;32;13;44;102;25;13;222;346;127;293;742;302;277;222;330;164;286;799;313;336;9;20;17;37;104;17;9;213;310;147;249;695;296;327
0929 Åmli;929;Åmli;103;225;112;175;575;314;306;3;41;12;25;89;21;12;100;184;100;150;486;293;294;50;111;66;90;297;172;145;0;17;7;15;45;9;8;50;94;59;75;252;163;137;53;114;46;85;278;142;161;3;24;5;10;44;12;4;50;90;41;75;234;130;157
0935 Iveland;935;Iveland;122;160;75;193;435;182;147;3;27;10;11;55;5;6;119;133;65;182;380;177;141;58;89;33;94;223;102;66;3;19;4;4;28;0;3;55;70;29;90;195;102;63;64;71;42;99;212;80;81;0;8;6;7;27;5;3;64;63;36;92;185;75;78
0937 Evje og Hornnes;937;Evje og Hornnes;283;453;197;400;1110;543;563;7;47;26;52;177;37;20;276;406;171;348;933;506;543;151;238;97;213;575;269;256;3;16;12;30;89;22;5;148;222;85;183;486;247;251;132;215;100;187;535;274;307;4;31;14;22;88;15;15;128;184;86;165;447;259;292
0938 Bygland;938;Bygland;56;150;66;111;367;252;198;3;12;3;4;31;15;4;53;138;63;107;336;237;194;25;74;30;61;202;131;88;3;8;1;3;13;10;0;22;66;29;58;189;121;88;31;76;36;50;165;121;110;0;4;2;1;18;5;4;31;72;34;49;147;116;106
0940 Valle;940;Valle;62;155;83;136;385;242;207;3;16;10;14;47;11;8;59;139;73;122;338;231;199;40;78;42;72;198;123;99;3;7;3;6;23;6;3;37;71;39;66;175;117;96;22;77;41;64;187;119;108;0;9;7;8;24;5;5;22;68;34;56;163;114;103
0941 Bykle;941;Bykle;67;117;53;127;342;143;99;9;21;5;33;78;11;4;58;96;48;94;264;132;95;34;68;25;63;181;76;48;6;10;0;14;46;8;0;28;58;25;49;135;68;48;33;49;28;64;161;67;51;3;11;5;19;32;3;4;30;38;23;45;129;64;47
1001 Kristiansand;1001;Kristiansand;6763;10514;4842;12695;29338;11080;10751;211;782;491;2304;5712;1118;730;6552;9732;4351;10391;23626;9962;10021;3518;5371;2411;6567;14986;5473;4582;102;379;263;1194;3071;594;323;3416;4992;2148;5373;11915;4879;4259;3245;5143;2431;6128;14352;5607;6169;109;403;228;1110;2641;524;407;3136;4740;2203;5018;11711;5083;5762
1002 Mandal;1002;Mandal;1126;2084;843;1850;5031;2271;2144;35;162;63;244;711;145;117;1091;1922;780;1606;4320;2126;2027;582;1060;457;909;2534;1146;925;14;77;41;121;350;66;48;568;983;416;788;2184;1080;877;544;1024;386;941;2497;1125;1219;21;85;22;123;361;79;69;523;939;364;818;2136;1046;1150
1003 Farsund;1003;Farsund;647;1274;573;1037;3001;1434;1550;19;78;26;86;323;94;93;628;1196;547;951;2678;1340;1457;333;643;281;551;1538;734;717;13;39;14;43;154;45;33;320;604;267;508;1384;689;684;314;631;292;486;1463;700;833;6;39;12;43;169;49;60;308;592;280;443;1294;651;773
1004 Flekkefjord;1004;Flekkefjord;647;1100;499;1049;2814;1378;1526;12;96;42;125;443;99;55;635;1004;457;924;2371;1279;1471;320;584;258;593;1436;721;689;7;53;19;69;223;49;20;313;531;239;524;1213;672;669;327;516;241;456;1378;657;837;5;43;23;56;220;50;35;322;473;218;400;1158;607;802
1014 Vennesla;1014;Vennesla;1216;1823;803;1930;4757;1758;1699;23;87;55;168;578;104;73;1193;1736;748;1762;4179;1654;1626;632;922;402;994;2470;896;726;13;43;30;75;309;58;37;619;879;372;919;2161;838;689;584;901;401;936;2287;862;973;10;44;25;93;269;46;36;574;857;376;843;2018;816;937
1017 Songdalen;1017;Songdalen;553;863;368;835;2194;764;726;20;96;33;116;406;51;41;533;767;335;719;1788;713;685;273;434;194;438;1123;394;329;9;54;16;62;201;32;15;264;380;178;376;922;362;314;280;429;174;397;1071;370;397;11;42;17;54;205;19;26;269;387;157;343;866;351;371
1018 Søgne;1018;Søgne;859;1583;668;1317;3725;1487;1366;20;73;44;120;455;80;53;839;1510;624;1197;3270;1407;1313;444;782;354;676;1893;766;614;6;40;30;56;244;42;22;438;742;324;620;1649;724;592;415;801;314;641;1832;721;752;14;33;14;64;211;38;31;401;768;300;577;1621;683;721
1021 Marnardal;1021;Marnardal;181;311;148;271;747;336;296;10;28;6;21;92;24;11;171;283;142;250;655;312;285;105;146;74;139;397;180;130;7;14;6;9;53;13;5;98;132;68;130;344;167;125;76;165;74;132;350;156;166;3;14;0;12;39;11;6;73;151;74;120;311;145;160
1026 Åseral;1026;Åseral;60;140;71;101;312;113;126;3;16;5;19;43;7;5;57;124;66;82;269;106;121;32;73;33;57;166;65;46;3;10;2;12;22;5;2;29;63;31;45;144;60;44;28;67;38;44;146;48;80;0;6;3;7;21;2;3;28;61;35;37;125;46;77
1027 Audnedal;1027;Audnedal;155;258;103;213;556;215;243;3;13;6;19;59;7;6;152;245;97;194;497;208;237;74;125;44;107;300;104;114;3;3;3;7;33;3;3;71;122;41;100;267;101;111;81;133;59;106;256;111;129;0;10;3;12;26;4;3;81;123;56;94;230;107;126
1029 Lindesnes;1029;Lindesnes;394;624;270;578;1490;754;743;14;37;22;81;214;60;33;380;587;248;497;1276;694;710;213;311;135;288;780;392;333;8;18;9;32;108;34;11;205;293;126;256;672;358;322;181;313;135;290;710;362;410;6;19;13;49;106;26;22;175;294;122;241;604;336;388
1032 Lyngdal;1032;Lyngdal;679;1219;485;991;2576;1124;1028;19;92;58;159;370;59;49;660;1127;427;832;2206;1065;979;356;592;262;501;1318;552;469;11;44;31;71;172;27;21;345;548;231;430;1146;525;448;323;627;223;490;1258;572;559;8;48;27;88;198;32;28;315;579;196;402;1060;540;531
1034 Hægebostad;1034;Hægebostad;133;224;104;207;557;218;247;4;13;3;17;55;12;9;129;211;101;190;502;206;238;70;111;55;107;313;119;110;0;4;0;7;33;7;3;70;107;55;100;280;112;107;63;113;49;100;244;99;137;4;9;3;10;22;5;6;59;104;46;90;222;94;131
1037 Kvinesdal;1037;Kvinesdal;468;747;337;742;1913;798;886;9;60;34;71;216;42;41;459;687;303;671;1697;756;845;241;369;189;400;994;412;376;5;32;19;38;103;21;13;236;337;170;362;891;391;363;227;378;148;342;919;386;510;4;28;15;33;113;21;28;223;350;133;309;806;365;482
1046 Sirdal;1046;Sirdal;160;223;98;221;583;258;288;3;12;8;28;104;23;6;157;211;90;193;479;235;282;90;105;51;123;294;140;137;3;3;3;12;58;14;3;87;102;48;111;236;126;134;70;118;47;98;289;118;151;0;9;5;16;46;9;3;70;109;42;82;243;109;148
1101 Eigersund;1101;Eigersund;1141;1924;882;1896;4902;2128;1938;42;133;70;245;880;111;54;1099;1791;812;1651;4022;2017;1884;597;971;465;1000;2574;1100;841;27;67;38;119;527;59;24;570;904;427;881;2047;1041;817;544;953;417;896;2328;1028;1097;15;66;32;126;353;52;30;529;887;385;770;1975;976;1067
1102 Sandnes;1102;Sandnes;6619;9658;3856;10407;26006;8371;6983;315;861;417;2300;6423;883;309;6304;8797;3439;8107;19583;7488;6674;3447;4883;1961;5299;13661;4329;3089;162;453;215;1101;3614;521;152;3285;4430;1746;4198;10047;3808;2937;3172;4775;1895;5108;12345;4042;3894;153;408;202;1199;2809;362;157;3019;4367;1693;3909;9536;3680;3737
1103 Stavanger;1103;Stavanger;10451;15605;6639;20005;47835;16213;14006;723;1458;627;4982;12925;2096;754;9728;14147;6012;15023;34910;14117;13252;5290;7977;3363;10210;24940;8242;5986;380;782;329;2486;7394;1274;359;4910;7195;3034;7724;17546;6968;5627;5161;7628;3276;9795;22895;7971;8020;343;676;298;2496;5531;822;395;4818;6952;2978;7299;17364;7149;7625
1106 Haugesund;1106;Haugesund;2664;4326;1872;5053;12662;4874;4648;133;330;152;1055;2769;403;148;2531;3996;1720;3998;9893;4471;4500;1338;2270;958;2617;6748;2414;1972;76;167;78;551;1665;249;77;1262;2103;880;2066;5083;2165;1895;1326;2056;914;2436;5914;2460;2676;57;163;74;504;1104;154;71;1269;1893;840;1932;4810;2306;2605
1111 Sokndal;1111;Sokndal;281;411;185;389;1002;504;531;3;21;4;16;94;12;14;278;390;181;373;908;492;517;139;208;102;197;523;259;226;3;11;0;4;43;7;4;136;197;102;193;480;252;222;142;203;83;192;479;245;305;0;10;4;12;51;5;10;142;193;79;180;428;240;295
1112 Lund;1112;Lund;264;452;200;413;964;479;453;12;20;21;47;119;27;7;252;432;179;366;845;452;446;131;222;104;198;504;249;206;3;12;12;12;57;13;4;128;210;92;186;447;236;202;133;230;96;215;460;230;247;9;8;9;35;62;14;3;124;222;87;180;398;216;244
1114 Bjerkreim;1114;Bjerkreim;247;434;147;396;919;362;315;5;24;7;37;152;15;3;242;410;140;359;767;347;312;121;229;73;197;486;190;150;0;12;4;18;86;8;3;121;217;69;179;400;182;147;126;205;74;199;433;172;165;5;12;3;19;66;7;0;121;193;71;180;367;165;165
1119 Hå;1119;Hå;1817;2579;1059;2650;6002;2134;1874;69;187;68;518;1258;129;38;1748;2392;991;2132;4744;2005;1836;894;1338;536;1375;3241;1085;876;39;102;40;278;742;77;18;855;1236;496;1097;2499;1008;858;923;1241;523;1275;2761;1049;998;30;85;28;240;516;52;20;893;1156;495;1035;2245;997;978
1120 Klepp;1120;Klepp;1745;2713;1120;2504;6619;1966;1818;55;199;84;418;1191;103;47;1690;2514;1036;2086;5428;1863;1771;896;1396;560;1284;3489;1019;871;30;95;36;203;696;63;27;866;1301;524;1081;2793;956;844;849;1317;560;1220;3130;947;947;25;104;48;215;495;40;20;824;1213;512;1005;2635;907;927
1121 Time;1121;Time;1746;2428;952;2604;6112;2194;1861;42;156;62;325;903;93;63;1704;2272;890;2279;5209;2101;1798;908;1261;504;1320;3212;1127;848;16;85;35;142;512;61;31;892;1176;469;1178;2700;1066;817;838;1167;448;1284;2900;1067;1013;26;71;27;183;391;32;32;812;1096;421;1101;2509;1035;981
1122 Gjesdal;1122;Gjesdal;1149;1618;694;1712;4045;1248;851;34;116;47;244;668;70;34;1115;1502;647;1468;3377;1178;817;585;820;369;890;2116;631;384;15;55;29;119;382;44;20;570;765;340;771;1734;587;364;564;798;325;822;1929;617;467;19;61;18;125;286;26;14;545;737;307;697;1643;591;453
1124 Sola;1124;Sola;2345;3418;1385;3593;9040;2826;2476;161;299;126;692;2080;273;110;2184;3119;1259;2901;6960;2553;2366;1198;1681;734;1863;4691;1490;1144;89;146;66;317;1130;160;55;1109;1535;668;1546;3561;1330;1089;1147;1737;651;1730;4349;1336;1332;72;153;60;375;950;113;55;1075;1584;591;1355;3399;1223;1277
1127 Randaberg;1127;Randaberg;844;1546;687;1338;3603;1244;1154;22;86;39;192;551;86;24;822;1460;648;1146;3052;1158;1130;429;789;368;715;1820;646;519;8;38;23;95;308;57;9;421;751;345;620;1512;589;510;415;757;319;623;1783;598;635;14;48;16;97;243;29;15;401;709;303;526;1540;569;620
1129 Forsand;1129;Forsand;102;197;70;132;404;175;162;0;15;6;11;61;7;0;102;182;64;121;343;168;162;56;106;39;65;218;89;75;0;5;3;8;38;2;0;56;101;36;57;180;87;75;46;91;31;67;186;86;87;0;10;3;3;23;5;0;46;81;28;64;163;81;87
1130 Strand;1130;Strand;1081;1777;688;1600;3923;1574;1496;30;109;56;205;545;85;37;1051;1668;632;1395;3378;1489;1459;553;920;340;822;2018;794;693;20;60;28;96;272;36;16;533;860;312;726;1746;758;677;528;857;348;778;1905;780;803;10;49;28;109;273;49;21;518;808;320;669;1632;731;782
1133 Hjelmeland;1133;Hjelmeland;232;399;140;320;860;423;413;15;61;18;80;213;33;10;217;338;122;240;647;390;403;111;193;78;163;461;227;194;5;28;8;41;116;21;3;106;165;70;122;345;206;191;121;206;62;157;399;196;219;10;33;10;39;97;12;7;111;173;52;118;302;184;212
1134 Suldal;1134;Suldal;290;517;220;409;1195;610;640;13;45;21;58;171;26;14;277;472;199;351;1024;584;626;147;262;113;208;612;303;297;5;27;12;22;82;15;7;142;235;101;186;530;288;290;143;255;107;201;583;307;343;8;18;9;36;89;11;7;135;237;98;165;494;296;336
1135 Sauda;1135;Sauda;307;560;298;533;1473;735;854;17;47;13;43;171;24;16;290;513;285;490;1302;711;838;160;265;147;275;756;388;366;10;22;6;24;91;14;3;150;243;141;251;665;374;363;147;295;151;258;717;347;488;7;25;7;19;80;10;13;140;270;144;239;637;337;475
1141 Finnøy;1141;Finnøy;247;397;168;388;924;487;447;11;15;4;91;193;32;6;236;382;164;297;731;455;441;124;212;84;204;488;266;201;4;6;0;53;119;20;3;120;206;84;151;369;246;198;123;185;84;184;436;221;246;7;9;4;38;74;12;3;116;176;80;146;362;209;243
1142 Rennesøy;1142;Rennesøy;483;730;255;623;1686;532;446;20;45;17;98;271;33;7;463;685;238;525;1415;499;439;251;359;129;335;870;281;213;12;22;9;49;147;19;3;239;337;120;286;723;262;210;232;371;126;288;816;251;233;8;23;8;49;124;14;4;224;348;118;239;692;237;229
1144 Kvitsøy;1144;Kvitsøy;31;75;27;59;169;64;106;0;5;3;9;20;0;4;31;70;24;50;149;64;102;13;44;15;31;85;38;52;0;2;3;5;7;0;1;13;42;12;26;78;38;51;18;31;12;28;84;26;54;0;3;0;4;13;0;3;18;28;12;24;71;26;51
1145 Bokn;1145;Bokn;53;129;45;105;271;116;149;4;11;0;13;44;5;0;49;118;45;92;227;111;149;33;75;24;56;144;55;68;2;8;0;6;25;1;0;31;67;24;50;119;54;68;20;54;21;49;127;61;81;2;3;0;7;19;4;0;18;51;21;42;108;57;81
1146 Tysvær;1146;Tysvær;944;1642;630;1325;3504;1356;1267;16;84;37;135;405;48;24;928;1558;593;1190;3099;1308;1243;474;874;305;670;1844;676;634;5;49;21;61;227;25;16;469;825;284;609;1617;651;618;470;768;325;655;1660;680;633;11;35;16;74;178;23;8;459;733;309;581;1482;657;625
1149 Karmøy;1149;Karmøy;3437;5676;2355;5329;14036;5628;5292;83;346;135;567;1858;324;134;3354;5330;2220;4762;12178;5304;5158;1766;2893;1221;2689;7277;2866;2390;48;187;62;262;975;196;55;1718;2706;1159;2427;6302;2670;2335;1671;2783;1134;2640;6759;2762;2902;35;159;73;305;883;128;79;1636;2624;1061;2335;5876;2634;2823
1151 Utsira;1151;Utsira;15;26;11;22;69;36;32;0;0;0;3;9;0;0;15;26;11;19;60;36;32;11;15;7;8;37;22;16;0;0;0;0;3;0;0;11;15;7;8;34;22;16;4;11;4;14;32;14;16;0;0;0;3;6;0;0;4;11;4;11;26;14;16
1160 Vindafjord;1160;Vindafjord;683;1184;509;1105;2798;1198;1270;40;97;44;203;542;63;21;643;1087;465;902;2256;1135;1249;349;580;266;607;1480;660;576;27;42;22;106;322;37;11;322;538;244;501;1158;623;565;334;604;243;498;1318;538;694;13;55;22;97;220;26;10;321;549;221;401;1098;512;684
1201 Bergen;1201;Bergen;20035;30567;13275;44989;95343;33365;34375;759;2176;1078;8389;19783;2702;1371;19276;28391;12197;36600;75560;30663;33004;10348;15454;6727;22992;49935;16754;14550;387;1105;565;4197;11385;1556;577;9961;14349;6162;18795;38550;15198;13973;9687;15113;6548;21997;45408;16611;19825;372;1071;513;4192;8398;1146;794;9315;14042;6035;17805;37010;15465;19031
1211 Etne;1211;Etne;320;519;202;470;1296;593;657;14;25;10;84;224;23;11;306;494;192;386;1072;570;646;165;262;100;253;693;320;293;9;13;5;41;135;14;4;156;249;95;212;558;306;289;155;257;102;217;603;273;364;5;12;5;43;89;9;7;150;245;97;174;514;264;357
1216 Sveio;1216;Sveio;517;769;293;648;1736;841;659;13;65;12;64;246;35;11;504;704;281;584;1490;806;648;279;393;147;347;935;433;316;6;40;5;34;139;20;6;273;353;142;313;796;413;310;238;376;146;301;801;408;343;7;25;7;30;107;15;5;231;351;139;271;694;393;338
1219 Bømlo;1219;Bømlo;942;1746;709;1467;3744;1625;1516;30;145;46;187;553;74;23;912;1601;663;1280;3191;1551;1493;471;913;384;771;1950;848;681;11;82;25;99;277;46;10;460;831;359;672;1673;802;671;471;833;325;696;1794;777;835;19;63;21;88;276;28;13;452;770;304;608;1518;749;822
1221 Stord;1221;Stord;1485;2530;1119;2487;6134;2418;2252;56;165;60;275;979;162;60;1429;2365;1059;2212;5155;2256;2192;756;1260;577;1284;3231;1247;1005;20;83;30;141;581;119;34;736;1177;547;1143;2650;1128;971;729;1270;542;1203;2903;1171;1247;36;82;30;134;398;43;26;693;1188;512;1069;2505;1128;1221
1222 Fitjar;1222;Fitjar;225;457;174;328;948;501;376;8;18;3;25;97;23;7;217;439;171;303;851;478;369;118;225;87;176;508;263;156;3;7;0;12;57;12;3;115;218;87;164;451;251;153;107;232;87;152;440;238;220;5;11;3;13;40;11;4;102;221;84;139;400;227;216
1223 Tysnes;1223;Tysnes;167;311;135;318;765;484;565;8;19;3;34;109;17;17;159;292;132;284;656;467;548;91;143;77;172;397;249;256;5;9;0;13;55;5;5;86;134;77;159;342;244;251;76;168;58;146;368;235;309;3;10;3;21;54;12;12;73;158;55;125;314;223;297
1224 Kvinnherad;1224;Kvinnherad;926;1803;756;1423;4104;2023;2197;36;106;37;126;465;66;44;890;1697;719;1297;3639;1957;2153;468;921;379;764;2090;1052;980;17;52;17;52;231;36;19;451;869;362;712;1859;1016;961;458;882;377;659;2014;971;1217;19;54;20;74;234;30;25;439;828;357;585;1780;941;1192
1227 Jondal;1227;Jondal;65;125;59;135;288;197;225;0;4;4;15;34;3;4;65;121;55;120;254;194;221;33;72;28;61;142;106;107;0;3;1;7;19;3;2;33;69;27;54;123;103;105;32;53;31;74;146;91;118;0;1;3;8;15;0;2;32;52;28;66;131;91;116
1228 Odda;1228;Odda;401;754;361;841;2171;1105;1373;14;54;19;115;316;49;29;387;700;342;726;1855;1056;1344;198;392;170;449;1111;586;555;6;26;11;58;144;25;14;192;366;159;391;967;561;541;203;362;191;392;1060;519;818;8;28;8;57;172;24;15;195;334;183;335;888;495;803
1231 Ullensvang;1231;Ullensvang;220;405;190;320;1072;493;669;13;34;23;43;164;16;14;207;371;167;277;908;477;655;117;201;95;165;558;264;305;6;17;12;26;76;8;3;111;184;83;139;482;256;302;103;204;95;155;514;229;364;7;17;11;17;88;8;11;96;187;84;138;426;221;353
1232 Eidfjord;1232;Eidfjord;60;100;41;126;299;153;171;9;13;0;9;52;7;0;51;87;41;117;247;146;171;32;47;20;69;149;83;67;4;5;0;3;28;2;0;28;42;20;66;121;81;67;28;53;21;57;150;70;104;5;8;0;6;24;5;0;23;45;21;51;126;65;104
1233 Ulvik;1233;Ulvik;65;120;68;102;327;167;245;3;14;10;15;61;12;7;62;106;58;87;266;155;238;38;63;35;55;170;89;116;3;9;5;8;30;7;2;35;54;30;47;140;82;114;27;57;33;47;157;78;129;0;5;5;7;31;5;5;27;52;28;40;126;73;124
1234 Granvin;1234;Granvin;39;99;47;130;258;165;173;0;6;4;9;28;8;3;39;93;43;121;230;157;170;18;53;27;67;138;84;78;0;3;0;4;16;3;0;18;50;27;63;122;81;78;21;46;20;63;120;81;95;0;3;3;5;12;5;3;21;43;17;58;108;76;92
