kommune;kommune_nr;kommune_navn;bosetting.anmodning;bosetting.anmodning;bosetting.bosatt;bosetting.bosatt;bosetting.vedtak;bosetting.vedtak;;;;;;;;
Nedbrytninger;;;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;enhet.personer;enhet.prosent;;;;;;;;
1027 Audnedal;1027;Audnedal;10;100;9;90;10;100,00;;;;;;;;
1029 Lindesnes;1029;Lindesnes;20;100;15;75;10;50,00;;;;;;;;
1032 Lyngdal;1032;Lyngdal;35;100;24;68,57142857;20;57,14;;;;;;;;
1034 Hægebostad;1034;Hægebostad;10;100;0;0;0;0,00;;;;;;;;
1037 Kvinesdal;1037;Kvinesdal;25;100;25;100;25;100,00;;;;;;;;
1046 Sirdal;1046;Sirdal;15;100;5;33,33333333;5;33,33;;;;;;;;
1101 Eigersund;1101;Eigersund;35;100;40;114,2857143;35;100,00;;;;;;;;
1102 Sandnes;1102;Sandnes;80;100;57;71,25;60;75,00;;;;;;;;
1103 Stavanger;1103;Stavanger;150;100;95;63,33333333;115;76,67;;;;;;;;
1106 Haugesund;1106;Haugesund;75;100;33;44;44;58,67;;;;;;;;
1111 Sokndal;1111;Sokndal;10;100;0;0;.;.;;;;;;;;
1112 Lund;1112;Lund;25;100;11;44;10;40,00;;;;;;;;
1114 Bjerkreim;1114;Bjerkreim;10;100;0;0;.;.;;;;;;;;
1119 Hå;1119;Hå;40;100;10;25;10;25,00;;;;;;;;
1120 Klepp;1120;Klepp;40;100;21;52,5;20;50,00;;;;;;;;
1121 Time;1121;Time;40;100;18;45;20;50,00;;;;;;;;
1122 Gjesdal;1122;Gjesdal;35;100;15;42,85714286;15;42,86;;;;;;;;
1124 Sola;1124;Sola;45;100;12;26,66666667;20;44,44;;;;;;;;
1127 Randaberg;1127;Randaberg;35;100;11;31,42857143;20;57,14;;;;;;;;
1129 Forsand;1129;Forsand;5;100;0;0;.;.;;;;;;;;
1130 Strand;1130;Strand;35;100;23;65,71428571;15;42,86;;;;;;;;
1133 Hjelmeland;1133;Hjelmeland;25;100;11;44;10;40,00;;;;;;;;
1134 Suldal;1134;Suldal;30;100;3;10;10;33,33;;;;;;;;
1135 Sauda;1135;Sauda;30;100;10;33,33333333;10;33,33;;;;;;;;
1141 Finnøy;1141;Finnøy;10;100;0;0;.;.;;;;;;;;
1142 Rennesøy;1142;Rennesøy;25;100;8;32;7;28,00;;;;;;;;
1144 Kvitsøy;1144;Kvitsøy;5;100;0;0;.;.;;;;;;;;
1145 Bokn;1145;Bokn;5;100;0;0;.;.;;;;;;;;
1146 Tysvær;1146;Tysvær;40;100;25;62,5;20;50,00;;;;;;;;
1149 Karmøy;1149;Karmøy;75;100;37;49,33333333;30;40,00;;;;;;;;
1151 Utsira;1151;Utsira;5;100;0;0;.;.;;;;;;;;
1160 Vindafjord;1160;Vindafjord;35;100;10;28,57142857;12;34,29;;;;;;;;
1201 Bergen;1201;Bergen;340;100;318;93,52941176;300;88,24;;;;;;;;
1211 Etne;1211;Etne;15;100;12;80;5;33,33;;;;;;;;
1216 Sveio;1216;Sveio;30;100;10;33,33333333;13;43,33;;;;;;;;
1219 Bømlo;1219;Bømlo;40;100;16;40;15;37,50;;;;;;;;
1221 Stord;1221;Stord;40;100;14;35;.;.;;;;;;;;
1222 Fitjar;1222;Fitjar;10;100;0;0;.;.;;;;;;;;
1223 Tysnes;1223;Tysnes;10;100;0;0;5;50,00;;;;;;;;
1224 Kvinnherad;1224;Kvinnherad;30;100;7;23,33333333;.;.;;;;;;;;
1227 Jondal;1227;Jondal;5;100;0;0;.;.;;;;;;;;
1228 Odda;1228;Odda;30;100;24;80;20;66,67;;;;;;;;
1231 Ullensvang;1231;Ullensvang;25;100;16;64;15;60,00;;;;;;;;
1232 Eidfjord;1232;Eidfjord;5;100;4;80;5;100,00;;;;;;;;
1233 Ulvik;1233;Ulvik;5;100;0;0;.;.;;;;;;;;
1234 Granvin;1234;Granvin;5;100;0;0;0;0,00;;;;;;;;
1235 Voss;1235;Voss;40;100;25;62,5;25;62,50;;;;;;;;
1238 Kvam;1238;Kvam;25;100;1;4;15;60,00;;;;;;;;
